index,x,value
"(-3.0, -3.0)","(-3.0, -3.0)",(0.063177046232724+0.23230706090724562j)
"(-2.8461538461538463, -3.0)","(-2.8461538461538463, -3.0)",(0.21110314613569703+0.13141081551593248j)
"(-2.6923076923076925, -3.0)","(-2.6923076923076925, -3.0)",(0.2521583122276189-0.04329388129559186j)
"(-2.5384615384615383, -3.0)","(-2.5384615384615383, -3.0)",(0.16809150790831645-0.2008556202366888j)
"(-2.3846153846153846, -3.0)","(-2.3846153846153846, -3.0)",(0.004714084777134331-0.26645810871668474j)
"(-2.230769230769231, -3.0)","(-2.230769230769231, -3.0)",(-0.15953197267122005-0.21703137318456062j)
"(-2.0769230769230766, -3.0)","(-2.0769230769230766, -3.0)",(-0.2569354610253588-0.08425204158238597j)
"(-1.923076923076923, -3.0)","(-1.923076923076923, -3.0)",(-0.2602574631438088+0.07099845758161727j)
"(-1.7692307692307692, -3.0)","(-1.7692307692307692, -3.0)",(-0.18557149114191096+0.19324150597418j)
"(-1.6153846153846154, -3.0)","(-1.6153846153846154, -3.0)",(-0.07292026323408421+0.25544504973224674j)
"(-1.4615384615384615, -3.0)","(-1.4615384615384615, -3.0)",(0.03896896516156955+0.2613273593273069j)
"(-1.3076923076923075, -3.0)","(-1.3076923076923075, -3.0)",(0.12864531675319385+0.2320601246248702j)
"(-1.1538461538461537, -3.0)","(-1.1538461538461537, -3.0)",(0.1932701154007832+0.18988030401115186j)
"(-1.0, -3.0)","(-1.0, -3.0)",(0.24019329750861435+0.14865419774480637j)
"(-0.8461538461538458, -3.0)","(-0.8461538461538458, -3.0)",(0.27739887010093234+0.11365531798906542j)
"(-0.6923076923076921, -3.0)","(-0.6923076923076921, -3.0)",(0.30850689460165065+0.0864762485921359j)
"(-0.5384615384615383, -3.0)","(-0.5384615384615383, -3.0)",(0.3327172203897437+0.0696218619101112j)
"(-0.3846153846153846, -3.0)","(-0.3846153846153846, -3.0)",(0.3468072734616812+0.06781662451354122j)
"(-0.23076923076923084, -3.0)","(-0.23076923076923084, -3.0)",(0.3464140529718698+0.08615306058796715j)
"(-0.07692307692307665, -3.0)","(-0.07692307692307665, -3.0)",(0.32592558730195337+0.12669601220932059j)
"(0.0769230769230771, -3.0)","(0.0769230769230771, -3.0)",(0.2782908024350994+0.18504117198153194j)
"(0.23076923076923084, -3.0)","(0.23076923076923084, -3.0)",(0.19673497564847953+0.24788811759700913j)
"(0.384615384615385, -3.0)","(0.384615384615385, -3.0)",(0.0795533567086426+0.2929101142614289j)
"(0.5384615384615388, -3.0)","(0.5384615384615388, -3.0)",(-0.06291484321447759+0.29284290295245513j)
"(0.6923076923076925, -3.0)","(0.6923076923076925, -3.0)",(-0.20283217888609684+0.22539937733171966j)
"(0.8461538461538463, -3.0)","(0.8461538461538463, -3.0)",(-0.2968036376009785+0.08784487195881117j)
"(1.0, -3.0)","(1.0, -3.0)",(-0.30016335675354594-0.09012432202270519j)
"(1.1538461538461542, -3.0)","(1.1538461538461542, -3.0)",(-0.19229539034202756-0.2461031483927702j)
"(1.3076923076923084, -3.0)","(1.3076923076923084, -3.0)",(-0.001170609769085628-0.30653150400330115j)
