index,value
"(0,)",(0.8253167175266806+1.5656937286533479j)
"(1,)",(-0.7897163103889786+1.344061720240161j)
"(2,)",(-3.4669460270689973+2.9953799613763556j)
"(3,)",(-5.146121947289+3.1837768146189385j)
"(4,)",(-6.178845057134029+3.241567785114064j)
"(5,)",(-5.728213775269237+3.2131512598371703j)
"(6,)",(-4.20769539191558+2.9200323289122805j)
"(7,)",(-1.8924540637711234+2.2728041624097295j)
"(8,)",(0.4580332510528832+1.144222759900943j)
"(9,)",(2.010741677878861+0.047887062779407685j)
"(10,)",(2.622170469723844-0.28675998615191367j)
"(11,)",(2.9452365384185546+0.18977370228111035j)
"(12,)",(3.3880855848703932+0.29999513232987773j)
"(13,)",(2.8304588132161044-1.0981127861787539j)
"(14,)",(-0.39528661600191795-2.8813406833555257j)
"(15,)",(-5.377340600692362-1.9941548420880668j)
"(16,)",(-7.768690698185722+2.5015378743299825j)
"(17,)",(-4.2011797801599515+6.629256615947066j)
"(18,)",(2.801572467725231+5.1430399503265285j)
"(19,)",(6.668477768888132-1.9740419970691656j)
"(20,)",(3.876601542383063-8.789335781411047j)
"(21,)",(-2.5850242963372354-9.571884649491416j)
"(22,)",(-7.0009401895905725-4.0323564883376175j)
"(23,)",(-6.420464403662979+3.678249150372052j)
"(24,)",(-2.037581736051459+9.378485996568232j)
"(25,)",(3.1903954662249276+11.559639063442948j)
"(26,)",(7.113259456801583+11.046748535913547j)
"(27,)",(9.190090581542094+9.424632002702877j)
"(28,)",(9.93524120366581+7.944200282305406j)
"(29,)",(10.073890751681844+7.261540746506103j)
"(30,)",(9.979596023538754+7.5906627899601595j)
"(31,)",(9.467667431448554+8.834423903349027j)
"(32,)",(7.894637318010487+10.51268565298001j)
"(33,)",(4.595061785231854+11.577927722770134j)
"(34,)",(-0.33704850906097406+10.479104660163388j)
"(35,)",(-5.293155179648065+5.959353939185272j)
"(36,)",(-7.38321439009024-1.4052440655383187j)
"(37,)",(-4.490162471023436-8.199239635389768j)
"(38,)",(1.9032655446439368-9.78038590017185j)
"(39,)",(6.524126554875705-4.561875915871491j)
"(40,)",(4.802642156197388+3.24241912655526j)
"(41,)",(-1.9123865752715705+6.937910409055874j)
"(42,)",(-7.259494570018047+4.211849333113381j)
"(43,)",(-6.761488252441256-0.8341198578841156j)
"(44,)",(-2.107647573455729-3.081865740846524j)
"(45,)",(1.9881136543052143-1.8142804807580526j)
"(46,)",(3.302622211102358-0.0232168238400412j)
"(47,)",(3.1502181784749226+0.37849780831263247j)
"(48,)",(2.685354177662027-0.14812878664314466j)
"(49,)",(2.55997278970474-0.5987706574866573j)
