index,cp
"(0,)",(0.0015059111501835416+7.845251449508594e-05j)
"(1,)",(0.0028723651581659686+0.001069714559895875j)
"(2,)",(0.001206727613201516-0.0014128754970225822j)
"(3,)",(-0.0010491154141865026-0.0015470959728088242j)
"(4,)",(-0.0015317252453656196-0.00011393261388100279j)
"(5,)",(-0.0012272762261210902+0.0010893006195368403j)
"(6,)",(0.0001138272958316971+0.0017390868490945312j)
"(7,)",(0.0016579295739157069+0.001330766751468487j)
"(8,)",(0.0019296963721736008-0.00035046987961414656j)
"(9,)",(0.0009382459563803601-0.001488318791726698j)
"(10,)",(-0.00027348108719137517-0.002090323649068326j)
"(11,)",(-0.0015587620328354702-0.0011034924534814457j)
"(12,)",(-0.0020434383952540364+0.00011192902795281087j)
"(13,)",(-0.0014831426209548693+0.0012844014240531553j)
"(14,)",(-0.00038818636225952826+0.0014274654716470792j)
"(15,)",(0.00044643546829693055+0.0011780363558241173j)
"(16,)",(0.0014066497691151193+0.001630410895532923j)
"(17,)",(0.0018390862820405187+0.0010182657697912893j)
"(18,)",(0.00198212267639959+0.00031487161226788915j)
"(19,)",(0.0021332491945059606-0.00019372145448556168j)
"(20,)",(0.002003681566990553-0.0006419505004411378j)
"(21,)",(0.0019019778014359218-0.0010285301358070131j)
"(22,)",(0.0014944828491102009-0.001080976162293777j)
"(23,)",(0.0017187413681109575-0.00151905651282167j)
"(24,)",(0.0016341214685837385-0.0015692247442071323j)
"(25,)",(0.001461786122340406-0.001399016000130731j)
"(26,)",(0.0017438156519894365-0.0015183967883724428j)
"(27,)",(0.0015088928554163202-0.0010648671267787992j)
"(28,)",(0.0017377689044127105-0.0009547920405342875j)
"(29,)",(0.0017538472036244172-0.0005758356371955016j)
"(30,)",(0.0021294630858639135-0.0001858624949787377j)
"(31,)",(0.002392683029043804+0.00046769870839050474j)
"(32,)",(0.0016943366488157453+0.0009190999122711801j)
"(33,)",(0.0013198628524041392+0.0014513268471916948j)
"(34,)",(0.0003278720041975726+0.0009631788226069566j)
"(35,)",(-0.000470687011787491+0.0017457499810384699j)
"(36,)",(-0.0014819642316529669+0.0013601105253022352j)
"(37,)",(-0.002017342922993773+4.4640905391265045e-05j)
"(38,)",(-0.0013705715661298879-0.0011229585676138269j)
"(39,)",(-0.00036911222709265626-0.0017747843116183767j)
"(40,)",(0.0010500557573887954-0.0015155322231050403j)
"(41,)",(0.0016827306294533344-0.00017770436295209806j)
"(42,)",(0.0015644659559050354+0.0013031768821875288j)
"(43,)",(1.3817872202418129e-05+0.0016810589068841611j)
"(44,)",(-0.0014392088870931342+0.0011997779119832747j)
"(45,)",(-0.0014470877471618828-0.0003862438452525743j)
"(46,)",(-0.0006681504861930411-0.0016914814146230621j)
"(47,)",(0.0008784624611866863-0.001778285638990456j)
"(48,)",(0.0017037016538504716-0.0003159465504799404j)
"(49,)",(0.0009831633577629696+0.0005991615598065959j)
