index,value
"(0,)",(16.558800119509517-31.85216090758673j)
"(1,)",(-24.45252880446634-6.334416947717322j)
"(2,)",(-7.764833889550305+22.55557449511076j)
"(3,)",(8.941152524359868+4.388355963005827j)
"(4,)",(0.2918473029008133-19.744544175208738j)
"(5,)",(9.234704003603019+18.908179134294365j)
"(6,)",(3.6045284229636025+6.429981776046931j)
"(7,)",(-23.11821759821646-20.551233178612275j)
"(8,)",(15.600865393767618+6.489979442709416j)
"(9,)",(0.9019721742207913+10.485370464680056j)
"(10,)",(-18.01669597344674+12.161215901865942j)
"(11,)",(14.624412958829458-34.240446612434596j)
"(12,)",(3.7141998729657075+27.70931316566054j)
"(13,)",(-18.15660032149022+9.838384267837746j)
"(14,)",(-1.5354989715598197-22.73498077458105j)
"(15,)",(34.7803313613748+6.084966959693391j)
"(16,)",(-34.51715375029962-10.710863742496764j)
"(17,)",(14.947202977942258+30.723013269562593j)
"(18,)",(-5.46369215118248-24.523108247237943j)
"(19,)",(14.626643784664532+25.123289280228573j)
"(20,)",(-1.9467671687995889-16.095369607925516j)
"(21,)",(-8.009542171796742-0.7174000753820025j)
"(22,)",(-3.5021120602361333+11.364469847334554j)
"(23,)",(-1.4894212267122677-11.414217706441486j)
"(24,)",(-5.903715568696924+7.234749353177325j)
"(25,)",(14.02935703988468-1.3052601292893051j)
"(26,)",(-23.17189417170399-7.764653127880859j)
"(27,)",(35.50693908753658-6.602414223747838j)
"(28,)",(-13.195540621181273-2.030980291059649j)
"(29,)",(-2.1757392264084174+48.51322537963692j)
"(30,)",(18.88792310763549-39.57467665304582j)
"(31,)",(-18.154092690438247-10.081211872648883j)
"(32,)",(3.091370900843232+33.380515855729485j)
"(33,)",(16.409850900736934+0.13975256195750063j)
"(34,)",(2.891427212302335-25.284600108802167j)
"(35,)",(3.0811564793808026+9.090150307135774j)
"(36,)",(-20.419406724686468+9.535758946483803j)
"(37,)",(22.073522585392837+2.3338165907477677j)
"(38,)",(0.1600342851860943-29.720769610429965j)
"(39,)",(-7.065145635422107+5.234975932528583j)
"(40,)",(17.983496582858955+24.917441249036592j)
"(41,)",(-21.170479423530708-12.62329451145167j)
"(42,)",(18.283691088860408-3.882023247857603j)
"(43,)",(-17.302967699853852-7.5866935817551955j)
"(44,)",(16.240741924472502+10.29545110796849j)
"(45,)",(2.9072491606159367-2.836287636507919j)
"(46,)",(1.3176036375634137+16.01945558459645j)
"(47,)",(-9.565051230019412-20.994541056152553j)
"(48,)",(-11.268698913162211-13.956887608314812j)
"(49,)",(50.52924053280806+39.043113140107266j)
"(50,)",(-29.11327055719792-36.81253893754713j)
"(51,)",(-9.523208877213197+42.525648307558626j)
"(52,)",(19.96085664140673-24.76286924982304j)
"(53,)",(-16.444515303005367+1.723520053186526j)
"(54,)",(16.39449652674868+7.416345218517507j)
"(55,)",(-14.723081629455965-7.487112367297396j)
"(56,)",(2.084103738126956+12.301482202983806j)
"(57,)",(8.353438164879776-4.507757025864681j)
"(58,)",(-7.18640967388464-14.246202303728023j)
"(59,)",(9.846920609561387-3.065140576216372j)
"(60,)",(-8.978468396187091+27.044649710234623j)
"(61,)",(-2.1791731720928507-14.53982042586658j)
"(62,)",(0.9371234134078152+0.5726090277862799j)
"(63,)",(20.7135770421711-9.258357873016793j)
"(64,)",(2.0129498527590917-19.704813974258485j)
"(65,)",(-34.0807137285733+39.648504883850926j)
"(66,)",(27.4622635641202-10.63795025241318j)
"(67,)",(18.00075840978279-21.706220941608347j)
"(68,)",(-9.149771696243477+6.197425309645681j)
"(69,)",(-6.377244872653442+23.663384728273364j)
"(70,)",(11.751728251669096-25.09786572095334j)
"(71,)",(-24.099401019232815+20.808658671031775j)
"(72,)",(44.7781407955939+3.8992606823582587j)
"(73,)",(-30.554868460260774-5.153325227838197j)
"(74,)",(1.2268075910422898-13.645945405630165j)
"(75,)",(-1.721214784724232+12.771779198791835j)
"(76,)",(10.891946048783813+17.714467139800007j)
"(77,)",(-2.8385535647105717-34.270829557117224j)
"(78,)",(-9.094143584332443+7.628717078330622j)
"(79,)",(14.207421270713578+14.01101022290289j)
"(80,)",(-21.40772980491711+6.393182505902587j)
"(81,)",(29.194497701576683-15.910260887541543j)
"(82,)",(-25.072064350426622+1.4530961765151211j)
"(83,)",(12.994140372095169+25.59926246392946j)
"(84,)",(-9.236295488843808-21.201695794105092j)
"(85,)",(30.480595587115317-9.29358375331281j)
"(86,)",(-35.32850862900466-0.8497838294894287j)
"(87,)",(23.934096663438986+24.34213083142567j)
"(88,)",(-31.153894654466427-37.987750962152006j)
"(89,)",(43.93490316234781+39.90002784035119j)
"(90,)",(-29.652916419914707-7.942796468293675j)
"(91,)",(15.340288248238828-10.549108529153894j)
"(92,)",(-25.379247714013196-2.069143431709904j)
"(93,)",(42.403245478349476+13.906345291612077j)
"(94,)",(-56.20636006702918-8.430578118682547j)
"(95,)",(41.611026120337755-12.0380176439689j)
"(96,)",(-10.50167512939176+11.106958112697903j)
"(97,)",(3.6443035992679285+18.123042416110437j)
"(98,)",(8.459295237073905-3.2123216802578742j)
"(99,)",(-10.765100460532691+6.366170505964531j)
"(100,)",(1.0702734265688392-0.9792059669076529j)
"(101,)",(-5.992005255176878-1.9566398044726356j)
