index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)"
"(-3.0, -3.0)",(0.009500424557546325+0.005010129679664025j),(-0.0023866235792929244+0.009701781351310675j),(-0.00616984725153905+0.008544233038337132j),(0.00012092464371239026+0.009650527101519842j),(0.007864383323994853-0.0003491083378212409j),(-0.004808742595592799-0.0038957153741021973j),(0.0035691424127929938+0.004143261009037796j),(-0.003696560460179581-0.0052476232073350865j),(-0.0005237591232234602+0.009462686259150942j),(0.012207906439997442+0.004044006380519533j),(0.010663385775832116+0.006006328233357888j),(-0.004710266782500228+0.007126743166646969j),(0.0007195853933944959-0.005944042931826451j),(-0.00032940985525774534+0.005509310550336991j),(-0.0014394839677448821-0.006388568925234789j)
"(-2.8461538461538463, -3.0)",(0.009779022405910526-0.004466422836648228j),(0.005820361877054333+0.008159941363450211j),(0.0018388024143669722+0.010498820893004588j),(0.006682746873509575+0.007241412815993908j),(0.006121987117143077-0.005301872496763721j),(-0.006354182385378093-0.0004062582660160112j),(0.00534393999279077+0.0014839682744673599j),(-0.005973631840373764-0.002197188385803316j),(0.005386101835721236+0.007638326487034366j),(0.011678454706771512-0.0055550324092678285j),(0.011859143662395823-0.004292369489156742j),(0.0030394091081366913+0.008334247721081186j),(-0.004628373297313475-0.004048899795164782j),(0.004422892102961572+0.0033917577352823506j),(-0.006043107123023456-0.002523051316104641j)
"(-2.6923076923076925, -3.0)",(0.002582636512416598-0.010439865660044751j),(0.009989972531062437+0.0010665945263228778j),(0.008785411490298706+0.0062340439423772265j),(0.009991846794392184+0.001146569538079507j),(0.0017580952668199519-0.008146284706023313j),(-0.005675479822803627+0.0032853236203142324j),(0.005406149084060916-0.0015870653659106845j),(-0.006166153496105168+0.0013550835832830553j),(0.008721350343723186+0.0029193796032872016j),(0.00498916982960685-0.011974728330704053j),(0.004923516922474758-0.012024406697780314j),(0.008798176462360793+0.0027820895131210484j),(-0.00614639073469746+0.0015006074124511114j),(0.005364473166106688-0.001716522010396597j),(-0.005595874334962928+0.0033968897756508584j)
"(-2.5384615384615383, -3.0)",(-0.006441155457266492-0.008608567935568925j),(0.007554591264239842-0.006644893124929555j),(0.010767500578181908-0.0015552757516692j),(0.008615278511621555-0.005573448258980646j),(-0.003385124171111477-0.007880799610333465j),(-0.0031668494516581256+0.005973427543909198j),(0.003962941918642724-0.004144227670674919j),(-0.004597712898426449+0.004256824625155761j),(0.008698250563941029-0.002424619021029069j),(-0.003863620584075873-0.012386829666183678j),(-0.0054318794832156235-0.01222581358933438j),(0.00800215777342253-0.005328921368971882j),(-0.0024744655613108775+0.006034481628225231j),(0.0017423614598527054-0.005423088049856184j),(-0.0006387724972480805+0.006510092700143194j)
"(-2.3846153846153846, -3.0)",(-0.01072205096479018-0.0006406643125252878j),(0.00040098151636392006-0.010057130318642481j),(0.006968036596169819-0.008482251935416728j),(0.003412464930098869-0.009890671984244488j),(-0.00741049544678406-0.004796951497117481j),(0.00027578599254579936+0.006971507897046437j),(0.0015978216606350396-0.005623972159826773j),(-0.002039194056144528+0.005880547419724343j),(0.0060031665279109015-0.006497645360797097j),(-0.01060588488499442-0.007405686976933305j),(-0.01279322751520918-0.005068204656178786j),(0.0011321449994977258-0.009969020587172294j),(0.003436460140159797+0.005795227802234828j),(-0.003370477591880634-0.004678042306542532j),(0.004753927305286474+0.004482879755540922j)
"(-2.230769230769231, -3.0)",(-0.0075345002220793935+0.007629749977874186j),(-0.006856706757300091-0.007358045459666651j),(-0.0003283934570704897-0.011060284806850272j),(-0.0032182637681185213-0.010164047539002513j),(-0.009083555839829652-0.00011824035276939644j),(0.003663921703545166+0.006204703654578375j),(-0.0010201848535910892-0.005884932980958817j),(0.0007009195582330243+0.006150482311041011j),(0.002036199222416223-0.008405390709190228j),(-0.012847595354619653+9.699192820847347e-05j),(-0.01320838037577687+0.005027147993527216j),(-0.006999310726172947-0.007808340408750049j),(0.006916141408341923+0.0009115093401311188j),(-0.005840322913427425-0.00016249957585618975j),(0.00646085495582971-0.0009123506284873357j)
"(-2.0769230769230766, -3.0)",(0.0005718365584502956+0.010681177844320534j),(-0.01002410826168266-0.0005172698795995698j),(-0.0073748576806407055-0.008350539725043273j),(-0.00862692954507632-0.0065879016264588j),(-0.0081205654279807+0.0046263329548564495j),(0.006236340222282929+0.004070221318706346j),(-0.0033534027848330845-0.0051115908216045215j),(0.0030408407289752295+0.005364560905567957j),(-0.0018620595808257995-0.008231322017262295j),(-0.01063612978696969+0.006955237552338036j),(-0.007002830246616943+0.01267939820657313j),(-0.010971019484267722-0.0002800291583305379j),(0.005291687039547529-0.004942226233133217j),(-0.0038111727654590766+0.004540439784155016j),(0.003414782892818336-0.005547009399515536j)
"(-1.923076923076923, -3.0)",(0.008120216200944124+0.006908482527195008j),(-0.007682059517572611+0.0064075902859956355j),(-0.0110243707884381-0.0019912653542319128j),(-0.011014610008162245-0.0007563523873955346j),(-0.0050576993241357665+0.008172247573576793j),(0.007607563792524434+0.0011918053695496346j),(-0.005093611693220235-0.00365502262606054j),(0.0047069619841131165+0.0039654060731535105j),(-0.004853681119057118-0.006636935844690612j),(-0.0056620228633125986+0.011159754408936334j),(0.002293199990054727+0.01462581525606235j),(-0.008365793337675332+0.007888222105861854j),(-0.00028563263493285577-0.007529903242805365j),(0.0010887040435894658+0.005924399679972998j),(-0.0019685384897138703-0.006196089416151792j)
"(-1.7692307692307692, -3.0)",(0.010578566246239048-0.000907632331372709j),(-0.0015147114402872387+0.009838978957905928j),(-0.010062566006469821+0.005027888888004411j),(-0.009921922526387576+0.005231266749368339j),(-0.0008781694322147724+0.009837512027692693j),(0.0077556501081346004-0.0018128736128016185j),(-0.006157961819270299-0.0018876976645087094j),(0.0056846359916996525+0.00236487270719176j),(-0.006673068856858367-0.00441602568123625j),(-9.866018481621829e-06+0.01226372699455959j),(0.010485039340946113+0.010835577901104565j),(-0.0008432261076135349+0.012026117265158743j),(-0.005997938271721609-0.005085634404437644j),(0.005285727568939844+0.0031076260947002373j),(-0.005911358072102676-0.0026736673586765843j)
"(-1.6153846153846154, -3.0)",(0.006951959330440907-0.007954831968658352j),(0.0051238998235202+0.008459729606410737j),(-0.005342030931509343+0.009931447375022271j),(-0.00607567455411549+0.00962246354080786j),(0.0033920459112702244+0.009557156772081073j),(0.006912346936681131-0.004483022779817948j),(-0.006627063900040264-0.00011116015430997276j),(0.006115252085686641+0.0008572622562932105j),(-0.007464814456646035-0.0022021938786441096j),(0.004772215318570753+0.010965798992515667j),(0.014852534637654312+0.0036292711889413173j),(0.007486699109936302+0.010187547058213894j),(-0.008192979554256876+0.0007819570037176755j),(0.005972882320413101-0.001855008547602326j),(-0.005986564039083651+0.0024656683082776025j)
"(-1.4615384615384615, -3.0)",(-0.00024540394996455314-0.010499845537786007j),(0.009194040478488404+0.0034198423249913053j),(0.0010216962799161065+0.01123922367746243j),(-0.0008486132930601871+0.011497068185142005j),(0.006972420808386084+0.0077190873898755116j),(0.005426406603407963-0.006569622066678856j),(-0.006668523284425483+0.001479063585255776j),(0.006198130674049368-0.00039268963830446684j),(-0.007561238213414929-0.0003684347144216383j),(0.00799806463523856+0.008408199316063252j),(0.01487811556245006-0.004062494401681687j),(0.012740108319155157+0.0036480671860899677j),(-0.005645018590473937+0.0065393438404931755j),(0.00286603658257557-0.00571640268650027j),(-0.0024552101659380313+0.005977432616766321j)
"(-1.3076923076923075, -3.0)",(-0.0070158441131878396-0.0077207882626004875j),(0.009319602246200256-0.0027301374573503417j),(0.006762622392322509+0.009018836602520569j),(0.004339933874108464+0.010820680374857812j),(0.009448726501597041+0.004925353549710646j),(0.003650405687994705-0.008016810373386795j),(-0.006473544181033331+0.002786522704304335j),(0.006124036822316617-0.0013194496001194991j),(-0.0073088855497160255+0.0009394647724619962j),(0.009695072590288073+0.005621556610613825j),(0.01170554720757751-0.01010250742436448j),(0.013129831641760422-0.004479047412163081j),(0.0001122499430585717+0.00909282122628873j),(-0.0019962444991371464-0.006244546242457267j),(0.0023524635888578665+0.0060078088113967405j)
"(-1.1538461538461537, -3.0)",(-0.010239945787074841-0.0015310694139139065j),(0.00600096472531128-0.007487421618971295j),(0.01031537716597317+0.004455841063427663j),(0.008447101147508188+0.008193240194481245j),(0.010752136703367951+0.0017802836577218868j),(0.0018728815620421351-0.008904990872634428j),(-0.006216871602835257+0.0037849412773762526j),(0.006041988770971414-0.001913220509428747j),(-0.006976255176025634+0.0017153015844186322j),(0.01026627629338696+0.0032750745047696846j),(0.007091781229145449-0.013664163251407875j),(0.009223313921708526-0.011173706798303984j),(0.006133310782286404+0.007381919865541558j),(-0.005845857979149723-0.003358066203399015j),(0.005762762004781716+0.0028880610315784915j)
"(-1.0, -3.0)",(-0.008987794255173176+0.004964991789574597j),(0.0009283490227284581-0.009416375862050706j),(0.01114290170258031-0.0008611148658857805j),(0.010971161757254854+0.0044876267461434315j),(0.011058155885133383-0.0012426182109100807j),(0.0002948495204015335-0.009386293781638223j),(-0.0060380861718975125+0.0044835149261508184j),(0.006048589545180081-0.002181278351753209j),(-0.006726159154306486+0.0020076424653894137j),(0.010186344183026908+0.0016768112263732227j),(0.002552267755544916-0.014996792756441635j),(0.002981233257172208-0.014780996603098362j),(0.009848995034461443+0.002462353708903769j),(-0.006843117902871155+0.0012497594578669796j),(0.006267763362356535-0.0015055375862965887j)
"(-0.8461538461538458, -3.0)",(-0.00439843536849015+0.00917637859011202j),(-0.004002265889491926-0.008407203248591644j),(0.009593490389007392-0.0055638751179172725j),(0.01190072809639986+0.0005376068562000614j),(0.010666198349142675-0.0038492609452964763j),(-0.000962187238792675-0.009630780022252736j),(-0.006036431706267138+0.004895942992839899j),(0.0061868839338086535-0.002121775992010029j),(-0.0066210477421610354+0.0018635460725467097j),(0.00982169796201698+0.000891363155869575j),(-0.0010091844864450765-0.014878756314632691j),(-0.0034973733882238487-0.015220366671715297j),(0.010162395770236202-0.0035265971034022887j),(-0.004804765887348715+0.005367712388812087j),(0.004010312761696492-0.005057701011879941j)
"(-0.6923076923076921, -3.0)",(0.0013642595328287174+0.009986694665928405j),(-0.007438256143945708-0.005318092937274722j),(0.006511135638607441-0.008838847724131049j),(0.01154863061556598-0.003046686086236219j),(0.009899973679589696-0.0059108364220184905j),(-0.0018322062559077434-0.009789581552558j),(-0.006270327676899541+0.005017374971646765j),(0.0064450217407597925-0.0017121994107858758j),(-0.006635740518521022+0.0013054542727959253j),(0.00936496091202073+0.0008645150214301487j),(-0.0032610401920308446-0.01413082333061376j),(-0.008803999436572067-0.013449509000004627j),(0.0074924607054717264-0.008601861780065776j),(-0.0008702197124608474+0.007438613195893784j),(0.00028852817253847095-0.0064682738698108155j)
"(-0.5384615384615383, -3.0)",(0.006272362785757516+0.007762544110261111j),(-0.008855375493889931-0.0013718405392726704j),(0.0028312743926457167-0.010463796022329802j),(0.01036693721990624-0.00593242357513255j),(0.00904463484001804-0.007416738098137723j),(-0.0022773754006529126-0.009972926596362269j),(-0.006754370116304922+0.0048109065860495286j),(0.00675044331085317-0.0009135430089501427j),(-0.006665708047061159+0.0003378058769862933j),(0.008837183961417448+0.0014991103453764524j),(-0.004217856242793278-0.013343043832865047j),(-0.012420619784143315-0.010743764025294119j),(0.0031148676118571547-0.011686607242559714j),(0.00337305919146867+0.007051099497799284j),(-0.003341415414077306-0.005586229977417826j)
