index,x,value
"(-3.0, -3.0)","(-3.0, -3.0)",(-0.11808754651149851-0.041449012671200505j)
"(-2.8461538461538463, -3.0)","(-2.8461538461538463, -3.0)",(-0.11349210411948599+0.0649402165552779j)
"(-2.6923076923076925, -3.0)","(-2.6923076923076925, -3.0)",(-0.021940464099948504+0.1286625558464765j)
"(-2.5384615384615383, -3.0)","(-2.5384615384615383, -3.0)",(0.0872054549841105+0.0916295833359336j)
"(-2.3846153846153846, -3.0)","(-2.3846153846153846, -3.0)",(0.12226404153496731-0.023435003861353842j)
"(-2.230769230769231, -3.0)","(-2.230769230769231, -3.0)",(0.04435484017380674-0.12693385609515326j)
"(-2.0769230769230766, -3.0)","(-2.0769230769230766, -3.0)",(-0.10009209641319028-0.13040590981302197j)
"(-1.923076923076923, -3.0)","(-1.923076923076923, -3.0)",(-0.21289359847699907-0.01159222717482476j)
"(-1.7692307692307692, -3.0)","(-1.7692307692307692, -3.0)",(-0.2127690274251774+0.17226208594315848j)
"(-1.6153846153846154, -3.0)","(-1.6153846153846154, -3.0)",(-0.08583907962914655+0.32634777093831696j)
"(-1.4615384615384615, -3.0)","(-1.4615384615384615, -3.0)",(0.1136204875719556+0.37874446879296375j)
"(-1.3076923076923075, -3.0)","(-1.3076923076923075, -3.0)",(0.30353463919283236+0.31704892022227515j)
"(-1.1538461538461537, -3.0)","(-1.1538461538461537, -3.0)",(0.4217999822457511+0.18394910035397274j)
"(-1.0, -3.0)","(-1.0, -3.0)",(0.45166208834372557+0.04465987900411336j)
"(-0.8461538461538458, -3.0)","(-0.8461538461538458, -3.0)",(0.4167809057196831-0.04770134454967013j)
"(-0.6923076923076921, -3.0)","(-0.6923076923076921, -3.0)",(0.3578975127643146-0.06989532219084184j)
"(-0.5384615384615383, -3.0)","(-0.5384615384615383, -3.0)",(0.3089308443556776-0.026611897381840673j)
"(-0.3846153846153846, -3.0)","(-0.3846153846153846, -3.0)",(0.2839531434928858+0.062321882609139956j)
"(-0.23076923076923084, -3.0)","(-0.23076923076923084, -3.0)",(0.2766296552002298+0.17448498895277434j)
"(-0.07692307692307665, -3.0)","(-0.07692307692307665, -3.0)",(0.26760159309615766+0.29078522553317915j)
"(0.0769230769230771, -3.0)","(0.0769230769230771, -3.0)",(0.23459039244414873+0.394628156951743j)
"(0.23076923076923084, -3.0)","(0.23076923076923084, -3.0)",(0.16216668181306482+0.468300652182598j)
"(0.384615384615385, -3.0)","(0.384615384615385, -3.0)",(0.04987673526929054+0.49161455160974543j)
"(0.5384615384615388, -3.0)","(0.5384615384615388, -3.0)",(-0.08282540990268884+0.44641079877619716j)
"(0.6923076923076925, -3.0)","(0.6923076923076925, -3.0)",(-0.19787604958902621+0.32711415620112994j)
"(0.8461538461538463, -3.0)","(0.8461538461538463, -3.0)",(-0.249505864383381+0.15282487258020072j)
"(1.0, -3.0)","(1.0, -3.0)",(-0.2048985843353748-0.027737868877449702j)
"(1.1538461538461542, -3.0)","(1.1538461538461542, -3.0)",(-0.06769335095246781-0.14737984249572544j)
"(1.3076923076923084, -3.0)","(1.3076923076923084, -3.0)",(0.10979381345559852-0.14975559866335922j)
"(1.4615384615384617, -3.0)","(1.4615384615384617, -3.0)",(0.2401934897079832-0.02578242271325446j)
"(1.6153846153846159, -3.0)","(1.6153846153846159, -3.0)",(0.24330936954152002+0.16596022660781415j)
"(1.7692307692307692, -3.0)","(1.7692307692307692, -3.0)",(0.09850459634276998+0.31706447389305725j)
"(1.9230769230769234, -3.0)","(1.9230769230769234, -3.0)",(-0.12776461721888635+0.3270594972206413j)
"(2.0769230769230775, -3.0)","(2.0769230769230775, -3.0)",(-0.3084359287974976+0.1711555478073335j)
"(2.230769230769231, -3.0)","(2.230769230769231, -3.0)",(-0.33192077229777267-0.07088562077465799j)
"(2.384615384615385, -3.0)","(2.384615384615385, -3.0)",(-0.18117435145646657-0.256880531407857j)
"(2.5384615384615383, -3.0)","(2.5384615384615383, -3.0)",(0.04586069853883098-0.27712256908313104j)
"(2.6923076923076925, -3.0)","(2.6923076923076925, -3.0)",(0.20090076323219108-0.13528026040503915j)
"(2.8461538461538467, -3.0)","(2.8461538461538467, -3.0)",(0.19417359135677603+0.05245070511480636j)
"(3.0, -3.0)","(3.0, -3.0)",(0.06182522159364176+0.1479175065361156j)
"(-3.0, -2.8461538461538463)","(-3.0, -2.8461538461538463)",(-0.10373031685655312+0.04044552782072391j)
"(-2.8461538461538463, -2.8461538461538463)","(-2.8461538461538463, -2.8461538461538463)",(-0.042135924090491994+0.11576850330813762j)
"(-2.6923076923076925, -2.8461538461538463)","(-2.6923076923076925, -2.8461538461538463)",(0.06329296246807325+0.11142973967724645j)
"(-2.5384615384615383, -2.8461538461538463)","(-2.5384615384615383, -2.8461538461538463)",(0.12490645423547256+0.01949644533409982j)
"(-2.3846153846153846, -2.8461538461538463)","(-2.3846153846153846, -2.8461538461538463)",(0.08348553927330492-0.08778126520769548j)
"(-2.230769230769231, -2.8461538461538463)","(-2.230769230769231, -2.8461538461538463)",(-0.035234521887897455-0.11577184492413564j)
"(-2.0769230769230766, -2.8461538461538463)","(-2.0769230769230766, -2.8461538461538463)",(-0.13657857940749654-0.026793640082630632j)
"(-1.923076923076923, -2.8461538461538463)","(-1.923076923076923, -2.8461538461538463)",(-0.12980539132487823+0.12737271758304608j)
"(-1.7692307692307692, -2.8461538461538463)","(-1.7692307692307692, -2.8461538461538463)",(0.004422357229802845+0.2434112011029481j)
"(-1.6153846153846154, -2.8461538461538463)","(-1.6153846153846154, -2.8461538461538463)",(0.2032609891063905+0.2394572690755427j)
"(-1.4615384615384615, -2.8461538461538463)","(-1.4615384615384615, -2.8461538461538463)",(0.3685097884505431+0.10580240657510245j)
"(-1.3076923076923075, -2.8461538461538463)","(-1.3076923076923075, -2.8461538461538463)",(0.42974435160880076-0.09807835480606203j)
"(-1.1538461538461537, -2.8461538461538463)","(-1.1538461538461537, -2.8461538461538463)",(0.3793831544634599-0.2878016227267821j)
"(-1.0, -2.8461538461538463)","(-1.0, -2.8461538461538463)",(0.26435140957893283-0.4025868384689062j)
"(-0.8461538461538458, -2.8461538461538463)","(-0.8461538461538458, -2.8461538461538463)",(0.15067367480118204-0.42803848944310047j)
"(-0.6923076923076921, -2.8461538461538463)","(-0.6923076923076921, -2.8461538461538463)",(0.08878804812190261-0.38781814722658564j)
"(-0.5384615384615383, -2.8461538461538463)","(-0.5384615384615383, -2.8461538461538463)",(0.097486920853254-0.3187625855425091j)
"(-0.3846153846153846, -2.8461538461538463)","(-0.3846153846153846, -2.8461538461538463)",(0.16716964199841838-0.24813938280322412j)
"(-0.23076923076923084, -2.8461538461538463)","(-0.23076923076923084, -2.8461538461538463)",(0.2722628424236064-0.18369587352536498j)
"(-0.07692307692307665, -2.8461538461538463)","(-0.07692307692307665, -2.8461538461538463)",(0.3823879407193299-0.11689172356908141j)
"(0.0769230769230771, -2.8461538461538463)","(0.0769230769230771, -2.8461538461538463)",(0.46799469448088976-0.033956845995103804j)
"(0.23076923076923084, -2.8461538461538463)","(0.23076923076923084, -2.8461538461538463)",(0.5025143480775982+0.07134786264620707j)
"(0.384615384615385, -2.8461538461538463)","(0.384615384615385, -2.8461538461538463)",(0.4657732321503477+0.1881881045199759j)
"(0.5384615384615388, -2.8461538461538463)","(0.5384615384615388, -2.8461538461538463)",(0.3516756191486073+0.2864403999334766j)
"(0.6923076923076925, -2.8461538461538463)","(0.6923076923076925, -2.8461538461538463)",(0.1782517693625982+0.3251246669521749j)
"(0.8461538461538463, -2.8461538461538463)","(0.8461538461538463, -2.8461538461538463)",(-0.007266795077649067+0.27180503619158775j)
"(1.0, -2.8461538461538463)","(1.0, -2.8461538461538463)",(-0.1376806182905488+0.12673439643051473j)
"(1.1538461538461542, -2.8461538461538463)","(1.1538461538461542, -2.8461538461538463)",(-0.15338052545599892-0.06208432467660095j)
"(1.3076923076923084, -2.8461538461538463)","(1.3076923076923084, -2.8461538461538463)",(-0.03933988559205999-0.2087082148264959j)
"(1.4615384615384617, -2.8461538461538463)","(1.4615384615384617, -2.8461538461538463)",(0.15101165169788672-0.22936926503004745j)
"(1.6153846153846159, -2.8461538461538463)","(1.6153846153846159, -2.8461538461538463)",(0.3094595538413665-0.09669031992303845j)
"(1.7692307692307692, -2.8461538461538463)","(1.7692307692307692, -2.8461538461538463)",(0.3296431708101929+0.12764582724315127j)
"(1.9230769230769234, -2.8461538461538463)","(1.9230769230769234, -2.8461538461538463)",(0.17864686563882193+0.31489023648890146j)
"(2.0769230769230775, -2.8461538461538463)","(2.0769230769230775, -2.8461538461538463)",(-0.06771870248212716+0.3457910183829942j)
"(2.230769230769231, -2.8461538461538463)","(2.230769230769231, -2.8461538461538463)",(-0.2635619544680211+0.1955512670232657j)
"(2.384615384615385, -2.8461538461538463)","(2.384615384615385, -2.8461538461538463)",(-0.29090647350979953-0.03925019683084971j)
"(2.5384615384615383, -2.8461538461538463)","(2.5384615384615383, -2.8461538461538463)",(-0.1479518673203104-0.20435878497171897j)
"(2.6923076923076925, -2.8461538461538463)","(2.6923076923076925, -2.8461538461538463)",(0.04700861188160121-0.2025539977781705j)
"(2.8461538461538467, -2.8461538461538463)","(2.8461538461538467, -2.8461538461538463)",(0.148797504846859-0.06815476888193059j)
"(3.0, -2.8461538461538463)","(3.0, -2.8461538461538463)",(0.10325344747073809+0.06640676227232763j)
