index,xy,inc,scat,tot
"(-3.0, -3.0)",[-3. -3.],(0.7773494792181547+0.6290689844200426j),(-0.007345807550240092+0.18413729346127122j),(0.7700036716679146+0.8132062778813138j)
"(-2.8461538461538463, -3.0)",[-2.84615385 -3.        ],(-0.10860406938749748+0.994085084946191j),(0.12461698596103266+0.14413750105925707j),(0.01601291657353518+1.138222586005448j)
"(-2.6923076923076925, -3.0)",[-2.69230769 -3.        ],(-0.8948427434723873+0.4463815234245378j),(0.19590220261446442+0.026211513078304726j),(-0.6989405408579229+0.4725930365028425j)
"(-2.5384615384615383, -3.0)",[-2.53846154 -3.        ],(-0.8594811553903232-0.5111674319916275j),(0.17403548398476212-0.10970590346829341j),(-0.6854456714055611-0.620873335459921j)
"(-2.3846153846153846, -3.0)",[-2.38461538 -3.        ],(-0.03498656293693535-0.9993877828019812j),(0.07244736254571675-0.20229190692864585j),(0.0374607996087814-1.201679689730627j)
"(-2.230769230769231, -3.0)",[-2.23076923 -3.        ],(0.8216309578085959-0.5700197971742117j),(-0.06393170529558775-0.21587552536387514j),(0.7576992525130081-0.7858953225380868j)
"(-2.0769230769230766, -3.0)",[-2.07692308 -3.        ],(0.9238676498953127+0.38271211827810203j),(-0.18311368695584082-0.14971545785499699j),(0.7407539629394718+0.23299666042310505j)
"(-1.923076923076923, -3.0)",[-1.92307692 -3.        ],(0.17785484909783048+0.9840567324358834j),(-0.24700794136592827-0.03081658404925955j),(-0.0691530922680978+0.9532401483866239j)
"(-1.7692307692307692, -3.0)",[-1.76923077 -3.        ],(-0.731455460353972+0.681889220855088j),(-0.24153334534036383+0.10177547039500735j),(-0.9729888056943359+0.7836646912500953j)
"(-1.6153846153846154, -3.0)",[-1.61538462 -3.        ],(-0.9691796141665602-0.24635518156506767j),(-0.17546074994522046+0.21263464022414724j),(-1.1446403641117806-0.033720541340920424j)
"(-1.4615384615384615, -3.0)",[-1.46153846 -3.        ],(-0.3170510749839535-0.9484084646667381j),(-0.07193465687051795+0.2800253513597985j),(-0.3889857318544715-0.6683831133069396j)
"(-1.3076923076923075, -3.0)",[-1.30769231 -3.        ],(0.6261780494437382-0.7796800949074147j),(0.04213930623998635+0.2987360755823731j),(0.6683173556837245-0.48094401932504166j)
"(-1.1538461538461537, -3.0)",[-1.15384615 -3.        ],(0.9944815197952718+0.10491190011474566j),(0.14466504724595217+0.27705330616203117j),(1.139146567041224+0.3819652062767768j)
"(-1.0, -3.0)",[-1. -3.],(0.44970134126633127+0.8931789874729827j),(0.22275782594041968+0.23075449394473416j),(0.6724591672067509+1.1239334814177169j)
"(-0.8461538461538458, -3.0)",[-0.84615385 -3.        ],(-0.5079723233823321+0.8613733909737143j),(0.27291310165882565+0.17702235290219365j),(-0.23505922172350646+1.038395743875908j)
"(-0.6923076923076921, -3.0)",[-0.69230769 -3.        ],(-0.9992509738132139+0.03869743316220923j),(0.29826716365298944+0.13018938155530949j),(-0.7009838101602245+0.1688868147175187j)
