index,xy,inc,scat,tot
"(-3.0, -3.0)",[-3. -3.],(0.7773494792181547+0.6290689844200426j),(0.07910123338024037+0.12027955630000926j),(0.856450712598395+0.7493485407200519j)
"(-2.8461538461538463, -3.0)",[-2.84615385 -3.        ],(-0.10860406938749748+0.994085084946191j),(0.1522612969259338+0.026339333597514038j),(0.043657227538436316+1.020424418543705j)
"(-2.6923076923076925, -3.0)",[-2.69230769 -3.        ],(-0.8948427434723873+0.4463815234245378j),(0.13533046895777345-0.0939728137426046j),(-0.7595122745146139+0.35240870968193316j)
"(-2.5384615384615383, -3.0)",[-2.53846154 -3.        ],(-0.8594811553903232-0.5111674319916275j),(0.03948531315343183-0.1691146216582861j),(-0.8199958422368914-0.6802820536499137j)
"(-2.3846153846153846, -3.0)",[-2.38461538 -3.        ],(-0.03498656293693535-0.9993877828019812j),(-0.07943893000301303-0.16181131675892568j),(-0.11442549293994837-1.161199099560907j)
"(-2.230769230769231, -3.0)",[-2.23076923 -3.        ],(0.8216309578085959-0.5700197971742117j),(-0.162752342168405-0.08551801284572441j),(0.6588786156401909-0.655537810019936j)
"(-2.0769230769230766, -3.0)",[-2.07692308 -3.        ],(0.9238676498953127+0.38271211827810203j),(-0.18377437314301845+0.015362452600629723j),(0.7400932767522942+0.39807457087873177j)
"(-1.923076923076923, -3.0)",[-1.92307692 -3.        ],(0.17785484909783048+0.9840567324358834j),(-0.15339184703686715+0.0999701630049753j),(0.02446300206096333+1.0840268954408587j)
"(-1.7692307692307692, -3.0)",[-1.76923077 -3.        ],(-0.731455460353972+0.681889220855088j),(-0.09994293866610549+0.1528737294535324j),(-0.8313983990200775+0.8347629503086204j)
"(-1.6153846153846154, -3.0)",[-1.61538462 -3.        ],(-0.9691796141665602-0.24635518156506767j),(-0.044591777936558566+0.18185665961639907j),(-1.0137713921031188-0.06449852194866859j)
"(-1.4615384615384615, -3.0)",[-1.46153846 -3.        ],(-0.3170510749839535-0.9484084646667381j),(0.009100365858681542+0.20061784452600642j),(-0.307950709125272-0.7477906201407317j)
"(-1.3076923076923075, -3.0)",[-1.30769231 -3.        ],(0.6261780494437382-0.7796800949074147j),(0.06841908878414517+0.21382625287291757j),(0.6945971382278834-0.5658538420344972j)
"(-1.1538461538461537, -3.0)",[-1.15384615 -3.        ],(0.9944815197952718+0.10491190011474566j),(0.13813550953687773+0.21507419371251388j),(1.1326170293321496+0.3199860938272595j)
"(-1.0, -3.0)",[-1. -3.],(0.44970134126633127+0.8931789874729827j),(0.21286556691051012+0.1955307651621142j),(0.6625669081768414+1.088709752635097j)
"(-0.8461538461538458, -3.0)",[-0.84615385 -3.        ],(-0.5079723233823321+0.8613733909737143j),(0.2795392439505202+0.15379125401328506j),(-0.2284330794318119+1.0151646449869993j)
"(-0.6923076923076921, -3.0)",[-0.69230769 -3.        ],(-0.9992509738132139+0.03869743316220923j),(0.3256044664447571+0.09930200059695213j),(-0.6736465073684568+0.13799943375916135j)
"(-0.5384615384615383, -3.0)",[-0.53846154 -3.        ],(-0.5730668990397428-0.8195085900861401j),(0.3456669947773703+0.048461154613895996j),(-0.22739990426237255-0.7710474354722441j)
"(-0.3846153846153846, -3.0)",[-0.38461538 -3.        ],(0.37927880348881066-0.9252824375422329j),(0.3423363233083885+0.01756897611030698j),(0.7216151267971991-0.907713461431926j)
"(-0.23076923076923084, -3.0)",[-0.23076923 -3.        ],(0.9833895042207711-0.181507804208045j),(0.3219433988624285+0.017213851268161946j),(1.3053329030831997-0.16429395293988305j)
"(-0.07692307692307665, -3.0)",[-0.07692308 -3.        ],(0.6846006950960638+0.7289183001365697j),(0.28872103611243466+0.04986356129078057j),(0.9733217312084985+0.7787818614273503j)
"(0.0769230769230771, -3.0)",[ 0.07692308 -3.        ],(-0.24275454614606543+0.9700877436218941j),(0.241110981306335+0.1096033370163788j),(-0.001643564839730438+1.079691080638273j)
"(0.23076923076923084, -3.0)",[ 0.23076923 -3.        ],(-0.9472245930780933+0.3205706946494653j),(0.17236627288667206+0.18226901349657548j),(-0.7748583201914212+0.5028397081460407j)
"(0.384615384615385, -3.0)",[ 0.38461538 -3.        ],(-0.7819999593738021-0.6232784799264066j),(0.07587270401294724+0.2457443816724997j),(-0.7061272553608549-0.37753409825390694j)
"(0.5384615384615388, -3.0)",[ 0.53846154 -3.        ],(0.10121828418299657-0.9948642414656635j),(-0.046222172318852235+0.2724686919376558j),(0.05499611186414433-0.7223955495280077j)
"(0.6923076923076925, -3.0)",[ 0.69230769 -3.        ],(0.8915029151833175-0.4530149580528735j),(-0.1748462552011508+0.23712734681034853j),(0.7166566599821667-0.21588761124252498j)
"(0.8461538461538463, -3.0)",[ 0.84615385 -3.        ],(0.8632537488429478+0.5047702102032139j),(-0.2724431712377482+0.1302327168732511j),(0.5908105776051996+0.635002927076465j)
"(1.0, -3.0)",[ 1. -3.],(0.04240776977795813+0.999100385878446j),(-0.29410271422917017-0.027369671089766838j),(-0.25169494445121204+0.9717307147886791j)
"(1.1538461538461542, -3.0)",[ 1.15384615 -3.        ],(-0.8173749219347579+0.5761060987284793j),(-0.21198062987571797-0.1801037609939738j),(-1.0293555518104758+0.3960023377345055j)
"(1.3076923076923084, -3.0)",[ 1.30769231 -3.        ],(-0.9266844662156044-0.37584025871997856j),(-0.04268299006711032-0.254734892186821j),(-0.9693674562827147-0.6305751509067996j)
"(1.4615384615384617, -3.0)",[ 1.46153846 -3.        ],(-0.18515825645731304-0.9827087157778178j),(0.1426805810194836-0.199550995468413j),(-0.04247767543782943-1.1822597112462307j)
"(1.6153846153846159, -3.0)",[ 1.61538462 -3.        ],(0.7263710886646181-0.6873027291901128j),(0.24399479375888142-0.02694624991205239j),(0.9703658824234995-0.7142489791021652j)
"(1.7692307692307692, -3.0)",[ 1.76923077 -3.        ],(0.9709824962710165+0.23915056331797652j),(0.1906185498398708+0.17352869450519245j),(1.1616010461108872+0.41267925782316894j)
"(1.9230769230769234, -3.0)",[ 1.92307692 -3.        ],(0.3240858938776612+0.946027659949495j),(-0.0003255349551187364+0.27582256165998764j),(0.32376035892254246+1.2218502216094826j)
"(2.0769230769230775, -3.0)",[ 2.07692308 -3.        ],(-0.6203703158510077+0.7843090406280684j),(-0.21432071870188543+0.19955316871268447j),(-0.8346910345528931+0.9838622093407529j)
"(2.230769230769231, -3.0)",[ 2.23076923 -3.        ],(-0.9952332446799114-0.0975232725245396j),(-0.3036130813288866-0.020457388073464595j),(-1.298846326008798-0.11798066059800419j)
"(2.384615384615385, -3.0)",[ 2.38461538 -3.        ],(-0.45632232809179374-0.8898145497152119j),(-0.19350825406081962-0.2397807963148179j),(-0.6498305821526134-1.1295953460300299j)
"(2.5384615384615383, -3.0)",[ 2.53846154 -3.        ],(0.5015611366090934-0.865122203069251j),(0.048666062401579446-0.300090249763828j),(0.5502271990106729-1.165212452833079j)
"(2.6923076923076925, -3.0)",[ 2.69230769 -3.        ],(0.9989360210741761-0.04611752162132389j),(0.24971410092992513-0.1528842197104025j),(1.2486501220041013-0.19900174133172638j)
"(2.8461538461538467, -3.0)",[ 2.84615385 -3.        ],(0.5791373543320645+0.8152299827761837j),(0.2604834000542836+0.09112135027991644j),(0.8396207543863481+0.9063513330561002j)
"(3.0, -3.0)",[ 3. -3.],(-0.3723965313866303+0.9280737165824741j),(0.08014597989139197+0.24238407904205483j),(-0.2922505514952384+1.1704577956245288j)
"(-3.0, -2.8461538461538463)",[-3.         -2.84615385],(0.3084073358240364+0.9512543903761601j),(0.13464780616266486+0.029417181216058j),(0.44305514198670126+0.9806715715922181j)
"(-2.8461538461538463, -2.8461538461538463)",[-2.84615385 -2.84615385],(-0.6332472876405948+0.7739495285196767j),(0.120321513786945-0.08866964186551428j),(-0.5129257738536498+0.6852798866541624j)
"(-2.6923076923076925, -2.8461538461538463)",[-2.69230769 -2.84615385],(-0.9934856328403785-0.11395743652676912j),(0.01988136591905721-0.16047181408101072j),(-0.9736042669213213-0.27442925060777984j)
"(-2.5384615384615383, -2.8461538461538463)",[-2.53846154 -2.84615385],(-0.4415547032094214-0.897234330637008j),(-0.10457299971853028-0.13839947029974262j),(-0.5461277029279517-1.0356338009367505j)
"(-2.3846153846153846, -2.8461538461538463)",[-2.38461538 -2.84615385],(0.5157898731927637-0.8567151257633968j),(-0.17987754826920058-0.03645076916644988j),(0.33591232492356315-0.8931658949298467j)
"(-2.230769230769231, -2.8461538461538463)",[-2.23076923 -2.84615385],(0.9995617485482756-0.0296025478483502j),(-0.1698771533078732+0.08670117276558431j),(0.8296845952404024+0.05709862491723411j)
"(-2.0769230769230766, -2.8461538461538463)",[-2.07692308 -2.84615385],(0.5655855607384725+0.82468962251513j),(-0.09077188465174639+0.17172653866818824j),(0.47481367608672614+0.9964161611833182j)
"(-1.923076923076923, -2.8461538461538463)",[-1.92307692 -2.84615385],(-0.38768326074390597+0.9217926498616555j),(0.011162704387625748+0.19388321872063566j),(-0.37652055635628023+1.1156758685822912j)
"(-1.7692307692307692, -2.8461538461538463)",[-1.76923077 -2.84615385],(-0.985000524269936+0.1725513465260451j),(0.09580905062646504+0.16673784152821514j),(-0.889191473643471+0.3392891880542602j)
"(-1.6153846153846154, -2.8461538461538463)",[-1.61538462 -2.84615385],(-0.6779391191659766-0.7351180522232192j),(0.15057788392959254+0.11960663992892706j),(-0.5273612352363841-0.6155114122942922j)
"(-1.4615384615384615, -2.8461538461538463)",[-1.46153846 -2.84615385],(0.25157238915791963-0.9678384849825803j),(0.18595895489630765+0.07199783961157591j),(0.4375313440542273-0.8958406453710044j)
"(-1.3076923076923075, -2.8461538461538463)",[-1.30769231 -2.84615385],(0.9501025966958736-0.3119375831023863j),(0.21626957076121991+0.02443397829479895j),(1.1663721674570935-0.28750360480758735j)
"(-1.1538461538461537, -2.8461538461538463)",[-1.15384615 -2.84615385],(0.7762956832982122+0.6303689491817961j),(0.24459764116266186-0.032599962427918294j),(1.020893324460874+0.5977689867538778j)
"(-1.0, -2.8461538461538463)",[-1.         -2.84615385],(-0.11026745634085303+0.9939019509348586j),(0.2622891458586364-0.10398073925214851j),(0.15202168951778336+0.88992121168271j)
"(-0.8461538461538458, -2.8461538461538463)",[-0.84615385 -2.84615385],(-0.8955884819895041+0.4448834352139172j),(0.25928417984819097-0.18259897828532065j),(-0.6363043021413132+0.2622844569285966j)
"(-0.6923076923076921, -2.8461538461538463)",[-0.69230769 -2.84615385],(-0.8586245453206537-0.5126050040459034j),(0.2344884062208921-0.25296564747033856j),(-0.6241361390997616-0.7655706515162419j)
"(-0.5384615384615383, -2.8461538461538463)",[-0.53846154 -2.84615385],(-0.033314101196222405-0.999444931280102j),(0.19840806828454133-0.30013126660487743j),(0.16509396708831892-1.2995761978849796j)
"(-0.3846153846153846, -2.8461538461538463)",[-0.38461538 -2.84615385],(0.8225836997306594-0.5686440511756194j),(0.1678626460087621-0.3160716867564484j),(0.9904463457394215-0.8847157379320678j)
