index,xy,inc,scat,tot
"(-3.0, -3.0)",[-3. -3.],(0.7773494792181547+0.6290689844200426j),(0.06398614989988007+0.1919843611979009j),(0.8413356291180347+0.8210533456179434j)
"(-2.8461538461538463, -3.0)",[-2.84615385 -3.        ],(-0.10860406938749748+0.994085084946191j),(0.18171715246376535+0.09721211658288087j),(0.07311308307626788+1.0912972015290718j)
"(-2.6923076923076925, -3.0)",[-2.69230769 -3.        ],(-0.8948427434723873+0.4463815234245378j),(0.2053544702630043-0.05027712206453573j),(-0.689488273209383+0.3961044013600021j)
"(-2.5384615384615383, -3.0)",[-2.53846154 -3.        ],(-0.8594811553903232-0.5111674319916275j),(0.1283413508612237-0.17684274468634256j),(-0.7311398045290995-0.68801017667797j)
"(-2.3846153846153846, -3.0)",[-2.38461538 -3.        ],(-0.03498656293693535-0.9993877828019812j),(-0.010121660599025977-0.22710737951378077j),(-0.04510822353596133-1.2264951623157618j)
"(-2.230769230769231, -3.0)",[-2.23076923 -3.        ],(0.8216309578085959-0.5700197971742117j),(-0.1501701950436662-0.18424357863723612j),(0.6714607627649296-0.7542633758114479j)
"(-2.0769230769230766, -3.0)",[-2.07692308 -3.        ],(0.9238676498953127+0.38271211827810203j),(-0.2392011037569272-0.06968320577180753j),(0.6846665461383854+0.3130289125062945j)
"(-1.923076923076923, -3.0)",[-1.92307692 -3.        ],(0.17785484909783048+0.9840567324358834j),(-0.2508223515118537+0.07234418499305476j),(-0.07296750241402325+1.0564009174289382j)
"(-1.7692307692307692, -3.0)",[-1.76923077 -3.        ],(-0.731455460353972+0.681889220855088j),(-0.18953492941067837+0.1959410335377385j),(-0.9209903897646504+0.8778302543928265j)
"(-1.6153846153846154, -3.0)",[-1.61538462 -3.        ],(-0.9691796141665602-0.24635518156506767j),(-0.0823117328383947+0.2708160714325629j),(-1.051491347004955+0.024460889867495256j)
"(-1.4615384615384615, -3.0)",[-1.46153846 -3.        ],(-0.3170510749839535-0.9484084646667381j),(0.0367573299445524+0.28946014140435977j),(-0.28029374503940113-0.6589483232623783j)
"(-1.3076923076923075, -3.0)",[-1.30769231 -3.        ],(0.6261780494437382-0.7796800949074147j),(0.1406812607616943+0.26346348203246j),(0.7668593102054325-0.5162166128749548j)
"(-1.1538461538461537, -3.0)",[-1.15384615 -3.        ],(0.9944815197952718+0.10491190011474566j),(0.21670674705713056+0.21338816281238765j),(1.2111882668524023+0.3183000629271333j)
"(-1.0, -3.0)",[-1. -3.],(0.44970134126633127+0.8931789874729827j),(0.2652556387783138+0.15866942473999726j),(0.7149569800446451+1.05184841221298j)
"(-0.8461538461538458, -3.0)",[-0.84615385 -3.        ],(-0.5079723233823321+0.8613733909737143j),(0.2938822332727261+0.11215732943152612j),(-0.214090090109606+0.9735307204052405j)
"(-0.6923076923076921, -3.0)",[-0.69230769 -3.        ],(-0.9992509738132139+0.03869743316220923j),(0.3108387124361381+0.08000985760614185j),(-0.6884122613770758+0.11870729076835107j)
"(-0.5384615384615383, -3.0)",[-0.53846154 -3.        ],(-0.5730668990397428-0.8195085900861401j),(0.3211914763103592+0.06457537640156945j),(-0.2518754227293836-0.7549332136845707j)
"(-0.3846153846153846, -3.0)",[-0.38461538 -3.        ],(0.37927880348881066-0.9252824375422329j),(0.3257637677391154+0.06720975776608022j),(0.705042571227926-0.8580726797761528j)
"(-0.23076923076923084, -3.0)",[-0.23076923 -3.        ],(0.9833895042207711-0.181507804208045j),(0.32156524067279935+0.08916384952406443j),(1.3049547448935703-0.09234395468398056j)
"(-0.07692307692307665, -3.0)",[-0.07692308 -3.        ],(0.6846006950960638+0.7289183001365697j),(0.3024989980424271+0.13027338136662012j),(0.9870996931384909+0.8591916815031898j)
"(0.0769230769230771, -3.0)",[ 0.07692308 -3.        ],(-0.24275454614606543+0.9700877436218941j),(0.2603247844452257+0.18620888771153346j),(0.017570238299160296+1.1562966313334275j)
"(0.23076923076923084, -3.0)",[ 0.23076923 -3.        ],(-0.9472245930780933+0.3205706946494653j),(0.18693171780132978+0.24556102530127033j),(-0.7602928752767635+0.5661317199507356j)
"(0.384615384615385, -3.0)",[ 0.38461538 -3.        ],(-0.7819999593738021-0.6232784799264066j),(0.0790086223986904+0.28857098376646456j),(-0.7029913369751116-0.33470749615994205j)
"(0.5384615384615388, -3.0)",[ 0.53846154 -3.        ],(0.10121828418299657-0.9948642414656635j),(-0.055248608791995044+0.2898878054337455j),(0.045969675391001524-0.7049764360319181j)
"(0.6923076923076925, -3.0)",[ 0.69230769 -3.        ],(0.8915029151833175-0.4530149580528735j),(-0.19045376585715207+0.22737561500476564j),(0.7010491493261655-0.22563934304810787j)
