index,x,value
"(-3.0, -3.0)","(-3.0, -3.0)",(-0.0392244420008529-0.06342718499836475j)
"(-2.8461538461538463, -3.0)","(-2.8461538461538463, -3.0)",(-0.07407769930215685-0.0015877054625369758j)
"(-2.6923076923076925, -3.0)","(-2.6923076923076925, -3.0)",(-0.03871393523863964+0.0633298633739858j)
"(-2.5384615384615383, -3.0)","(-2.5384615384615383, -3.0)",(0.040785150375051996+0.06823088370166616j)
"(-2.3846153846153846, -3.0)","(-2.3846153846153846, -3.0)",(0.09525903709824989-0.00322203434085077j)
"(-2.230769230769231, -3.0)","(-2.230769230769231, -3.0)",(0.06727527862496556-0.10450765215525014j)
"(-2.0769230769230766, -3.0)","(-2.0769230769230766, -3.0)",(-0.044373357050774095-0.15937420446185427j)
"(-1.923076923076923, -3.0)","(-1.923076923076923, -3.0)",(-0.18316727379231443-0.11490468065662353j)
"(-1.7692307692307692, -3.0)","(-1.7692307692307692, -3.0)",(-0.2724042494726756+0.025579759701818836j)
"(-1.6153846153846154, -3.0)","(-1.6153846153846154, -3.0)",(-0.2607911185494824+0.20880078217291032j)
"(-1.4615384615384615, -3.0)","(-1.4615384615384615, -3.0)",(-0.14588534491569502+0.3657585227771647j)
"(-1.3076923076923075, -3.0)","(-1.3076923076923075, -3.0)",(0.03351279167071947+0.4474110082674048j)
"(-1.1538461538461537, -3.0)","(-1.1538461538461537, -3.0)",(0.2235758224458725+0.4415693256697451j)
"(-1.0, -3.0)","(-1.0, -3.0)",(0.38082905426157865+0.36786651880279436j)
"(-0.8461538461538458, -3.0)","(-0.8461538461538458, -3.0)",(0.4843467737197632+0.260834163792507j)
"(-0.6923076923076921, -3.0)","(-0.6923076923076921, -3.0)",(0.5340011460108135+0.15354162944505068j)
"(-0.5384615384615383, -3.0)","(-0.5384615384615383, -3.0)",(0.5412722656438882+0.06871419376592001j)
"(-0.3846153846153846, -3.0)","(-0.3846153846153846, -3.0)",(0.5197084470258235+0.017394253723671455j)
