index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)"
"(0,)",(0.0024827345326181465+0.016040148342225943j),(-0.004389855851106342+0.003337261153988572j),(0.0016582174581518607-0.003108851906643008j),(0.0012107389170907265+0.0027805020896899584j),(-0.002920229802330608-0.00011325002686480169j),(0.0007483530515091443-0.002846634197435931j),(0.0029678328850154816+0.0006259168044755927j),(0.00044678828264041004+0.0031183952241629837j),(-0.0022230451638675175+0.002386559563444614j),(-0.003212776965553651+0.0009142675018294611j),(-0.003353644229256849+0.0003183760365058297j),(-0.0032127769655536545+0.0009142675018294603j),(-0.0022230451638675093+0.002386559563444609j),(0.0004467882826404129+0.0031183952241629785j),(0.0029678328850154885+0.0006259168044755905j),(0.0007483530515091391-0.002846634197435931j),(-0.002920229802330615-0.00011325002686479334j),(0.0012107389170907363+0.002780502089689955j),(0.0016582174581518455-0.0031088519066430047j),(-0.00364494225710246+0.003871257804019182j)
"(1,)",(-0.004389855851106342+0.003337261153988572j),(0.00013750984288640145+0.013072148884662134j),(-0.0035117876044731986+0.0032704999724771856j),(0.0010872455111683485-0.0021190418667154536j),(0.0008566468422731299+0.0017997635078846102j),(-0.0019316617383157396-5.002651846895136e-06j),(0.0004237719558383865-0.0019092268071718608j),(0.001994499375137677+0.00033742039206620774j),(0.00038368014469211356+0.002070070496966353j),(-0.0014201885632579103+0.0016559405806735592j),(-0.0021225126745593+0.0006989365780768103j),(-0.0022329820044171373+0.00030427179963626557j),(-0.0021225126745592947+0.0006989365780768084j),(-0.0014201885632579075+0.0016559405806735536j),(0.00038368014469211193+0.002070070496966354j),(0.0019944993751376755+0.00033742039206620877j),(0.0004237719558383866-0.0019092268071718636j),(-0.0019316617383157379-5.002651846894023e-06j),(0.0008566468422731308+0.001799763507884605j),(0.0010872455111683515-0.002119041866715453j)
"(2,)",(0.0016582174581518607-0.003108851906643008j),(-0.0035117876044731986+0.0032704999724771856j),(0.00013750984288640373+0.013072148884662143j),(-0.0035117876044732012+0.003270499972477187j),(0.0010872455111683474-0.002119041866715454j),(0.0008566468422731301+0.0017997635078846129j),(-0.0019316617383157368-5.00265184689347e-06j),(0.00042377195583838753-0.0019092268071718612j),(0.00199449937513768+0.0003374203920662068j),(0.00038368014469211393+0.0020700704969663537j),(-0.0014201885632579134+0.0016559405806735557j),(-0.002122512674559304+0.000698936578076811j),(-0.00223298200441713+0.00030427179963626454j),(-0.002122512674559296+0.0006989365780768084j),(-0.001420188563257914+0.0016559405806735583j),(0.0003836801446921095+0.0020700704969663516j),(0.0019944993751376786+0.0003374203920662081j),(0.0004237719558383865-0.0019092268071718619j),(-0.001931661738315733-5.002651846891669e-06j),(0.0008566468422731271+0.0017997635078846124j)
"(3,)",(0.0012107389170907265+0.0027805020896899584j),(0.0010872455111683485-0.0021190418667154536j),(-0.0035117876044732012+0.003270499972477187j),(0.0001375098428864073+0.013072148884662136j),(-0.0035117876044731995+0.0032704999724771848j),(0.001087245511168347-0.002119041866715453j),(0.0008566468422731296+0.0017997635078846083j),(-0.0019316617383157361-5.002651846894717e-06j),(0.0004237719558383853-0.0019092268071718614j),(0.0019944993751376777+0.00033742039206620785j),(0.000383680144692111+0.00207007049696635j),(-0.0014201885632579123+0.0016559405806735596j),(-0.0021225126745592943+0.0006989365780768086j),(-0.0022329820044171274+0.0003042717996362641j),(-0.002122512674559301+0.0006989365780768097j),(-0.0014201885632579103+0.0016559405806735549j),(0.00038368014469211247+0.0020700704969663533j),(0.001994499375137677+0.0003374203920662084j),(0.00042377195583838455-0.001909226807171856j),(-0.0019316617383157413-5.002651846895133e-06j)
"(4,)",(-0.002920229802330608-0.00011325002686480169j),(0.0008566468422731299+0.0017997635078846102j),(0.0010872455111683474-0.002119041866715454j),(-0.0035117876044731995+0.0032704999724771848j),(0.00013750984288640858+0.013072148884662134j),(-0.003511787604473201+0.0032704999724771856j),(0.0010872455111683456-0.002119041866715452j),(0.0008566468422731303+0.0017997635078846094j),(-0.001931661738315738-5.002651846893187e-06j),(0.0004237719558383843-0.0019092268071718634j),(0.0019944993751376764+0.00033742039206620817j),(0.0003836801446921106+0.0020700704969663555j),(-0.0014201885632579075+0.0016559405806735534j),(-0.0021225126745592943+0.0006989365780768092j),(-0.002232982004417134+0.00030427179963626703j),(-0.0021225126745592973+0.0006989365780768107j),(-0.00142018856325791+0.00165594058067356j),(0.0003836801446921145+0.0020700704969663494j),(0.0019944993751376708+0.0003374203920662068j),(0.00042377195583838883-0.0019092268071718612j)
"(5,)",(0.0007483530515091443-0.002846634197435931j),(-0.0019316617383157396-5.002651846895136e-06j),(0.0008566468422731301+0.0017997635078846129j),(0.001087245511168347-0.002119041866715453j),(-0.003511787604473201+0.0032704999724771856j),(0.00013750984288640435+0.013072148884662146j),(-0.0035117876044732034+0.003270499972477187j),(0.001087245511168346-0.0021190418667154536j),(0.0008566468422731342+0.0017997635078846126j),(-0.0019316617383157407-5.0026518468907e-06j),(0.0004237719558383864-0.00190922680717186j),(0.0019944993751376803+0.00033742039206620926j),(0.0003836801446921109+0.002070070496966348j),(-0.001420188563257907+0.0016559405806735542j),(-0.0021225126745593012+0.0006989365780768104j),(-0.002232982004417133+0.00030427179963626687j),(-0.0021225126745593017+0.0006989365780768123j),(-0.0014201885632579086+0.001655940580673559j),(0.0003836801446921132+0.002070070496966345j),(0.001994499375137677+0.00033742039206621j)
"(6,)",(0.0029678328850154816+0.0006259168044755927j),(0.0004237719558383865-0.0019092268071718608j),(-0.0019316617383157368-5.00265184689347e-06j),(0.0008566468422731296+0.0017997635078846083j),(0.0010872455111683456-0.002119041866715452j),(-0.0035117876044732034+0.003270499972477187j),(0.00013750984288640923+0.013072148884662148j),(-0.003511787604473202+0.003270499972477184j),(0.0010872455111683467-0.002119041866715455j),(0.0008566468422731341+0.0017997635078846113j),(-0.0019316617383157366-5.002651846896389e-06j),(0.00042377195583838867-0.0019092268071718647j),(0.0019944993751376716+0.0003374203920662095j),(0.0003836801446921118+0.0020700704969663464j),(-0.0014201885632579112+0.0016559405806735583j),(-0.002122512674559298+0.0006989365780768105j),(-0.0022329820044171347+0.0003042717996362672j),(-0.0021225126745592978+0.0006989365780768101j),(-0.0014201885632579062+0.0016559405806735516j),(0.00038368014469210916+0.002070070496966351j)
"(7,)",(0.00044678828264041004+0.0031183952241629837j),(0.001994499375137677+0.00033742039206620774j),(0.00042377195583838753-0.0019092268071718612j),(-0.0019316617383157361-5.002651846894717e-06j),(0.0008566468422731303+0.0017997635078846094j),(0.001087245511168346-0.0021190418667154536j),(-0.003511787604473202+0.003270499972477184j),(0.00013750984288641056+0.01307214888466213j),(-0.0035117876044732004+0.0032704999724771874j),(0.0010872455111683476-0.00211904186671546j),(0.0008566468422731276+0.001799763507884612j),(-0.0019316617383157433-5.002651846895681e-06j),(0.00042377195583838645-0.0019092268071718567j),(0.001994499375137672+0.0003374203920662087j),(0.000383680144692112+0.0020700704969663524j),(-0.0014201885632579086+0.0016559405806735577j),(-0.002122512674559302+0.0006989365780768092j),(-0.0022329820044171317+0.0003042717996362658j),(-0.0021225126745592925+0.0006989365780768092j),(-0.0014201885632579125+0.0016559405806735553j)
"(8,)",(-0.0022230451638675175+0.002386559563444614j),(0.00038368014469211356+0.002070070496966353j),(0.00199449937513768+0.0003374203920662068j),(0.0004237719558383853-0.0019092268071718614j),(-0.001931661738315738-5.002651846893187e-06j),(0.0008566468422731342+0.0017997635078846126j),(0.0010872455111683467-0.002119041866715455j),(-0.0035117876044732004+0.0032704999724771874j),(0.000137509842886409+0.013072148884662139j),(-0.0035117876044732047+0.003270499972477186j),(0.0010872455111683524-0.002119041866715453j),(0.0008566468422731299+0.0017997635078846202j),(-0.0019316617383157366-5.002651846897356e-06j),(0.0004237719558383889-0.0019092268071718595j),(0.0019944993751376803+0.0003374203920662092j),(0.00038368014469211274+0.0020700704969663533j),(-0.0014201885632579142+0.00165594058067356j),(-0.0021225126745593+0.0006989365780768113j),(-0.0022329820044171287+0.00030427179963626736j),(-0.002122512674559301+0.0006989365780768099j)
"(9,)",(-0.003212776965553651+0.0009142675018294611j),(-0.0014201885632579103+0.0016559405806735592j),(0.00038368014469211393+0.0020700704969663537j),(0.0019944993751376777+0.00033742039206620785j),(0.0004237719558383843-0.0019092268071718634j),(-0.0019316617383157407-5.0026518468907e-06j),(0.0008566468422731341+0.0017997635078846113j),(0.0010872455111683476-0.00211904186671546j),(-0.0035117876044732047+0.003270499972477186j),(0.00013750984288640717+0.01307214888466215j),(-0.0035117876044732012+0.003270499972477186j),(0.00108724551116836-0.002119041866715458j),(0.0008566468422731268+0.0017997635078846102j),(-0.0019316617383157357-5.002651846896947e-06j),(0.0004237719558383876-0.0019092268071718673j),(0.00199449937513768+0.00033742039206620687j),(0.0003836801446921123+0.002070070496966356j),(-0.0014201885632579108+0.0016559405806735581j),(-0.0021225126745592956+0.0006989365780768093j),(-0.0022329820044171347+0.0003042717996362653j)
