index,xy,r,theta,value
"(-2.07692308, -2.84615385)",[-2.07692308 -2.84615385],3.523379232797189,-2.2011977483303675,(-0.30251175482574516+0.2665563970411299j)
"(-1.92307692, -2.84615385)",[-1.92307692 -2.84615385],3.4349405494282585,-2.1650100292262233,(-0.10325737136015177+0.3948632684599546j)
"(-1.76923077, -2.84615385)",[-1.76923077 -2.84615385],3.351233989948272,-2.126962556504391,(0.11854391342253423+0.3954406313984328j)
"(-1.61538462, -2.84615385)",[-1.61538462 -2.84615385],3.2726226804204557,-2.0870269980530534,(0.2959972964385828+0.29397499007287603j)
"(-1.46153846, -2.84615385)",[-1.46153846 -2.84615385],3.1994822093471615,-2.0451962086099256,(0.39732347509631244+0.13951406183896267j)
"(-1.30769231, -2.84615385)",[-1.30769231 -2.84615385],3.1321958616125776,-2.00148883833822,(0.4240106472186055-0.020993110967243794j)
"(-1.15384615, -2.84615385)",[-1.15384615 -2.84615385],3.071148429454305,-1.955953831527254,(0.3975448385836387-0.15682971901229523j)
"(-1.0, -2.84615385)",[-1.         -2.84615385],3.0167187038021663,-1.9086745146125483,(0.3451193881335649-0.25568741053063354j)
"(-0.84615385, -2.84615385)",[-0.84615385 -2.84615385],2.9692706302625305,-1.8597717376599463,(0.29020441432149224-0.31854672184614613j)
"(-0.69230769, -2.84615385)",[-0.69230769 -2.84615385],2.9291435054471058,-1.8094056482272356,(0.2489113673082991-0.35248071350834737j)
"(-0.53846154, -2.84615385)",[-0.53846154 -2.84615385],2.8966416015670617,-1.757775596988843,(0.23022509243522643-0.3646417195569648j)
"(-0.38461538, -2.84615385)",[-0.38461538 -2.84615385],2.872023803592576,-1.7051177669759856,(0.23753538022135387-0.3585306867941401j)
"(-0.23076923, -2.84615385)",[-0.23076923 -2.84615385],2.855494033505343,-1.6517004255727687,(0.26953571731386955-0.33247561282002003j)
"(-0.07692308, -2.84615385)",[-0.07692308 -2.84615385],2.8471931613619943,-1.597816777025957,(0.3196195121532573-0.2801509184773521j)
"(0.07692308, -2.84615385)",[ 0.07692308 -2.84615385],2.8471931613619943,-1.5437758765638363,(0.3740893245967408-0.1934224815187981j)
"(0.23076923, -2.84615385)",[ 0.23076923 -2.84615385],2.855494033505343,-1.4898922280170246,(0.41082590087049553-0.06799973927261338j)
"(0.38461538, -2.84615385)",[ 0.38461538 -2.84615385],2.872023803592576,-1.4364748866138075,(0.4013203472979016+0.08853881746671322j)
"(0.53846154, -2.84615385)",[ 0.53846154 -2.84615385],2.8966416015670617,-1.3838170566009502,(0.3191642392412018+0.24924968713052462j)
"(0.69230769, -2.84615385)",[ 0.69230769 -2.84615385],2.9291435054471058,-1.3321870053625577,(0.15560002854627664+0.36691518957576685j)
