index,xy,r,theta,value
"(2.38461538, -1.76923077)",[ 2.38461538 -1.76923077],2.96927062223155,-0.638319809143274,(0.31915153772748617-0.15888240068945725j)
"(2.53846154, -1.76923077)",[ 2.53846154 -1.76923077],3.0941823649510325,-0.6086893072470656,(0.27794151817156815+0.20776051564876016j)
"(2.69230769, -1.76923077)",[ 2.69230769 -1.76923077],3.221598704858805,-0.5813801843978302,(-0.0611153075120102+0.3328377074912996j)
"(2.84615385, -1.76923077)",[ 2.84615385 -1.76923077],3.351233989948272,-0.5561662297094941,(-0.3184722393196281+0.08929282579801123j)
"(3.0, -1.76923077)",[ 3.         -1.76923077],3.482840438135918,-0.5328438878096327,(-0.21468959048617903-0.24269139441080095j)
"(-3.0, -1.61538462)",[-3.         -1.61538462],3.4072668622420146,-2.6476512834775514,(0.1633856888646222+0.383636416415832j)
"(-2.84615385, -1.61538462)",[-2.84615385 -1.61538462],3.2726226804204557,-2.6253619823316368,(0.42182134807352306+0.0664646410151191j)
"(-2.69230769, -1.61538462)",[-2.69230769 -1.61538462],3.139743328389389,-2.6011731516805536,(0.29209633438373134-0.32590456622376757j)
"(-2.53846154, -1.61538462)",[-2.53846154 -1.61538462],3.0088626523308966,-2.5748634350466792,(-0.10998312285379848-0.4351865766965679j)
"(-2.38461538, -1.61538462)",[-2.38461538 -1.61538462],2.880253110590298,-2.5461827758856685,(-0.43020626514821675-0.16487386116266292j)
"(-2.23076923, -1.61538462)",[-2.23076923 -1.61538462],2.7542328928482678,-2.5148497508576857,(-0.399231804287698+0.25403865153707794j)
"(-2.07692308, -1.61538462)",[-2.07692308 -1.61538462],2.6311740631834355,-2.48054948407244,(-0.04872232825535413+0.48387649157292034j)
"(-1.92307692, -1.61538462)",[-1.92307692 -1.61538462],2.511511957122488,-2.442932826673208,(0.3478222713612388+0.35926089413720896j)
"(-1.76923077, -1.61538462)",[-1.76923077 -1.61538462],2.39575561943353,-2.4016177684077364,(0.5141223634465605-0.014138957953607081j)
"(-1.61538462, -1.61538462)",[-1.61538462 -1.61538462],2.284498838052908,-2.356194490192345,(0.3653621771652814-0.38257908927812306j)
"(-1.46153846, -1.61538462)",[-1.46153846 -1.61538462],2.178431119083575,-2.306236092525265,(0.02108135210780715-0.5435526942997568j)
"(-1.30769231, -1.61538462)",[-1.30769231 -1.61538462],2.0783470952094794,-2.2513175509278645,(-0.32324222912380385-0.45592895460472477j)
"(-1.15384615, -1.61538462)",[-1.15384615 -1.61538462],1.985151986222306,-2.1910458098497902,(-0.5326674331573366-0.21230810391873978j)
"(-1.0, -1.61538462)",[-1.         -1.61538462],1.8998598554979111,-2.1251038217177594,(-0.5840749453153633+0.05899944861797152j)
"(-0.84615385, -1.61538462)",[-0.84615385 -1.61538462],1.823579942969972,-2.053309622511324,(-0.5340238634674126+0.27163197737458356j)
"(-0.69230769, -1.61538462)",[-0.69230769 -1.61538462],1.7574861046863728,-1.9756881108386009,(-0.4597942886709368+0.3992431273039816j)
"(-0.53846154, -1.61538462)",[-0.53846154 -1.61538462],1.7027648988018622,-1.892546881191539,(-0.41987005869399907+0.45024855946237424j)
"(-0.38461538, -1.61538462)",[-0.38461538 -1.61538462],1.6605410145687725,-1.8045395043161585,(-0.44140138327132117+0.4332321680166464j)
"(-0.23076923, -1.61538462)",[-0.23076923 -1.61538462],1.6317848841214753,-1.7126933805323938,(-0.5168113092034822+0.3368665089845179j)
"(-0.07692308, -1.61538462)",[-0.07692308 -1.61538462],1.6172150848817948,-1.6183794318365858,(-0.5949193441550001+0.13776387041114513j)
"(0.07692308, -1.61538462)",[ 0.07692308 -1.61538462],1.6172150848817948,-1.5232132217532073,(-0.5790420854034831-0.15681331601601395j)
"(0.23076923, -1.61538462)",[ 0.23076923 -1.61538462],1.6317848841214753,-1.4288992730573993,(-0.3715177408230886-0.45210907968923714j)
"(0.38461538, -1.61538462)",[ 0.38461538 -1.61538462],1.6605410145687725,-1.3370531492736346,(0.021754848026223773-0.567062216793023j)
"(0.53846154, -1.61538462)",[ 0.53846154 -1.61538462],1.7027648988018622,-1.2490457723982544,(0.412770400867784-0.36059977823784806j)
"(0.69230769, -1.61538462)",[ 0.69230769 -1.61538462],1.7574861046863728,-1.1659045427511925,(0.5208290880911063+0.08733887906948903j)
"(0.84615385, -1.61538462)",[ 0.84615385 -1.61538462],1.823579942969972,-1.0882830310784695,(0.22838938806914824+0.45384300114887555j)
"(1.0, -1.61538462)",[ 1.         -1.61538462],1.8998598554979111,-1.016488831872034,(-0.2403797476167946+0.42518092615693054j)
"(1.15384615, -1.61538462)",[ 1.15384615 -1.61538462],1.985151986222306,-0.9505468437400031,(-0.46936379206282836+0.019773535552874408j)
"(1.30769231, -1.61538462)",[ 1.30769231 -1.61538462],2.0783470952094794,-0.8902751026619288,(-0.24543202334543265-0.3803920418950987j)
"(1.46153846, -1.61538462)",[ 1.46153846 -1.61538462],2.178431119083575,-0.8353565610645282,(0.20431174626955573-0.3866287490184995j)
"(1.61538462, -1.61538462)",[ 1.61538462 -1.61538462],2.284498838052908,-0.7853981633974483,(0.4231674858908068-0.004753165871748656j)
"(1.76923077, -1.61538462)",[ 1.76923077 -1.61538462],2.39575561943353,-0.7399748851820568,(0.19558028954992948+0.3602219048658689j)
"(1.92307692, -1.61538462)",[ 1.92307692 -1.61538462],2.511511957122488,-0.6986598269165851,(-0.22316602058167379+0.3284398309736375j)
"(2.07692308, -1.61538462)",[ 2.07692308 -1.61538462],2.6311740631834355,-0.6610431695173535,(-0.3815812569868805-0.04949175848591035j)
"(2.23076923, -1.61538462)",[ 2.23076923 -1.61538462],2.7542328928482678,-0.6267429027321078,(-0.12125529271391237-0.35293600693964056j)
"(2.38461538, -1.61538462)",[ 2.38461538 -1.61538462],2.880253110590298,-0.5954098777041249,(0.25673020856197826-0.2559996397923756j)
"(2.53846154, -1.61538462)",[ 2.53846154 -1.61538462],3.0088626523308966,-0.5667292185431142,(0.33291859476784674+0.11751393441978081j)
"(2.69230769, -1.61538462)",[ 2.69230769 -1.61538462],3.139743328389389,-0.5404195019092396,(0.03578714843116946+0.3428276961824937j)
"(2.84615385, -1.61538462)",[ 2.84615385 -1.61538462],3.2726226804204557,-0.5162306712581567,(-0.2885878021300357+0.17474719635511266j)
"(3.0, -1.61538462)",[ 3.         -1.61538462],3.4072668622420146,-0.49394137011224176,(-0.2753824372591269-0.18347706267552483j)
"(-3.0, -1.46153846)",[-3.         -1.46153846],3.337078762939103,-2.688253958149683,(0.33574201897490863+0.2556074529224257j)
"(-2.84615385, -1.46153846)",[-2.84615385 -1.46153846],3.1994822093471615,-2.6671927717747645,(0.40067868037054627-0.1633379374581248j)
"(-2.69230769, -1.46153846)",[-2.69230769 -1.46153846],3.063431959044024,-2.644249937324938,(0.07039333751491857-0.4384905781915515j)
"(-2.53846154, -1.46153846)",[-2.53846154 -1.46153846],2.929143502820977,-2.619189222590506,(-0.3427333790815207-0.30117220632085173j)
"(-2.38461538, -1.46153846)",[-2.38461538 -1.46153846],2.7968706049067977,-2.591739470519865,(-0.4522176151046748+0.1250870781591498j)
"(-2.23076923, -1.46153846)",[-2.23076923 -1.46153846],2.6669132021072537,-2.5615898797065717,(-0.15728232587505836+0.45664520104785683j)
"(-2.07692308, -1.46153846)",[-2.07692308 -1.46153846],2.5396267738185188,-2.5283853059079444,(0.2858155184939798+0.4073407531031379j)
"(-1.92307692, -1.46153846)",[-1.92307692 -1.46153846],2.4154336070974622,-2.4917222039141538,(0.5125803195375846+0.023691428394916607j)
"(-1.76923077, -1.46153846)",[-1.76923077 -1.46153846],2.294835982717276,-2.4511461972654383,(0.3575449448717532-0.39055580089285763j)
"(-1.61538462, -1.46153846)",[-1.61538462 -1.46153846],2.178431119083575,-2.4061528878594247,(-0.04884432439059007-0.5444783390243454j)
"(-1.46153846, -1.46153846)",[-1.46153846 -1.46153846],2.0669275120618877,-2.356194490192345,(-0.4298531073111794-0.3658634757169842j)
"(-1.30769231, -1.46153846)",[-1.30769231 -1.46153846],1.9611613517740727,-2.300695986346628,(-0.5826722480601215+0.0026467445551605364j)
"(-1.15384615, -1.46153846)",[-1.15384615 -1.46153846],1.862110525164657,-2.2390857445162657,(-0.4843322179008326+0.355658302847348j)
"(-1.0, -1.46153846)",[-1.         -1.46153846],1.7709022192258872,-2.1708465406872164,(-0.24446517821349933+0.5681856431130049j)
"(-0.84615385, -1.46153846)",[-0.84615385 -1.46153846],1.6888075698341107,-2.09559210087239,(0.005010558478904021+0.634845348096932j)
"(-0.69230769, -1.46153846)",[-0.69230769 -1.46153846],1.6172150777470224,-2.0131705488892884,(0.18243985271846325+0.6226893935426788j)
"(-0.53846154, -1.46153846)",[-0.53846154 -1.46153846],1.5575735938049102,-1.9237867158900999,(0.2603385924497064+0.6058231003509523j)
"(-0.38461538, -1.46153846)",[-0.38461538 -1.46153846],1.511298666905955,-1.8281200390716847,(0.23153371929957225+0.623648847793386j)
"(-0.23076923, -1.46153846)",[-0.23076923 -1.46153846],1.4796449261812663,-1.7273982034255606,(0.08407669473913906+0.6600395891583462j)
"(-0.07692308, -1.46153846)",[-0.07692308 -1.46153846],1.4635613517361883,-1.6233793905605345,(-0.18027857878015982+0.6340475644200255j)
"(0.07692308, -1.46153846)",[ 0.07692308 -1.46153846],1.4635613517361883,-1.5182132630292589,(-0.4820402470579306+0.4310896209796463j)
"(0.23076923, -1.46153846)",[ 0.23076923 -1.46153846],1.4796449261812663,-1.4141944501642327,(-0.6283972875270939+0.017588956416165005j)
"(0.38461538, -1.46153846)",[ 0.38461538 -1.46153846],1.511298666905955,-1.3134726145181086,(-0.4291580492383368-0.42864736378880786j)
"(0.53846154, -1.46153846)",[ 0.53846154 -1.46153846],1.5575735938049102,-1.2178059376996935,(0.0651292156669271-0.5787171060360986j)
"(0.69230769, -1.46153846)",[ 0.69230769 -1.46153846],1.6172150777470224,-1.1284221047005047,(0.48997503654203245-0.2662595713706576j)
"(0.84615385, -1.46153846)",[ 0.84615385 -1.46153846],1.6888075698341107,-1.0460005527174034,(0.4656793678357183+0.25985207047200776j)
"(1.0, -1.46153846)",[ 1.         -1.46153846],1.7709022192258872,-0.9707461129025771,(0.010808727558867382+0.5098593725975311j)
"(1.15384615, -1.46153846)",[ 1.15384615 -1.46153846],1.862110525164657,-0.9025069090735277,(-0.42244836809770925+0.24537304351585604j)
"(1.30769231, -1.46153846)",[ 1.30769231 -1.46153846],1.9611613517740727,-0.8408966672431651,(-0.39826424763703144-0.24833171458849768j)
"(1.46153846, -1.46153846)",[ 1.46153846 -1.46153846],2.0669275120618877,-0.7853981633974483,(0.03745297206365463-0.45050914913240403j)
"(1.61538462, -1.46153846)",[ 1.61538462 -1.46153846],2.178431119083575,-0.7354397657303684,(0.4045325042317173-0.16277411562264582j)
"(1.76923077, -1.46153846)",[ 1.76923077 -1.46153846],2.294835982717276,-0.690446456324355,(0.3135152931840616+0.28078577216994227j)
"(1.92307692, -1.46153846)",[ 1.92307692 -1.46153846],2.4154336070974622,-0.6498704496756393,(-0.112162090663184+0.3907027258181495j)
"(2.07692308, -1.46153846)",[ 2.07692308 -1.46153846],2.5396267738185188,-0.6132073476818488,(-0.3877966350235699+0.06450435231261446j)
"(2.23076923, -1.46153846)",[ 2.23076923 -1.46153846],2.6669132021072537,-0.5800027738832217,(-0.2163481014358215-0.31368658050649806j)
"(2.38461538, -1.46153846)",[ 2.38461538 -1.46153846],2.7968706049067977,-0.5498531830699284,(0.1879512366048111-0.3191875078734384j)
"(2.53846154, -1.46153846)",[ 2.53846154 -1.46153846],2.929143502820977,-0.5224034309992874,(0.35932864801816605+0.03606779003378558j)
"(2.69230769, -1.46153846)",[ 2.69230769 -1.46153846],3.063431959044024,-0.49734271626485527,(0.11458846058631073+0.3339063176490845j)
"(2.84615385, -1.46153846)",[ 2.84615385 -1.46153846],3.1994822093471615,-0.4743998818150288,(-0.2505213797611847+0.23836865251989375j)
"(3.0, -1.46153846)",[ 3.         -1.46153846],3.337078762939103,-0.45333869544011013,(-0.31495385858350017-0.12596419643981716j)
"(-3.0, -1.30769231)",[-3.         -1.30769231],3.2726226757194508,-2.73052810555352,(0.4193337580445856+0.07826100320491704j)
"(-2.84615385, -1.30769231)",[-2.84615385 -1.30769231],3.1321958616125776,-2.71090014204647,(0.279781868315097-0.3369473396599699j)
"(-2.69230769, -1.30769231)",[-2.69230769 -1.30769231],2.9930886848314855,-2.6894387902736345,(-0.1579444776384246-0.4215447914106989j)
"(-2.53846154, -1.30769231)",[-2.53846154 -1.30769231],2.855494032158412,-2.665897434263103,(-0.4562834518060321-0.08004441100485912j)
"(-2.38461538, -1.30769231)",[-2.38461538 -1.30769231],2.7196414631648933,-2.6399885978406727,(-0.31509838184899325+0.35852175245111767j)
"(-2.23076923, -1.30769231)",[-2.23076923 -1.30769231],2.5858055872682946,-2.611376879892809,(0.138071739248485+0.47266943560648955j)
"(-2.07692308, -1.30769231)",[-2.07692308 -1.30769231],2.4543163320708725,-2.5796710912052765,(0.4854498375489641+0.1519361486337947j)
"(-1.92307692, -1.30769231)",[-1.92307692 -1.30769231],2.325571761496476,-2.544415993932564,(0.4178045488502813-0.31976221950652917j)
"(-1.76923077, -1.30769231)",[-1.76923077 -1.30769231],2.200053793694129,-2.5050844371661456,(-0.0034188973874403465-0.5448263011828869j)
"(-1.61538462, -1.30769231)",[-1.61538462 -1.30769231],2.0783470952094794,-2.461071429456825,(-0.4387687011681616-0.3556608739635999j)
"(-1.46153846, -1.30769231)",[-1.46153846 -1.30769231],1.9611613517740727,-2.4116929940380616,(-0.5792479931197876+0.08862581735602738j)
"(-1.30769231, -1.30769231)",[-1.30769231 -1.30769231],1.8493562002130017,-2.356194490192345,(-0.3675932427300772+0.48453594301301245j)
"(-1.15384615, -1.30769231)",[-1.15384615 -1.30769231],1.7439667759171784,-2.2937756776672047,(0.026414358413358048+0.6305366051502374j)
"(-1.0, -1.30769231)",[-1.         -1.30769231],1.6462257371433409,-2.2236429570441425,(0.387332716690724+0.5270963024280493j)
"(-0.84615385, -1.30769231)",[-0.84615385 -1.30769231],1.557573598743558,-2.145101158237891,(0.6036128100776595+0.30520132904012504j)
"(-0.69230769, -1.30769231)",[-0.69230769 -1.30769231],1.4796449287806424,-2.0576955564980577,(0.6889813335938848+0.10348983756182473j)
"(-0.53846154, -1.30769231)",[-0.53846154 -1.30769231],1.4142135650927365,-1.9614033708771987,(0.7135053562560785+0.005182032259822831j)
"(-0.38461538, -1.30769231)",[-0.38461538 -1.30769231],1.3630803968092566,-1.8568477647861001,(0.723435996022732+0.047421257326050445j)
"(-0.23076923, -1.30769231)",[-0.23076923 -1.30769231],1.3278981945721324,-1.7454685249306532,(0.6885637020166661+0.240033669765347j)
"(-0.07692308, -1.30769231)",[-0.07692308 -1.30769231],1.3099527998633471,-1.6295521517519986,(0.49848528252849644+0.5259110047034377j)
"(0.07692308, -1.30769231)",[ 0.07692308 -1.30769231],1.3099527998633471,-1.5120405018377947,(0.06960507446761816+0.7071953033268868j)
"(0.23076923, -1.30769231)",[ 0.23076923 -1.30769231],1.3278981945721324,-1.3961241286591402,(-0.44880850135262723+0.5214661027674369j)
"(0.38461538, -1.30769231)",[ 0.38461538 -1.30769231],1.3630803968092566,-1.284744888803693,(-0.6581110563119205-0.038318447505421405j)
"(0.53846154, -1.30769231)",[ 0.53846154 -1.30769231],1.4142135650927365,-1.1801892827125944,(-0.31122934925801415-0.5449354503557015j)
"(0.69230769, -1.30769231)",[ 0.69230769 -1.30769231],1.4796449287806424,-1.0838970970917357,(0.29816944511004395-0.5156175174792037j)
"(0.84615385, -1.30769231)",[ 0.84615385 -1.30769231],1.557573598743558,-0.9964914953519022,(0.5647300719180498+0.01649651503752047j)
"(1.0, -1.30769231)",[ 1.         -1.30769231],1.6462257371433409,-0.9179496965456507,(0.23045179395757895+0.4847311442183054j)
"(1.15384615, -1.30769231)",[ 1.15384615 -1.30769231],1.7439667759171784,-0.8478169759225885,(-0.31721093215362944+0.40140109502319343j)
"(1.30769231, -1.30769231)",[ 1.30769231 -1.30769231],1.8493562002130017,-0.7853981633974483,(-0.4776755233669937-0.10667849270978014j)
"(1.46153846, -1.30769231)",[ 1.46153846 -1.30769231],1.9611613517740727,-0.7298996595517314,(-0.10400703678783481-0.45772387834411515j)
"(1.61538462, -1.30769231)",[ 1.61538462 -1.30769231],2.0783470952094794,-0.6805212241329679,(0.3556246525689033-0.2770142965056286j)
"(1.76923077, -1.30769231)",[ 1.76923077 -1.30769231],2.200053793694129,-0.6365082164236479,(0.3854069314910388+0.1984095286400095j)
"(1.92307692, -1.30769231)",[ 1.92307692 -1.30769231],2.325571761496476,-0.597176659657229,(-0.01934187899040633+0.41725780242268024j)
"(2.07692308, -1.30769231)",[ 2.07692308 -1.30769231],2.4543163320708725,-0.5619215623845167,(-0.3750357726008314+0.1494163365702072j)
"(2.23076923, -1.30769231)",[ 2.23076923 -1.30769231],2.5858055872682946,-0.5302157736969839,(-0.28146397167546533-0.2721481588363031j)
"(2.38461538, -1.30769231)",[ 2.38461538 -1.30769231],2.7196414631648933,-0.5016040557491205,(0.12938813579042016-0.35831688532275474j)
"(2.53846154, -1.30769231)",[ 2.53846154 -1.30769231],2.855494032158412,-0.4756952193266902,(0.37064618437982244-0.028027200212183027j)
"(2.69230769, -1.30769231)",[ 2.69230769 -1.30769231],2.9930886848314855,-0.4521538633161587,(0.17357640629790688+0.31923645327383543j)
"(2.84615385, -1.30769231)",[ 2.84615385 -1.30769231],3.1321958616125776,-0.43069251154332344,(-0.21509602415100287+0.2832223809929001j)
"(3.0, -1.30769231)",[ 3.         -1.30769231],3.2726226757194508,-0.41106454803627324,(-0.3394299919944603-0.07791910600015975j)
"(-3.0, -1.15384615)",[-3.         -1.15384615],3.214243447200262,-2.7744188208884126,(0.4196769166959679-0.0968730693569565j)
"(-2.84615385, -1.15384615)",[-2.84615385 -1.15384615],3.071148429454305,-2.756435148857436,(0.11335629489988587-0.4279798682230661j)
"(-2.69230769, -1.15384615)",[-2.69230769 -1.15384615],2.929143498619171,-2.7367008682012615,(-0.3324443472921176-0.31167773103337665j)
"(-2.53846154, -1.15384615)",[-2.53846154 -1.15384615],2.7883952244846846,-2.7149651619469353,(-0.4468416964770812+0.14476520927811154j)
"(-2.38461538, -1.15384615)",[-2.38461538 -1.15384615],2.6491038953582713,-2.6909313280572205,(-0.09779852939300132+0.4749135708941404j)
"(-2.23076923, -1.15384615)",[-2.23076923 -1.15384615],2.5115119540596686,-2.6642472724356336,(0.37222317063546423+0.3358576832128714j)
"(-2.07692308, -1.15384615)",[-2.07692308 -1.15384615],2.3759146487419343,-2.6344941512414812,(0.49789232833737584-0.14742609851109528j)
"(-1.92307692, -1.15384615)",[-1.92307692 -1.15384615],2.242673801092461,-2.601173154083915,(0.15043847828432155-0.5173347629769994j)
"(-1.76923077, -1.15384615)",[-1.76923077 -1.15384615],2.112235416658052,-2.5636907183516855,(-0.35622021757629196-0.43210831715756487j)
"(-1.61538462, -1.15384615)",[-1.61538462 -1.15384615],1.985151986222306,-2.5213431705349,(-0.5822009801517455+0.032816404930894064j)
"(-1.46153846, -1.15384615)",[-1.46153846 -1.15384615],1.862110525164657,-2.4733032358684244,(-0.35397574734614423+0.49457227402380505j)
"(-1.30769231, -1.15384615)",[-1.30769231 -1.15384615],1.7439667759171784,-2.418613302717485,(0.13540262479655707+0.620608652036417j)
"(-1.15384615, -1.15384615)",[-1.15384615 -1.15384615],1.6317848742219805,-2.356194490192345,(0.5500698975249756+0.37190408599055846j)
"(-1.0, -1.15384615)",[-1.         -1.15384615],1.526879477191904,-2.2848870270568007,(0.6924548272418016-0.04827003709455738j)
"(-0.84615385, -1.15384615)",[-0.84615385 -1.15384615],1.4308519405374007,-2.203545165554305,(0.5954224982345162-0.4133733753224585j)
"(-0.69230769, -1.15384615)",[-0.69230769 -1.15384615],1.345604278940491,-2.1112158270654806,(0.41972824486032023-0.6274502338006731j)
"(-0.53846154, -1.15384615)",[-0.53846154 -1.15384615],1.2733034861842616,-2.0074234889807006,(0.31769674932154657-0.7150876346424998j)
"(-0.38461538, -1.15384615)",[-0.38461538 -1.15384615],1.216260633418005,-1.892546878591539,(0.3761389786211993-0.7119238387630471j)
"(-0.23076923, -1.15384615)",[-0.23076923 -1.15384615],1.1766968069067814,-1.7681918866447774,(0.5962635785296443-0.5625253434235701j)
"(-0.07692308, -1.15384615)",[-0.07692308 -1.15384615],1.1564074100880315,-1.6373644934468266,(0.809622358633308-0.1429175914491431j)
"(0.07692308, -1.15384615)",[ 0.07692308 -1.15384615],1.1564074100880315,-1.5042281601429666,(0.6579755057798984+0.4704332170377218j)
"(0.23076923, -1.15384615)",[ 0.23076923 -1.15384615],1.1766968069067814,-1.373400766945016,(5.423053770242697e-05+0.7794632185059279j)
"(0.38461538, -1.15384615)",[ 0.38461538 -1.15384615],1.216260633418005,-1.2490457749982544,(-0.6390160306002465+0.3700121033010246j)
"(0.53846154, -1.15384615)",[ 0.53846154 -1.15384615],1.2733034861842616,-1.1341691646090926,(-0.5819388133384065-0.375903865801582j)
"(0.69230769, -1.15384615)",[ 0.69230769 -1.15384615],1.345604278940491,-1.0303768265243125,(0.08233657028391288-0.6429061188670501j)
"(0.84615385, -1.15384615)",[ 0.84615385 -1.15384615],1.4308519405374007,-0.938047488035488,(0.5792667929670178-0.18252966880380217j)
"(1.0, -1.15384615)",[ 1.         -1.15384615],1.526879477191904,-0.8567056265329924,(0.38139398266344376+0.42581799902819845j)
"(1.15384615, -1.15384615)",[ 1.15384615 -1.15384615],1.6317848742219805,-0.7853981633974483,(-0.21994333352851764+0.4942931336551894j)
"(1.30769231, -1.15384615)",[ 1.30769231 -1.15384615],1.7439667759171784,-0.722979350872308,(-0.5142735256474427+0.0009809479741100114j)
"(1.46153846, -1.15384615)",[ 1.46153846 -1.15384615],1.862110525164657,-0.668289417721369,(-0.20056048555125067-0.4473511828884626j)
"(1.61538462, -1.15384615)",[ 1.61538462 -1.15384615],1.985151986222306,-0.6202494830548935,(0.3130117511584494-0.3486257194461883j)
"(1.76923077, -1.15384615)",[ 1.76923077 -1.15384615],2.112235416658052,-0.5779019352381076,(0.4269402798334725+0.13964210070316688j)
"(1.92307692, -1.15384615)",[ 1.92307692 -1.15384615],2.242673801092461,-0.5404194995058782,(0.0422252410796313+0.430321087973208j)
"(2.07692308, -1.15384615)",[ 2.07692308 -1.15384615],2.3759146487419343,-0.5070985023483118,(-0.36450110880289305+0.20450727892246925j)
"(2.23076923, -1.15384615)",[ 2.23076923 -1.15384615],2.5115119540596686,-0.4773453811541597,(-0.32394068366195006-0.24389129394578765j)
"(2.38461538, -1.15384615)",[ 2.38461538 -1.15384615],2.6491038953582713,-0.4506613255325729,(0.08987228838478369-0.38410690453614404j)
"(2.53846154, -1.15384615)",[ 2.53846154 -1.15384615],2.7883952244846846,-0.4266274916428578,(0.37773213811584744-0.07154975837531743j)
"(2.69230769, -1.15384615)",[ 2.69230769 -1.15384615],2.929143498619171,-0.4048917853885317,(0.21348169374061524+0.30832714350764906j)
"(2.84615385, -1.15384615)",[ 2.84615385 -1.15384615],3.071148429454305,-0.3851575047323575,(-0.18997832465638412+0.31277563178965695j)
"(3.0, -1.15384615)",[ 3.         -1.15384615],3.214243447200262,-0.3671738327013807,(-0.3542816431310059-0.04486663005282875j)
"(-3.0, -1.0)",[-3. -1.],3.1622776601683795,-2.819842099193151,(0.3632927905885871-0.23797948724590623j)
"(-2.84615385, -1.0)",[-2.84615385 -1.        ],3.0167187038021663,-2.8037144657721416,(-0.0510458917455625-0.4439886654785461j)
"(-2.69230769, -1.0)",[-2.69230769 -1.        ],2.87202379823586,-2.785956769009263,(-0.43152319387181254-0.16102984422209726j)
"(-2.53846154, -1.0)",[-2.53846154 -1.        ],2.7283304400418897,-2.7663218309405133,(-0.3528401725969259+0.3187070123306125j)
"(-2.38461538, -1.0)",[-2.38461538 -1.        ],2.5858055825085815,-2.7445132076745455,(0.12005956488345022+0.4768309576011276j)
"(-2.23076923, -1.0)",[-2.23076923 -1.        ],2.444653627308947,-2.720173446573276,(0.4933935982952969+0.12715066860025312j)
"(-2.07692308, -1.0)",[-2.07692308 -1.        ],2.305126781814112,-2.6928693101581365,(0.36626592501573635-0.3818183540306106j)
"(-1.92307692, -1.0)",[-1.92307692 -1.        ],2.167538890132467,-2.6620733609422853,(-0.15051681894918648-0.5297224073329163j)
"(-1.76923077, -1.0)",[-1.76923077 -1.        ],2.032283818150111,-2.627141340717012,(-0.5531586757186057-0.15550424113086533j)
"(-1.61538462, -1.0)",[-1.61538462 -1.        ],1.8998598554979111,-2.5872851586669303,(-0.45271625633423274+0.3954707584441497j)
"(-1.46153846, -1.0)",[-1.46153846 -1.        ],1.7709022192258872,-2.5415424396974737,(0.0646454455306863+0.6272483197942467j)
"(-1.30769231, -1.0)",[-1.30769231 -1.        ],1.6462257371433409,-2.488746023340547,(0.5614120243984533+0.3531082922039473j)
"(-1.15384615, -1.0)",[-1.15384615 -1.        ],1.526879477191904,-2.427501953327889,(0.672251915696813-0.19253849262164394j)
"(-1.0, -1.0)",[-1. -1.],1.4142135623730951,-2.356194490192345,(0.3814491753104583-0.6326454606923828j)
"(-0.84615385, -1.0)",[-0.84615385 -1.        ],1.3099527998633471,-2.273053260545283,(-0.06287147594325292-0.7788137690055223j)
"(-0.69230769, -1.0)",[-0.69230769 -1.        ],1.2162606372127382,-2.1763409888398666,(-0.4177787550950298-0.7131262365366313j)
"(-0.53846154, -1.0)",[-0.53846154 -1.        ],1.1357556207473383,-2.0647376969071383,(-0.5928102913955262-0.641278011003847j)
"(-0.38461538, -1.0)",[-0.38461538 -1.        ],1.0714144812034905,-1.9379701565924972,(-0.5695431888961985-0.7231226398627514j)
"(-0.23076923, -1.0)",[-0.23076923 -1.        ],1.0262818509136722,-1.7975951741184455,(-0.24011779350070142-0.9341703117153072j)
"(-0.07692308, -1.0)",[-0.07692308 -1.        ],1.0029542164210121,-1.647568221123498,(0.4685795889102307-0.8780409222508025j)
"(0.07692308, -1.0)",[ 0.07692308 -1.        ],1.0029542164210121,-1.494024432466295,(0.9910111521199775-0.08547889435037863j)
"(0.23076923, -1.0)",[ 0.23076923 -1.        ],1.0262818509136722,-1.3439974794713478,(0.47009307421271607+0.8278498963301895j)
"(0.38461538, -1.0)",[ 0.38461538 -1.        ],1.0714144812034905,-1.203622496997296,(-0.5517891593741661+0.6842398950273364j)
"(0.53846154, -1.0)",[ 0.53846154 -1.        ],1.1357556207473383,-1.0768549566826549,(-0.7613645822231175-0.24239828558819587j)
"(0.69230769, -1.0)",[ 0.69230769 -1.        ],1.2162606372127382,-0.9652516647499265,(-0.05234984433825531-0.7252128472125092j)
"(0.84615385, -1.0)",[ 0.84615385 -1.        ],1.3099527998633471,-0.8685393930445102,(0.5974879245833318-0.2973626860386647j)
"(1.0, -1.0)",[ 1. -1.],1.4142135623730951,-0.7853981633974483,(0.46849770469804763+0.40470503267573843j)
"(1.15384615, -1.0)",[ 1.15384615 -1.        ],1.526879477191904,-0.7140907002619042,(-0.17710093619112147+0.5517199262922593j)
"(1.30769231, -1.0)",[ 1.30769231 -1.        ],1.6462257371433409,-0.6528466302492459,(-0.5433025724045425+0.05158782529576339j)
"(1.46153846, -1.0)",[ 1.46153846 -1.        ],1.7709022192258872,-0.6000502138923196,(-0.24815863253362125-0.4530626086673688j)
"(1.61538462, -1.0)",[ 1.61538462 -1.        ],1.8998598554979111,-0.5543074949228627,(0.30260729392592894-0.3873035775742679j)
"(1.76923077, -1.0)",[ 1.76923077 -1.        ],2.032283818150111,-0.5144513128727813,(0.4548631835549624+0.11929493505304711j)
