index,x,value
"(-3.0, -3.0)","(-3.0, -3.0)",(0.022308116298342465+0.2426059366935301j)
"(-2.8461538461538463, -3.0)","(-2.8461538461538463, -3.0)",(0.18892846742217875+0.16411518179440426j)
"(-2.6923076923076925, -3.0)","(-2.6923076923076925, -3.0)",(0.2574532255644585-0.005389498939894649j)
"(-2.5384615384615383, -3.0)","(-2.5384615384615383, -3.0)",(0.19826483854621002-0.17649800997418583j)
"(-2.3846153846153846, -3.0)","(-2.3846153846153846, -3.0)",(0.046034748505299594-0.27019798837222025j)
"(-2.230769230769231, -3.0)","(-2.230769230769231, -3.0)",(-0.12886348222979094-0.2524667978588152j)
"(-2.0769230769230766, -3.0)","(-2.0769230769230766, -3.0)",(-0.2583352641378929-0.13925116924786257j)
"(-1.923076923076923, -3.0)","(-1.923076923076923, -3.0)",(-0.3032622856191026+0.021702413558064924j)
"(-1.7692307692307692, -3.0)","(-1.7692307692307692, -3.0)",(-0.26061374810106785+0.17679199421718522j)
"(-1.6153846153846154, -3.0)","(-1.6153846153846154, -3.0)",(-0.15450106980391082+0.28682624258791206j)
"(-1.4615384615384615, -3.0)","(-1.4615384615384615, -3.0)",(-0.02030409811593747+0.33557771606774983j)
"(-1.3076923076923075, -3.0)","(-1.3076923076923075, -3.0)",(0.10966993589967974+0.3276754431661292j)
"(-1.1538461538461537, -3.0)","(-1.1538461538461537, -3.0)",(0.21444614281760768+0.2806045943340722j)
"(-1.0, -3.0)","(-1.0, -3.0)",(0.2860644646488651+0.21583595409036552j)
"(-0.8461538461538458, -3.0)","(-0.8461538461538458, -3.0)",(0.3266794879244174+0.1523427884221307j)
"(-0.6923076923076921, -3.0)","(-0.6923076923076921, -3.0)",(0.3437430909207907+0.10355097395602478j)
"(-0.5384615384615383, -3.0)","(-0.5384615384615383, -3.0)",(0.34536637848500035+0.07710805092424168j)
"(-0.3846153846153846, -3.0)","(-0.3846153846153846, -3.0)",(0.3369473816034656+0.07607399513569645j)
"(-0.23076923076923084, -3.0)","(-0.23076923076923084, -3.0)",(0.31933372447052627+0.10010315284117523j)
"(-0.07692307692307665, -3.0)","(-0.07692307692307665, -3.0)",(0.28847500635479617+0.14562253065801425j)
"(0.0769230769230771, -3.0)","(0.0769230769230771, -3.0)",(0.2366764020774196+0.20471860207726875j)
"(0.23076923076923084, -3.0)","(0.23076923076923084, -3.0)",(0.15585635421609947+0.26337151104350554j)
"(0.384615384615385, -3.0)","(0.384615384615385, -3.0)",(0.04307200294032877+0.30075264023304743j)
"(0.5384615384615388, -3.0)","(0.5384615384615388, -3.0)",(-0.0925666250844692+0.2921125081484788j)
"(0.6923076923076925, -3.0)","(0.6923076923076925, -3.0)",(-0.22468711266399324+0.21735816211094405j)
"(0.8461538461538463, -3.0)","(0.8461538461538463, -3.0)",(-0.3113988918246156+0.07462131102093748j)
"(1.0, -3.0)","(1.0, -3.0)",(-0.3088162261078768-0.10703511941053893j)
"(1.1538461538461542, -3.0)","(1.1538461538461542, -3.0)",(-0.1956332532282253-0.2663994465179682j)
"(1.3076923076923084, -3.0)","(1.3076923076923084, -3.0)",(0.0021174743230845047-0.3300381816976944j)
"(1.4615384615384617, -3.0)","(1.4615384615384617, -3.0)",(0.20541819691268565-0.25197407393890825j)
"(1.6153846153846159, -3.0)","(1.6153846153846159, -3.0)",(0.3115579343788932-0.05353318403463873j)
"(1.7692307692307692, -3.0)","(1.7692307692307692, -3.0)",(0.2533381260896558+0.16832405830093222j)
"(1.9230769230769234, -3.0)","(1.9230769230769234, -3.0)",(0.05427260418487864+0.28544539670798497j)
"(2.0769230769230775, -3.0)","(2.0769230769230775, -3.0)",(-0.16683835575519673+0.2207840636559408j)
"(2.230769230769231, -3.0)","(2.230769230769231, -3.0)",(-0.2635413246776871+0.013940014608486003j)
"(2.384615384615385, -3.0)","(2.384615384615385, -3.0)",(-0.16701406910211689-0.18999949869040395j)
"(2.5384615384615383, -3.0)","(2.5384615384615383, -3.0)",(0.05045788982517632-0.23908352964025628j)
"(2.6923076923076925, -3.0)","(2.6923076923076925, -3.0)",(0.21809532775409657-0.09545706028501035j)
"(2.8461538461538467, -3.0)","(2.8461538461538467, -3.0)",(0.19887131337203806+0.12299914259244492j)
"(3.0, -3.0)","(3.0, -3.0)",(0.00878931769096712+0.231007969881544j)
"(-3.0, -2.8461538461538463)","(-3.0, -2.8461538461538463)",(0.19696015721949098+0.14519862537937928j)
"(-2.8461538461538463, -2.8461538461538463)","(-2.8461538461538463, -2.8461538461538463)",(0.24832002704034667-0.03824740299388397j)
"(-2.6923076923076925, -2.8461538461538463)","(-2.6923076923076925, -2.8461538461538463)",(0.15793373139391825-0.20457708863262913j)
"(-2.5384615384615383, -2.8461538461538463)","(-2.5384615384615383, -2.8461538461538463)",(-0.019535397163665917-0.2656477708085472j)
"(-2.3846153846153846, -2.8461538461538463)","(-2.3846153846153846, -2.8461538461538463)",(-0.19193626217440649-0.19703180925323735j)
"(-2.230769230769231, -2.8461538461538463)","(-2.230769230769231, -2.8461538461538463)",(-0.28203933771939943-0.03799134512458166j)
"(-2.0769230769230766, -2.8461538461538463)","(-2.0769230769230766, -2.8461538461538463)",(-0.2596662433246498+0.13982953467892745j)
"(-1.923076923076923, -2.8461538461538463)","(-1.923076923076923, -2.8461538461538463)",(-0.1435407087017767+0.27023814767487636j)
"(-1.7692307692307692, -2.8461538461538463)","(-1.7692307692307692, -2.8461538461538463)",(0.018495134725208494+0.3170889775895411j)
"(-1.6153846153846154, -2.8461538461538463)","(-1.6153846153846154, -2.8461538461538463)",(0.17498543693086213+0.2792141517779913j)
"(-1.4615384615384615, -2.8461538461538463)","(-1.4615384615384615, -2.8461538461538463)",(0.28952108285393624+0.18053313190022366j)
"(-1.3076923076923075, -2.8461538461538463)","(-1.3076923076923075, -2.8461538461538463)",(0.34778010799623393+0.05462921165071423j)
"(-1.1538461538461537, -2.8461538461538463)","(-1.1538461538461537, -2.8461538461538463)",(0.35475838414777233-0.06839091086880342j)
"(-1.0, -2.8461538461538463)","(-1.0, -2.8461538461538463)",(0.326993341318531-0.16897911016574946j)
"(-0.8461538461538458, -2.8461538461538463)","(-0.8461538461538458, -2.8461538461538463)",(0.28437898452797145-0.23912480284774762j)
