index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)"
"(0,)",(-0.005149876293901493+0.02596120400189273j),(0.01286050671091606+0.002451189636849199j),(-0.0004454325237334437+0.0032458801923185665j),(0.0006081766294886331-0.004593491689112311j),(0.004284272449276065+0.004979022107865806j),(-0.0054561398105273905+0.0063564154597315885j),(-0.00848320627152773+0.003395891522525888j),(-0.005456139810527394+0.0063564154597315825j),(0.004284272449276069+0.004979022107865806j),(0.0006081766294886431-0.004593491689112324j),(-0.00044543252373344176+0.0032458801923185444j),(0.003115267370663481+0.0015117626142466872j)
"(1,)",(0.01286050671091606+0.002451189636849199j),(-0.008531359758359567+0.019256519974238957j),(-0.0009085716206495192+0.0027171707771250575j),(-4.08313708612701e-05+0.001900970278962011j),(-2.0301582693073928e-05-0.002921305717833391j),(0.003274122293451117+0.002900817094170273j),(-0.003155835639291301+0.00472177324997115j),(-0.005472600738441601+0.0029419973098130264j),(-0.0031558356392913088+0.0047217732499711595j),(0.003274122293451122+0.002900817094170279j),(-2.0301582693069706e-05-0.0029213057178333847j),(-4.0831370861262316e-05+0.0019009702789620096j)
"(2,)",(-0.0004454325237334437+0.0032458801923185665j),(-0.0009085716206495192+0.0027171707771250575j),(-0.008531359758359556+0.019256519974238932j),(-0.000908571620649522+0.002717170777125059j),(-4.0831370861262716e-05+0.0019009702789620137j),(-2.0301582693075083e-05-0.0029213057178333864j),(0.0032741222934511167+0.0029008170941702644j),(-0.0031558356392913005+0.004721773249971151j),(-0.0054726007384416015+0.002941997309813033j),(-0.0031558356392913122+0.0047217732499711465j),(0.003274122293451109+0.0029008170941702692j),(-2.030158269306931e-05-0.00292130571783339j)
"(3,)",(0.0006081766294886331-0.004593491689112311j),(-4.08313708612701e-05+0.001900970278962011j),(-0.000908571620649522+0.002717170777125059j),(-0.008531359758359554+0.01925651997423893j),(-0.0009085716206495235+0.002717170777125056j),(-4.083137086126681e-05+0.0019009702789620103j),(-2.0301582693078532e-05-0.002921305717833389j),(0.0032741222934511227+0.002900817094170267j),(-0.003155835639291305+0.00472177324997115j),(-0.005472600738441598+0.0029419973098130246j),(-0.003155835639291302+0.004721773249971138j),(0.0032741222934511145+0.002900817094170277j)
"(4,)",(0.004284272449276065+0.004979022107865806j),(-2.0301582693073928e-05-0.002921305717833391j),(-4.0831370861262716e-05+0.0019009702789620137j),(-0.0009085716206495235+0.002717170777125056j),(-0.008531359758359544+0.019256519974238943j),(-0.0009085716206495209+0.0027171707771250528j),(-4.08313708612594e-05+0.0019009702789620124j),(-2.0301582693076235e-05-0.0029213057178333938j),(0.003274122293451124+0.0029008170941702666j),(-0.0031558356392913105+0.004721773249971148j),(-0.005472600738441587+0.0029419973098130303j),(-0.0031558356392913096+0.004721773249971152j)
"(5,)",(-0.0054561398105273905+0.0063564154597315885j),(0.003274122293451117+0.002900817094170273j),(-2.0301582693075083e-05-0.0029213057178333864j),(-4.083137086126681e-05+0.0019009702789620103j),(-0.0009085716206495209+0.0027171707771250528j),(-0.008531359758359556+0.01925651997423893j),(-0.0009085716206495225+0.002717170777125065j),(-4.0831370861263936e-05+0.0019009702789620209j),(-2.0301582693081243e-05-0.002921305717833396j),(0.003274122293451124+0.002900817094170274j),(-0.003155835639291298+0.004721773249971147j),(-0.0054726007384416+0.002941997309813032j)
"(6,)",(-0.00848320627152773+0.003395891522525888j),(-0.003155835639291301+0.00472177324997115j),(0.0032741222934511167+0.0029008170941702644j),(-2.0301582693078532e-05-0.002921305717833389j),(-4.08313708612594e-05+0.0019009702789620124j),(-0.0009085716206495225+0.002717170777125065j),(-0.008531359758359546+0.019256519974238932j),(-0.0009085716206495218+0.0027171707771250467j),(-4.0831370861268435e-05+0.0019009702789620224j),(-2.030158269307352e-05-0.0029213057178334007j),(0.0032741222934511175+0.0029008170941702697j),(-0.0031558356392913+0.0047217732499711534j)
"(7,)",(-0.005456139810527394+0.0063564154597315825j),(-0.005472600738441601+0.0029419973098130264j),(-0.0031558356392913005+0.004721773249971151j),(0.0032741222934511227+0.002900817094170267j),(-2.0301582693076235e-05-0.0029213057178333938j),(-4.0831370861263936e-05+0.0019009702789620209j),(-0.0009085716206495218+0.0027171707771250467j),(-0.008531359758359544+0.019256519974238922j),(-0.000908571620649518+0.0027171707771250658j),(-4.083137086126763e-05+0.0019009702789620274j),(-2.030158269307587e-05-0.0029213057178333877j),(0.003274122293451116+0.0029008170941702714j)
"(8,)",(0.004284272449276069+0.004979022107865806j),(-0.0031558356392913088+0.0047217732499711595j),(-0.0054726007384416015+0.002941997309813033j),(-0.003155835639291305+0.00472177324997115j),(0.003274122293451124+0.0029008170941702666j),(-2.0301582693081243e-05-0.002921305717833396j),(-4.0831370861268435e-05+0.0019009702789620224j),(-0.000908571620649518+0.0027171707771250658j),(-0.008531359758359567+0.019256519974238943j),(-0.0009085716206495216+0.0027171707771250666j),(-4.0831370861262336e-05+0.001900970278962014j),(-2.030158269307547e-05-0.0029213057178333903j)
"(9,)",(0.0006081766294886431-0.004593491689112324j),(0.003274122293451122+0.002900817094170279j),(-0.0031558356392913122+0.0047217732499711465j),(-0.005472600738441598+0.0029419973098130246j),(-0.0031558356392913105+0.004721773249971148j),(0.003274122293451124+0.002900817094170274j),(-2.030158269307352e-05-0.0029213057178334007j),(-4.083137086126763e-05+0.0019009702789620274j),(-0.0009085716206495216+0.0027171707771250666j),(-0.008531359758359544+0.01925651997423893j),(-0.0009085716206495234+0.002717170777125047j),(-4.0831370861272995e-05+0.00190097027896201j)
