index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)"
"(-3.0, -3.0)",(0.008574456478080427+0.004914479019932588j),(-0.000885827933577876+0.007049480870139804j),(-0.004562261870250649+0.00578404961440583j),(-0.0033984003525262475+0.006434827658140684j),(0.0027280948223263714+0.006298829782707853j),(0.0058078708469597295-0.0023432844397733603j),(-0.004434811244338254-0.0035633303198738305j),(0.0010355921854890526+0.005309755944440386j),(0.002204942372793794-0.005257246302561111j),(-0.006262436656907795+0.002465021914486907j),(0.0044274898599279+0.006954419454174739j),(0.009149664014794912+0.001561235270788192j),(0.008002623066967782+0.003896653507916025j),(-0.0016176994970538347+0.007293552739158364j),(-0.004490014704152804-0.00416447600896945j),(0.005442458978985214+0.0005339303615125234j),(-0.004789942464598785+0.0026925471131429668j),(0.0012076607645259022-0.005832856394264311j)
"(-2.8461538461538463, -3.0)",(0.009175346962627944-0.0038225347451081803j),(0.0048566510831757476+0.005248370598584501j),(0.0011318990170062603+0.007349306157794036j),(0.0020331329975669774+0.007087617072994272j),(0.006278912448513683+0.0030551425474101192j),(0.0032291121895157374-0.005513254271615616j),(-0.005791766918703312-0.000352446846371695j),(0.003878544346298673+0.003880653880170727j),(-0.0011233962930306282-0.005612690752052513j),(-0.003605392730178112+0.005659569158017624j),(0.00785606010760521+0.0025149577975693916j),(0.00770319477474302-0.0053895334681461045j),(0.00836674177833051-0.003639856624239508j),(0.005006701578386104+0.005838836343544299j),(-0.006133593070891888+0.001346370333121929j),(0.00354863446970112-0.004282765238137271j),(-0.0004895980285713312+0.005526594846883414j),(-0.0040605441838058535-0.0044049840063556415j)
"(-2.6923076923076925, -3.0)",(0.0027109329870683295-0.00961927725712845j),(0.007189996808895627-0.0002304324387593147j),(0.006128844361327948+0.004327764555733916j),(0.006382570864514152+0.00387893865956411j),(0.006908997516022324-0.0016453508409792316j),(-0.000664369470448506-0.006485067973901507j),(-0.005118684808263039+0.00297596108820648j),(0.005428280956962148+0.0012425283637265854j),(-0.003951032809952542-0.004177182626118673j),(0.00016859486739450056+0.006683852812527657j),(0.007743257827600741-0.002816923672783821j),(0.002002938142450916-0.009296353908744935j),(0.002962674050789161-0.008870656827355727j),(0.007918086095270014-0.00036157033686098883j),(-0.0025472739497191667+0.0059224181662471545j),(-0.0015186770127296563-0.005453910540622891j),(0.004281200609447861+0.0036152711356886654j),(-0.00598809801020645+0.0006616486958632054j)
"(-2.5384615384615383, -3.0)",(-0.005769039442633098-0.00822349553547044j),(0.004655202185887463-0.0055363768723334j),(0.0074581378159867305-0.001277679095249193j),(0.0074429004525259045-0.0013401579105349764j),(0.004508817325913278-0.005641760507797871j),(-0.0043209554958514255-0.005056874542080701j),(-0.0028285446330348703+0.005341512413908298j),(0.005400363625839132-0.0016823288174267538j),(-0.0055376023262725844-0.0016519535222030604j),(0.003642523676864775+0.005572487659831871j),(0.0046489512031260205-0.00677406487173762j),(-0.00461545059981923-0.008421714640072856j),(-0.004489596628145796-0.008466551556635353j),(0.004878044291921491-0.006561244958382994j),(0.0033231460506204617+0.005733880995369942j),(-0.005417655775523425-0.001979062442714476j),(0.005494466292402792-0.0013620913342094272j),(-0.0031064796513759416+0.005199866664033698j)
"(-2.3846153846153846, -3.0)",(-0.010053623085893356-0.0008937221934091667j),(-0.0008896956044412462-0.007214728734625884j),(0.004533587053837169-0.0061336310736672325j),(0.004876743616015369-0.005899347374803442j),(0.00026939502936744545-0.0073368461858732215j),(-0.0065085678667605035-0.0019215873888584647j),(0.0002367865749791962+0.006167568565272791j),(0.0040322531638166265-0.004098876406243136j),(-0.005702119298597619+0.0011234288178745536j),(0.005878378120402494+0.003056137095857774j),(0.00018366636879719962-0.008174383435926585j),(-0.00893827734379258-0.003714536197386895j),(-0.009362223870425245-0.00294423290441325j),(-0.001860473198006075-0.008232879721542153j),(0.006761395003784032+0.0009055277565130261j),(-0.004911441907571137+0.003236612249369315j),(0.002219547812525219-0.005272332073113007j),(0.002193976634944671+0.0056796376116938045j)
"(-2.230769230769231, -3.0)",(-0.007317377434111229+0.00701610121349568j),(-0.005833016603767988-0.00439097875031212j),(-0.0008200959116158189-0.007639607584032312j),(9.781956045671258e-05-0.007741915637426568j),(-0.004052520637770428-0.0062638797015146j),(-0.006690594015046414+0.0017778165381262482j),(0.0031890219748931152+0.0054382133514670325j),(0.0018554726816294939-0.005546957209653233j),(-0.00469878035108663+0.0034837548492545963j),(0.006590518162378438+7.224012487829751e-05j),(-0.003977733828644715-0.007080125199470438j),(-0.009454221512936865+0.002314931609373754j),(-0.009089663238681678+0.004267748958767913j),(-0.007592431570375445-0.0042887810063445605j),(0.0051065328824796575-0.0048342478309247846j),(-0.0004381199164349304+0.005988944078636149j),(-0.0028456284765556337-0.005034348942033598j),(0.005824716816562014+0.001875014767218682j)
"(-2.0769230769230766, -3.0)",(0.0002841380164229823+0.010173720461397629j),(-0.007258922393106991+0.001001894496347582j),(-0.005696557709800888-0.00523226708384591j),(-0.0046769636377571215-0.006276130396713498j),(-0.006938354309537301-0.0030456937056267553j),(-0.005042865033852106+0.004941164736811905j),(0.005375019638851232+0.003547644064515626j),(-0.0005508793642048652-0.0059286389436511875j),(-0.002990996966356781+0.005076717834669006j),(0.006009421559542929-0.002618826595723658j),(-0.00676586113908231-0.004361085026271713j),(-0.006597834168526877+0.007194906755116627j),(-0.004248700586371091+0.00934001118691081j),(-0.008638206356157118+0.0025751187992636235j),(-0.00039613427341863525-0.007248042539601305j),(0.00449724650077331+0.004176975324412781j),(-0.005772549613799799-0.0009400209823107513j),(0.005204507704731767-0.0032733479353525066j)
"(-1.923076923076923, -3.0)",(0.007619313216752407+0.006801322637137142j),(-0.00458112444102096+0.005746335862129698j),(-0.0077721790477531805-0.00035772411944531884j),(-0.007544711920305106-0.00236575846101976j),(-0.007616490292648577+0.001071781596264663j),(-0.0022154054412361797+0.006848119810938303j),(0.006492251692733904+0.0010667500789456896j),(-0.002733004757446367-0.005414248778905139j),(-0.001046441708517176+0.0058481977498955375j),(0.004617379471185567-0.00460294739722651j),(-0.007887835863486353-0.001090877129912855j),(-0.0019689906639067138+0.009560832438125066j),(0.0024377674895886474+0.010178525644929326j),(-0.00456019444495708+0.00812887161407114j),(-0.00585663103969813-0.004691788966638148j),(0.00623285978106624-0.000782294222469583j),(-0.004473978311737495+0.0038737977475424854j),(0.0009594857336777826-0.00610140530644218j)
"(-1.7692307692307692, -3.0)",(0.010223354452348711-0.0006511068627928415j),(0.00047214202027883573+0.00734887820095846j),(-0.006339110444006493+0.00457813831519028j),(-0.007637040728469777+0.0023176703373103407j),(-0.00615242401917118+0.004797536395230627j),(0.000991140426828564+0.007266702810337221j),(0.006559201490133147-0.001464448357777469j),(-0.0044340360260673815-0.004306228092592159j),(0.0007854384406244233+0.005944502467305092j),(0.0029117147868528287-0.005795623538940844j),(-0.007630865596292666+0.001893535874890393j),(0.002710164503663744+0.009343517551650346j),(0.0079994738646671+0.007032591913974116j),(0.0021078116013364128+0.00940446011652442j),(-0.007697759742239482+0.0010500573221035206j),(0.0036196068134162723-0.005324482981782459j),(-2.3910411858812195e-05+0.005991809900043372j),(-0.003882133551692333-0.004838468729643249j)
"(-1.6153846153846154, -3.0)",(0.006912443427141277-0.007594914334222771j),(0.0051655678533200095+0.005260086734592466j),(-0.002326970886041385+0.007498295542735904j),(-0.005228995265682889+0.006118143665682318j),(-0.0032130545003900093+0.007224942712119457j),(0.0038926191905280043+0.00637361104109344j),(0.005805106081252041-0.0036615830834750623j),(-0.005583807042822344-0.0029210445584750278j),(0.0023096403432490923+0.00560023224224738j),(0.0012686783792266176-0.006329413713168872j),(-0.006539644529938305+0.004158316770785238j),(0.006297520276329102+0.007326859712158629j),(0.01067194639283009+0.0017090525351867885j),(0.007862534395521394+0.006116526383552062j),(-0.004922940850986184+0.00637467194734789j),(-0.0014720283432597082-0.006442904145650273j),(0.004459719009698335+0.004119144442056627j),(-0.0062065530034094785-0.0005328306466267634j)
