index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)"
"(-3.0, -3.0)",(0.011476831364467817+0.006101041097644921j),(-0.0037273357907611406+0.01108495141666922j),(-0.0009693422266787936+0.0111176121244023j),(0.006713647650294565-0.002839202420770018j),(-0.002592387078367162+0.0024115651148909857j),(-0.00018619480751435027-0.0037577857914502587j),(0.0010766540615131102+0.010239746103317807j),(0.013615032059897933+0.006143046444370807j),(-0.004248722544765716+0.007013397518423134j),(0.0025126544699808125-0.0018925750705378356j),(-0.0041427366466086695-0.0009333231278573612j)
"(-2.8461538461538463, -3.0)",(0.011821478830686747-0.005297221750112101j),(0.005777976338537729+0.0102209621369082j),(0.0070255260025392325+0.008981303165150493j),(0.0036886969500407093-0.0066592885921906405j),(-0.000800874519924911+0.003638506129991564j),(-0.002236821336091414-0.0028699168276044903j),(0.007128147667219647+0.007026097326599942j),(0.01409106792902755-0.005854669113082693j),(0.0032120498343592837+0.008034012333055653j),(-0.0001478192130641394-0.0032505534090702553j),(-0.0030833773246112337+0.002824420204252472j)
"(-2.6923076923076925, -3.0)",(0.0032374214675223167-0.012486969332915907j),(0.011452838075375739+0.002732653676088078j),(0.011462069617997003+0.0020486650058779638j),(-0.0010602649713387048-0.007879591382994227j),(0.0013768485847286975+0.0036841514482101293j),(-0.003334272027918493-0.001144599735666651j),(0.009606512308927187+0.0012071405603779268j),(0.005883701039502371-0.01440201870076724j),(0.008777838269677957+0.0025703940121758213j),(-0.0028464451096582807-0.001820362262121101j),(0.0004987967436097997+0.004082322543691553j)
"(-2.5384615384615383, -3.0)",(-0.00753090222742314-0.010392645008993135j),(0.009929215702030439-0.006362374990865321j),(0.010242860603897619-0.006019827164987025j),(-0.005639200099240223-0.0060934235577423685j),(0.003261432744824403+0.002589349252433759j),(-0.003350037076110233+0.0007158411384222422j),(0.008216904578230273-0.004390426450924805j),(-0.005719996515733762-0.014751997378282554j),(0.007998793277890428-0.005461640844443179j),(-0.003282769343264392+0.0012791478838726365j),(0.003522591114510214+0.0019794632722252483j)
"(-2.3846153846153846, -3.0)",(-0.01271728604891902-0.001009553217926128j),(0.0025282554475971955-0.011520256615482064j),(0.0042039834000247665-0.011358867650519376j),(-0.008420227719702146-0.0020537183875517675j),(0.004362345747682256+0.0007162895065662963j),(-0.002530471380946894+0.0021854198211711637j),(0.004310158767995014-0.007801878662589561j),(-0.014243954813869406-0.007376526017834736j),(0.001146838798913715-0.010208329792568669j),(-0.0010067877784296873+0.0035507402015325443j),(0.0036364896412799425-0.0015827260204648798j)
"(-2.230769230769231, -3.0)",(-0.009113897810056216+0.008798786229035125j),(-0.00613962659931487-0.010050338959270448j),(-0.0037150959891848463-0.011761442545002939j),(-0.008595029548476529+0.002810936588372695j),(0.004478985327259848-0.0014350059712975262j),(-0.0012737829542826557+0.0030255897954944984j),(-0.00023095089876131795-0.008473274418037963j),(-0.015853458365942253+0.00332956573290717j),(-0.007201870318012716-0.008194475738477185j),(0.0022801112042208594+0.0031461344633523063j),(0.0009774078420197064-0.0037647239240801533j)
"(-2.0769230769230766, -3.0)",(0.00031691948367725117+0.012562668300147507j),(-0.01128258584477663-0.0032422834005374707j),(-0.010133936013282482-0.007394830351531041j),(-0.006290573872641163+0.007022916057883833j),(0.0036820111796016667-0.0034009469181609073j),(5.534428038315242e-05+0.003246817877407465j),(-0.0039302664553968044-0.0069804569562996336j),(-0.010747988692273653+0.01223165480092174j),(-0.011584310742191392-0.0005444858317023512j),(0.0041044595338506525+0.0002545262442388778j),(-0.00225992195146156-0.003070437334071817j)
"(-1.923076923076923, -3.0)",(0.009215941873157817+0.008374845361867613j),(-0.010568458105678557+0.004968399305374718j),(-0.01273793249724902-0.00029757851207985487j),(-0.0023220049646021893+0.00954200676997186j),(0.0022201760399532364-0.004865517732671427j),(0.0012191635487481928+0.0030027990738306165j),(-0.006114963390700932-0.004383188276245422j),(-0.0020143210146649063+0.016150422444917635j),(-0.009254549030626084+0.008153957623349169j),(0.003062921490816695-0.003126538848578208j),(-0.0037278520699362177-0.0002512904748406416j)
"(-1.7692307692307692, -3.0)",(0.012312067404165631-0.0005980508073093914j),(-0.0049045839434527895+0.01050298764393954j),(-0.0109821376503519+0.006805272253877835j),(0.0022196991757803056+0.009972502339049626j),(0.0004071601937559946-0.0056955137522123256j),(0.0021174757053365094+0.0024879322389151303j),(-0.006825223529698649-0.0016576043391084434j),(0.006627542009457065+0.014740505855444671j),(-0.0015281761066726202+0.01302747339288872j),(-0.0002606874351155062-0.004678092375306253j),(-0.0026036653911663205+0.002576681837987704j)
"(-1.6153846153846154, -3.0)",(0.008392946135141173-0.008838369812657449j),(0.0026297110922166877+0.011172772289198676j),(-0.005903159550820509+0.011668202642250495j),(0.006348576092380806+0.008504799963273923j),(-0.001470846319291554-0.005916831354684168j),(0.002752353288544745+0.0018724468927011275j),(-0.006494744248958727+0.0005870753461889452j),(0.012620443432951203+0.009717958520526553j),(0.007559057351278639+0.011708573147597835j),(-0.0038122273103395-0.0033043907428712918j),(0.00011925365197082683+0.0035934262526595056j)
