index,x,value
"(-3.0, -3.0)","(-3.0, -3.0)",(0.07537188902907974+0.10420342156592738j)
"(-2.8461538461538463, -3.0)","(-2.8461538461538463, -3.0)",(0.15579302156740643+0.001533601177780012j)
"(-2.6923076923076925, -3.0)","(-2.6923076923076925, -3.0)",(0.12332446865774933-0.13935914813648012j)
"(-2.5384615384615383, -3.0)","(-2.5384615384615383, -3.0)",(-0.014373781651283103-0.21608958618844532j)
"(-2.3846153846153846, -3.0)","(-2.3846153846153846, -3.0)",(-0.1753120514325289-0.1702618681642221j)
"(-2.230769230769231, -3.0)","(-2.230769230769231, -3.0)",(-0.26557261985358305-0.024288740450779812j)
"(-2.0769230769230766, -3.0)","(-2.0769230769230766, -3.0)",(-0.24166637815990744+0.14274851774909367j)
"(-1.923076923076923, -3.0)","(-1.923076923076923, -3.0)",(-0.1291866167561296+0.25289199821486563j)
"(-1.7692307692307692, -3.0)","(-1.7692307692307692, -3.0)",(0.006194932429678555+0.27509986275737536j)
"(-1.6153846153846154, -3.0)","(-1.6153846153846154, -3.0)",(0.10576150426377733+0.23191276709093853j)
"(-1.4615384615384615, -3.0)","(-1.4615384615384615, -3.0)",(0.14861772462936002+0.17267985570503916j)
"(-1.3076923076923075, -3.0)","(-1.3076923076923075, -3.0)",(0.1520284843071546+0.13901927133152384j)
"(-1.1538461538461537, -3.0)","(-1.1538461538461537, -3.0)",(0.15023454659812405+0.1453229128212151j)
"(-1.0, -3.0)","(-1.0, -3.0)",(0.17080820564145635+0.1805889561709353j)
"(-0.8461538461538458, -3.0)","(-0.8461538461538458, -3.0)",(0.22234316964693548+0.22315762553628402j)
"(-0.6923076923076921, -3.0)","(-0.6923076923076921, -3.0)",(0.295663106815752+0.25569933448175647j)
"(-0.5384615384615383, -3.0)","(-0.5384615384615383, -3.0)",(0.37246333882738447+0.2725334903768476j)
"(-0.3846153846153846, -3.0)","(-0.3846153846153846, -3.0)",(0.43398969010561195+0.27846420065895916j)
"(-0.23076923076923084, -3.0)","(-0.23076923076923084, -3.0)",(0.46579534885193+0.2826739320941944j)
"(-0.07692307692307665, -3.0)","(-0.07692307692307665, -3.0)",(0.45876972157957363+0.29179839042856404j)
"(0.0769230769230771, -3.0)","(0.0769230769230771, -3.0)",(0.40891205229000405+0.3049083037553332j)
