index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)"
"(-3.0, -3.0)",(0.009359126718603622+0.005226367884725474j),(-0.0015522055253228506+0.007813941711320178j),(-0.005041950794019376+0.006584462804147158j),(-0.0015522055253228498+0.007813941711320176j),(0.006459674344172751+0.00299128165668016j),(-0.0005144986717568216-0.006082379129936739j),(-0.0022313743502850717+0.004931436873854905j),(0.0036467190427949443-0.004221468298392754j),(-0.00655344619909066+0.002432508882523263j),(0.005897757089476001+0.007122638376699572j),(0.010312982613866704+0.0018376384944290922j),(0.0058977570894759995+0.007122638376699552j),(-0.006553446199090679+0.002432508882523289j),(0.0036467190427949235-0.004221468298392774j),(-0.002231374350285064+0.00493143687385487j),(-0.0005144986717568042-0.006082379129936737j)
"(-2.8461538461538463, -3.0)",(0.009891315051103647-0.004244073308811332j),(0.0049701895346325395+0.006282434078610014j),(0.0012813668110117388+0.008279672011203002j),(0.0042183968148607484+0.006908974511852652j),(0.0070489559574215465-0.0017940472774207344j),(-0.004099645381700381-0.004721301067145898j),(0.0009462909770986657+0.005432402882363661j),(0.0006599101061089065-0.005559232588694028j),(-0.0038313051806735743+0.005782744645890634j),(0.009093053823206425+0.0016005713644799747j),(0.00863207605448329-0.006229215654223355j),(0.009528522882293873-9.841948419233348e-05j),(-0.0019068735976279978+0.006955469197680239j),(-0.0014715230373550802-0.005506242479152721j),(0.00284794046615651+0.0046653057148399j),(-0.005271384656494048-0.003120689582588276j)
"(-2.6923076923076925, -3.0)",(0.0028267023447650147-0.010426849207924815j),(0.008039772513700357+0.0004169835193506275j),(0.00684450083013342+0.0049727392107846114j),(0.007857397172964282+0.002424400701221374j),(0.0045725701520880815-0.005858678844159029j),(-0.0062046945693407275-0.0016014788627915335j),(0.003786748032457627+0.004157535780530274j),(-0.0024046268230444048-0.005082917439751226j),(6.232256207621767e-05+0.006877248557890767j),(0.008090901022200888-0.00437676052701161j),(0.001872361031040493-0.010639605153843464j),(0.006283010307587222-0.007551153121683567j),(0.004586185224808093+0.005873033334384674j),(-0.005477175768018087-0.001998562051578655j),(0.005511047418994515+0.00034372567154975826j),(-0.005649707885279361+0.0024196894150481135j)
"(-2.5384615384615383, -3.0)",(-0.006307175611179943-0.008814446654791213j),(0.00574230405050418-0.005692240997232771j),(0.008453140260416794-0.0012030976425872486j),(0.007684167866030366-0.003266521422876564j),(0.00022205939111208687-0.00758934373077289j),(-0.00623273471393565+0.0020764885046791427j),(0.0054872809732768035+0.0016886056556113136j),(-0.004649400029212124-0.0032167684705192733j),(0.0036462302568949934+0.005755800147588482j),(0.003916964644065094-0.008262403282546571j),(-0.005853592778456193-0.009248633387897718j),(-0.0014817465435267227-0.010019968699393178j),(0.007710145547454718-2.7128062009032805e-05j),(-0.004947648020735475+0.003345482764661612j),(0.0035369762069834094-0.004316942010675537j),(-0.001470114496999427+0.00598675950626394j)
"(-2.3846153846153846, -3.0)",(-0.010834289446613285-0.0008683731658794408j),(-0.00020318619779292066-0.008112314272828635j),(0.005416456346449433-0.006695027435147559j),(0.003995895221804794-0.007473034153848872j),(-0.004233502058979112-0.006497666823029729j),(-0.0043683454915062845+0.0051287390353842565j),(0.0057499185498758616-0.0011682781585427649j),(-0.00565044446333484-0.0006815020862658235j),(0.005946902620279612+0.0031849623538129325j),(-0.0013416039074035746-0.008966821479169594j),(-0.010557902899916543-0.003317713573820738j),(-0.008549660553119055-0.005998642021453724j),(0.0050077086979021315-0.0062255087226498465j),(-0.0002990943637728127+0.006120100541420892j),(-0.0013696487420064203-0.005475108175548932j),(0.0038362583064452662+0.004847040092586407j)
"(-2.230769230769231, -3.0)",(-0.007802794121931807+0.007602496029822131j),(-0.005953091973499214-0.0055484433330365915j),(-0.000409431534858799-0.008669743574267846j),(-0.001386595053339452-0.008483242418186515j),(-0.007247057296282197-0.0031913472387249554j),(-0.0013308750938680288+0.0067803555302780715j),(0.004729906571937745-0.003695222984625838j),(-0.005437349762496262+0.0018300138128627078j),(0.006675300072201018+0.00014089893414232554j),(-0.005744773391309281-0.006884479063516593j),(-0.010456259397333094+0.003906277851416215j),(-0.010613612562525701+0.0018046286485151892j),(-0.0015532799063533418-0.008144540167707095j),(0.004770383037083603+0.004109854899847833j),(-0.005236175414797098-0.002280671236859398j),(0.0061964686391415055+4.555300348007756e-05j)
"(-2.0769230769230766, -3.0)",(0.00038464594713603006+0.010906583070847704j),(-0.008151228050028273+0.00020088537959748283j),(-0.005967035518466997-0.006386673770200789j),(-0.006182616760981155-0.006139539118689134j),(-0.008009444076322899+0.0010803903999236388j),(0.00198792824370361+0.006802683430482638j),(0.002853093170968095-0.005443197553005084j),(-0.004328207894376038+0.0038483062208322866j),(0.006078111741238081-0.002591561399194616j),(-0.008225062860267831-0.0032491420323152204j),(-0.006293909831229679+0.00929451626252736j),(-0.00677963148363803+0.00877643280693695j),(-0.007375589614761892-0.004454911771458524j),(0.006381691635177415-0.001136504261977607j),(-0.005115107919296521+0.002700438660043127j),(0.004010536286414075-0.004741469578157705j)
"(-1.923076923076923, -3.0)",(0.00819939333649125+0.0072219274236020765j),(-0.005817087639793485+0.00572482695224579j),(-0.008708024896621534-0.0012244759515032753j),(-0.008678214697734214-0.0016028631283147117j),(-0.006553583028535671+0.005001444766232516j),(0.004832798161234479+0.005428981280161307j),(0.0006134416537998118-0.006267338929198766j),(-0.0027374928784597075+0.005176670355937859j),(0.004658095286371565-0.004591316793297308j),(-0.008676229704083306+0.0006247299207394914j),(-0.0002843386050572846+0.01124613070805527j),(0.0005394172843678218+0.011397958969305129j),(-0.008652029093588+0.0023528277532912593j),(0.0033838123610408642-0.00576640679465749j),(-0.0012153768644285207+0.005736133359260708j),(-0.0009575701030530297-0.006148026669545423j)
"(-1.7692307692307692, -3.0)",(0.010906451144376588-0.000759631955214861j),(-0.0005241753610608312+0.008143951144744031j),(-0.007696678419154819+0.004344246714579839j),(-0.008267887075369025+0.00337463668056947j),(-0.0035314268937287523+0.007625331073354663j),(0.006752100774319725+0.0031535787410169993j),(-0.0015753830040060894-0.006261596298585586j),(-0.0010337622489724522+0.005839780261114945j),(0.0029273412331010493-0.005778773530267231j),(-0.00762561940778597+0.0038310048264460286j),(0.005308524520813754+0.009896684840336114j),(0.007624751911612078+0.008901211826943903j),(-0.0047228641245469815+0.008058457205007771j),(-0.002088222930258027-0.006587308429820139j),(0.003577748738989381+0.004754739662186424j),(-0.005210252873883172-0.0034208515028401653j)
"(-1.6153846153846154, -3.0)",(0.0073162260933885585-0.008123569730388453j),(0.004864506862359422+0.006539575747035668j),(-0.0037071059470968047+0.008060785204568682j),(-0.0054177069001865395+0.007220367261341963j),(0.00014945730683120972+0.008557205399773293j),(0.007619455171561678+0.0005225090053688308j),(-0.003449833644145606-0.005653748100985494j),(0.0005285701142418737+0.005992685223177994j),(0.0012682843252756373-0.006295705174143459j),(-0.005809179956370518+0.0060008384258779055j),(0.00910120919427918+0.00646328777039971j),(0.011635905706502286+0.0029734027473620472j),(0.002004341720499589+0.009529895034325352j),(-0.00642819359377199-0.0031485058658310507j),(0.0060183622014742325+0.000583304462921197j),(-0.006076792762000917+0.001429881407115139j)
