index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)"
"(0,)",(0.0007886609934919962+0.01937538176179768j),(0.0031895827587446347+0.002383103587250992j),(0.003465523986321142-0.0011933417841161666j),(-0.0020495992387285873+0.002713607815366659j),(-0.0009815914003971976-0.0034041905139743497j),(0.0038297572702410475+1.2628676212274965e-06j),(0.0005472255048717864+0.004127423069414968j),(-0.0033513890157403116+0.002933861613238487j),(-0.004511860378299637+0.0010080989657287004j),(-0.004511860378299634+0.0010080989657287012j),(-0.003351389015740309+0.002933861613238487j),(0.000547225504871793+0.004127423069414967j),(0.003829757270241044+1.2628676212277134e-06j),(-0.0009815914003971898-0.0034041905139743497j),(-0.0020495992387285903+0.0027136078153666564j),(0.0034655239863211574-0.0011933417841161697j),(-0.0010867368362341117+0.0027889922996732174j)
"(1,)",(0.0031895827587446347+0.002383103587250992j),(-0.0019288872254253988+0.015451114782892727j),(-0.0034091208791195726+0.0023665501387897065j),(0.0022683877579262254-0.0008771459126447742j),(-0.00123438084580143+0.001835926165677853j),(-0.0007751812481070833-0.002203757634565203j),(0.0025453496401997623-0.0001497942093752211j),(0.0005279317242845385+0.0027356663819862715j),(-0.0021299724544346357+0.0020927460489820163j),(-0.002982720267320579+0.0008456874310523876j),(-0.0029827202673205766+0.0008456874310523848j),(-0.0021299724544346335+0.00209274604898201j),(0.0005279317242845318+0.0027356663819862754j),(0.002545349640199767-0.00014979420937521565j),(-0.0007751812481070745-0.0022037576345652053j),(-0.001234380845801439+0.001835926165677853j),(0.0022683877579262207-0.0008771459126447699j)
"(2,)",(0.003465523986321142-0.0011933417841161666j),(-0.0034091208791195726+0.0023665501387897065j),(-0.0019288872254253988+0.01545111478289276j),(-0.0034091208791195765+0.0023665501387896996j),(0.0022683877579262315-0.0008771459126447758j),(-0.0012343808458014323+0.0018359261656778565j),(-0.0007751812481070809-0.002203757634565201j),(0.00254534964019977-0.00014979420937522215j),(0.0005279317242845397+0.0027356663819862806j),(-0.0021299724544346374+0.0020927460489820176j),(-0.0029827202673205788+0.0008456874310523879j),(-0.0029827202673205775+0.0008456874310523846j),(-0.0021299724544346405+0.0020927460489820115j),(0.0005279317242845305+0.0027356663819862793j),(0.0025453496401997705-0.0001497942093752141j),(-0.0007751812481070803-0.002203757634565213j),(-0.001234380845801429+0.0018359261656778513j)
"(3,)",(-0.0020495992387285873+0.002713607815366659j),(0.0022683877579262254-0.0008771459126447742j),(-0.0034091208791195765+0.0023665501387896996j),(-0.001928887225425398+0.01545111478289276j),(-0.003409120879119577+0.002366550138789701j),(0.0022683877579262298-0.000877145912644776j),(-0.0012343808458014282+0.0018359261656778504j),(-0.0007751812481070844-0.002203757634565201j),(0.002545349640199771-0.00014979420937522546j),(0.0005279317242845357+0.002735666381986275j),(-0.002129972454434635+0.002092746048982013j),(-0.0029827202673205775+0.0008456874310523853j),(-0.0029827202673205805+0.0008456874310523822j),(-0.0021299724544346413+0.002092746048982008j),(0.0005279317242845299+0.0027356663819862784j),(0.002545349640199777-0.0001497942093752137j),(-0.0007751812481070772-0.002203757634565204j)
"(4,)",(-0.0009815914003971976-0.0034041905139743497j),(-0.00123438084580143+0.001835926165677853j),(0.0022683877579262315-0.0008771459126447758j),(-0.003409120879119577+0.002366550138789701j),(-0.0019288872254253997+0.015451114782892768j),(-0.003409120879119578+0.002366550138789704j),(0.0022683877579262285-0.000877145912644773j),(-0.0012343808458014263+0.0018359261656778541j),(-0.0007751812481070883-0.0022037576345652066j),(0.0025453496401997705-0.00014979420937522484j),(0.0005279317242845368+0.0027356663819862763j),(-0.0021299724544346344+0.002092746048982015j),(-0.002982720267320582+0.0008456874310523851j),(-0.0029827202673205827+0.0008456874310523811j),(-0.00212997245443464+0.002092746048982015j),(0.0005279317242845326+0.0027356663819862867j),(0.0025453496401997696-0.00014979420937521904j)
"(5,)",(0.0038297572702410475+1.2628676212274965e-06j),(-0.0007751812481070833-0.002203757634565203j),(-0.0012343808458014323+0.0018359261656778565j),(0.0022683877579262298-0.000877145912644776j),(-0.003409120879119578+0.002366550138789704j),(-0.001928887225425395+0.015451114782892768j),(-0.0034091208791195778+0.0023665501387897j),(0.0022683877579262267-0.0008771459126447763j),(-0.0012343808458014334+0.001835926165677857j),(-0.0007751812481070837-0.0022037576345652066j),(0.0025453496401997675-0.00014979420937522242j),(0.0005279317242845369+0.0027356663819862745j),(-0.0021299724544346405+0.002092746048982013j),(-0.002982720267320582+0.0008456874310523826j),(-0.0029827202673205822+0.0008456874310523842j),(-0.002129972454434647+0.002092746048982015j),(0.0005279317242845314+0.0027356663819862767j)
"(6,)",(0.0005472255048717864+0.004127423069414968j),(0.0025453496401997623-0.0001497942093752211j),(-0.0007751812481070809-0.002203757634565201j),(-0.0012343808458014282+0.0018359261656778504j),(0.0022683877579262285-0.000877145912644773j),(-0.0034091208791195778+0.0023665501387897j),(-0.0019288872254253904+0.015451114782892754j),(-0.0034091208791195778+0.0023665501387897j),(0.0022683877579262285-0.0008771459126447759j),(-0.0012343808458014313+0.0018359261656778509j),(-0.0007751812481070819-0.0022037576345651988j),(0.0025453496401997627-0.0001497942093752211j),(0.0005279317242845316+0.002735666381986277j),(-0.0021299724544346366+0.002092746048982012j),(-0.0029827202673205783+0.000845687431052386j),(-0.0029827202673205857+0.0008456874310523811j),(-0.002129972454434637+0.00209274604898201j)
"(7,)",(-0.0033513890157403116+0.002933861613238487j),(0.0005279317242845385+0.0027356663819862715j),(0.00254534964019977-0.00014979420937522215j),(-0.0007751812481070844-0.002203757634565201j),(-0.0012343808458014263+0.0018359261656778541j),(0.0022683877579262267-0.0008771459126447763j),(-0.0034091208791195778+0.0023665501387897j),(-0.0019288872254254001+0.015451114782892761j),(-0.0034091208791195773+0.0023665501387897052j),(0.0022683877579262254-0.000877145912644768j),(-0.001234380845801424+0.001835926165677848j),(-0.0007751812481070785-0.002203757634565197j),(0.0025453496401997675-0.0001497942093752207j),(0.0005279317242845365+0.002735666381986274j),(-0.002129972454434635+0.002092746048982016j),(-0.0029827202673205857+0.0008456874310523872j),(-0.002982720267320579+0.0008456874310523849j)
"(8,)",(-0.004511860378299637+0.0010080989657287004j),(-0.0021299724544346357+0.0020927460489820163j),(0.0005279317242845397+0.0027356663819862806j),(0.002545349640199771-0.00014979420937522546j),(-0.0007751812481070883-0.0022037576345652066j),(-0.0012343808458014334+0.001835926165677857j),(0.0022683877579262285-0.0008771459126447759j),(-0.0034091208791195773+0.0023665501387897052j),(-0.001928887225425399+0.015451114782892775j),(-0.0034091208791195747+0.002366550138789699j),(0.0022683877579262246-0.0008771459126447763j),(-0.0012343808458014282+0.001835926165677849j),(-0.0007751812481070815-0.0022037576345652083j),(0.002545349640199771-0.00014979420937522343j),(0.0005279317242845421+0.002735666381986276j),(-0.0021299724544346426+0.0020927460489820198j),(-0.0029827202673205827+0.0008456874310523881j)
"(9,)",(-0.004511860378299634+0.0010080989657287012j),(-0.002982720267320579+0.0008456874310523876j),(-0.0021299724544346374+0.0020927460489820176j),(0.0005279317242845357+0.002735666381986275j),(0.0025453496401997705-0.00014979420937522484j),(-0.0007751812481070837-0.0022037576345652066j),(-0.0012343808458014313+0.0018359261656778509j),(0.0022683877579262254-0.000877145912644768j),(-0.0034091208791195747+0.002366550138789699j),(-0.001928887225425402+0.01545111478289274j),(-0.0034091208791195765+0.0023665501387897005j),(0.0022683877579262202-0.0008771459126447736j),(-0.001234380845801424+0.0018359261656778595j),(-0.000775181248107087-0.002203757634565204j),(0.0025453496401997696-0.00014979420937522985j),(0.000527931724284541+0.002735666381986281j),(-0.0021299724544346344+0.0020927460489820176j)
"(10,)",(-0.003351389015740309+0.002933861613238487j),(-0.0029827202673205766+0.0008456874310523848j),(-0.0029827202673205788+0.0008456874310523879j),(-0.002129972454434635+0.002092746048982013j),(0.0005279317242845368+0.0027356663819862763j),(0.0025453496401997675-0.00014979420937522242j),(-0.0007751812481070819-0.0022037576345651988j),(-0.001234380845801424+0.001835926165677848j),(0.0022683877579262246-0.0008771459126447763j),(-0.0034091208791195765+0.0023665501387897005j),(-0.0019288872254253969+0.015451114782892775j),(-0.0034091208791195804+0.002366550138789703j),(0.0022683877579262224-0.0008771459126447742j),(-0.001234380845801427+0.0018359261656778487j),(-0.0007751812481070884-0.002203757634565198j),(0.0025453496401997696-0.00014979420937522372j),(0.0005279317242845365+0.0027356663819862715j)
