index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)"
"(-3.0, -3.0)",(0.010659534237117317+0.00570955751885949j),(-0.002841817781620689+0.009391434721181336j),(-0.0045138090205604+0.00897792475179786j),(0.0056160906156641896+0.006415718779393284j),(0.00023505828665588125-0.0062002487445824706j),(0.0002049654128031072+0.004622420812181873j),(-0.0018014441166519775-0.0050779005938514105j),(3.454716519965593e-05+0.009252486215951178j),(0.012203902904605777+0.0037461055207356903j),(0.004976166641092276+0.009179530693894525j),(-0.005525662662518224-0.0025571194497649276j),(0.0035965039443903485+0.0027707291570527293j),(-0.003694680944098126-0.004309232437118417j)
"(-2.8461538461538463, -3.0)",(0.011040048805408022-0.0049436378103405445j),(0.005219252358882207+0.00835718489854955j),(0.003133785468600526+0.009698202940299298j),(0.008651538786586362+0.0013051904772467785j),(-0.0036153994505625426-0.0053098986169261165j),(0.0028352194723366853+0.003795006502309533j),(-0.004319308182693933-0.0030964872239376386j),(0.005713360019848937+0.007076415503520171j),(0.01140465971821931-0.006063941356928128j),(0.010660179265278142+0.0019500763682428518j),(-0.005480344981146137+0.0031605212253215426j),(0.004371737619067304-0.0014417857553017154j),(-0.005633315384379395+0.0005396036447427599j)
"(-2.6923076923076925, -3.0)",(0.0030029333677768577-0.011714174085947365j),(0.009731993923912875+0.0017379905761683737j),(0.009070333946909245+0.00494601522770384j),(0.007748366371728157-0.004532044476255892j),(-0.006217625327464227-0.002372785120029307j),(0.004543951296027031+0.0017285682743501249j),(-0.005239480688272651-0.0002573806835479077j),(0.008632776579283909+0.0022175469803284837j),(0.004179625122755754-0.012352228800926998j),(0.00868282289679032-0.00716012197642958j),(-0.0007055477379832031+0.006550050010414254j),(0.0013378923300309549-0.0044782984359086064j),(-0.002852520431314317+0.004864241354505444j)
"(-2.5384615384615383, -3.0)",(-0.00714599709301693-0.009741555648327991j),(0.007938298462826406-0.005931413896797996j),(0.010167170773311897-0.002479909745761907j),(0.0034740759624542145-0.00852591323245282j),(-0.006738799087141383+0.0014730053384921452j),(0.004930496821051486-0.000839809267997936j),(-0.00458245437438299+0.002423690039709185j),(0.008177724053213455-0.0029898796636649424j),(-0.005062004429819053-0.012114911809907892j),(0.0004194391475460962-0.011684440835297936j),(0.005004520985209787+0.0047157097676125605j),(-0.0029035758897987436-0.0037629705732865936j),(0.0021911302310625757+0.005170791386874788j)
"(-2.3846153846153846, -3.0)",(-0.01203183720406564-0.000846158097272575j),(0.0012790932152840558-0.009839680988789842j),(0.006110723782253014-0.008652220779473344j),(-0.0022616231359147486-0.009163491415394395j),(-0.0051606143918197745+0.004951994309237627j),(0.004056448123378303-0.0031855319344234767j),(-0.002847821463433587+0.0042687079764544686j),(0.00519453615363637-0.006700828997159774j),(-0.01162724582362881-0.0062026425350356785j),(-0.008555302858008595-0.008624128072675555j),(0.007117339620718592-0.0010514482081589737j),(-0.004841489902038498+8.698324768386261e-05j),(0.005411044621781436+0.001403378941623084j)
"(-2.230769230769231, -3.0)",(-0.008553496714271741+0.008462877106284133j),(-0.0060110221338652734-0.007895884734403849j),(-0.000840741196926446-0.010678409424299776j),(-0.007225436795350343-0.006427713293043101j),(-0.0021079867405080803+0.007111391789378342j),(0.0022951321760042243-0.0048118050425185j),(-0.0006818109197761862+0.005045192283520265j),(0.0011705741548639194-0.008145449746182578j),(-0.013020827965763721+0.002024150389585831j),(-0.012617767557887167-4.302106869708801e-05j),(0.003906555663872333-0.006456435344777377j),(-0.00294805759316548+0.003968580651651661j),(0.004440716471515091-0.0033486734054359716j)
"(-2.0769230769230766, -3.0)",(0.0004891671682430866+0.011984159145521076j),(-0.009782675577232964-0.0015927480233576133j),(-0.007355791256962358-0.007935298223944206j),(-0.009784625410553019-0.0015168756758826086j),(0.0015012497904404348+0.007544088815038168j),(0.0001312126493001598-0.005520667144355622j),(0.0013775075936841954+0.004874519944659416j),(-0.002555935906750977-0.00754104634070455j),(-0.009563169140688388+0.008980913847567504j),(-0.009602555248647166+0.008905165904242732j),(-0.0024270901529664267-0.007554699025711526j),(0.0012785027640476701+0.004895552397448296j),(0.0002360314111423422-0.005526476371275223j)
"(-1.923076923076923, -3.0)",(0.008991159182147443+0.007865436941005945j),(-0.008297267504140214+0.0053726455048207075j),(-0.010739831422354577-0.0019578059511332056j),(-0.009370519839306465+0.003845402635047111j),(0.004802723797530951+0.006366903674188561j),(-0.002003556452333253-0.005369589620373342j),(0.003014727427850582+0.0040604397964210765j),(-0.005214693300592777-0.005641924308712081j),(-0.0034097255914041277+0.012541505517856691j),(-0.0014996448997827364+0.01349148382541459j),(-0.007592563857793698-0.003508986976030444j),(0.004692378988487915+0.0022246125461256095j),(-0.004020335538327227-0.00375307959369397j)
"(-1.7692307692307692, -3.0)",(0.011858110242391688-0.0008404535652964968j),(-0.0027612024526686377+0.009446999017573135j),(-0.009974123901602969+0.0046369198797753j),(-0.006424739125967586+0.008115126004637842j),(0.007209403280615304+0.004041773004362396j),(-0.003820000662006573-0.004572107323408916j),(0.004133009672075432+0.002934873255059362j),(-0.00663120453585789-0.0032742485192866406j),(0.002960479416201699+0.012457498349894819j),(0.007441910150171146+0.01190737707860135j),(-0.008261902114580963+0.0031363642604653272j),(0.004912551589371681-0.0021106451037481372j),(-0.005445683057929098+0.0004914410055596527j)
"(-1.6153846153846154, -3.0)",(0.007918138331618878-0.008775583848605766j),(0.0038238711399787772+0.009004112172300233j),(-0.005775843636811705+0.009438409148480126j),(-0.002004611014616721+0.010371934071078889j),(0.008481565740126666+0.001152988136628803j),(-0.005189511815357049-0.0033955124117034116j),(0.004787797654792044+0.001765685175394683j),(-0.0070288389098362575-0.0010519956292601954j),(0.007839700378612563+0.009785665131506126j),(0.013392056783681256+0.005514466622242716j),(-0.004046494353865634+0.008436214078946205j),(0.0018597971625091074-0.005202342531150422j),(-0.0033471212982604625+0.004283999682866484j)
"(-1.4615384615384615, -3.0)",(-7.685120867401531e-05-0.011741749577659236j),(0.008465561444024255+0.0047439014133419805j),(7.450874545215698e-05+0.01111287439843545j),(0.0026987355001228406+0.010422589014004297j),(0.008676792853408796-0.0017736800237136926j),(-0.006115051889420119-0.002086782651119146j),(0.005109370878040931+0.0007268773550639094j),(-0.006788427395644932+0.0007013147135704164j),(0.010623538315574462+0.0059971244986096895j),(0.014644757474623682-0.002640706369048583j),(0.0026890358125597658+0.009552158501400664j),(-0.0024851139815761972-0.005164483730688572j),(0.0006933908383829026+0.005362995406302332j)
"(-1.3076923076923075, -3.0)",(-0.007684125911068594-0.008763024844108486j),(0.009539120795324436-0.00113406837072589j),(0.005635268809224126+0.009609759611881574j),(0.006731790974449881+0.008642535003960058j),(0.008040587682353932-0.004371637561443383j),(-0.006683123234803026-0.0008354919557370523j),(0.005242784901819635-8.993373214000922e-05j),(-0.006274407614594533+0.0018973052300266674j),(0.0115620410687769+0.0023069114614817825j),(0.011736994653201785-0.009682156829344734j),(0.008586423952938405+0.006108146290278804j),(-0.0055805630440209026-0.0021238290440920684j),(0.004190425701776887+0.0033791509388989647j)
"(-1.1538461538461537, -3.0)",(-0.011398589168393765-0.001920176952655874j),(0.007156399431086825-0.006229683755794094j),(0.009497619322365545+0.005830651934190317j),(0.009555126453911763+0.005701230757345603j),(0.006892504138202113-0.006456591038734785j),(-0.007017050357371901+0.00023225114153523074j),(0.005312377166254242-0.0006462918312286975j),(-0.005752979125924496+0.002580929872413807j),(0.011302782341380721-0.0005901663162827158j),(0.006481040921459599-0.014040013001377938j),(0.011193942477248859-0.0001266686930372309j),(-0.005852540569687538+0.002190842076112269j),(0.00535778365215399-0.00028963431909506785j)
