index,value
"(0,)",(-1.5962246237346545+5.43407845645588j)
"(1,)",(3.5461324361019435+1.439929998275963j)
"(2,)",(-2.596681468464422+1.3251422861318796j)
"(3,)",(-2.3685992637182403+4.8311682624756696j)
"(4,)",(-3.319314468169396+2.5862675991829738j)
"(5,)",(-6.489245391494034+3.573293969970856j)
"(6,)",(-6.332504907150534+4.015913617800199j)
"(7,)",(-7.559704146198209+2.980768309335503j)
"(8,)",(-8.252042471449556+3.6102610368369956j)
"(9,)",(-7.66433224234347+3.3766978317874394j)
"(10,)",(-7.5508579514408645+3.1781076556568566j)
"(11,)",(-6.586318441767535+3.4849443167549374j)
"(12,)",(-5.2489192090284105+3.2749340659706894j)
"(13,)",(-3.9493282920914243+3.219586492311362j)
"(14,)",(-2.2575417352722003+3.097407968314342j)
"(15,)",(-0.684786585653939+2.701928594776647j)
"(16,)",(0.716905173713623+2.369622018745164j)
"(17,)",(1.9659320239943168+1.9713477152588759j)
"(18,)",(2.84076745228956+1.6229765764403838j)
"(19,)",(3.454192177710264+1.468755121557368j)
"(20,)",(3.8639190587630243+1.4355479532156519j)
"(21,)",(4.119340630743333+1.5170603341607132j)
"(22,)",(4.3393177175341595+1.5729178454738015j)
"(23,)",(4.488298914361032+1.3930915218645068j)
"(24,)",(4.4498476349697+0.8432719936873898j)
"(25,)",(4.032809698440101-0.14547277824249072j)
"(26,)",(2.995663826153119-1.457046544734458j)
"(27,)",(1.207920513808312-2.778501481547809j)
"(28,)",(-1.2653266708948276-3.6900438488759115j)
"(29,)",(-4.102484439590821-3.771557866104004j)
"(30,)",(-6.739381268313254-2.782550012890633j)
"(31,)",(-8.516427194515977-0.7988776179364834j)
"(32,)",(-8.874150035896147+1.7553369228539353j)
"(33,)",(-7.555317289429118+4.185885637922934j)
"(34,)",(-4.735367706322888+5.7290480903865975j)
"(35,)",(-1.0087055002092917+5.796950795296212j)
"(36,)",(2.760324368210717+4.177954298400866j)
"(37,)",(5.680127664734982+1.1257831172007942j)
"(38,)",(7.085732863258469-2.702551153385522j)
"(39,)",(6.713386178740645-6.432619880674822j)
"(40,)",(4.747480879102536-9.213529008966091j)
"(41,)",(1.735179612136534-10.435451093724058j)
"(42,)",(-1.5900529423525516-9.857750760084079j)
"(43,)",(-4.508904617511147-7.622975308277185j)
"(44,)",(-6.480002890221995-4.17221806182844j)
"(45,)",(-7.228585033407462-0.10317965924199601j)
"(46,)",(-6.752491158022866+3.978845685668413j)
"(47,)",(-5.264219455656407+7.577846748568819j)
"(48,)",(-3.09982830524174+10.372118037422478j)
"(49,)",(-0.6257112338986079+12.226766263599302j)
"(50,)",(1.8346122115584445+13.166980942198393j)
"(51,)",(4.043850048476452+13.330415170238155j)
"(52,)",(5.864845448848379+12.915490702797973j)
"(53,)",(7.251941874507017+12.137347177406788j)
"(54,)",(8.229030008483399+11.196779795163673j)
"(55,)",(8.862675505524704+10.262659346275882j)
"(56,)",(9.236247639712674+9.465258730719595j)
"(57,)",(9.428528427596824+8.896464647879444j)
"(58,)",(9.498169284437544+8.613318366046279j)
"(59,)",(9.473814892684295+8.641773236038244j)
"(60,)",(9.349871567610922+8.978579025703725j)
"(61,)",(9.087423309462439+9.5909398221672j)
"(62,)",(8.620051830406666+10.413455430576054j)
"(63,)",(7.865878417125993+11.343879491152325j)
"(64,)",(6.744958055669887+12.240666747322898j)
"(65,)",(5.20206627454685+12.923824512842797j)
"(66,)",(3.2343214395554223+13.185067965994488j)
"(67,)",(0.916066033225106+12.810346408305842j)
"(68,)",(-1.5822341249064387+11.613777230053152j)
"(69,)",(-3.9905601437374436+9.487272823470903j)
"(70,)",(-5.965829359269632+6.452090192861705j)
"(71,)",(-7.142102068375195+2.698989206766206j)
"(72,)",(-7.212721066787344-1.3898651191883564j)
"(73,)",(-6.031360718956894-5.275839963004993j)
"(74,)",(-3.684510797561023-8.346635861931691j)
"(75,)",(-0.5416759926712311-10.035965602549872j)
"(76,)",(2.7761453485522534-9.995824750247044j)
"(77,)",(5.534087255829256-8.206935677274796j)
"(78,)",(7.027525222688794-5.029479136939683j)
"(79,)",(6.812155323685648-1.1927917629597615j)
"(80,)",(4.8704529529924905+2.4358828898577833j)
"(81,)",(1.5748747190508539+5.035501967601535j)
"(82,)",(-2.2807359985394187+6.028626228617615j)
"(83,)",(-5.7708587885648654+5.386633177238909j)
"(84,)",(-8.177678768911456+3.418426044922964j)
"(85,)",(-8.915974948189588+0.7657687161499069j)
"(86,)",(-8.038514583697825-1.6474239820505998j)
"(87,)",(-6.002026893197142-3.412559522667692j)
"(88,)",(-3.131620671853703-4.092111475138292j)
"(89,)",(-0.46068723317605986-3.5470757733832246j)
"(90,)",(1.7084339015667387-2.642688919415255j)
"(91,)",(3.5207181862788994-1.127213146908158j)
"(92,)",(3.961805185548977+0.32939592071350987j)
"(93,)",(4.437441172058216+0.6922532564036223j)
"(94,)",(4.827239692095262+1.8268604256556973j)
"(95,)",(3.7167571012135356+1.6785256967837325j)
"(96,)",(4.772961017444576+0.7998607600413266j)
"(97,)",(4.241341612242949+2.5454973892698565j)
"(98,)",(2.253863068008531+0.3335131844899806j)
"(99,)",(5.082646889295107+0.48066487727939977j)
