index,xy,inc,scat,tot
"(-3.0, -3.0)",[-3. -3.],(0.7773494792181547+0.6290689844200426j),(0.0324924548861259+0.1273192288980722j),(0.8098419341042806+0.7563882133181148j)
"(-2.8461538461538463, -3.0)",[-2.84615385 -3.        ],(-0.10860406938749748+0.994085084946191j),(0.11262696556363837+0.07428689929146226j),(0.004022896176140892+1.0683719842376531j)
"(-2.6923076923076925, -3.0)",[-2.69230769 -3.        ],(-0.8948427434723873+0.4463815234245378j),(0.13808687611854106-0.017325280120151658j),(-0.7567558673538463+0.42905624330438613j)
"(-2.5384615384615383, -3.0)",[-2.53846154 -3.        ],(-0.8594811553903232-0.5111674319916275j),(0.10041862741187103-0.10368607488707521j),(-0.7590625279784522-0.6148535068787027j)
"(-2.3846153846153846, -3.0)",[-2.38461538 -3.        ],(-0.03498656293693535-0.9993877828019812j),(0.018814785621346378-0.14945805126917033j),(-0.01617177731558897-1.1488458340711514j)
"(-2.230769230769231, -3.0)",[-2.23076923 -3.        ],(0.8216309578085959-0.5700197971742117j),(-0.07385302989615011-0.13994598855726517j),(0.7477779279124457-0.7099657857314768j)
"(-2.0769230769230766, -3.0)",[-2.07692308 -3.        ],(0.9238676498953127+0.38271211827810203j),(-0.14610260394050145-0.08145760463033105j),(0.7777650459548112+0.301254513647771j)
"(-1.923076923076923, -3.0)",[-1.92307692 -3.        ],(0.17785484909783048+0.9840567324358834j),(-0.17770719458709555+0.005834867027069008j),(0.00014765451073492364+0.9898915994629525j)
"(-1.7692307692307692, -3.0)",[-1.76923077 -3.        ],(-0.731455460353972+0.681889220855088j),(-0.1629622331559863+0.09719638629395792j),(-0.8944176935099584+0.7790856071490458j)
"(-1.6153846153846154, -3.0)",[-1.61538462 -3.        ],(-0.9691796141665602-0.24635518156506767j),(-0.10884771557669902+0.17121170735941899j),(-1.0780273297432592-0.07514347420564868j)
"(-1.4615384615384615, -3.0)",[-1.46153846 -3.        ],(-0.3170510749839535-0.9484084646667381j),(-0.030309263537221284+0.21467860022247598j),(-0.3473603385211748-0.7337298644442621j)
"(-1.3076923076923075, -3.0)",[-1.30769231 -3.        ],(0.6261780494437382-0.7796800949074147j),(0.055353304923177415+0.2242021920403368j),(0.6815313543669157-0.555477902867078j)
"(-1.1538461538461537, -3.0)",[-1.15384615 -3.        ],(0.9944815197952718+0.10491190011474566j),(0.13337644351890715+0.20491772398340763j),(1.127857963314179+0.3098296240981533j)
"(-1.0, -3.0)",[-1. -3.],(0.44970134126633127+0.8931789874729827j),(0.19454673413213472+0.1673370670508188j),(0.644248075398466+1.0605160545238015j)
"(-0.8461538461538458, -3.0)",[-0.84615385 -3.        ],(-0.5079723233823321+0.8613733909737143j),(0.23586824677145787+0.12366051962562272j),(-0.2721040766108742+0.9850339105993371j)
"(-0.6923076923076921, -3.0)",[-0.69230769 -3.        ],(-0.9992509738132139+0.03869743316220923j),(0.25920296722725533+0.08478859378405898j),(-0.7400480065859586+0.1234860269462682j)
"(-0.5384615384615383, -3.0)",[-0.53846154 -3.        ],(-0.5730668990397428-0.8195085900861401j),(0.26876160055069265+0.05869645543267957j),(-0.3043052984890502-0.7608121346534605j)
"(-0.3846153846153846, -3.0)",[-0.38461538 -3.        ],(0.37927880348881066-0.9252824375422329j),(0.2684338501196526+0.05008149316099822j),(0.6477126536084632-0.8752009443812347j)
"(-0.23076923076923084, -3.0)",[-0.23076923 -3.        ],(0.9833895042207711-0.181507804208045j),(0.25970517052406944+0.06062630275941752j),(1.2430946747448406-0.12088150144862747j)
"(-0.07692307692307665, -3.0)",[-0.07692308 -3.        ],(0.6846006950960638+0.7289183001365697j),(0.24060587383385335+0.08905755487208714j),(0.9252065689299172+0.8179758550086568j)
