index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)"
"(0,)",(-0.0022040451037345296+0.02323233624672531j),(-0.0033026479878992413+0.001335295054064645j),(0.002669741481545049+0.0023444972211140937j),(-0.0034602304513951312-0.0018506408415267215j),(0.004540884605132076-0.0014089165330516188j),(0.0007318764049454076+0.005663561878988281j),(-0.005260922089190373+0.0038013172765384157j),(-0.006560144725009135+0.001766598464012698j),(-0.0052609220891903785+0.003801317276538419j),(0.0007318764049454097+0.005663561878988279j),(0.004540884605132068-0.0014089165330516164j),(-0.003460230451395129-0.0018506408415267074j),(0.0026697414815450545+0.002344497221114103j),(-0.002302987271596511+0.001432308332758341j)
"(1,)",(-0.0033026479878992413+0.001335295054064645j),(-0.005323123893122647+0.017876797303868413j),(-0.002180009934384596+0.0019107314747245582j),(0.0017997221166956398+0.0013415898896681j),(-0.002314338316493892-0.0009693294521719258j),(0.0028959842422358432-0.0012119300145322976j),(0.0008356350217919302+0.0037375362253161287j),(-0.0033136190655164285+0.0028549424585296245j),(-0.004310185830963974+0.0015529799111161696j),(-0.00331361906551643+0.0028549424585296167j),(0.0008356350217919193+0.0037375362253161248j),(0.002895984242235839-0.0012119300145322922j),(-0.002314338316493894-0.0009693294521719334j),(0.0017997221166956424+0.0013415898896681055j)
"(2,)",(0.002669741481545049+0.0023444972211140937j),(-0.002180009934384596+0.0019107314747245582j),(-0.005323123893122641+0.01787679730386841j),(-0.002180009934384598+0.0019107314747245625j),(0.0017997221166956437+0.0013415898896680955j),(-0.0023143383164938914-0.0009693294521719241j),(0.002895984242235837-0.0012119300145323028j),(0.0008356350217919328+0.003737536225316129j),(-0.003313619065516429+0.0028549424585296236j),(-0.004310185830963968+0.001552979911116165j),(-0.0033136190655164263+0.002854942458529614j),(0.0008356350217919261+0.003737536225316128j),(0.002895984242235851-0.0012119300145322892j),(-0.0023143383164938957-0.0009693294521719283j)
"(3,)",(-0.0034602304513951312-0.0018506408415267215j),(0.0017997221166956398+0.0013415898896681j),(-0.002180009934384598+0.0019107314747245625j),(-0.005323123893122637+0.017876797303868406j),(-0.0021800099343845993+0.0019107314747245552j),(0.001799722116695644+0.001341589889668096j),(-0.0023143383164938905-0.0009693294521719196j),(0.002895984242235846-0.0012119300145322996j),(0.0008356350217919264+0.0037375362253161347j),(-0.003313619065516426+0.0028549424585296206j),(-0.004310185830963966+0.0015529799111161642j),(-0.003313619065516425+0.002854942458529622j),(0.0008356350217919162+0.003737536225316132j),(0.0028959842422358476-0.0012119300145322885j)
"(4,)",(0.004540884605132076-0.0014089165330516188j),(-0.002314338316493892-0.0009693294521719258j),(0.0017997221166956437+0.0013415898896680955j),(-0.0021800099343845993+0.0019107314747245552j),(-0.005323123893122627+0.017876797303868406j),(-0.0021800099343846006+0.0019107314747245513j),(0.0017997221166956405+0.0013415898896680944j),(-0.002314338316493896-0.0009693294521719285j),(0.00289598424223585-0.0012119300145322968j),(0.0008356350217919267+0.003737536225316129j),(-0.003313619065516423+0.002854942458529617j),(-0.004310185830963963+0.0015529799111161766j),(-0.003313619065516428+0.0028549424585296145j),(0.0008356350217919212+0.003737536225316129j)
"(5,)",(0.0007318764049454076+0.005663561878988281j),(0.0028959842422358432-0.0012119300145322976j),(-0.0023143383164938914-0.0009693294521719241j),(0.001799722116695644+0.001341589889668096j),(-0.0021800099343846006+0.0019107314747245513j),(-0.0053231238931226365+0.017876797303868406j),(-0.002180009934384595+0.0019107314747245658j),(0.0017997221166956448+0.0013415898896681024j),(-0.002314338316493897-0.0009693294521719252j),(0.002895984242235841-0.001211930014532298j),(0.0008356350217919286+0.003737536225316127j),(-0.003313619065516423+0.0028549424585296228j),(-0.004310185830963967+0.0015529799111161668j),(-0.003313619065516429+0.0028549424585296197j)
"(6,)",(-0.005260922089190373+0.0038013172765384157j),(0.0008356350217919302+0.0037375362253161287j),(0.002895984242235837-0.0012119300145323028j),(-0.0023143383164938905-0.0009693294521719196j),(0.0017997221166956405+0.0013415898896680944j),(-0.002180009934384595+0.0019107314747245658j),(-0.005323123893122651+0.017876797303868413j),(-0.0021800099343845946+0.0019107314747245608j),(0.001799722116695645+0.0013415898896681j),(-0.0023143383164938923-0.0009693294521719232j),(0.002895984242235838-0.0012119300145322963j),(0.0008356350217919391+0.0037375362253161256j),(-0.0033136190655164255+0.0028549424585296215j),(-0.004310185830963969+0.001552979911116175j)
"(7,)",(-0.006560144725009135+0.001766598464012698j),(-0.0033136190655164285+0.0028549424585296245j),(0.0008356350217919328+0.003737536225316129j),(0.002895984242235846-0.0012119300145322996j),(-0.002314338316493896-0.0009693294521719285j),(0.0017997221166956448+0.0013415898896681024j),(-0.0021800099343845946+0.0019107314747245608j),(-0.00532312389312264+0.017876797303868406j),(-0.0021800099343845954+0.0019107314747245589j),(0.0017997221166956526+0.001341589889668099j),(-0.0023143383164938923-0.0009693294521719238j),(0.0028959842422358398-0.001211930014532303j),(0.0008356350217919304+0.003737536225316131j),(-0.003313619065516429+0.002854942458529625j)
"(8,)",(-0.0052609220891903785+0.003801317276538419j),(-0.004310185830963974+0.0015529799111161696j),(-0.003313619065516429+0.0028549424585296236j),(0.0008356350217919264+0.0037375362253161347j),(0.00289598424223585-0.0012119300145322968j),(-0.002314338316493897-0.0009693294521719252j),(0.001799722116695645+0.0013415898896681j),(-0.0021800099343845954+0.0019107314747245589j),(-0.005323123893122638+0.017876797303868406j),(-0.0021800099343845954+0.0019107314747245647j),(0.0017997221166956394+0.001341589889668098j),(-0.0023143383164938957-0.0009693294521719209j),(0.0028959842422358463-0.0012119300145323048j),(0.0008356350217919335+0.0037375362253161373j)
"(9,)",(0.0007318764049454097+0.005663561878988279j),(-0.00331361906551643+0.0028549424585296167j),(-0.004310185830963968+0.001552979911116165j),(-0.003313619065516426+0.0028549424585296206j),(0.0008356350217919267+0.003737536225316129j),(0.002895984242235841-0.001211930014532298j),(-0.0023143383164938923-0.0009693294521719232j),(0.0017997221166956526+0.001341589889668099j),(-0.0021800099343845954+0.0019107314747245647j),(-0.0053231238931226235+0.017876797303868392j),(-0.0021800099343846024+0.0019107314747245571j),(0.001799722116695644+0.001341589889668095j),(-0.002314338316493906-0.0009693294521719266j),(0.0028959842422358506-0.0012119300145322991j)
