index,xy,inc,scat,tot
"(2.230769230769231, -3.0)",[ 2.23076923 -3.        ],(-0.9952332446799114-0.0975232725245396j),(-0.26421112490657594+0.012492449854443427j),(-1.2594443695864874-0.08503082267009618j)
"(2.384615384615385, -3.0)",[ 2.38461538 -3.        ],(-0.45632232809179374-0.8898145497152119j),(-0.16614073794160344-0.1919648782289719j),(-0.6224630660333972-1.0817794279441837j)
"(2.5384615384615383, -3.0)",[ 2.53846154 -3.        ],(0.5015611366090934-0.865122203069251j),(0.05290367533049791-0.23991909701881292j),(0.5544648119395913-1.105041300088064j)
"(2.6923076923076925, -3.0)",[ 2.69230769 -3.        ],(0.9989360210741761-0.04611752162132389j),(0.22063819891406597-0.09407449402549142j),(1.219574219988242-0.14019201564681533j)
"(2.8461538461538467, -3.0)",[ 2.84615385 -3.        ],(0.5791373543320645+0.8152299827761837j),(0.19958141631376597+0.12600662888904351j),(0.7787187706458305+0.9412366116652273j)
"(3.0, -3.0)",[ 3. -3.],(-0.3723965313866303+0.9280737165824741j),(0.006921716554385877+0.23358962359958657j),(-0.3654748148322444+1.1616633401820606j)
"(-3.0, -2.8461538461538463)",[-3.         -2.84615385],(0.3084073358240364+0.9512543903761601j),(0.2008819730119605+0.15049729335815432j),(0.5092893088359969+1.1017516837343144j)
"(-2.8461538461538463, -2.8461538461538463)",[-2.84615385 -2.84615385],(-0.6332472876405948+0.7739495285196767j),(0.25503985835446236-0.03753861780593061j),(-0.37820742928613243+0.7364109107137461j)
"(-2.6923076923076925, -2.8461538461538463)",[-2.69230769 -2.84615385],(-0.9934856328403785-0.11395743652676912j),(0.16323389254039655-0.2090436543865483j),(-0.8302517402999819-0.3230010909133174j)
"(-2.5384615384615383, -2.8461538461538463)",[-2.53846154 -2.84615385],(-0.4415547032094214-0.897234330637008j),(-0.01889052450812942-0.27272930864324885j),(-0.4604452277175508-1.1699636392802568j)
"(-2.3846153846153846, -2.8461538461538463)",[-2.38461538 -2.84615385],(0.5157898731927637-0.8567151257633968j),(-0.1964095893693678-0.20278814421259284j),(0.3193802838233959-1.0595032699759896j)
"(-2.230769230769231, -2.8461538461538463)",[-2.23076923 -2.84615385],(0.9995617485482756-0.0296025478483502j),(-0.2893657589011319-0.03940001646974749j),(0.7101959896471437-0.06900256431809769j)
"(-2.0769230769230766, -2.8461538461538463)",[-2.07692308 -2.84615385],(0.5655855607384725+0.82468962251513j),(-0.26636044996485286+0.1434501363108118j),(0.2992251107736197+0.9681397588259418j)
"(-1.923076923076923, -2.8461538461538463)",[-1.92307692 -2.84615385],(-0.38768326074390597+0.9217926498616555j),(-0.1467416723031698+0.2772685391979096j),(-0.5344249330470758+1.1990611890595653j)
"(-1.7692307692307692, -2.8461538461538463)",[-1.76923077 -2.84615385],(-0.985000524269936+0.1725513465260451j),(0.01987793680375733+0.3247495142927276j),(-0.9651225874661786+0.49730086081877267j)
"(-1.6153846153846154, -2.8461538461538463)",[-1.61538462 -2.84615385],(-0.6779391191659766-0.7351180522232192j),(0.18021243139342782+0.28495936003914946j),(-0.4977266877725488-0.4501586921840698j)
"(-1.4615384615384615, -2.8461538461538463)",[-1.46153846 -2.84615385],(0.25157238915791963-0.9678384849825803j),(0.2967722886180349+0.18296900452934461j),(0.5483446777759545-0.7848694804532357j)
"(-1.3076923076923075, -2.8461538461538463)",[-1.30769231 -2.84615385],(0.9501025966958736-0.3119375831023863j),(0.3551276780787013+0.05368621513284222j),(1.305230274774575-0.25825136796954407j)
"(-1.1538461538461537, -2.8461538461538463)",[-1.15384615 -2.84615385],(0.7762956832982122+0.6303689491817961j),(0.3608688518303294-0.0718544821298957j),(1.1371645351285415+0.5585144670519004j)
"(-1.0, -2.8461538461538463)",[-1.         -2.84615385],(-0.11026745634085303+0.9939019509348586j),(0.33136796930290413-0.17377211224066788j),(0.2211005129620511+0.8201298386941906j)
"(-0.8461538461538458, -2.8461538461538463)",[-0.84615385 -2.84615385],(-0.8955884819895041+0.4448834352139172j),(0.2872167394470961-0.24420023740675778j),(-0.608371742542408+0.20068319780715943j)
"(-0.6923076923076921, -2.8461538461538463)",[-0.69230769 -2.84615385],(-0.8586245453206537-0.5126050040459034j),(0.24620434188610288-0.28395974115283046j),(-0.6124202034345508-0.7965647451987339j)
"(-0.5384615384615383, -2.8461538461538463)",[-0.53846154 -2.84615385],(-0.033314101196222405-0.999444931280102j),(0.22047654893456373-0.2977120124996434j),(0.18716244773834131-1.2971569437797454j)
"(-0.3846153846153846, -2.8461538461538463)",[-0.38461538 -2.84615385],(0.8225836997306594-0.5686440511756194j),(0.21598910055201725-0.28962462440077147j),(1.0385728002826766-0.8582686755763909j)
"(-0.23076923076923084, -2.8461538461538463)",[-0.23076923 -2.84615385],(0.9232259115800339+0.3842576169540631j),(0.2328027290169286-0.2606904514475227j),(1.1560286405969624+0.1235671655065404j)
"(-0.07692307692307665, -2.8461538461538463)",[-0.07692308 -2.84615385],(0.17620784286427238+0.9843529834937871j),(0.2650516276554042-0.20824227993223465j),(0.44125947051967657+0.7761107035615524j)
"(0.0769230769230771, -2.8461538461538463)",[ 0.07692308 -2.84615385],(-0.7325955350013151+0.6806642212546041j),(0.30032547337785853-0.12799082224630287j),(-0.4322700616234566+0.5526733990083013j)
"(0.23076923076923084, -2.8461538461538463)",[ 0.23076923 -2.84615385],(-0.9687659971841128-0.2479766978969426j),(0.31948291317784455-0.018704395648287735j),(-0.6492830840062682-0.26668109354523034j)
"(0.384615384615385, -2.8461538461538463)",[ 0.38461538 -2.84615385],(-0.31546352898776714-0.9489377017900512j),(0.2991038205951407+0.11121644341918051j),(-0.01635970839262646-0.8377212583708707j)
"(0.5384615384615388, -2.8461538461538463)",[ 0.53846154 -2.84615385],(0.6274819183925043-0.7786311335224546j),(0.21895514725627943+0.23794927320561118j),(0.8464370656487837-0.5406818603168434j)
"(0.6923076923076925, -2.8461538461538463)",[ 0.69230769 -2.84615385],(0.994304563842483+0.1065759556467108j),(0.07472086827403132+0.3222576072100029j),(1.0690254321165142+0.4288335628567137j)
"(0.8461538461538463, -2.8461538461538463)",[ 0.84615385 -2.84615385],(0.44820603259859493+0.8939302838265561j),(-0.1086623545050737+0.32072596397669867j),(0.33954367809352126+1.2146562478032548j)
"(1.0, -2.8461538461538463)",[ 1.         -2.84615385],(-0.509413066447917+0.860522125068339j),(-0.2732900014000262+0.20911237885907102j),(-0.7827030678479432+1.06963450392741j)
"(1.1538461538461542, -2.8461538461538463)",[ 1.15384615 -2.84615385],(-0.9993143323913952+0.03702519516680667j),(-0.34520672381706374+0.008592729665961842j),(-1.344521056208459+0.04561792483276851j)
"(1.3076923076923084, -2.8461538461538463)",[ 1.30769231 -2.84615385],(-0.5716947004238299-0.8204664341137347j),(-0.27330664545179384-0.2045492705231785j),(-0.8450013458756237-1.025015704636913j)
"(1.4615384615384617, -2.8461538461538463)",[ 1.46153846 -2.84615385],(0.3808266745304521-0.9246464426828652j),(-0.07252140306138213-0.32451301697416435j),(0.30830527146906994-1.2491594596570295j)
"(1.6153846153846159, -2.8461538461538463)",[ 1.61538462 -2.84615385],(0.9836918692041161-0.17986190942418037j),(0.1619584651032838-0.2757708870207628j),(1.1456503343073998-0.45563279644494314j)
"(1.7692307692307692, -2.8461538461538463)",[ 1.76923077 -2.84615385],(0.6833799374774259+0.7300629158184584j),(0.2956750174811136-0.07425184155912028j),(0.9790549549585394+0.6558110742593382j)
"(1.9230769230769234, -2.8461538461538463)",[ 1.92307692 -2.84615385],(-0.24437758721720343+0.9696801508053561j),(0.24055756488861965+0.16089633170332554j),(-0.0038200223285837775+1.1305764825086817j)
"(2.0769230769230775, -2.8461538461538463)",[ 2.07692308 -2.84615385],(-0.9477597217217487+0.31898512485994307j),(0.02930133888169075+0.27347799835620584j),(-0.918458382840058+0.5924631232161489j)
"(2.230769230769231, -2.8461538461538463)",[ 2.23076923 -2.84615385],(-0.7809558469882428-0.6245862350827757j),(-0.18899095575323205+0.18276733551813967j),(-0.9699468027414748-0.441818899564636j)
"(2.384615384615385, -2.8461538461538463)",[ 2.38461538 -2.84615385],(0.10288298534745804-0.9946934660115119j),(-0.249976268381512-0.04251773080076661j),(-0.14709328303405395-1.0372111968122786j)
"(2.5384615384615383, -2.8461538461538463)",[ 2.53846154 -2.84615385],(0.8922597590135154-0.45152244954724396j),(-0.105968002240628-0.22312547613884418j),(0.7862917567728874-0.6746479256860881j)
"(2.6923076923076925, -2.8461538461538463)",[ 2.69230769 -2.84615385],(0.8624078388402023+0.506214104413312j),(0.12309242286179392-0.20931123716994054j),(0.9855002617019962+0.2969028672433715j)
"(2.8461538461538467, -2.8461538461538463)",[ 2.84615385 -2.84615385],(0.040735778586812085+0.999169953683019j),(0.24004730824560996-0.012591140355186742j),(0.28078308683242204+0.9865788133278323j)
"(3.0, -2.8461538461538463)",[ 3.         -2.84615385],(-0.8183378548599027+0.5747374664168786j),(0.1403093637234358+0.19351630561931904j),(-0.6780284911364669+0.7682537720361977j)
"(-3.0, -2.6923076923076925)",[-3.         -2.69230769],(-0.26036939857474106+0.9655090762317191j),(0.2483656687652743-0.044239119292017515j),(-0.012003729809466762+0.9212699569397016j)
"(-2.8461538461538463, -2.6923076923076925)",[-2.84615385 -2.69230769],(-0.952901918973441+0.3032786389060952j),(0.141947662607147-0.21661768923308222j),(-0.810954256366294+0.08666094967301297j)
