index,x,value
"(-0.6923076923076921, -2.8461538461538463)","(-0.6923076923076921, -2.8461538461538463)",(0.22366642721699526-0.25983591407044915j)
"(-0.5384615384615383, -2.8461538461538463)","(-0.5384615384615383, -2.8461538461538463)",(0.20081157666672408-0.27742065420618445j)
"(-0.3846153846153846, -2.8461538461538463)","(-0.3846153846153846, -2.8461538461538463)",(0.19591708557563914-0.2751095946432301j)
"(-0.23076923076923084, -2.8461538461538463)","(-0.23076923076923084, -2.8461538461538463)",(0.21011636483962345-0.2532576613244528j)
"(-0.07692307692307665, -2.8461538461538463)","(-0.07692307692307665, -2.8461538461538463)",(0.23912354190743412-0.2091611567536419j)
"(0.0769230769230771, -2.8461538461538463)","(0.0769230769230771, -2.8461538461538463)",(0.27239324641930385-0.13860196691510024j)
"(0.23076923076923084, -2.8461538461538463)","(0.23076923076923084, -2.8461538461538463)",(0.2927138015261095-0.03991876591336786j)
"(0.384615384615385, -2.8461538461538463)","(0.384615384615385, -2.8461538461538463)",(0.2782222784523925+0.07991842543606222j)
"(0.5384615384615388, -2.8461538461538463)","(0.5384615384615388, -2.8461538461538463)",(0.20912901588846336+0.19960724101319088j)
"(0.6923076923076925, -2.8461538461538463)","(0.6923076923076925, -2.8461538461538463)",(0.0796279116436184+0.28288296535332574j)
"(0.8461538461538463, -2.8461538461538463)","(0.8461538461538463, -2.8461538461538463)",(-0.0890766175827784+0.2883196848725341j)
"(1.0, -2.8461538461538463)","(1.0, -2.8461538461538463)",(-0.24415867106067304+0.19095791299345571j)
"(1.1538461538461542, -2.8461538461538463)","(1.1538461538461542, -2.8461538461538463)",(-0.31579311224765055+0.007671838164397208j)
"(1.3076923076923084, -2.8461538461538463)","(1.3076923076923084, -2.8461538461538463)",(-0.25326852748029377-0.19196378389203367j)
"(1.4615384615384617, -2.8461538461538463)","(1.4615384615384617, -2.8461538461538463)",(-0.06682620832018447-0.3078653326527444j)
"(1.6153846153846159, -2.8461538461538463)","(1.6153846153846159, -2.8461538461538463)",(0.15627556536212164-0.2653063377399851j)
"(1.7692307692307692, -2.8461538461538463)","(1.7692307692307692, -2.8461538461538463)",(0.28793133843168933-0.07465064287642156j)
"(1.9230769230769234, -2.8461538461538463)","(1.9230769230769234, -2.8461538461538463)",(0.24001238506701883+0.1537863303489771j)
"(2.0769230769230775, -2.8461538461538463)","(2.0769230769230775, -2.8461538461538463)",(0.038005749298915745+0.26951098801898543j)
"(2.230769230769231, -2.8461538461538463)","(2.230769230769231, -2.8461538461538463)",(-0.1782673454925977+0.18935216926554052j)
"(2.384615384615385, -2.8461538461538463)","(2.384615384615385, -2.8461538461538463)",(-0.24806670035121586-0.02742792114761859j)
"(2.5384615384615383, -2.8461538461538463)","(2.5384615384615383, -2.8461538461538463)",(-0.1176567302037496-0.21048968936936238j)
"(2.6923076923076925, -2.8461538461538463)","(2.6923076923076925, -2.8461538461538463)",(0.10454092210394572-0.21021875579841273j)
"(2.8461538461538467, -2.8461538461538463)","(2.8461538461538467, -2.8461538461538463)",(0.22851343439388155-0.028121019703705195j)
"(3.0, -2.8461538461538463)","(3.0, -2.8461538461538463)",(0.1453122063937091+0.1745620251715386j)
"(-3.0, -2.6923076923076925)","(-3.0, -2.6923076923076925)",(0.2059663006990937-0.06124151754248931j)
"(-2.8461538461538463, -2.6923076923076925)","(-2.8461538461538463, -2.6923076923076925)",(0.1001493020404116-0.1956984564244687j)
"(-2.6923076923076925, -2.6923076923076925)","(-2.6923076923076925, -2.6923076923076925)",(-0.06824381559447895-0.2147210778043524j)
"(-2.5384615384615383, -2.6923076923076925)","(-2.5384615384615383, -2.6923076923076925)",(-0.20164219657685348-0.11352812474363336j)
"(-2.3846153846153846, -2.6923076923076925)","(-2.3846153846153846, -2.6923076923076925)",(-0.2333041608068634+0.04840402431705315j)
"(-2.230769230769231, -2.6923076923076925)","(-2.230769230769231, -2.6923076923076925)",(-0.1555447367951261+0.19065388782154713j)
"(-2.0769230769230766, -2.6923076923076925)","(-2.0769230769230766, -2.6923076923076925)",(-0.010301967387079596+0.2546841493642655j)
"(-1.923076923076923, -2.6923076923076925)","(-1.923076923076923, -2.6923076923076925)",(0.1413636013241523+0.22401557084377932j)
"(-1.7692307692307692, -2.6923076923076925)","(-1.7692307692307692, -2.6923076923076925)",(0.24887825002934824+0.11949363195679746j)
"(-1.6153846153846154, -2.6923076923076925)","(-1.6153846153846154, -2.6923076923076925)",(0.28772036555407327-0.019250218832152916j)
"(-1.4615384615384615, -2.6923076923076925)","(-1.4615384615384615, -2.6923076923076925)",(0.2597258002238327-0.15306700931275208j)
"(-1.3076923076923075, -2.6923076923076925)","(-1.3076923076923075, -2.6923076923076925)",(0.18410423858001387-0.25549189602293526j)
"(-1.1538461538461537, -2.6923076923076925)","(-1.1538461538461537, -2.6923076923076925)",(0.08623438341645132-0.31638843270662376j)
"(-1.0, -2.6923076923076925)","(-1.0, -2.6923076923076925)",(-0.011055259107123527-0.3393571423162803j)
"(-0.8461538461538458, -2.6923076923076925)","(-0.8461538461538458, -2.6923076923076925)",(-0.09194476905843124-0.33624311997836825j)
"(-0.6923076923076921, -2.6923076923076925)","(-0.6923076923076921, -2.6923076923076925)",(-0.148127439822051-0.32143520079274573j)
"(-0.5384615384615383, -2.6923076923076925)","(-0.5384615384615383, -2.6923076923076925)",(-0.1767193100218924-0.3074401235734149j)
"(-0.3846153846153846, -2.6923076923076925)","(-0.3846153846153846, -2.6923076923076925)",(-0.17724166430850163-0.3020623994015866j)
"(-0.23076923076923084, -2.6923076923076925)","(-0.23076923076923084, -2.6923076923076925)",(-0.1492354875328163-0.306770882626045j)
"(-0.07692307692307665, -2.6923076923076925)","(-0.07692307692307665, -2.6923076923076925)",(-0.09177040529201907-0.3157270505713633j)
"(0.0769230769230771, -2.6923076923076925)","(0.0769230769230771, -2.6923076923076925)",(-0.005654387543972973-0.3155843179627286j)
"(0.23076923076923084, -2.6923076923076925)","(0.23076923076923084, -2.6923076923076925)",(0.10175106506609007-0.2872995076613156j)
"(0.384615384615385, -2.6923076923076925)","(0.384615384615385, -2.6923076923076925)",(0.21097036094619723-0.21199543401336543j)
"(0.5384615384615388, -2.6923076923076925)","(0.5384615384615388, -2.6923076923076925)",(0.28842286095854663-0.0819551070606595j)
"(0.6923076923076925, -2.6923076923076925)","(0.6923076923076925, -2.6923076923076925)",(0.29375010402816626+0.08606460719692799j)
"(0.8461538461538463, -2.6923076923076925)","(0.8461538461538463, -2.6923076923076925)",(0.1994590035499686+0.24385670758250638j)
"(1.0, -2.6923076923076925)","(1.0, -2.6923076923076925)",(0.016916174880268718+0.32280691480778495j)
"(1.1538461538461542, -2.6923076923076925)","(1.1538461538461542, -2.6923076923076925)",(-0.1888892138609057+0.26804930023319357j)
"(1.3076923076923084, -2.6923076923076925)","(1.3076923076923084, -2.6923076923076925)",(-0.3168538296402905+0.08272170425236054j)
"(1.4615384615384617, -2.6923076923076925)","(1.4615384615384617, -2.6923076923076925)",(-0.2847075561818476-0.14977461827752517j)
"(1.6153846153846159, -2.6923076923076925)","(1.6153846153846159, -2.6923076923076925)",(-0.09403822951221251-0.296939493765125j)
"(1.7692307692307692, -2.6923076923076925)","(1.7692307692307692, -2.6923076923076925)",(0.1467260146322716-0.2597932429924322j)
"(1.9230769230769234, -2.6923076923076925)","(1.9230769230769234, -2.6923076923076925)",(0.27875094442036147-0.055239056817640214j)
"(2.0769230769230775, -2.6923076923076925)","(2.0769230769230775, -2.6923076923076925)",(0.20639387988229235+0.17490620186841457j)
"(2.230769230769231, -2.6923076923076925)","(2.230769230769231, -2.6923076923076925)",(-0.01654515665480278+0.25812907157529624j)
"(2.384615384615385, -2.6923076923076925)","(2.384615384615385, -2.6923076923076925)",(-0.2127368111140049+0.12970494006289598j)
"(2.5384615384615383, -2.6923076923076925)","(2.5384615384615383, -2.6923076923076925)",(-0.21975843499163478-0.10163687989448267j)
"(2.6923076923076925, -2.6923076923076925)","(2.6923076923076925, -2.6923076923076925)",(-0.0332981741071067-0.23490015671667705j)
"(2.8461538461538467, -2.6923076923076925)","(2.8461538461538467, -2.6923076923076925)",(0.17856931198751916-0.15128480491107957j)
"(3.0, -2.6923076923076925)","(3.0, -2.6923076923076925)",(0.22055351789199895+0.07188778300807289j)
