index,cp
"(1, (3,))",(-0.03374827526421254-0.001681309226350467j)
"(1, (4,))",(0.0117128524450906-0.0316951411358777j)
"(1, (5,))",(0.026731491743494293+0.02066882273355615j)
"(1, (6,))",(-0.02772680734030361+0.019313131251491953j)
"(1, (7,))",(-0.010121276107326355-0.03223868257207381j)
"(1, (8,))",(0.03379012997938413+4.440892098500624e-18j)
"(1, (9,))",(-0.01012127610732635+0.03223868257207381j)
"(1, (10,))",(-0.027726807340303625-0.019313131251491974j)
"(1, (11,))",(0.0267314917434943-0.02066882273355615j)
"(1, (12,))",(0.01171285244509061+0.03169514113587767j)
"(1, (13,))",(-0.03374827526421246+0.0016813092263504696j)
"(1, (14,))",(0.008504625990390263-0.03270235803099286j)
"(1, (15,))",(0.0286534343807473+0.017909594697029626j)
"(1, (16,))",(-0.019804117215273694+0.03299763324573286j)
"(1, (17,))",(-0.02979168285720865+0.025501483927730044j)
"(1, (18,))",(-0.029791682857208648+0.02550148392773004j)
"(1, (19,))",(-0.02979168285720873+0.025501483927730117j)
"(1, (20,))",(-0.02979168285720873+0.025501483927730117j)
"(1, (21,))",(-0.02979168285720862+0.025501483927730023j)
"(1, (22,))",(-0.02979168285720861+0.025501483927730013j)
"(1, (23,))",(-0.02979168285720865+0.025501483927730044j)
"(1, (24,))",(-0.029791682857208686+0.025501483927730075j)
"(1, (25,))",(-0.029791682857208665+0.025501483927730058j)
"(1, (26,))",(-0.029791682857208686+0.025501483927730075j)
"(1, (27,))",(-0.02979168285720858+0.02550148392772998j)
"(1, (28,))",(-0.02979168285720858+0.02550148392772998j)
"(1, (29,))",(-0.02979168285720869+0.025501483927730075j)
"(1, (30,))",(-0.029791682857208686+0.025501483927730075j)
"(1, (31,))",(-0.029791682857208603+0.025501483927730006j)
"(1, (32,))",(-0.029791682857208603+0.025501483927730006j)
"(1, (33,))",(-0.029791682857208603+0.025501483927730006j)
"(1, (34,))",(-0.02979168285720869+0.025501483927730075j)
"(1, (35,))",(-0.029791682857208686+0.025501483927730075j)
"(1, (36,))",(-0.029791682857208603+0.025501483927730006j)
"(1, (37,))",(-0.029791682857208603+0.025501483927730006j)
"(1, (38,))",(-0.02979168285720869+0.025501483927730075j)
"(1, (39,))",(-0.02979168285720855+0.02550148392772996j)
"(1, (40,))",(-0.029791682857208707+0.025501483927730096j)
"(1, (41,))",(-0.029791682857208603+0.025501483927730006j)
"(1, (42,))",(-0.029791682857208603+0.025501483927730006j)
"(1, (43,))",(-0.02979168285720869+0.025501483927730075j)
"(1, (44,))",(-0.029791682857208686+0.025501483927730075j)
"(1, (45,))",(-0.029791682857208603+0.025501483927730006j)
"(1, (46,))",(-0.029791682857208603+0.025501483927730006j)
"(1, (47,))",(-0.02979168285720869+0.025501483927730075j)
"(1, (48,))",(-0.029791682857208686+0.025501483927730075j)
"(1, (49,))",(-0.029791682857208603+0.025501483927730006j)
"(1, (50,))",(-0.019804117215273722+0.032997633245732884j)
"(1, (51,))",(0.028653434380747675+0.017909594697029876j)
"(1, (52,))",(0.008504625990390332-0.032702358030993285j)
"(1, (53,))",(-0.033748275264212896+0.0016813092263504863j)
"(1, (54,))",(0.011712852445090766+0.031695141135878j)
"(1, (55,))",(0.026731491743494554-0.020668822733556375j)
"(1, (56,))",(-0.02772680734030392-0.019313131251492168j)
"(1, (57,))",(-0.010121276107326462+0.03223868257207415j)
"(1, (58,))",(0.03379012997938444+0j)
"(1, (59,))",(-0.01012127610732629-0.03223868257207345j)
"(1, (60,))",(-0.02772680734030336+0.01931313125149172j)
"(1, (61,))",(0.026731491743494568+0.020668822733556375j)
"(1, (62,))",(0.011712852445090759-0.03169514113587801j)
"(1, (63,))",(-0.033748275264212896-0.0016813092263504928j)
"(1, (64,))",(0.008504625990390308+0.03270235803099332j)
"(1, (65,))",(0.028653434380747713-0.017909594697029893j)
"(1, (66,))",(-0.019804117215273878-0.032997633245732974j)
"(1, (67,))",(-0.029791682857208852-0.025501483927730217j)
"(1, (68,))",(-0.029791682857208526-0.02550148392772994j)
"(1, (69,))",(-0.02979168285720852-0.025501483927729933j)
"(1, (70,))",(-0.029791682857208852-0.025501483927730217j)
"(1, (71,))",(-0.029791682857208825-0.02550148392773019j)
"(1, (72,))",(-0.02979168285720882-0.025501483927730197j)
"(1, (73,))",(-0.029791682857208852-0.025501483927730217j)
"(1, (74,))",(-0.029791682857208852-0.025501483927730217j)
"(1, (75,))",(-0.029791682857208852-0.025501483927730217j)
"(1, (76,))",(-0.029791682857208852-0.025501483927730217j)
"(1, (77,))",(-0.029791682857208495-0.025501483927729916j)
"(1, (78,))",(-0.029791682857208488-0.02550148392772991j)
"(1, (79,))",(-0.029791682857208693-0.025501483927730075j)
"(1, (80,))",(-0.029791682857208686-0.025501483927730075j)
"(1, (81,))",(-0.029791682857208852-0.025501483927730217j)
"(1, (82,))",(-0.029791682857208852-0.025501483927730217j)
"(1, (83,))",(-0.029791682857208852-0.025501483927730217j)
"(1, (84,))",(-0.029791682857208852-0.025501483927730217j)
"(1, (85,))",(-0.029791682857208852-0.025501483927730217j)
"(1, (86,))",(-0.029791682857208526-0.02550148392772994j)
"(1, (87,))",(-0.02979168285720852-0.025501483927729933j)
"(1, (88,))",(-0.029791682857208852-0.025501483927730217j)
"(1, (89,))",(-0.029791682857208793-0.02550148392773017j)
"(1, (90,))",(-0.029791682857208793-0.025501483927730172j)
"(1, (91,))",(-0.029791682857208852-0.025501483927730217j)
"(1, (92,))",(-0.029791682857208852-0.025501483927730217j)
"(1, (93,))",(-0.029791682857208852-0.025501483927730217j)
"(1, (94,))",(-0.029791682857208852-0.025501483927730217j)
