index,x,value,0,1
"(0.4177215189873418, -3.0)","(0.4177215189873418, -3.0)",(-0.13600218285096277+0.5253456240095409j),(-0.22429768793626997+0.10321956161949532j),(0.0882955050853072+0.4221260623900455j)
"(0.49367088607594933, -3.0)","(0.49367088607594933, -3.0)",(-0.1618159414193106+0.49276113789782044j),(-0.2517287783503918+0.04474247937042344j),(0.0899128369310812+0.44801865852739703j)
"(0.5696202531645569, -3.0)","(0.5696202531645569, -3.0)",(-0.185484494023461+0.4492637488417947j),(-0.26197550947822995-0.022872073806365044j),(0.07649101545476893+0.47213582264815973j)
"(0.6455696202531644, -3.0)","(0.6455696202531644, -3.0)",(-0.20581651238566856+0.3990518649045805j),(-0.2518024158525765-0.09429236783405869j),(0.045985903466907944+0.4933442327386392j)
"(0.7215189873417724, -3.0)","(0.7215189873417724, -3.0)",(-0.22228764717450888+0.3462630794786603j),(-0.21967348252550334-0.16293860333040322j),(-0.0026141646490055598+0.5092016828090635j)
"(0.79746835443038, -3.0)","(0.79746835443038, -3.0)",(-0.2351801023270235+0.2942622711290306j),(-0.16626354514907826-0.2215463274418474j),(-0.06891655717794523+0.515808598570878j)
"(0.8734177215189876, -3.0)","(0.8734177215189876, -3.0)",(-0.24548089523503527+0.24502538486057002j),(-0.09477685719477905-0.2629456426951313j),(-0.15070403804025623+0.5079710275557013j)
"(0.9493670886075951, -3.0)","(0.9493670886075951, -3.0)",(-0.2544891369455508+0.19876918074003197j),(-0.010979480965228874-0.28098888710490444j),(-0.24350965598032193+0.4797580678449364j)
"(1.0253164556962027, -3.0)","(1.0253164556962027, -3.0)",(-0.26317154605840787+0.1539605938427872j),(0.07712397569091207-0.2715181746305032j),(-0.34029552174931993+0.4254787684732904j)
"(1.1012658227848107, -3.0)","(1.1012658227848107, -3.0)",(-0.27141159653781816+0.10778778597499844j),(0.15999627030470254-0.23323143027833804j),(-0.4314078668425207+0.3410192162533365j)
"(1.1772151898734178, -3.0)","(1.1772151898734178, -3.0)",(-0.2773878650971128+0.05708474293295046j),(0.22762502686374464-0.1682898876846749j),(-0.5050128919608574+0.22537463061762536j)
"(1.2531645569620258, -3.0)","(1.2531645569620258, -3.0)",(-0.27735343828962356-0.00042054308924335815j),(0.27083420742691344-0.08251890901807635j),(-0.548187645716537+0.08209836592883299j)
"(1.3291139240506329, -3.0)","(1.3291139240506329, -3.0)",(-0.2660405208983378-0.06479467429352008j),(0.2826875402533185+0.014908081002942056j),(-0.5487280611516563-0.07970275529646213j)
"(1.4050632911392409, -3.0)","(1.4050632911392409, -3.0)",(-0.23777338331137615-0.13288491028249685j),(0.2597726672881053+0.11234606881057144j),(-0.4975460505994814-0.2452309790930683j)
"(1.481012658227848, -3.0)","(1.481012658227848, -3.0)",(-0.18815962685962234-0.19798761707849472j),(0.20313386763088648+0.19706966467921644j),(-0.3912934944905088-0.39505728175771115j)
"(1.556962025316456, -3.0)","(1.556962025316456, -3.0)",(-0.11599721158913881-0.25049509337639947j),(0.1186391137463014+0.2570340794244575j),(-0.2346363253354402-0.507529172800857j)
"(1.6329113924050631, -3.0)","(1.6329113924050631, -3.0)",(-0.024857209885436455-0.27960543563356943j),(0.01662883502991581+0.2827688276740955j),(-0.041486044915352266-0.5623742633076649j)
"(1.708860759493671, -3.0)","(1.708860759493671, -3.0)",(0.07624486337663862-0.2758790173413293j),(-0.0892039577805306+0.26910204944601307j),(0.16544882115716922-0.5449810667873424j)
"(1.7848101265822782, -3.0)","(1.7848101265822782, -3.0)",(0.17354353331365774-0.23410975126003628j),(-0.18362178014728653+0.21639365247295203j),(0.35716531346094427-0.4505034037329883j)
"(1.8607594936708862, -3.0)","(1.8607594936708862, -3.0)",(0.25072578536274515-0.15575158903082953j),(-0.2521200534542598+0.13099389204149214j),(0.502845838817005-0.2867454810723217j)
"(1.9367088607594942, -3.0)","(1.9367088607594942, -3.0)",(0.29235365430331767-0.05009832224618248j),(-0.28333489828242103+0.024743587811230636j),(0.5756885525857387-0.07484191005741311j)
"(2.0126582278481013, -3.0)","(2.0126582278481013, -3.0)",(0.28778698290943855+0.06638565533080656j),(-0.2711688500517146-0.0865163189646509j),(0.5589558329611531+0.15290197429545746j)
"(2.0886075949367093, -3.0)","(2.0886075949367093, -3.0)",(0.2345915112178397+0.17275783304728926j),(-0.21621756602990458-0.1852766978892632j),(0.45080907724774427+0.35803453093655246j)
"(2.1645569620253164, -3.0)","(2.1645569620253164, -3.0)",(0.14038085258067046+0.24792371344544806j),(-0.1261576335171946-0.25520529633381017j),(0.26653848609786507+0.5031290097792582j)
"(2.2405063291139244, -3.0)","(2.2405063291139244, -3.0)",(0.022320035594528873+0.2756623847523213j),(-0.014911089139364668-0.2840369555993735j),(0.03723112473389354+0.5596993403516948j)
"(2.3164556962025316, -3.0)","(2.3164556962025316, -3.0)",(-0.09592263476374796+0.24906688710687086j),(0.09938414035962523-0.26597582706127176j),(-0.1953067751233732+0.5150427141681426j)
"(2.3924050632911396, -3.0)","(2.3924050632911396, -3.0)",(-0.18928126886085456+0.17309807766610766j),(0.19733306410722046-0.20311010558991419j),(-0.386614332968075+0.37620818325602184j)
"(2.4683544303797467, -3.0)","(2.4683544303797467, -3.0)",(-0.23730390957546743+0.06432094511107941j),(0.26169563890267117-0.10547894370458685j),(-0.4989995484781386+0.16979988881566627j)
"(2.5443037974683547, -3.0)","(2.5443037974683547, -3.0)",(-0.2295192278056029-0.05241305953600509j),(0.2806367199942226+0.010339500719790765j),(-0.5101559477998255-0.06275256025579586j)
"(2.620253164556962, -3.0)","(2.620253164556962, -3.0)",(-0.16862114395544053-0.14972759982071032j),(0.2501703074247559+0.12396767682063596j),(-0.4187914513801964-0.2736952766413463j)
"(2.6962025316455698, -3.0)","(2.6962025316455698, -3.0)",(-0.07040252503643699-0.20455851763032787j),(0.17525631932122357+0.21486326603680087j),(-0.24565884435766056-0.41942178366712873j)
"(2.7721518987341778, -3.0)","(2.7721518987341778, -3.0)",(0.03980142371914337-0.2042664739409969j),(0.06923352079327266+0.266196023834856j),(-0.02943209707412929-0.4704624977758529j)
"(2.848101265822785, -3.0)","(2.848101265822785, -3.0)",(0.1334237742534847-0.15028243609625686j),(-0.04841380572235426+0.26820948355993146j),(0.18183757997583896-0.4184919196561883j)
"(2.924050632911393, -3.0)","(2.924050632911393, -3.0)",(0.1861521927488329-0.05811594895218489j),(-0.15561413818631+0.2203561192340132j),(0.3417663309351429-0.2784720681861981j)
"(3.0, -3.0)","(3.0, -3.0)",(0.20101185184686982+0.09819301862967617j),(-0.22065998101700113+0.15026661035879638j),(0.42167183286387094-0.05207359172912021j)
"(-3.0, -2.9240506329113924)","(-3.0, -2.9240506329113924)",(0.3185677992185665-0.07449817874154013j),(0.1569883444067208+0.17051377561579567j),(0.16157945481184569-0.2450119543573358j)
"(-2.9240506329113924, -2.9240506329113924)","(-2.9240506329113924, -2.9240506329113924)",(0.22877616334138645-0.15847369480036938j),(0.20340782584332204+0.13492438147973934j),(0.025368337498064428-0.2933980762801087j)
"(-2.848101265822785, -2.9240506329113924)","(-2.848101265822785, -2.9240506329113924)",(0.12332361601405001-0.18299175450703453j),(0.2404673014621257+0.08804870147435573j),(-0.11714368544807569-0.27104045598139026j)
"(-2.7721518987341773, -2.9240506329113924)","(-2.7721518987341773, -2.9240506329113924)",(0.03401127226231737-0.15110855399096235j),(0.265630499772151+0.03288868456055964j),(-0.2316192275098336-0.183997238551522j)
"(-2.6962025316455698, -2.9240506329113924)","(-2.6962025316455698, -2.9240506329113924)",(-0.013735993937125157-0.08081360268681212j),(0.2774180889312962-0.027054940355670704j),(-0.29115408286842137-0.05375866233114142j)
"(-2.620253164556962, -2.9240506329113924)","(-2.620253164556962, -2.9240506329113924)",(-0.0070852674235695745+0.00024398149591678409j),(0.27545600073025867-0.08815314048930024j),(-0.28254126815382824+0.08839712198521703j)
"(-2.5443037974683547, -2.9240506329113924)","(-2.5443037974683547, -2.9240506329113924)",(0.05142958391022667+0.0622115086499907j),(0.26040057740647293-0.14698940577982325j),(-0.20897099349624626+0.20920091442981395j)
"(-2.4683544303797467, -2.9240506329113924)","(-2.4683544303797467, -2.9240506329113924)",(0.1450931212746705+0.08070247840224962j),(0.23376771108039113-0.20063455709907294j),(-0.08867458980572064+0.28133703550132255j)
"(-2.392405063291139, -2.9240506329113924)","(-2.392405063291139, -2.9240506329113924)",(0.24765479998310844+0.04276834032291926j),(0.19770112752398855-0.2468341016854601j),(0.049953672459119886+0.28960244200837937j)
"(-2.3164556962025316, -2.9240506329113924)","(-2.3164556962025316, -2.9240506329113924)",(0.33010790806771606-0.05020592859874681j),(0.1547163861303717-0.2841017948500804j),(0.17539152193734434+0.2338958662513336j)
"(-2.240506329113924, -2.9240506329113924)","(-2.240506329113924, -2.9240506329113924)",(0.36782779926143316-0.18321720319305676j),(0.1074531965064127-0.31172597075209196j),(0.26037460275502045+0.1285087675590352j)
"(-2.1645569620253164, -2.9240506329113924)","(-2.1645569620253164, -2.9240506329113924)",(0.3463225379602078-0.3315862496611891j),(0.05846107160411923-0.32970445876085636j),(0.28786146635608856-0.0018817909003327402j)
"(-2.088607594936709, -2.9240506329113924)","(-2.088607594936709, -2.9240506329113924)",(0.2643049996889082-0.46698349890971375j),(0.010034089511265259-0.33862897284354987j),(0.2542709101776429-0.12835452606616388j)
"(-2.0126582278481013, -2.9240506329113924)","(-2.0126582278481013, -2.9240506329113924)",(0.13353417011583207-0.5639745104169029j),(-0.03589864742886292-0.33954100654323915j),(0.169432817544695-0.22443350387366376j)
"(-1.9367088607594936, -2.9240506329113924)","(-1.9367088607594936, -2.9240506329113924)",(-0.024311504580618704-0.6055148791829177j),(-0.07782810238933624-0.3337792887250628j),(0.053516597808717536-0.2717355904578549j)
"(-1.860759493670886, -2.9240506329113924)","(-1.860759493670886, -2.9240506329113924)",(-0.18278237321661528-0.5861994298525588j),(-0.1146729340567332-0.3228348292786738j),(-0.06810943915988209-0.26336460057388494j)
"(-1.7848101265822784, -2.9240506329113924)","(-1.7848101265822784, -2.9240506329113924)",(-0.3164857213111986-0.5127007088230023j),(-0.14575008978880682-0.30822460605257745j),(-0.1707356315223918-0.20447610277042488j)
"(-1.7088607594936709, -2.9240506329113924)","(-1.7088607594936709, -2.9240506329113924)",(-0.4062147457793878-0.4015388668666605j),(-0.17072008841932118-0.291389951740753j),(-0.23549465736006664-0.1101489151259075j)
"(-1.6329113924050633, -2.9240506329113924)","(-1.6329113924050633, -2.9240506329113924)",(-0.44229401112071776-0.27492911276259185j),(-0.18951834158443595-0.2736213680901729j),(-0.25277566953628183-0.0013077446724189326j)
"(-1.5569620253164556, -2.9240506329113924)","(-1.5569620253164556, -2.9240506329113924)",(-0.42557806387590363-0.1558180293195066j),(-0.2022823628655555-0.256008211980851j),(-0.22329570101034812+0.10019018266134437j)
"(-1.481012658227848, -2.9240506329113924)","(-1.481012658227848, -2.9240506329113924)",(-0.3661368591163807-0.06328381062988142j),(-0.2092826404513247-0.2394095923648392j),(-0.15685421866505603+0.17612578173495777j)
"(-1.4050632911392404, -2.9240506329113924)","(-1.4050632911392404, -2.9240506329113924)",(-0.28018226132417845-0.009256796462056738j),(-0.21086275392380502-0.2244418223688668j),(-0.06931950740037342+0.21518502590681007j)
"(-1.3291139240506329, -2.9240506329113924)","(-1.3291139240506329, -2.9240506329113924)",(-0.1861183360945973+0.002898304777271987j),(-0.20739231346138767-0.2114777002825865j),(0.021273977366790372+0.2143760050598585j)
"(-1.2531645569620253, -2.9240506329113924)","(-1.2531645569620253, -2.9240506329113924)",(-0.1006798815429674-0.02211543155609688j),(-0.19923465877799493-0.20065350777420216j),(0.09855477723502752+0.17853807621810527j)
"(-1.1772151898734178, -2.9240506329113924)","(-1.1772151898734178, -2.9240506329113924)",(-0.03597141082984781-0.07356049249046773j),(-0.18673001562494176-0.1918806736965434j),(0.15075860479509395+0.11832018120607568j)
"(-1.10126582278481, -2.9240506329113924)","(-1.10126582278481, -2.9240506329113924)",(0.002099167119159001-0.13756913657122521j),(-0.1701939125374346-0.18486034659568354j),(0.1722930796565936+0.04729121002445831j)
"(-1.0253164556962024, -2.9240506329113924)","(-1.0253164556962024, -2.9240506329113924)",(0.013882325510874871-0.20016524413965187j),(-0.14992999115501782-0.17910047704613685j),(0.1638123166658927-0.021064767093515027j)
"(-0.9493670886075947, -2.9240506329113924)","(-0.9493670886075947, -2.9240506329113924)",(0.004783921589993911-0.24974977760581202j),(-0.12625575447723392-0.17393629476563904j),(0.13103967606722783-0.07581348284017297j)
"(-0.8734177215189871, -2.9240506329113924)","(-0.8734177215189871, -2.9240506329113924)",(-0.016725600897914486-0.27862993253819224j),(-0.09953914712013218-0.16855615758893483j),(0.08281354622221769-0.11007377494925744j)
"(-0.7974683544303796, -2.9240506329113924)","(-0.7974683544303796, -2.9240506329113924)",(-0.041326076404894-0.28346333015361413j),(-0.07024303819751015-0.16203553591532818j),(0.02891696179261616-0.12142779423828594j)
"(-0.721518987341772, -2.9240506329113924)","(-0.721518987341772, -2.9240506329113924)",(-0.06078154952449703-0.26475760480976535j),(-0.038973621685261944-0.15338225459041652j),(-0.021807927839235092-0.11137535021934883j)
"(-0.6455696202531644, -2.9240506329113924)","(-0.6455696202531644, -2.9240506329113924)",(-0.0692525469988503-0.22575155266620656j),(-0.006527474564287074-0.14159590976186892j),(-0.06272507243456323-0.08415564290433764j)
"(-0.5696202531645569, -2.9240506329113924)","(-0.5696202531645569, -2.9240506329113924)",(-0.06385660766718429-0.17107651673721447j),(0.02606937722981516-0.12574347404844202j),(-0.08992598489699945-0.04533304268877243j)
"(-0.49367088607594933, -2.9240506329113924)","(-0.49367088607594933, -2.9240506329113924)",(-0.04454381352534258-0.10555905935229463j),(0.05753833721939648-0.10505138423153897j),(-0.10208215074473906-0.000507675120755665j)
"(-0.4177215189873418, -2.9240506329113924)","(-0.4177215189873418, -2.9240506329113924)",(-0.013491367755560701-0.03340821694666482j),(0.08634992237194869-0.07901181698010658j),(-0.09984129012750939+0.04560360003344176j)
"(-0.3417721518987342, -2.9240506329113924)","(-0.3417721518987342, -2.9240506329113924)",(0.02572295559351233+0.04212267755402949j),(0.11075923959194657-0.04749745514718667j),(-0.08503628399843424+0.08962013270121616j)
"(-0.26582278481012667, -2.9240506329113924)","(-0.26582278481012667, -2.9240506329113924)",(0.06893118647597488+0.11865323162121513j),(0.12888314850242827-0.010875047923353053j),(-0.05995196202645339+0.1295282795445682j)
"(-0.1898734177215191, -2.9240506329113924)","(-0.1898734177215191, -2.9240506329113924)",(0.11200973369684296+0.19432555391758788j),(0.13882427939804617+0.029896102296662726j),(-0.026814545701203216+0.16442945162092515j)
"(-0.11392405063291111, -2.9240506329113924)","(-0.11392405063291111, -2.9240506329113924)",(0.15127794689979915+0.267378495826321j),(0.13884242492614465+0.07319828224520464j),(0.012435521973654507+0.19418021358111634j)
"(-0.037974683544303556, -2.9240506329113924)","(-0.037974683544303556, -2.9240506329113924)",(0.18368862073808429+0.3358195204451095j),(0.12756719205533798+0.11674204233741615j),(0.0561214286827463+0.21907747810769335j)
"(0.037974683544304, -2.9240506329113924)","(0.037974683544304, -2.9240506329113924)",(0.20689165691887526+0.3973057712436232j),(0.10423749177913885+0.15762532257886597j),(0.10265416513973641+0.23968044866475727j)
"(0.11392405063291156, -2.9240506329113924)","(0.11392405063291156, -2.9240506329113924)",(0.21926110472244167+0.449266454073448j),(0.06894422539419545+0.19248166002032563j),(0.15031687932824622+0.2567847940531224j)
"(0.1898734177215191, -2.9240506329113924)","(0.1898734177215191, -2.9240506329113924)",(0.2199459850726326+0.48922460860647293j),(0.02284367552940952+0.21772676472603675j),(0.19710230954322308+0.2714978438804362j)
"(0.26582278481012667, -2.9240506329113924)","(0.26582278481012667, -2.9240506329113924)",(0.20895340024057443+0.5152247740877061j),(-0.03169763125074662+0.22990108372674464j),(0.24065103149132105+0.28532369036096145j)
"(0.3417721518987342, -2.9240506329113924)","(0.3417721518987342, -2.9240506329113924)",(0.18722047798813388+0.526251478603898j),(-0.091068420156766+0.22609044958812693j),(0.2782888981448999+0.300161029015771j)
"(0.4177215189873418, -2.9240506329113924)","(0.4177215189873418, -2.9240506329113924)",(0.15660032925503764+0.5225302198090677j),(-0.1505267834827233+0.20438894488323986j),(0.30712711273776094+0.3181412749258278j)
"(0.49367088607594933, -2.9240506329113924)","(0.49367088607594933, -2.9240506329113924)",(0.11968986367934165+0.505629772250956j),(-0.20448987037983735+0.16435014091532493j),(0.324179734059179+0.341279631335631j)
"(0.5696202531645569, -2.9240506329113924)","(0.5696202531645569, -2.9240506329113924)",(0.0794665834369934+0.4783224858532171j),(-0.24700644477264785+0.10735822506673988j),(0.32647302820964125+0.37096426078647726j)
"(0.6455696202531644, -2.9240506329113924)","(0.6455696202531644, -2.9240506329113924)",(0.03876803015859803+0.44420005201010926j),(-0.2723924180175633+0.03684308375216603j),(0.31116044817616134+0.4073569682579432j)
"(0.7215189873417724, -2.9240506329113924)","(0.7215189873417724, -2.9240506329113924)",(-0.00027812980248925756+0.4070825190920004j),(-0.27597737444997417-0.04173307514017608j),(0.2756992446474849+0.4488155942321765j)
"(0.79746835443038, -2.9240506329113924)","(0.79746835443038, -2.9240506329113924)",(-0.03670876367310247+0.37029821091454007j),(-0.25487761079393023-0.1211726673315272j),(0.21816884712082776+0.4914708782460673j)
"(0.8734177215189876, -2.9240506329113924)","(0.8734177215189876, -2.9240506329113924)",(-0.0708860497272022+0.3359520552792238j),(-0.20868434108012693-0.19314628852175497j),(0.13779829135292473+0.5290983438009788j)
"(0.9493670886075951, -2.9240506329113924)","(0.9493670886075951, -2.9240506329113924)",(-0.10423117648767244+0.3043359367746208j),(-0.1399412722480578-0.24908083495803093j),(0.03571009576038536+0.5534167717326517j)
"(1.0253164556962027, -2.9240506329113924)","(1.0253164556962027, -2.9240506329113924)",(-0.13850393842239467+0.2736557731954096j),(-0.05429006633296786-0.28125692510587014j),(-0.0842138720894268+0.5549126983012798j)
"(1.1012658227848107, -2.9240506329113924)","(1.1012658227848107, -2.9240506329113924)",(-0.1747491819367526+0.24023768730722972j),(0.03981036102829818-0.28398702057304637j),(-0.21455954296505078+0.5242247078802761j)
"(1.1772151898734178, -2.9240506329113924)","(1.1772151898734178, -2.9240506329113924)",(-0.21218204162178145+0.19931058267405433j),(0.13183333257211116-0.2547024818306248j),(-0.3440153741938926+0.45401306450467915j)
"(1.2531645569620258, -2.9240506329113924)","(1.2531645569620258, -2.9240506329113924)",(-0.24738658353335186+0.14633571176348725j),(0.210373735557491-0.19475583536283503j),(-0.45776031909084286+0.3410915471263223j)
"(1.3291139240506329, -2.9240506329113924)","(1.3291139240506329, -2.9240506329113924)",(-0.2742071776275717+0.0786791825202164j),(0.2646654868178619-0.10975333934143942j),(-0.5388726644454336+0.18843252186165582j)
"(1.4050632911392409, -2.9240506329113924)","(1.4050632911392409, -2.9240506329113924)",(-0.2845887382841994-0.002756552427215165j),(0.2862351571618006-0.009278144261194457j),(-0.570823895446+0.006521591833979292j)
