index,x,value,0,1,2
"(-0.2, -7.0)","(-0.2, -7.0)",(0.8557407751659838+1.5982212177397486j),(-0.09551602665832694+0.49022090117605566j),(-0.3784995497926504-0.39335511623832575j),(1.329756351616961+1.5013554328020187j)
"(-0.1575757575757576, -7.0)","(-0.1575757575757576, -7.0)",(1.2130184226010798+1.439612701150251j),(-0.08657481692725733+0.49344957364878383j),(-0.39297406638105126-0.380156439680423j),(1.6925673059093884+1.3263195671818904j)
"(-0.11515151515151516, -7.0)","(-0.11515151515151516, -7.0)",(1.4800042338329522+1.2731903095450456j),(-0.07986289295660204+0.49583177616608987j),(-0.4033898833041357-0.3700507843013645j),(1.96325701009369+1.1474093176803202j)
"(-0.07272727272727272, -7.0)","(-0.07272727272727272, -7.0)",(1.6618895763746715+1.1498436567331562j),(-0.07543123925912565+0.4974597277432493j),(-0.41001259589213956-0.36336575101949425j),(2.1473334115259366+1.0157496800094012j)
"(-0.030303030303030304, -7.0)","(-0.030303030303030304, -7.0)",(1.767030254136489+1.1068624782511998j),(-0.07331411534974062+0.49839388124289513j),(-0.4130197056906913-0.36030767129171754j),(2.253364075176921+0.9687762683000222j)
"(0.012121212121212116, -7.0)","(0.012121212121212116, -7.0)",(1.7961511186604187+1.1653382892368591j),(-0.0735304449098769+0.49866180315755776j),(-0.41248958237560246-0.3609695907111206j),(2.282171145945898+1.0276460767904219j)
"(0.054545454545454564, -7.0)","(0.054545454545454564, -7.0)",(1.7361142251176362+1.3276426669215924j),(-0.07608441433018338+0.49825756866916066j),(-0.4083965246386179-0.3653346966633964j),(2.2205951640864376+1.1947197949158281j)
"(0.09696969696969698, -7.0)","(0.09696969696969698, -7.0)",(1.5605336141290018+1.5729942323246682j),(-0.08096525442133894+0.49714165393506227j),(-0.40061171026722286-0.37327481692970277j),(2.0421105788175637+1.4491273953193087j)
"(0.1393939393939394, -7.0)","(0.1393939393939394, -7.0)",(1.2390418754735655+1.8521176502426009j),(-0.08814620150289011+0.4952413358797896j),(-0.38891015194122996-0.3845440673525199j),(1.7160982289176856+1.741420381715331j)
"(0.18181818181818182, -7.0)","(0.18181818181818182, -7.0)",(0.7555699389796802+2.0857067333295665j),(-0.09758265709314741+0.4924516382678987j),(-0.3729840931574296-0.39876818914929146j),(1.2261366892302572+1.9920232842109593j)
"(0.22424242424242424, -7.0)","(0.22424242424242424, -7.0)",(0.13213909424906356+2.173997342551712j),(-0.10920959031429378+0.4886368901863229j),(-0.35246354197044494-0.41543061632932415j),(0.5938122265338023+2.100791068694713j)
"(0.26666666666666666, -7.0)","(0.26666666666666666, -7.0)",(-0.5515410611452731+2.023416143121041j),(-0.12293825509958502+0.48363298786231407j),(-0.3269447989030479-0.4338568703445795j),(-0.10165800714264027+1.9736400256033064j)
"(0.30909090909090914, -7.0)","(0.30909090909090914, -7.0)",(-1.157722961294167+1.5884896115498364j),(-0.13865232637099872+0.47725047138693516j),(-0.296027834101225-0.4531994991444325j),(-0.7230428008219434+1.5644386393073337j)
"(0.3515151515151515, -7.0)","(0.3515151515151515, -7.0)",(-1.5229101842655925+0.9138619625562778j),(-0.1562035962862314+0.46927854258788393j),(-0.2593631472589863-0.47242644831169894j),(-1.1073434407203748+0.9170098682800928j)
"(0.393939393939394, -7.0)","(0.393939393939394, -7.0)",(-1.5221983574221674+0.14960290355185987j),(-0.17540741376287763+0.45949015692719697j),(-0.216708239765503-0.4903164336553527j),(-1.1300827038937866+0.18042918028001562j)
"(0.43636363636363634, -7.0)","(0.43636363636363634, -7.0)",(-1.1411925972161097-0.4848622779450652j),(-0.1960380975591731+0.44764831856462867j),(-0.16799298452076833-0.5054655052587499j),(-0.7771615151361684-0.427045091250944j)
"(0.4787878787878788, -7.0)","(0.4787878787878788, -7.0)",(-0.5118203455395016-0.7885987642468272j),(-0.217824604310409+0.4335136911149766j),(-0.11339195349433537-0.5163094422329405j),(-0.18060378773475722-0.7058030131288633j)
"(0.5212121212121212, -7.0)","(0.5212121212121212, -7.0)",(0.12529972300260678-0.6806886992240615j),(-0.24044678631123817+0.41685360451673265j),(-0.05340014683367107-0.5211667453505441j),(0.419146656147516-0.5763755583902501j)
"(0.5636363636363637, -7.0)","(0.5636363636363637, -7.0)",(0.5285128742508756-0.25218271668764103j),(-0.263532626722249+0.3974524882889665j),(0.011093397171287966-0.518306616034573j),(0.7809521038018366-0.13132858894203456j)
"(0.6060606060606062, -7.0)","(0.6060606060606062, -7.0)",(0.5751536669066283+0.2764857613764809j),(-0.2866568883429767+0.37512369105487925j),(0.07874182667857092-0.5060452174037516j),(0.783068728571034+0.4074072877253533j)
"(0.6484848484848484, -7.0)","(0.6484848484848484, -7.0)",(0.3140098427939846+0.6748422733371588j),(-0.30934165098497474+0.3497225539872904j),(0.14769645952988722-0.4828715017427649j),(0.4756550342490721+0.8079912210926333j)
"(0.6909090909090909, -7.0)","(0.6909090909090909, -7.0)",(-0.08763162740474717+0.818077921724826j),(-0.3310592354232304+0.32116049125377616j),(0.21559433984168938-0.44760079668833763j),(0.02783326817679385+0.9445182271593874j)
