index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)"
"(0,)",(0.0014715110125538122+0.02079589081277579j),(-0.0037460246724845053+0.0021717516783699067j),(0.0034347767641840937-5.6938715739966294e-05j),(-0.0031607834755314444+0.0016703229513540935j),(0.000875813746716859-0.00398063424913482j),(0.004219493815404329+0.002222953490216125j),(-0.001454952784110366+0.00529910372882458j),(-0.0053868275668363455+0.0027626843244751634j),(-0.006146498740830522+0.0012123487642730598j),(-0.005386827566836343+0.0027626843244751634j),(-0.0014549527841103734+0.005299103728824575j),(0.004219493815404328+0.002222953490216122j),(0.0008758137467168587-0.003980634249134817j),(-0.0031607834755314384+0.0016703229513540985j),(0.003434776764184095-5.693871573996738e-05j),(-0.003100240991462275+0.002659019599647661j)
"(1,)",(-0.0037460246724845053+0.0021717516783699067j),(-0.0003469694656158964+0.018798300018497284j),(-0.0031616928339489323+0.002312995294475231j),(0.002530042649600102-0.00011312463202500257j),(-0.002332554482812151+0.001322101486753888j),(0.0005817508251638665-0.003083015883539171j),(0.003366912656698015+0.0016372147128701196j),(-0.0010144564974081843+0.0042505393840373005j),(-0.004236152899431835+0.0023586259250094697j),(-0.004897429056529004+0.001141373155188687j),(-0.004236152899431834+0.0023586259250094606j),(-0.001014456497408191+0.004250539384037299j),(0.0033669126566980142+0.0016372147128701233j),(0.0005817508251638689-0.0030830158835391665j),(-0.0023325544828121524+0.0013221014867538829j),(0.002530042649600104-0.00011312463202499999j)
"(2,)",(0.0034347767641840937-5.6938715739966294e-05j),(-0.0031616928339489323+0.002312995294475231j),(-0.0003469694656158929+0.01879830001849728j),(-0.003161692833948933+0.0023129952944752337j),(0.0025300426496001035-0.00011312463202500748j),(-0.0023325544828121515+0.0013221014867538905j),(0.000581750825163867-0.0030830158835391704j),(0.003366912656698013+0.00163721471287012j),(-0.001014456497408186+0.004250539384037301j),(-0.004236152899431833+0.0023586259250094645j),(-0.004897429056529002+0.0011413731551886787j),(-0.004236152899431834+0.0023586259250094658j),(-0.00101445649740819+0.0042505393840373j),(0.0033669126566980155+0.0016372147128701196j),(0.0005817508251638767-0.0030830158835391686j),(-0.0023325544828121532+0.001322101486753883j)
"(3,)",(-0.0031607834755314444+0.0016703229513540935j),(0.002530042649600102-0.00011312463202500257j),(-0.003161692833948933+0.0023129952944752337j),(-0.00034696946561589055+0.01879830001849728j),(-0.0031616928339489336+0.0023129952944752332j),(0.0025300426496001035-0.00011312463202500645j),(-0.0023325544828121493+0.001322101486753889j),(0.0005817508251638664-0.003083015883539168j),(0.003366912656698015+0.0016372147128701183j),(-0.0010144564974081845+0.004250539384037296j),(-0.004236152899431829+0.0023586259250094623j),(-0.004897429056529005+0.0011413731551886848j),(-0.004236152899431835+0.002358625925009465j),(-0.001014456497408185+0.004250539384037296j),(0.003366912656698008+0.001637214712870124j),(0.000581750825163875-0.0030830158835391695j)
"(4,)",(0.000875813746716859-0.00398063424913482j),(-0.002332554482812151+0.001322101486753888j),(0.0025300426496001035-0.00011312463202500748j),(-0.0031616928339489336+0.0023129952944752332j),(-0.0003469694656158921+0.01879830001849728j),(-0.003161692833948933+0.002312995294475231j),(0.002530042649600104-0.00011312463202500736j),(-0.00233255448281215+0.0013221014867538909j),(0.0005817508251638663-0.003083015883539173j),(0.003366912656698015+0.0016372147128701203j),(-0.0010144564974081838+0.004250539384037296j),(-0.0042361528994318345+0.0023586259250094697j),(-0.004897429056529008+0.0011413731551886855j),(-0.004236152899431831+0.002358625925009467j),(-0.0010144564974081912+0.0042505393840372935j),(0.0033669126566980125+0.0016372147128701237j)
"(5,)",(0.004219493815404329+0.002222953490216125j),(0.0005817508251638665-0.003083015883539171j),(-0.0023325544828121515+0.0013221014867538905j),(0.0025300426496001035-0.00011312463202500645j),(-0.003161692833948933+0.002312995294475231j),(-0.00034696946561589033+0.01879830001849728j),(-0.0031616928339489344+0.002312995294475233j),(0.0025300426496001043-0.00011312463202500553j),(-0.0023325544828121524+0.0013221014867538928j),(0.0005817508251638691-0.003083015883539173j),(0.0033669126566980155+0.0016372147128701168j),(-0.0010144564974081827+0.004250539384037301j),(-0.004236152899431835+0.002358625925009469j),(-0.004897429056529003+0.0011413731551886861j),(-0.004236152899431829+0.0023586259250094623j),(-0.0010144564974081895+0.0042505393840373005j)
"(6,)",(-0.001454952784110366+0.00529910372882458j),(0.003366912656698015+0.0016372147128701196j),(0.000581750825163867-0.0030830158835391704j),(-0.0023325544828121493+0.001322101486753889j),(0.002530042649600104-0.00011312463202500736j),(-0.0031616928339489344+0.002312995294475233j),(-0.00034696946561589174+0.018798300018497274j),(-0.0031616928339489336+0.002312995294475233j),(0.0025300426496001074-0.00011312463202500936j),(-0.00233255448281215+0.001322101486753892j),(0.0005817508251638636-0.0030830158835391704j),(0.0033669126566980194+0.0016372147128701148j),(-0.001014456497408185+0.004250539384037301j),(-0.00423615289943183+0.0023586259250094705j),(-0.004897429056528997+0.0011413731551886837j),(-0.004236152899431835+0.0023586259250094658j)
"(7,)",(-0.0053868275668363455+0.0027626843244751634j),(-0.0010144564974081843+0.0042505393840373005j),(0.003366912656698013+0.00163721471287012j),(0.0005817508251638664-0.003083015883539168j),(-0.00233255448281215+0.0013221014867538909j),(0.0025300426496001043-0.00011312463202500553j),(-0.0031616928339489336+0.002312995294475233j),(-0.0003469694656158907+0.018798300018497277j),(-0.003161692833948935+0.0023129952944752337j),(0.002530042649600107-0.00011312463202500485j),(-0.0023325544828121493+0.0013221014867538924j),(0.0005817508251638641-0.0030830158835391743j),(0.0033669126566980177+0.0016372147128701192j),(-0.0010144564974081864+0.004250539384037298j),(-0.004236152899431828+0.0023586259250094623j),(-0.004897429056529006+0.0011413731551886855j)
"(8,)",(-0.006146498740830522+0.0012123487642730598j),(-0.004236152899431835+0.0023586259250094697j),(-0.001014456497408186+0.004250539384037301j),(0.003366912656698015+0.0016372147128701183j),(0.0005817508251638663-0.003083015883539173j),(-0.0023325544828121524+0.0013221014867538928j),(0.0025300426496001074-0.00011312463202500936j),(-0.003161692833948935+0.0023129952944752337j),(-0.00034696946561588843+0.01879830001849728j),(-0.0031616928339489323+0.0023129952944752293j),(0.00253004264960011-0.00011312463202500565j),(-0.0023325544828121537+0.0013221014867538948j),(0.0005817508251638714-0.0030830158835391734j),(0.0033669126566980155+0.0016372147128701218j),(-0.001014456497408185+0.004250539384037295j),(-0.004236152899431837+0.0023586259250094692j)
"(9,)",(-0.005386827566836343+0.0027626843244751634j),(-0.004897429056529004+0.001141373155188687j),(-0.004236152899431833+0.0023586259250094645j),(-0.0010144564974081845+0.004250539384037296j),(0.003366912656698015+0.0016372147128701203j),(0.0005817508251638691-0.003083015883539173j),(-0.00233255448281215+0.001322101486753892j),(0.002530042649600107-0.00011312463202500485j),(-0.0031616928339489323+0.0023129952944752293j),(-0.000346969465615894+0.018798300018497267j),(-0.0031616928339489284+0.0023129952944752367j),(0.002530042649600105-0.000113124632025009j),(-0.00233255448281215+0.0013221014867538885j),(0.0005817508251638708-0.0030830158835391734j),(0.0033669126566980125+0.001637214712870116j),(-0.0010144564974081836+0.0042505393840373005j)
