index,x,value
"(-0.29777289361703535, -0.5)","(-0.29777289361703535, -0.5)",(-2.6846400288851866+3.9483091670895885j)
"(-0.2942862193690532, -0.5)","(-0.2942862193690532, -0.5)",(-1.7620152609573725+4.733059376338142j)
"(-0.2907995451210711, -0.5)","(-0.2907995451210711, -0.5)",(7.09711526411248+1.8444381312662816j)
"(-0.2873128708730889, -0.5)","(-0.2873128708730889, -0.5)",(-7.787594662214169+0.056949746803183654j)
"(-0.2838261966251068, -0.5)","(-0.2838261966251068, -0.5)",(-9.609939557040565+4.0242943961737545j)
"(-0.2803395223771246, -0.5)","(-0.2803395223771246, -0.5)",(-8.370212338583906+4.032794861696295j)
"(-0.27685284812914246, -0.5)","(-0.27685284812914246, -0.5)",(-14.280036943188835+2.7261732626758013j)
"(-0.27336617388116025, -0.5)","(-0.27336617388116025, -0.5)",(-7.638575290101624-1.7487664081185663j)
"(-0.26987949963317814, -0.5)","(-0.26987949963317814, -0.5)",(-15.904238845782505+3.6243434269834336j)
"(-0.266392825385196, -0.5)","(-0.266392825385196, -0.5)",(-17.43712573217004+2.3519131648199783j)
"(-0.26290615113721383, -0.5)","(-0.26290615113721383, -0.5)",(-20.55438556163144-3.724460657108928j)
"(-0.25941947688923167, -0.5)","(-0.25941947688923167, -0.5)",(-7.685911758430713+4.175245171652333j)
"(-0.2559328026412495, -0.5)","(-0.2559328026412495, -0.5)",(-22.295689226812367+0.3046546611022378j)
"(-0.25244612839326735, -0.5)","(-0.25244612839326735, -0.5)",(-26.66110476542202-2.5687991798912306j)
"(-0.2489594541452852, -0.5)","(-0.2489594541452852, -0.5)",(-19.963989366658097-12.73401530290874j)
"(-0.24547277989730304, -0.5)","(-0.24547277989730304, -0.5)",(-16.4730863384892-18.447301335866584j)
"(-0.2419861056493209, -0.5)","(-0.2419861056493209, -0.5)",(-24.203957305405805-12.07293518491693j)
"(-0.23849943140133878, -0.5)","(-0.23849943140133878, -0.5)",(-20.070001240774108-21.84130731665492j)
"(-0.23501275715335657, -0.5)","(-0.23501275715335657, -0.5)",(-13.651812184735732-24.45604027147401j)
"(-0.23152608290537446, -0.5)","(-0.23152608290537446, -0.5)",(-3.6562493399417306-23.105044992782585j)
"(-0.2280394086573923, -0.5)","(-0.2280394086573923, -0.5)",(-3.672089845165245-29.41994169469002j)
"(-0.22455273440941018, -0.5)","(-0.22455273440941018, -0.5)",(-3.5061725583059653-39.48920040061877j)
"(-0.221066060161428, -0.5)","(-0.221066060161428, -0.5)",(-4.529878305722156-22.74905237398958j)
"(-0.21757938591344583, -0.5)","(-0.21757938591344583, -0.5)",(5.460667788878668-27.70951228676113j)
"(-0.2140927116654637, -0.5)","(-0.2140927116654637, -0.5)",(6.406276826649107-24.762252903930253j)
"(-0.21060603741748157, -0.5)","(-0.21060603741748157, -0.5)",(6.723782613785669-38.12659339244606j)
"(-0.20711936316949942, -0.5)","(-0.20711936316949942, -0.5)",(17.452571780524547-19.121830188510447j)
"(-0.20363268892151726, -0.5)","(-0.20363268892151726, -0.5)",(6.513983272644793-16.223906957319713j)
"(-0.20014601467353507, -0.5)","(-0.20014601467353507, -0.5)",(15.695744853138113-10.324704139984568j)
"(-0.19665934042555294, -0.5)","(-0.19665934042555294, -0.5)",(19.348916867046352-15.788228237631552j)
"(-0.19317266617757078, -0.5)","(-0.19317266617757078, -0.5)",(14.02743527978645-14.334920870835061j)
"(-0.18968599192958863, -0.5)","(-0.18968599192958863, -0.5)",(16.07592294565515-9.657783531554438j)
"(-0.18619931768160652, -0.5)","(-0.18619931768160652, -0.5)",(13.472836617707193-6.530501523204585j)
"(-0.18271264343362434, -0.5)","(-0.18271264343362434, -0.5)",(19.29685652877007-8.039603126841211j)
"(-0.17922596918564218, -0.5)","(-0.17922596918564218, -0.5)",(23.780421449212884-11.036264243841355j)
"(-0.17573929493766005, -0.5)","(-0.17573929493766005, -0.5)",(18.577785714174308+0.6512601785548071j)
"(-0.1722526206896779, -0.5)","(-0.1722526206896779, -0.5)",(22.171417953739606-7.86503941928742j)
"(-0.1687659464416958, -0.5)","(-0.1687659464416958, -0.5)",(13.393212192717964-2.579977841024248j)
"(-0.16527927219371363, -0.5)","(-0.16527927219371363, -0.5)",(17.008087783691586-1.0905860204260214j)
"(-0.16179259794573145, -0.5)","(-0.16179259794573145, -0.5)",(11.021581851549342-3.3297760107969205j)
"(-0.15830592369774935, -0.5)","(-0.15830592369774935, -0.5)",(21.71833588984344-5.459656260324483j)
"(-0.15481924944976716, -0.5)","(-0.15481924944976716, -0.5)",(18.372965946298464-2.068005826284404j)
"(-0.15133257520178506, -0.5)","(-0.15133257520178506, -0.5)",(14.814837156566957-1.6589857263256564j)
"(-0.1478459009538029, -0.5)","(-0.1478459009538029, -0.5)",(11.777515796555852-6.828710491073084j)
"(-0.14435922670582071, -0.5)","(-0.14435922670582071, -0.5)",(17.180336764147068+0.462713416876922j)
"(-0.14087255245783858, -0.5)","(-0.14087255245783858, -0.5)",(19.052983012211918+6.8447484127719225j)
"(-0.13738587820985643, -0.5)","(-0.13738587820985643, -0.5)",(19.518883803751834+5.259789286297416j)
"(-0.13389920396187427, -0.5)","(-0.13389920396187427, -0.5)",(14.025476999910333+5.650563000969612j)
"(-0.13041252971389214, -0.5)","(-0.13041252971389214, -0.5)",(14.709351955383463+4.883669072925036j)
"(-0.12692585546590995, -0.5)","(-0.12692585546590995, -0.5)",(10.147718466588731+3.4184542851948163j)
"(-0.1234391812179278, -0.5)","(-0.1234391812179278, -0.5)",(12.298500369085072+2.331786117830397j)
"(-0.11995250696994567, -0.5)","(-0.11995250696994567, -0.5)",(9.469597201154869+6.294321704341417j)
"(-0.11646583272196351, -0.5)","(-0.11646583272196351, -0.5)",(2.763340312865316-0.11501557606792945j)
"(-0.1129791584739814, -0.5)","(-0.1129791584739814, -0.5)",(0.9690003486841032-0.193101264969469j)
"(-0.10949248422599923, -0.5)","(-0.10949248422599923, -0.5)",(-1.546860476553686-0.4488761198034883j)
