index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)","(20,)","(21,)","(22,)","(23,)","(24,)","(25,)","(26,)","(27,)","(28,)","(29,)","(30,)","(31,)","(32,)","(33,)","(34,)","(35,)","(36,)","(37,)","(38,)","(39,)","(40,)","(41,)","(42,)","(43,)","(44,)","(45,)","(46,)","(47,)","(48,)","(49,)","(50,)","(51,)","(52,)","(53,)","(54,)","(55,)","(56,)","(57,)","(58,)","(59,)","(60,)","(61,)","(62,)","(63,)","(64,)","(65,)","(66,)","(67,)","(68,)","(69,)","(70,)","(71,)","(72,)","(73,)","(74,)","(75,)","(76,)","(77,)","(78,)","(79,)","(80,)","(81,)","(82,)","(83,)","(84,)","(85,)","(86,)","(87,)","(88,)","(89,)","(90,)","(91,)","(92,)","(93,)","(94,)","(95,)","(96,)","(97,)","(98,)","(99,)","(100,)"
"(0.0, 2.0)",(-0.006769455233547614+0.001285161810594766j),(-0.006988154426119604+0.0016186246828207346j),(-0.00867839541878182+0.002587188198311443j),(-0.008848244075076539+0.0032760691836111865j),(-0.00859965553583901+0.0038078838735580755j),(-0.007873061247131295+0.0040886453258434305j),(-0.007171792601313865+0.004277558283160842j),(-0.008084311355037666+0.005656291114942515j),(-0.007822250782452765+0.006275593743489752j),(-0.006862909295153305+0.006247418328326055j),(-0.006764231646026221+0.0070281977557979484j),(-0.006318487302809206+0.007550206539247826j),(-0.005102850317465407+0.006939555711947305j),(-0.0055226781663563415+0.008497237184007495j),(-0.004963670848760297+0.008883255376357469j),(-0.004914704802171674+0.010039028060680175j),(-0.004117370563975971+0.009963183117386788j),(-0.003782360276542313+0.010485181597570132j),(-0.0033301411466169924+0.011152993347068528j),(-0.002807632464784246+0.011209876491998602j),(-0.002058367940751551+0.009711730959795096j),(-0.002197056780591148+0.012587339143592445j),(-0.001901023203833597+0.012860073971566341j),(-0.0014451101548952415+0.011292747457720492j),(-0.0013689349004126022+0.011524638726058826j),(-0.0014880910671310258+0.012759862191548217j),(-0.0014696458861723097+0.011924357855162727j),(-0.0014537891521445917+0.01060474530385135j),(-0.0020380530385079327+0.012418771969156217j),(-0.0022852631746884725+0.011683025184020038j),(-0.0023562640689290307+0.010144874142746695j),(-0.003086829472434726+0.011128201927698485j),(-0.003662560663328718+0.01105507875829878j),(-0.0044074252360391435+0.011292111665526084j),(-0.004335691172523977+0.009661664887978648j),(-0.004626142830944948+0.008847365733291052j),(-0.005736419886191479+0.009400479177637137j),(-0.00608035006534767+0.008701384187149675j),(-0.006569654678757522+0.008338037178565566j),(-0.006120531212827968+0.006785844083931063j),(-0.006499850870181017+0.0063253457894980325j),(-0.006796936954411135+0.005747274273624254j),(-0.00669224975843544+0.00495605381340939j),(-0.008026686343198095+0.00519545697264459j),(-0.008184574344192855+0.004570791647582237j),(-0.007373334537427228+0.003509405145224681j),(-0.007664870581271831+0.0031209913328157585j),(-0.008471039047843043+0.0028261979227183656j),(-0.0072160345692804445+0.0019396731013442306j),(-0.008629226728349437+0.0017500681155895425j),(-0.00860857832359698+0.0012497519762123903j),(-0.0076275433547425215+0.000641238195175718j),(-0.008185610357770549+0.0002593939251620007j),(-0.007508033507918949-0.00018085022021255347j),(-0.0073296088997510875-0.0005253336136319167j),(-0.007522032294358966-0.00093512131761241j),(-0.007214433089575665-0.00124138577116718j),(-0.007389584397696579-0.001617353756409427j),(-0.007386971873379802-0.0019465748051100274j),(-0.007115137977683257-0.002202842713963209j),(-0.006696365681212295-0.0023352586997613667j),(-0.006702538730788519-0.0025869639229298557j),(-0.007406491873262776-0.003154322111379614j),(-0.006587502326789709-0.003069021915270378j),(-0.006204219809689195-0.003094954403135147j),(-0.006951134387938336-0.003711077080416667j),(-0.007054004143118722-0.003962725927379637j),(-0.006386954181145736-0.0037539759170295258j),(-0.005362916547997348-0.003301513154089143j),(-0.006006768079687435-0.0038126253700282615j),(-0.006358990155289114-0.004161817262771928j),(-0.005987044096087141-0.00400744125576167j),(-0.005919142113414597-0.004022530075214541j),(-0.005573813427180872-0.003827267505057628j),(-0.006270158053566367-0.004322032563695306j),(-0.006057522284010215-0.004168754539978229j),(-0.006156957895219381-0.004205681887689411j),(-0.005183489355569433-0.0034948876182749416j),(-0.005712180354974921-0.0037751450934102827j),(-0.006347921993296992-0.00407950429160765j),(-0.006575634847215829-0.004115270090030596j),(-0.005818496667139519-0.0034935604018211793j),(-0.007517954301611543-0.004323668599167502j),(-0.0057637882420717755-0.0031529959228234774j),(-0.00619278956618056-0.003169321488105501j),(-0.005590373206443728-0.002680100240745623j),(-0.00645053908259163-0.002858509742584215j),(-0.006981832115790282-0.002830879991249223j),(-0.006860050727990024-0.0024924621790761844j),(-0.007204228497275498-0.002348249908453822j),(-0.006792323992629015-0.0019415416054635313j),(-0.007165229044770486-0.001708753260660237j),(-0.006794151855322147-0.001290178625004515j),(-0.007841623950386038-0.001144158665639146j),(-0.007528954973913557-0.0007045918800450793j),(-0.008893299213090832-0.00039953321662544077j),(-0.007084026280289857+2.1865614919566406e-05j),(-0.007455469948750427+0.0004567282383265944j),(-0.008442274143794701+0.0009568166320673055j),(-0.008424957358342063+0.0014956209763775587j),(-0.005418886641441654+0.0012083807073545747j)
"(0.5, 2.0)",(-0.0068441882635343+0.0025907861215533996j),(-0.007030246538765095+0.003103004129658619j),(-0.00695351359911924+0.0036048178569715603j),(-0.006968757430268451+0.004190892417173797j),(-0.007040841637197592+0.004982849419757783j),(-0.008220534716564372+0.006594276004976529j),(-0.008064634396715524+0.0073253024336364j),(-0.006906049183307178+0.007154113168488669j),(-0.007008804338480577+0.008254850811961263j),(-0.006538389810695135+0.008757613824250707j),(-0.0058256629398339+0.008940682648049583j),(-0.004169753195211124+0.007202973994012775j),(-0.004616357878801844+0.009275337870681074j),(-0.004042962259145812+0.009305033466720163j),(-0.0041864773797761+0.011127836769403076j),(-0.0034084017615796354+0.010562495259531833j),(-0.0027246215385571555+0.009548343973456424j),(-0.0029244152557525763+0.01183658435346119j),(-0.00232854282931426+0.01070495056628136j),(-0.0020670997589861207+0.01035499199686256j),(-0.002221483453507955+0.011852313469978223j),(-0.001955099117551126+0.01063717143806642j),(-0.0022761003075580234+0.012051027098599404j),(-0.0025566121323602263+0.012641378065164422j),(-0.002600696380271179+0.011521969811792168j),(-0.0031503737803398484+0.012378313366451864j),(-0.003193223797950827+0.010884094430028413j),(-0.0032045272489979967+0.009415114761487754j),(-0.004085579574944993+0.010492230930924138j),(-0.004172504290261905+0.009249483781947633j),(-0.004361866823015949+0.00838952769673606j),(-0.005393061542388651+0.009058908221260254j),(-0.006225020666292921+0.009226374947520734j),(-0.005557465544579243+0.007262345226110758j),(-0.00604454484593505+0.006845804466763045j),(-0.007467706659162183+0.007453615101661501j),(-0.007216376609907966+0.006356602170271555j),(-0.006428874362793254+0.004937690344571093j),(-0.007943599287589663+0.005271657872474038j),(-0.007887926220600867+0.00461909627066592j),(-0.008159810079133425+0.004056767047733766j),(-0.009149180593988865+0.0038770882990159026j),(-0.0077010879415139715+0.0026744513566209394j),(-0.008466589023893948+0.002350646290950149j),(-0.008784514902528934+0.001899232293874745j),(-0.009224065298575577+0.0013799502559574705j),(-0.008514095028118273+0.0007999475957107205j),(-0.008499803543030718+0.0003180531274323988j),(-0.007778451587993598-0.0001555668352900483j),(-0.008122534538162675-0.0005718058106660417j),(-0.007039873715425825-0.0008385041554796413j),(-0.006138566701043963-0.0010922642582115445j),(-0.0072131052900628375-0.0016274705054324038j),(-0.007130302850757791-0.0019579888102473583j),(-0.00602635338565129-0.0019438988703874486j),(-0.007694081202500799-0.0028258292819300593j),(-0.00648399932745216-0.0026369318719325174j),(-0.00572188591137221-0.0025701950561824974j),(-0.006583726929510946-0.00324612624794199j),(-0.00618548285765462-0.003293827885091945j),(-0.006734326661548976-0.0038591810604579457j),(-0.006490002094588752-0.0039629417957245455j),(-0.007004346299595503-0.004489092202298639j),(-0.00592831724510466-0.003982729456623785j),(-0.005997573155192105-0.00418514764882636j),(-0.006576096754627398-0.004765331661068792j),(-0.005465894136328594-0.004058936379997039j),(-0.005876016365401376-0.0044690164919231265j),(-0.00516331973846758-0.003991988674278919j),(-0.005167192133953628-0.004034241984171437j),(-0.005898966622042697-0.00463174627118003j),(-0.005540975767183961-0.0043470292022008495j),(-0.005470865369744973-0.004267384389873488j),(-0.005823511062678877-0.0044819336093412186j),(-0.0054240480483396915-0.004104902588558242j),(-0.005543579957540658-0.004093873926780407j),(-0.005880311157913457-0.00421825381381369j),(-0.004991517365471329-0.0034665388495691914j),(-0.006329273049023892-0.004196814841369653j),(-0.005590480292877602-0.003549013534341784j),(-0.006123210057310969-0.0036828004141929286j),(-0.006330471374548748-0.003561390194986116j),(-0.007011326424137323-0.0036731012669443653j),(-0.006650120177042477-0.0032232141977196088j),(-0.006615667855705739-0.0029172615705689185j),(-0.006207211430145091-0.002455417468868678j),(-0.006668669507275525-0.002327867916523655j),(-0.007603926661150852-0.002330000751838654j),(-0.007001177170277081-0.001841215001329314j),(-0.007407427117201814-0.001552455867640398j),(-0.007051034532903926-0.0011239880062272512j),(-0.007868539850287163-0.0008913089442282998j),(-0.008577835911765032-0.0004738115794001173j),(-0.0076460805192312435-6.836778705559152e-05j),(-0.008161594023782784+0.00044509348501951004j),(-0.008994608668716434+0.0010017339691630108j),(-0.007948494306807472+0.0013142260513580957j),(-0.007338710319476044+0.0016755646219029623j),(-0.008575845315579544+0.002583068392155495j),(-0.00805675149901347+0.002963207887131337j),(-0.002311321210612568+0.0009404045883440404j)
"(1.0, 2.0)",(-0.005419383688541287+0.002511846536658323j),(-0.00794090515216307+0.004124592299015791j),(-0.008586719022657627+0.005214479045019481j),(-0.007246629747575928+0.005058331228529872j),(-0.006182442436362058+0.004865605918075147j),(-0.0068635432297118595+0.006236191298608401j),(-0.006182883620532039+0.0062611991931689785j),(-0.005818356604355525+0.006662498303518851j),(-0.005662869063871493+0.007262417970907479j),(-0.004992527639511805+0.007151384140681457j),(-0.005329244984523852+0.008502686753942291j),(-0.005548364457406205+0.00986905833885242j),(-0.005070417201516917+0.009947787570797869j),(-0.0051216620637986295+0.010889273364659908j),(-0.004056359572283967+0.009370586056501044j),(-0.00392803144771572+0.009562753912007215j),(-0.0037633202400606117+0.009589726966274486j),(-0.004118118713060311+0.010706250392528422j),(-0.003649944496882553+0.009470436325091917j),(-0.0037448196612709264+0.009511773562478053j),(-0.004173380907364746+0.010126201341148961j),(-0.004601147412111066+0.010463503254966585j),(-0.005002143491111798+0.010559979367306096j),(-0.004723515179609328+0.009147034540811231j),(-0.004560222520425606+0.007917275172580151j),(-0.0051618186664931336+0.00806237853970324j),(-0.006126504472847616+0.008685381911155523j),(-0.006307119274234145+0.00796505198649554j),(-0.006381886115265874+0.007225454598557102j),(-0.007731848003361408+0.007722767826695068j),(-0.0072547109740210515+0.006477258486177485j),(-0.007383768988580683+0.005703989518486016j),(-0.007368887462771882+0.0050884725651677955j),(-0.006772689665047772+0.004048701102849569j),(-0.007320366718920273+0.00368655510738269j),(-0.0075283669675410515+0.003245710383501431j),(-0.008153589569605164+0.0029348360101252285j),(-0.008551706656609565+0.0023991813723145904j),(-0.008216578880399663+0.0017896585413740296j),(-0.00833184853552437+0.0012789999249005978j),(-0.00878991486306688+0.0007386682059732773j),(-0.007834069902555339+0.00024045683941296834j),(-0.007980904396635673-0.00027364344811756753j),(-0.007327126466983389-0.000710617918758564j),(-0.00787768052386091-0.0011975815813491271j),(-0.00745510148518263-0.0015377642578237045j),(-0.006854877010845658-0.0018262967803318205j),(-0.00715958588203891-0.0022702525430764128j),(-0.007049080669107995-0.002635592640458555j),(-0.007786269906284106-0.0033805058732866993j),(-0.006899502659325316-0.0033363136574939903j),(-0.005515640137013788-0.0030008431006763054j),(-0.006130166348060347-0.0036263671656305316j),(-0.005596858640357545-0.003624392785206891j),(-0.006056016859191468-0.004232200418670779j),(-0.0051079240609685364-0.003833243449431278j),(-0.005510549897997633-0.004427947562892477j),(-0.004404262446069673-0.0037642275036645673j),(-0.00551103645661326-0.004944736425535168j),(-0.005458767457730045-0.005142775338049521j),(-0.004832389760477938-0.004720799033669642j),(-0.004602956099939989-0.004659632934186529j),(-0.005301709261401648-0.005559925358452378j),(-0.004826253136852655-0.005188549428704222j),(-0.00516671301346372-0.005658820192229214j),(-0.004509415112752669-0.004999961091574326j),(-0.003968406244020967-0.004437710153361652j),(-0.005000121113384293-0.005604442437772798j),(-0.0045118141227205154-0.005039298799791762j),(-0.0053082762994672945-0.0058810083038291746j),(-0.004662769541311992-0.005088805025368222j),(-0.004420150605036375-0.00471533885916678j),(-0.005073182578210929-0.00528572963549032j),(-0.0044459110539925555-0.004479707463786303j),(-0.005023186456817354-0.0048930926422859795j),(-0.004711125102351035-0.004392386181436083j),(-0.005588411340621283-0.004969295445097353j),(-0.0057339149066306366-0.0048364601683072534j),(-0.005951427054217895-0.004724668518491544j),(-0.0052396009244005635-0.003931747128836198j),(-0.006434578470565146-0.004454842827341446j),(-0.0059901844748543355-0.0038549583505150865j),(-0.005859017899752419-0.003433597703839572j),(-0.007272879402665133-0.003851851612075406j),(-0.007210578402972856-0.0034363255746963656j),(-0.006791370090117609-0.0028926508922900787j),(-0.006726734787088077-0.0024652630307042257j),(-0.0068315123994618825-0.002167346678554697j),(-0.006123597761739632-0.001530970214671609j),(-0.00806179825460206-0.0015983470095615637j),(-0.00729641094270167-0.0010450238132774213j),(-0.008729141198273173-0.0007290601429216809j),(-0.008053876929265565-0.00022137141837599912j),(-0.00803868718399215+0.00028384850584999135j),(-0.00898347410177036+0.000851544503461458j),(-0.007910737008090236+0.0012610661340704853j),(-0.007548121465061686+0.0017001142553523844j),(-0.00800074878229924+0.0023385342489865113j),(-0.007650387553266218+0.0028317625399039083j),(-0.008467687746223857+0.003736232325006856j),(-0.0014843896913265503+0.0006940431741493777j)
"(0.0, 2.5)",(-0.00589126396649371-0.0017125997623996022j),(-0.006207114249808845-0.0014390215068419106j),(-0.006962358525577432-0.0012091398990950707j),(-0.008151511656211934-0.0008596721629465873j),(-0.006911640028755138-0.00027596215119090657j),(-0.008013942495208615+0.00014296583814471078j),(-0.008560974620974993+0.0007064720288763704j),(-0.008504312534381412+0.0012911895108873505j),(-0.009378805616620111+0.0020712966504423153j),(-0.007892967525578571+0.002221930345102843j),(-0.006877562266013716+0.002436669851462185j),(-0.0075309236457444+0.003253732085997702j),(-0.008712208980140947+0.004379162274991061j),(-0.009053205157360942+0.005281499190449983j),(-0.007600380142459718+0.005046059642465714j),(-0.007277524963741392+0.005396598699056877j),(-0.007757641656287471+0.00640851530063891j),(-0.006642735867320803+0.006078628408852732j),(-0.007308495843099351+0.007245923819417907j),(-0.0071317588118688675+0.007603200143266146j),(-0.006474381885999663+0.007440158742327013j),(-0.0064316549948330885+0.007794098455283584j),(-0.006109985106797802+0.00775570987842623j),(-0.006137329765651598+0.008033769194003476j),(-0.005934207088521774+0.007899227036129382j),(-0.0060814586632857515+0.008118752752980619j),(-0.006102938693821721+0.00806813831339627j),(-0.006084365241165094+0.007844535678495742j),(-0.006154953666506437+0.007608507539029089j),(-0.006729694287116349+0.007920042960382954j),(-0.006081400699974761+0.006698313183216943j),(-0.007146070982835197+0.007335338794614214j),(-0.006500559261831043+0.006162957360754721j),(-0.006717439545865403+0.005802935470315787j),(-0.007730489729298244+0.006028011128541309j),(-0.006809502561959132+0.004716952965636543j),(-0.007401093332096105+0.004494252214193985j),(-0.0077853151541356245+0.004166323379189872j),(-0.008233657084680053+0.0038003582865181423j),(-0.008966503769906606+0.0035136489109231623j),(-0.008308801374187233+0.002632957402539802j),(-0.00823789079285015+0.002050387502584737j),(-0.007338699041794464+0.0013541475283490693j),(-0.008040668621064893+0.0009245419332512215j),(-0.007993851912018402+0.00039019710946410386j),(-0.008109947270375825-0.00011228279947037634j),(-0.008183956005303602-0.0006431811895322144j),(-0.007004152238134468-0.0009776443702266802j),(-0.006805513976257508-0.0013980346528255066j),(-0.006830912899853745-0.0018553396969833418j),(-0.006746280738162075-0.002295048732776147j),(-0.00668469356429895-0.002687437102868827j),(-0.006920430613814654-0.003295214615426355j),(-0.006193024972483756-0.0033249893552719256j),(-0.006885101493907861-0.004188788556136829j),(-0.006512711634921559-0.004458942898344398j),(-0.005417942214499449-0.00408192863743221j),(-0.005117119670775647-0.004235292897526168j),(-0.004871008899586921-0.004447576465858486j),(-0.004453271741374482-0.004389703325374556j),(-0.004633679611365851-0.004978508435812108j),(-0.004433895722071845-0.005181186332193115j),(-0.004855595686643776-0.006075515381286295j),(-0.0038931919196347337-0.005205845042113866j),(-0.004271904969675103-0.006068980380395314j),(-0.003353249624524044-0.005078338738686827j),(-0.0032876088244678837-0.0052669971967462615j),(-0.0035784709977921387-0.006018438132525404j),(-0.0029704150310583713-0.005195510644622143j),(-0.0029709696304778305-0.005430124138931612j),(-0.002967390823573763-0.005599895860064655j),(-0.0024789288469075515-0.004797981012391017j),(-0.0029838536609504067-0.005887356753089264j),(-0.00280762920931694-0.005607186733034313j),(-0.0029573998066850576-0.0059376001682564595j),(-0.0033427968998084225-0.006697689462091608j),(-0.00310527659319523-0.006162245953661474j),(-0.0028028634830038752-0.005481190914275781j),(-0.0030137170026495125-0.005752693570467377j),(-0.003419964439741153-0.006320824047857835j),(-0.0030747029832167093-0.005483461282524655j),(-0.003724266622270196-0.006387837090785312j),(-0.0030922729052954147-0.005078125446693393j),(-0.0037970874747181712-0.005909215445446812j),(-0.0042207890118146334-0.006184789535269187j),(-0.003997399769109803-0.005487583195156786j),(-0.0033485439746443564-0.004307721148046868j),(-0.004149539641474461-0.005006953302329712j),(-0.004792063722767799-0.005336370074701812j),(-0.005062851752965863-0.005197767121260993j),(-0.005000583604713289-0.004775031197674816j),(-0.004888542499865699-0.004274946626886855j),(-0.005444017495007577-0.004288459100240457j),(-0.006113921372643445-0.004379286460540761j),(-0.0060961512382610205-0.003914787775029477j),(-0.0062441863669029565-0.0035697030476924663j),(-0.006285432302712459-0.0031638916438865424j),(-0.005830985152223892-0.002500239351264396j),(-0.007361498228951335-0.002678344422289187j),(-0.007074317618103251-0.002090892445825127j),(-0.005098858672035637-0.0012756645692884854j)
"(0.5, 2.5)",(-0.0017032519534249224-0.00017440020636565957j),(-0.007868955505411827-0.0006351600571166128j),(-0.008550561293156135-0.00018251971892851052j),(-0.008468038900547243+0.0004066207035235164j),(-0.008512527733208574+0.0009129595224297297j),(-0.007195550044893942+0.0012559923875900432j),(-0.009122353248480906+0.0022333948359995327j),(-0.009131845983587482+0.0028593994099212136j),(-0.00696339534581329+0.0026895057072233567j),(-0.007760829282169897+0.003546235769249068j),(-0.007322795141358344+0.003810853942367205j),(-0.007916147781191325+0.00473692976341729j),(-0.007524517971558279+0.005129180900857541j),(-0.008256286547922027+0.006242225552675846j),(-0.007624744244248037+0.006287637632038145j),(-0.006577134852000989+0.0059024335599393j),(-0.006531900531147349+0.0064133968329157355j),(-0.006802031264157431+0.007129093678838256j),(-0.006476912026435316+0.007120135432347056j),(-0.0067587764535015984+0.007768141612041849j),(-0.006245875353742138+0.007383871399726461j),(-0.005675373107455463+0.00679954682190915j),(-0.005372649400652795+0.006448067685901646j),(-0.006502965098611043+0.0077127668996713975j),(-0.005947314245110599+0.006891281712175676j),(-0.006861581271480051+0.007618958713332258j),(-0.005464017610664474+0.005750792622163989j),(-0.006508530823300964+0.006495096198029428j),(-0.007366133909668955+0.006768493196656133j),(-0.0069157723967630345+0.005854293621652038j),(-0.007771011126162516+0.006038435213871873j),(-0.007335119303975013+0.0051079649656537085j),(-0.0074424164270493805+0.00461180126343022j),(-0.008072480566341727+0.00434557101858257j),(-0.007044407770657492+0.0032971954341551235j),(-0.00689931113184109+0.00274048506444584j),(-0.008076824055511833+0.0026767351662127328j),(-0.0071114861842499575+0.001821055946115132j),(-0.008183069953082956+0.001549407797491412j),(-0.007523053157540339+0.0009793679686471769j),(-0.007844382454199217+0.000454626336194132j),(-0.007301874565305545-2.161500560051581e-05j),(-0.006962260728995902-0.000492130223133961j),(-0.007444163293944254-0.0009785141829381713j),(-0.006837959913573977-0.0013550005483863182j),(-0.0071337170703422255-0.00185021597511744j),(-0.00783485989707878-0.0025680854619520516j),(-0.0065665579707214665-0.002609027050605616j),(-0.006687193992107328-0.0030918497057541338j),(-0.005506717369880076-0.002951111487865648j),(-0.00655051184047714-0.003964150745126842j),(-0.006135563917438191-0.004200307134720875j),(-0.0055029066926514615-0.004172082229636894j),(-0.005332864565322241-0.004498190251054863j),(-0.0053180587922802836-0.004949384469811751j),(-0.004153896537214287-0.004169528927831763j),(-0.0044756818993242995-0.004929082210094977j),(-0.004607110842778176-0.0055360675124011315j),(-0.0039887188512857255-0.005166510663630788j),(-0.003763719947618571-0.005211561573704104j),(-0.003835977993177738-0.00571122548601542j),(-0.0034651552883161805-0.005557228197769169j),(-0.0035356274442900435-0.0059946016825038724j),(-0.0030237805220651964-0.005434637233724284j),(-0.0031386851325181206-0.005932400638996467j),(-0.003300789853054074-0.00658111995959589j),(-0.002975319401665695-0.006164983310459431j),(-0.002918626875604725-0.006268590183910309j),(-0.0026007739666812314-0.005717766003102934j),(-0.0024711011549697986-0.005556732257749498j),(-0.0027680677779083705-0.0063007528583389864j),(-0.0025086466856806193-0.005738532807775635j),(-0.002784285443039241-0.006354262780471894j),(-0.002746519351050902-0.0062023191247422855j),(-0.002687645010504234-0.005952655958623634j),(-0.002651459693659808-0.005710965243393386j),(-0.002823019874338183-0.005879752696589751j),(-0.0029958046431456547-0.006030796255876877j),(-0.0030545195213158394-0.005868152308103636j),(-0.0032739086777700114-0.005992626815642305j),(-0.003880449296698816-0.006669379650729107j),(-0.003336042115147706-0.005384693909874303j),(-0.0034573920261388043-0.005243648480297809j),(-0.003429325566474468-0.004882950758130426j),(-0.0038864309046934167-0.00510934147320085j),(-0.004247477944683175-0.005140296881728215j),(-0.0046275745514328835-0.0052023390353583875j),(-0.0056272953222735005-0.005829816952991873j),(-0.004841779387383172-0.004566548650999875j),(-0.005364291608448632-0.004645268815266861j),(-0.005712804988307004-0.004448801797373476j),(-0.005867875062801874-0.004112202484687983j),(-0.005474101060305844-0.003454274588095956j),(-0.006849881699643197-0.0037893081626532636j),(-0.006473721106484607-0.003131841444861022j),(-0.007584302032946643-0.003142860900473635j),(-0.007003788335227952-0.0023716838726745544j),(-0.006061829299432161-0.0016554483817530212j),(-0.0081317889624233-0.0017584731247339393j),(-0.007090711220756164-0.001082810542885621j),(-0.0014821367121211906-0.00018340556120383127j)
"(1.0, 2.5)",(-0.005529079678610658-0.0004710887064827324j),(-0.00868870403866759-0.00030933461375245286j),(-0.0076190352990966655+0.00021765649846736297j),(-0.008158843250537102+0.0007558064169221364j),(-0.008412885362264276+0.0013383534184949653j),(-0.008731348436412342+0.0019739777528371737j),(-0.0074649208944464855+0.0021776136753516493j),(-0.007743413604770616+0.002759910715261315j),(-0.008235629397973149+0.003438068387140076j),(-0.008200038571205178+0.003953207631323219j),(-0.007808746299867987+0.0042852200859155335j),(-0.008640437795489612+0.0052336360903799655j),(-0.008650601858983493+0.005766622095121952j),(-0.007408308318041557+0.005314454584765352j),(-0.007224507483778613+0.005538761642418948j),(-0.007437129494029749+0.006056290271248761j),(-0.00636396363825842+0.005403406586380241j),(-0.007236700187868853+0.0063373368706350856j),(-0.006265949086323065+0.005569811166213644j),(-0.007814376335589642+0.006971462976250717j),(-0.006917584972925357+0.006099973981533446j),(-0.006102815671886606+0.005257854390710546j),(-0.007249718690147928+0.006038940977369687j),(-0.006645602811828413+0.0052626359658287086j),(-0.00759261568087819+0.005680855287590354j),(-0.006410009529288146+0.004469518212314461j),(-0.007297584266671817+0.004620433240495865j),(-0.007952211436280521+0.004533159713659314j),(-0.008687818568533285+0.004458902490501047j),(-0.007717954758817407+0.0034717564111345477j),(-0.007360539536976138+0.0028240852794021195j),(-0.007862013111194223+0.002475113323285078j),(-0.008107168755090176+0.0020943952807630298j),(-0.007348537110244448+0.0014386679501029727j),(-0.008841247252060523+0.001142807854372982j),(-0.007534133628812647+0.00046246642091687495j),(-0.008372302855590909-5.381611390429223e-06j),(-0.006960159946976204-0.0004707274035431989j),(-0.00701368225295226-0.0009494553334889369j),(-0.006509340562142901-0.0012409850803333693j),(-0.007900105591350287-0.002063912534191508j),(-0.007470825422390338-0.0025102946666195974j),(-0.006175581292314075-0.002451894720930458j),(-0.007229761646653831-0.003444025185464109j),(-0.005973661640870705-0.00332054569660675j),(-0.0054676044018429825-0.003417396434427583j),(-0.005253148706627899-0.003717160483891604j),(-0.005668265234180119-0.004540950937712208j),(-0.005603153897433428-0.005000876473358577j),(-0.005064661854937607-0.005041787319889622j),(-0.004271637164087672-0.004674482391379461j),(-0.004582455328569925-0.005579896863465284j),(-0.004224095751153163-0.005623143095354207j),(-0.00401859522374773-0.0058954091861995895j),(-0.003684281872160357-0.005887678574103097j),(-0.003701499201129259-0.006427281467667222j),(-0.003108663603467212-0.005879454247878894j),(-0.003014574414248619-0.006216966621400956j),(-0.002766983219409608-0.00616617895933497j),(-0.002307792756974622-0.005534830386910415j),(-0.002494094882434752-0.006504178460852977j),(-0.002021417452794046-0.005656474417933233j),(-0.0022452246678063515-0.0066526424910291464j),(-0.0020847565579220377-0.006571247810834137j),(-0.001770461277800355-0.005849413448793727j),(-0.0018947248344701303-0.006516439175706173j),(-0.0016743470837913316-0.00593607702511167j),(-0.0017448620689684846-0.006299449701884633j),(-0.0013928407875515034-0.00507581436207364j),(-0.0015763472095926346-0.005729953403992002j),(-0.0017376637142588749-0.006229041584359798j),(-0.0019174146999816628-0.006696843269205277j),(-0.0018086904502928912-0.0061007634466560545j),(-0.0016890907460458697-0.005418676561269801j),(-0.0022209615519684592-0.006774464301669613j),(-0.0024049466867691635-0.00689911310717709j),(-0.0018827568913825352-0.005092802797453234j),(-0.002477435200345108-0.0062026807703379205j),(-0.0026046175701029267-0.006060300316637036j),(-0.0030260861243023855-0.0064475536325499915j),(-0.0031023714954988586-0.006112660284107742j),(-0.002797160917106731-0.005110698395987841j),(-0.0035284039660317687-0.005851021371418413j),(-0.003893820995317331-0.005916126877514051j),(-0.004076300076383428-0.005687550666943357j),(-0.004263551597254709-0.005375190034158706j),(-0.004708751039749485-0.0054403154809497525j),(-0.004386733154422452-0.0045571221594654905j),(-0.004374698720562997-0.0041462169274753095j),(-0.005317219219148353-0.004525619455503478j),(-0.00515737527151492-0.003879691786344234j),(-0.006013935251308346-0.004018106330855099j),(-0.006019999143786136-0.0035531336736315147j),(-0.006083276791390956-0.003142201992224716j),(-0.006566309224076299-0.0028647653048567237j),(-0.006520501946041581-0.0024248276064782136j),(-0.007781824036823916-0.002326753729931712j),(-0.00714293554895087-0.0016463377868881075j),(-0.008208288298643236-0.0013188982811673904j),(-0.007011952980347137-0.0006327388790683778j),(-0.0022352701846814834-0.00013583838959411963j)
