index,xy,inc,scat,tot
"(-3.0, -3.0)",[-3. -3.],(0.7773494792181547+0.6290689844200426j),(0.061369787958988474+0.2348554844567143j),(0.8387192671771432+0.8639244688767569j)
"(-2.8461538461538463, -3.0)",[-2.84615385 -3.        ],(-0.10860406938749748+0.994085084946191j),(0.23983934042840824+0.09989295863308421j),(0.13123527104091076+1.0939780435792752j)
"(-2.6923076923076925, -3.0)",[-2.69230769 -3.        ],(-0.8948427434723873+0.4463815234245378j),(0.249170716634953-0.13022355552658227j),(-0.6456720268374343+0.3161579678979555j)
"(-2.5384615384615383, -3.0)",[-2.53846154 -3.        ],(-0.8594811553903232-0.5111674319916275j),(0.0790749310057427-0.29395399394891814j),(-0.7804062243845805-0.8051214259405457j)
"(-2.3846153846153846, -3.0)",[-2.38461538 -3.        ],(-0.03498656293693535-0.9993877828019812j),(-0.15978882991268117-0.28482876924630995j),(-0.19477539284961654-1.284216552048291j)
"(-2.230769230769231, -3.0)",[-2.23076923 -3.        ],(0.8216309578085959-0.5700197971742117j),(-0.32469155228572294-0.11467403131280707j),(0.4969394055228729-0.6846938284870188j)
"(-2.0769230769230766, -3.0)",[-2.07692308 -3.        ],(0.9238676498953127+0.38271211827810203j),(-0.3357765633996376+0.11287121718554569j),(0.5880910864956751+0.49558333546364775j)
"(-1.923076923076923, -3.0)",[-1.92307692 -3.        ],(0.17785484909783048+0.9840567324358834j),(-0.21183449778701174+0.2825126144912056j),(-0.03397964868918127+1.2665693469270891j)
"(-1.7692307692307692, -3.0)",[-1.76923077 -3.        ],(-0.731455460353972+0.681889220855088j),(-0.03695885165568565+0.33664599427451053j),(-0.7684143120096577+1.0185352151295985j)
"(-1.6153846153846154, -3.0)",[-1.61538462 -3.        ],(-0.9691796141665602-0.24635518156506767j),(0.10346345685638739+0.2927309303927436j),(-0.8657161573101728+0.04637574882767595j)
"(-1.4615384615384615, -3.0)",[-1.46153846 -3.        ],(-0.3170510749839535-0.9484084646667381j),(0.1696606859532338+0.21235128275474233j),(-0.14739038903071972-0.7360571819119958j)
"(-1.3076923076923075, -3.0)",[-1.30769231 -3.        ],(0.6261780494437382-0.7796800949074147j),(0.1743901579951871+0.15488718627254222j),(0.8005682074389253-0.6247929086348725j)
"(-1.1538461538461537, -3.0)",[-1.15384615 -3.        ],(0.9944815197952718+0.10491190011474566j),(0.15866406902104235+0.14761217571409596j),(1.1531455888163142+0.2525240758288416j)
"(-1.0, -3.0)",[-1. -3.],(0.44970134126633127+0.8931789874729827j),(0.1605541262975723+0.18339767996982959j),(0.6102554675639036+1.0765766674428123j)
"(-0.8461538461538458, -3.0)",[-0.84615385 -3.        ],(-0.5079723233823321+0.8613733909737143j),(0.1964622527787908+0.23719307729117736j),(-0.3115100706035413+1.0985664682648917j)
