index,value
"(0,)",(-3.656927666589427+2.5060417466092977j)
"(1,)",(-4.914608045366074-0.7831571422581232j)
"(2,)",(-2.494331956940427+3.5255663796156123j)
"(3,)",(-1.3957994873547688-3.729759571410786j)
"(4,)",(3.353915645317298+5.901129573183668j)
"(5,)",(-3.855458452283284-7.551884758040887j)
"(6,)",(-0.2227352244944656+12.013778060549187j)
"(7,)",(22.478516023890343+9.442852963596932j)
"(8,)",(0.5183835840464868+10.284955876097074j)
"(9,)",(-4.679069216303067-7.642363513430897j)
"(10,)",(3.032618496416045+5.566876719432491j)
"(11,)",(-0.895344014650165-5.018336577674386j)
