index,value
"(0,)",(1.4206806296064198+2.8259702749465614j)
"(1,)",(0.9705556561724801-0.08106564311781783j)
"(2,)",(-1.8638623407377697+2.4524521534699004j)
"(3,)",(-2.3666386982242082+2.90273386137366j)
"(4,)",(-4.529460786844785+3.0738082552685784j)
"(5,)",(-5.444453890929136+3.6999499185623126j)
"(6,)",(-6.060706162180931+3.5389147687510354j)
"(7,)",(-6.2898325818201375+3.6481181602829533j)
"(8,)",(-5.780170950637313+3.5422890039869532j)
"(9,)",(-4.909453703292392+3.315018558392996j)
"(10,)",(-3.551149725283251+2.9901483691350275j)
"(11,)",(-1.9261876086241898+2.420290850875757j)
"(12,)",(-0.24617551046546193+1.6893939590881994j)
"(13,)",(1.2815684876978024+0.8424501016919279j)
"(14,)",(2.431902227415761+0.04911494401563332j)
"(15,)",(3.1388820153177743-0.4868266497936836j)
"(16,)",(3.469184978884142-0.6368885269299871j)
"(17,)",(3.6042989773465957-0.4218356029623709j)
"(18,)",(3.7089146534175104-0.08065159835678437j)
"(19,)",(3.763789870179445+0.019975859943614394j)
"(20,)",(3.4951683602740804-0.4106521862083965j)
"(21,)",(2.4709212488762513-1.346124245239305j)
"(22,)",(0.3875264010271131-2.324846947017382j)
"(23,)",(-2.598249831718663-2.6007557122107148j)
"(24,)",(-5.720642125421785-1.54783295232229j)
"(25,)",(-7.811563597323491+0.8777330710583824j)
"(26,)",(-7.83433418865723+3.9191639841849395j)
"(27,)",(-5.475446134966083+6.248284173217966j)
"(28,)",(-1.4346696097420004+6.580859037296391j)
"(29,)",(2.8014374144614047+4.356067849145491j)
"(30,)",(5.612553371956333+0.08866207761831557j)
"(31,)",(5.9743426999907125-4.8128936661190895j)
"(32,)",(3.8783873453055184-8.655949446033233j)
"(33,)",(0.2544607797764229-10.16432710150373j)
"(34,)",(-3.506570504446887-8.923329599681862j)
"(35,)",(-6.1439786799544365-5.406653749036886j)
"(36,)",(-6.949650738466781-0.6571266253503341j)
"(37,)",(-5.8852021648724895+4.164884699602265j)
"(38,)",(-3.429884361315163+8.152922250848174j)
"(39,)",(-0.29779553784245394+10.83304158831147j)
"(40,)",(2.831356251354764+12.152304719670578j)
"(41,)",(5.481219551978727+12.35093213108989j)
"(42,)",(7.4303494001640065+11.804473860372525j)
"(43,)",(8.675847680590147+10.896122232249029j)
"(44,)",(9.353659066332218+9.94248746883094j)
"(45,)",(9.652755360867804+9.168094072608937j)
"(46,)",(9.744722166288085+8.710573178901129j)
"(47,)",(9.736391463480874+8.637132519893061j)
"(48,)",(9.64539098181672+8.957729017754021j)
"(49,)",(9.396593243433752+9.627106511816722j)
"(50,)",(8.83906956396131+10.534599934535336j)
"(51,)",(7.7853190590496295+11.487287379211429j)
"(52,)",(6.074110464976265+12.198920208069943j)
"(53,)",(3.6526309403619295+12.302842725472072j)
"(54,)",(0.6616297294086761+11.408491042884023j)
"(55,)",(-2.5088389094878165+9.21224980116012j)
"(56,)",(-5.236838692473555+5.650153116355362j)
"(57,)",(-6.797086594690331+1.0448674291916524j)
"(58,)",(-6.6025755794906695-3.833991514894493j)
"(59,)",(-4.496149121219018-7.879679366628478j)
"(60,)",(-0.9637747545917663-9.96145114979497j)
"(61,)",(2.8825972643203635-9.369984054197017j)
"(62,)",(5.632157367309448-6.2057862709859615j)
"(63,)",(6.134860335485807-1.4875000143353234j)
"(64,)",(4.056099547685719+3.1602926434945537j)
"(65,)",(0.10476408747871013+6.157654083041523j)
"(66,)",(-4.222408551656656+6.641990891953278j)
"(67,)",(-7.301709816542513+4.838167070422656j)
"(68,)",(-8.13012211696809+1.8542694885076847j)
"(69,)",(-6.667582215556847-0.9212273986076411j)
"(70,)",(-3.7846618202565026-2.457853548950852j)
"(71,)",(-0.6750794555998063-2.597409657156602j)
"(72,)",(1.791777728972705-1.7376014128402009j)
"(73,)",(3.09152055664973-0.6782614565785859j)
"(74,)",(3.673564696928975-0.13244474654383187j)
"(75,)",(3.7319689116375194+0.14328840210435856j)
"(76,)",(3.496508013888895-0.4495946658029837j)
"(77,)",(3.999403612315087-0.6123259526811451j)
"(78,)",(2.888089422868861-0.3944256162482591j)
"(79,)",(3.1459626569511987-1.5274903339684538j)
