index,x,value
"(-3.0, -3.0)","(-3.0, -3.0)",(0.02122039281620597+0.24909259755515378j)
"(-2.8461538461538463, -3.0)","(-2.8461538461538463, -3.0)",(0.19295249905509687+0.16951600134765438j)
"(-2.6923076923076925, -3.0)","(-2.6923076923076925, -3.0)",(0.2642755167255726-0.004372550756532164j)
"(-2.5384615384615383, -3.0)","(-2.5384615384615383, -3.0)",(0.20405927093198264-0.18053187288289949j)
"(-2.3846153846153846, -3.0)","(-2.3846153846153846, -3.0)",(0.04771836683292098-0.2772150934601148j)
"(-2.230769230769231, -3.0)","(-2.230769230769231, -3.0)",(-0.13212885782546094-0.2590588773036952j)
"(-2.0769230769230766, -3.0)","(-2.0769230769230766, -3.0)",(-0.2650598044042193-0.14250226621738613j)
"(-1.923076923076923, -3.0)","(-1.923076923076923, -3.0)",(-0.3106907626385024+0.022992743493187973j)
"(-1.7692307692307692, -3.0)","(-1.7692307692307692, -3.0)",(-0.2661262823986941+0.18195203340746344j)
"(-1.6153846153846154, -3.0)","(-1.6153846153846154, -3.0)",(-0.15659818878195758+0.2940096605947597j)
"(-1.4615384615384615, -3.0)","(-1.4615384615384615, -3.0)",(-0.018852864143963415+0.34275012816582046j)
"(-1.3076923076923075, -3.0)","(-1.3076923076923075, -3.0)",(0.11379958224656399+0.3333729559951988j)
"(-1.1538461538461537, -3.0)","(-1.1538461538461537, -3.0)",(0.21999442585678555+0.2842309888659851j)
"(-1.0, -3.0)","(-1.0, -3.0)",(0.2919083908237965+0.21755344896196868j)
"(-0.8461538461538458, -3.0)","(-0.8461538461538458, -3.0)",(0.3321049781702848+0.15276051073914892j)
"(-0.6923076923076921, -3.0)","(-0.6923076923076921, -3.0)",(0.34846586024468296+0.10341112693138146j)
"(-0.5384615384615383, -3.0)","(-0.5384615384615383, -3.0)",(0.3493984957172725+0.07708018782242344j)
"(-0.3846153846153846, -3.0)","(-0.3846153846153846, -3.0)",(0.34041640016085295+0.07667124345100282j)
"(-0.23076923076923084, -3.0)","(-0.23076923076923084, -3.0)",(0.3223252276814171+0.10167548206844533j)
"(-0.07692307692307665, -3.0)","(-0.07692307692307665, -3.0)",(0.2909293748200124+0.14836762519203353j)
"(0.0769230769230771, -3.0)","(0.0769230769230771, -3.0)",(0.2383496613014469+0.20866685343935432j)
"(0.23076923076923084, -3.0)","(0.23076923076923084, -3.0)",(0.1563534320538056+0.26833315784003j)
"(0.384615384615385, -3.0)","(0.384615384615385, -3.0)",(0.04196322173847862+0.30625287776173643j)
"(0.5384615384615388, -3.0)","(0.5384615384615388, -3.0)",(-0.09554896529712267+0.29737529340297647j)
"(0.6923076923076925, -3.0)","(0.6923076923076925, -3.0)",(-0.22941796279753807+0.22141345891777264j)
"(0.8461538461538463, -3.0)","(0.8461538461538463, -3.0)",(-0.3172016164115807+0.07657762334141072j)
"(1.0, -3.0)","(1.0, -3.0)",(-0.31451572787885784-0.10760501993625228j)
"(1.1538461538461542, -3.0)","(1.1538461538461542, -3.0)",(-0.1999085178583132-0.26913654155280137j)
"(1.3076923076923084, -3.0)","(1.3076923076923084, -3.0)",(0.00015892835872307904-0.3337830476325846j)
"(1.4615384615384617, -3.0)","(1.4615384615384617, -3.0)",(0.2057311844174024-0.25520928035851886j)
"(1.6153846153846159, -3.0)","(1.6153846153846159, -3.0)",(0.31309286821542576-0.055152680693634874j)
"(1.7692307692307692, -3.0)","(1.7692307692307692, -3.0)",(0.2546077353190929+0.16836053797523395j)
"(1.9230769230769234, -3.0)","(1.9230769230769234, -3.0)",(0.054306272773536626+0.2860882647925414j)
"(2.0769230769230775, -3.0)","(2.0769230769230775, -3.0)",(-0.16779748180809234+0.22066673692794606j)
"(2.230769230769231, -3.0)","(2.230769230769231, -3.0)",(-0.26421112490657594+0.012492449854443427j)
"(2.384615384615385, -3.0)","(2.384615384615385, -3.0)",(-0.16614073794160344-0.1919648782289719j)
"(2.5384615384615383, -3.0)","(2.5384615384615383, -3.0)",(0.05290367533049791-0.23991909701881292j)
"(2.6923076923076925, -3.0)","(2.6923076923076925, -3.0)",(0.22063819891406597-0.09407449402549142j)
"(2.8461538461538467, -3.0)","(2.8461538461538467, -3.0)",(0.19958141631376597+0.12600662888904351j)
"(3.0, -3.0)","(3.0, -3.0)",(0.006921716554385877+0.23358962359958657j)
"(-3.0, -2.8461538461538463)","(-3.0, -2.8461538461538463)",(0.2008819730119605+0.15049729335815432j)
"(-2.8461538461538463, -2.8461538461538463)","(-2.8461538461538463, -2.8461538461538463)",(0.25503985835446236-0.03753861780593061j)
"(-2.6923076923076925, -2.8461538461538463)","(-2.6923076923076925, -2.8461538461538463)",(0.16323389254039655-0.2090436543865483j)
"(-2.5384615384615383, -2.8461538461538463)","(-2.5384615384615383, -2.8461538461538463)",(-0.01889052450812942-0.27272930864324885j)
"(-2.3846153846153846, -2.8461538461538463)","(-2.3846153846153846, -2.8461538461538463)",(-0.1964095893693678-0.20278814421259284j)
"(-2.230769230769231, -2.8461538461538463)","(-2.230769230769231, -2.8461538461538463)",(-0.2893657589011319-0.03940001646974749j)
"(-2.0769230769230766, -2.8461538461538463)","(-2.0769230769230766, -2.8461538461538463)",(-0.26636044996485286+0.1434501363108118j)
"(-1.923076923076923, -2.8461538461538463)","(-1.923076923076923, -2.8461538461538463)",(-0.1467416723031698+0.2772685391979096j)
"(-1.7692307692307692, -2.8461538461538463)","(-1.7692307692307692, -2.8461538461538463)",(0.01987793680375733+0.3247495142927276j)
"(-1.6153846153846154, -2.8461538461538463)","(-1.6153846153846154, -2.8461538461538463)",(0.18021243139342782+0.28495936003914946j)
"(-1.4615384615384615, -2.8461538461538463)","(-1.4615384615384615, -2.8461538461538463)",(0.2967722886180349+0.18296900452934461j)
"(-1.3076923076923075, -2.8461538461538463)","(-1.3076923076923075, -2.8461538461538463)",(0.3551276780787013+0.05368621513284222j)
"(-1.1538461538461537, -2.8461538461538463)","(-1.1538461538461537, -2.8461538461538463)",(0.3608688518303294-0.0718544821298957j)
"(-1.0, -2.8461538461538463)","(-1.0, -2.8461538461538463)",(0.33136796930290413-0.17377211224066788j)
