index,x,value
"(-3.0602006688963215, -2.0)","(-3.0602006688963215, -2.0)",(0.10273335279800172+0.5034855939386143j)
"(-3.0267558528428093, -2.0)","(-3.0267558528428093, -2.0)",(0.15828947941853583+0.35040200682496836j)
"(-2.9933110367892977, -2.0)","(-2.9933110367892977, -2.0)",(0.6810558004552432+0.35995173285442206j)
"(-2.959866220735786, -2.0)","(-2.959866220735786, -2.0)",(0.1516016171826277+0.35557793833586077j)
"(-2.9264214046822743, -2.0)","(-2.9264214046822743, -2.0)",(0.44108539348297815+0.9871072622663022j)
"(-2.8929765886287626, -2.0)","(-2.8929765886287626, -2.0)",(0.6083623068809844-0.13770581933195059j)
"(-2.859531772575251, -2.0)","(-2.859531772575251, -2.0)",(0.06101185528916533+0.3405087161589056j)
"(-2.8260869565217392, -2.0)","(-2.8260869565217392, -2.0)",(-0.4755884716339921-0.23017643542419364j)
"(-2.7926421404682276, -2.0)","(-2.7926421404682276, -2.0)",(0.32918783026676085-0.5472931486866108j)
"(-2.759197324414716, -2.0)","(-2.759197324414716, -2.0)",(-0.3180706895955584+0.2633405001246903j)
"(-2.725752508361204, -2.0)","(-2.725752508361204, -2.0)",(0.3189559503945182-0.21141725223597163j)
"(-2.6923076923076925, -2.0)","(-2.6923076923076925, -2.0)",(0.40518244294884187-0.7412097297243446j)
"(-2.658862876254181, -2.0)","(-2.658862876254181, -2.0)",(0.47784260434131703-0.7982859571310831j)
"(-2.625418060200669, -2.0)","(-2.625418060200669, -2.0)",(0.7913661723164308-0.3088965286927681j)
"(-2.5919732441471575, -2.0)","(-2.5919732441471575, -2.0)",(0.1974447616969968+0.12246763913459614j)
"(-2.558528428093646, -2.0)","(-2.558528428093646, -2.0)",(0.3095204689478841-0.6528715003621254j)
"(-2.525083612040134, -2.0)","(-2.525083612040134, -2.0)",(0.39184960070063535-1.030893850253745j)
"(-2.491638795986622, -2.0)","(-2.491638795986622, -2.0)",(-0.6706642502714997-0.08842014227883903j)
"(-2.4581939799331103, -2.0)","(-2.4581939799331103, -2.0)",(-0.08824233918341734-0.4248093498194625j)
"(-2.4247491638795986, -2.0)","(-2.4247491638795986, -2.0)",(-0.26583719681069684-0.044900171005813394j)
"(-2.391304347826087, -2.0)","(-2.391304347826087, -2.0)",(0.11610956599370195-0.4289281637977772j)
"(-2.3578595317725752, -2.0)","(-2.3578595317725752, -2.0)",(-0.866327205833104+0.043365809079066175j)
"(-2.3244147157190636, -2.0)","(-2.3244147157190636, -2.0)",(-0.13643617697694146+0.6808127234175445j)
"(-2.290969899665552, -2.0)","(-2.290969899665552, -2.0)",(-0.34714842804115814-0.7722000773636515j)
"(-2.25752508361204, -2.0)","(-2.25752508361204, -2.0)",(-0.35857364744186787+0.49750253600832445j)
"(-2.2240802675585285, -2.0)","(-2.2240802675585285, -2.0)",(-0.9848069170502515-0.24961246870964562j)
"(-2.190635451505017, -2.0)","(-2.190635451505017, -2.0)",(-0.4431595981414253-0.5104377901631965j)
"(-2.157190635451505, -2.0)","(-2.157190635451505, -2.0)",(-1.2515992267007177+0.10317848904047545j)
"(-2.1237458193979935, -2.0)","(-2.1237458193979935, -2.0)",(-0.8161423540008349+0.5372211856851065j)
"(-2.0903010033444818, -2.0)","(-2.0903010033444818, -2.0)",(-0.07880285142022211+0.7538318179350638j)
"(-2.05685618729097, -2.0)","(-2.05685618729097, -2.0)",(-0.4046395026292997+0.9518689905356827j)
"(-2.0234113712374584, -2.0)","(-2.0234113712374584, -2.0)",(-0.6476990354055076+0.8824836338900941j)
