index,cp
"(1, (46,))",(-0.13333333333333286+2.3145972442485216e-17j)
"(1, (47,))",(-0.13333333333333358-2.6197273096410704e-17j)
"(1, (48,))",(-0.1333333333333336-6.459974880852461e-18j)
"(1, (49,))",(-0.13333333333333322+2.314597244248529e-17j)
"(2, (0,))",(-0.1079154331153855-0.0240223962771447j)
"(2, (1,))",(-0.061333415045047544+0.036702955546601364j)
"(2, (2,))",(-0.13333333333333322+6.459974880852186e-18j)
"(2, (3,))",(-0.13333333333333322+6.459974880852187e-18j)
"(2, (4,))",(-0.13333333333333355+6.4599748808522124e-18j)
"(2, (5,))",(-0.13333333333333322+6.4599748808521885e-18j)
"(2, (6,))",(-0.13333333333333308+2.6197273096410482e-17j)
"(2, (7,))",(-0.13333333333333355+1.6328623988631407e-17j)
"(2, (8,))",(-0.1333333333333333-2.31459724424853e-17j)
"(2, (9,))",(-0.13333333333333314+1.6328623988631354e-17j)
"(2, (10,))",(-0.13333333333333355+1.6328623988631407e-17j)
"(2, (11,))",(-0.1333333333333333-2.31459724424853e-17j)
"(2, (12,))",(-0.1333333333333333-3.4086742269269907e-18j)
"(2, (13,))",(-0.13333333333333378-3.4086742269269206e-18j)
"(2, (14,))",(-0.1333333333333334-3.4086742269268582e-18j)
"(2, (15,))",(-0.13333333333333322-2.314597244248529e-17j)
"(2, (16,))",(-0.13333333333333378-3.4086742269269206e-18j)
"(2, (17,))",(-0.1333333333333334-3.4086742269268582e-18j)
"(2, (18,))",(-0.1333333333333334-3.408674226926859e-18j)
"(2, (19,))",(-0.13333333333333375-3.40867422692692e-18j)
"(2, (20,))",(-0.13333333333333322-2.314597244248529e-17j)
"(2, (21,))",(-0.1333333333333334-3.408674226926859e-18j)
"(2, (22,))",(-0.13333333333333355-1.3277323334705993e-17j)
"(2, (23,))",(-0.13333333333333322+6.459974880852229e-18j)
"(2, (24,))",(-0.1333333333333334-3.4086742269269657e-18j)
"(2, (25,))",(-0.06133341504504755+0.036702955546601364j)
"(2, (26,))",(-0.06133341504504756-0.036702955546601364j)
"(2, (27,))",(-0.1333333333333336-6.4599748808523026e-18j)
"(2, (28,))",(-0.1333333333333336-6.4599748808523026e-18j)
"(2, (29,))",(-0.13333333333333355+2.314597244248535e-17j)
"(2, (30,))",(-0.13333333333333322+2.314597244248529e-17j)
"(2, (31,))",(-0.13333333333333322+2.314597244248529e-17j)
"(2, (32,))",(-0.13333333333333397-6.4599748808524e-18j)
"(2, (33,))",(-0.1333333333333336-6.459974880852461e-18j)
"(2, (34,))",(-0.13333333333333322+2.314597244248529e-17j)
"(2, (35,))",(-0.13333333333333355+2.314597244248535e-17j)
"(2, (36,))",(-0.13333333333333322+2.314597244248529e-17j)
"(2, (37,))",(-0.1333333333333336-6.459974880852461e-18j)
"(2, (38,))",(-0.13333333333333397-6.4599748808524e-18j)
"(2, (39,))",(-0.13333333333333322+2.314597244248529e-17j)
"(2, (40,))",(-0.13333333333333322+2.314597244248529e-17j)
"(2, (41,))",(-0.13333333333333355+2.314597244248535e-17j)
"(2, (42,))",(-0.1333333333333336-6.4599748808523026e-18j)
"(2, (43,))",(-0.1333333333333336-6.4599748808523026e-18j)
"(2, (44,))",(-0.13333333333333355+2.314597244248535e-17j)
"(2, (45,))",(-0.13333333333333322+2.314597244248529e-17j)
"(2, (46,))",(-0.13333333333333286+2.3145972442485216e-17j)
"(2, (47,))",(-0.13333333333333358-2.6197273096410704e-17j)
"(2, (48,))",(-0.1333333333333336-6.459974880852461e-18j)
"(2, (49,))",(-0.13333333333333322+2.314597244248529e-17j)
