index,x,value,0,1,2
"(-3.0, -6.0)","(-3.0, -6.0)",(0.13235224092619846+0.015850051949481605j),(0.0009413226817155534+0.046559629797515184j),(0.03714540683494924-0.02912837200449888j),(0.3589699932619306+0.030118898055428514j)
"(-2.8686868686868685, -6.0)","(-2.8686868686868685, -6.0)",(-0.08381204989675178+0.07940616579309817j),(0.04138192936868303+0.018388854856384456j),(-0.027287615195499458-0.028648696579988083j),(-0.2655304638634389+0.24847833910289813j)
"(-2.7373737373737375, -6.0)","(-2.7373737373737375, -6.0)",(0.008320139676886038-0.1275903405037609j),(0.0346726824525449-0.02769284973932678j),(-0.02216236568524285+0.02352214903786736j),(0.012450102263356064-0.3786003208098233j)
"(-2.606060606060606, -6.0)","(-2.606060606060606, -6.0)",(0.08819189922520329+0.08309004772122022j),(-0.0065795444458470985-0.04337543391003609j),(0.019869239223082123+0.01748546007932398j),(0.2512860028983749+0.2751601169943728j)
"(-2.474747474747475, -6.0)","(-2.474747474747475, -6.0)",(-0.13207865576590047-0.011541648498448479j),(-0.03985760981675961-0.017975297777780314j),(0.014649735626019641-0.017744164462640873j),(-0.3710280931069615+0.0010945167450757548j)
"(-2.3434343434343434, -6.0)","(-2.3434343434343434, -6.0)",(0.07188638183912213-0.09038162145053558j),(-0.03811779722166634+0.021605627950495313j),(-0.01756008755408487-0.014441261413001881j),(0.2713370302931176-0.27830923088910015j)
"(-2.212121212121212, -6.0)","(-2.212121212121212, -6.0)",(-0.008765727825878172+0.14926796286364857j),(-0.007818998351482382+0.043305790201034804j),(-0.018215959911109827+0.018074633525663054j),(-0.0002622252150423082+0.38642346486424795j)
"(-2.0808080808080804, -6.0)","(-2.0808080808080804, -6.0)",(-0.0809875409743234-0.06772625238039506j),(0.026057809938508487+0.03566779053435716j),(0.015842599468290235+0.02658657658273696j),(-0.28486303232976895-0.2654331242582793j)
"(-1.9494949494949494, -6.0)","(-1.9494949494949494, -6.0)",(0.1606521386003022-0.0028141889304933174j),(0.0433623189927862+0.00877637205244887j),(0.03701063495232937-0.005941002134217669j),(0.401583461855791-0.011277936709711153j)
"(-1.8181818181818181, -6.0)","(-1.8181818181818181, -6.0)",(-0.07174902739625057+0.07631872177747014j),(0.03940906212751953-0.020021549870374647j),(0.014552474225041023-0.041761418288791805j),(-0.2692086185413123+0.2907391334915769j)
"(-1.6868686868686869, -6.0)","(-1.6868686868686869, -6.0)",(-0.011167808627144735-0.16279127918086034j),(0.021174674552271358-0.0386812871808495j),(-0.02981476596935276-0.04050376583235064j),(-0.024863334464352807-0.4091887845293809j)
"(-1.5555555555555554, -6.0)","(-1.5555555555555554, -6.0)",(0.08224691991206676+0.07442312790912292j),(-0.0013617009762821493-0.043961882169981606j),(-0.054946984185958336-0.0038869413160136663j),(0.30304944489844077+0.27111820721336405j)
"(-1.424242424242424, -6.0)","(-1.424242424242424, -6.0)",(-0.16257509113812882+0.01540241033803619j),(-0.020948746762662313-0.03857659449339123j),(-0.045033560631464645+0.03709405575584919j),(-0.4217429660202595+0.04768976975165061j)
"(-1.2929292929292928, -6.0)","(-1.2929292929292928, -6.0)",(0.07988669073744319-0.0994560468044955j),(-0.03438061895431715-0.02718812470774528j),(-0.013771964837826932+0.0586003019936784j),(0.28781265600447364-0.3297803176994196j)
"(-1.1616161616161613, -6.0)","(-1.1616161616161613, -6.0)",(0.011877689645830152+0.1619886782841395j),(-0.041432288015226706-0.013955521180283904j),(0.018636435070266973+0.05813530276344647j),(0.05842892188245019+0.4417862532692559j)
"(-1.03030303030303, -6.0)","(-1.03030303030303, -6.0)",(-0.12015503663033163-0.08683133729050996j),(-0.04342187805214793-0.0017262862483134467j),(0.04153899730679089+0.04519500056021674j),(-0.35858222914563787-0.3039627261834332j)
"(-0.8989898989898988, -6.0)","(-0.8989898989898988, -6.0)",(0.1685158875939338-0.011797001455943507j),(-0.04219412250604798+0.00792130718026024j),(0.05406523090021457+0.02938362058953124j),(0.4936765543876348-0.072695932137622j)
"(-0.7676767676767673, -6.0)","(-0.7676767676767673, -6.0)",(-0.10307485670253605+0.14090442826884259j),(-0.039534679141870005+0.014367860299745308j),(0.059382521372279236+0.01622135729413227j),(-0.32907241233801743+0.39212406721265025j)
"(-0.6363636363636362, -6.0)","(-0.6363636363636362, -6.0)",(-0.034648478915379234-0.2176369461089041j),(-0.036851291465334717+0.017597224258781338j),(0.06078511730345814+0.008065159942471142j),(-0.12787926258426113-0.6785732225279648j)
"(0.5454545454545459, -6.0)","(0.5454545454545459, -6.0)",(0.22580014035748674+0.12474204234760866j),(0.012758343497022075-0.03414043726836346j),(-0.03721358508140453-0.016475903414908483j),(0.7018556626568427+0.4248424677260979j)
