index,"(0, 0)","(1, 0)","(2, 0)","(3, 0)","(4, 0)","(0, 1)","(1, 1)","(2, 1)","(3, 1)","(4, 1)","(0, 2)","(1, 2)","(2, 2)","(3, 2)","(4, 2)","(0, 3)","(1, 3)","(2, 3)","(3, 3)","(4, 3)","(0, 4)","(1, 4)","(2, 4)","(3, 4)","(4, 4)"
"(0, 0)",0.0022278400000000013,0.002164906666666667,0.0003272533333333334,0.0,0.0,0.002164906666666667,0.0021037511111111113,0.00031800888888888887,0.0,0.0,0.0003272533333333333,0.00031800888888888887,4.80711111111111e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0)",0.002164906666666667,0.006545066666666668,0.004090666666666667,0.00016362666666666666,0.0,0.0021037511111111113,0.006360177777777777,0.003975111111111111,0.0001590044444444444,0.0,0.0003180088888888888,0.000961422222222222,0.0006008888888888888,2.403555555555555e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(2, 0)",0.0003272533333333334,0.004090666666666667,0.0110448,0.004090666666666667,0.00032725333333333343,0.00031800888888888887,0.0039751111111111116,0.010732799999999995,0.0039751111111111116,0.0003180088888888891,4.80711111111111e-05,0.0006008888888888888,0.0016223999999999993,0.0006008888888888889,4.807111111111111e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(3, 0)",0.0,0.00016362666666666666,0.004090666666666667,0.0065450666666666685,0.0021649066666666675,0.0,0.0001590044444444444,0.0039751111111111116,0.006360177777777779,0.002103751111111112,0.0,2.403555555555555e-05,0.0006008888888888889,0.0009614222222222227,0.0003180088888888891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(4, 0)",0.0,0.0,0.00032725333333333343,0.0021649066666666675,0.0022278400000000013,0.0,0.0,0.0003180088888888891,0.002103751111111112,0.002164906666666668,0.0,0.0,4.807111111111111e-05,0.0003180088888888891,0.0003272533333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 1)",0.002164906666666667,0.0021037511111111113,0.00031800888888888887,0.0,0.0,0.006545066666666666,0.006360177777777776,0.000961422222222222,0.0,0.0,0.004090666666666665,0.003975111111111111,0.0006008888888888888,0.0,0.0,0.0001636266666666666,0.00015900444444444438,2.4035555555555545e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 1)",0.0021037511111111113,0.006360177777777777,0.0039751111111111116,0.0001590044444444444,0.0,0.006360177777777776,0.01922844444444444,0.012017777777777771,0.00048071111111111086,0.0,0.00397511111111111,0.012017777777777777,0.007511111111111108,0.0003004444444444443,0.0,0.0001590044444444444,0.00048071111111111086,0.0003004444444444443,1.2017777777777767e-05,0.0,0.0,0.0,0.0,0.0,0.0
"(2, 1)",0.00031800888888888887,0.003975111111111111,0.010732799999999995,0.0039751111111111116,0.0003180088888888891,0.000961422222222222,0.012017777777777771,0.032447999999999984,0.012017777777777777,0.000961422222222222,0.0006008888888888888,0.007511111111111108,0.02027999999999999,0.007511111111111109,0.0006008888888888889,2.403555555555555e-05,0.0003004444444444443,0.0008111999999999994,0.0003004444444444443,2.403555555555555e-05,0.0,0.0,0.0,0.0,0.0
"(3, 1)",0.0,0.0001590044444444444,0.0039751111111111116,0.006360177777777779,0.002103751111111112,0.0,0.00048071111111111086,0.012017777777777777,0.019228444444444444,0.006360177777777779,0.0,0.0003004444444444443,0.007511111111111111,0.01201777777777778,0.0039751111111111116,0.0,1.2017777777777767e-05,0.0003004444444444443,0.00048071111111111113,0.00015900444444444443,0.0,0.0,0.0,0.0,0.0
"(4, 1)",0.0,0.0,0.0003180088888888891,0.002103751111111112,0.002164906666666668,0.0,0.0,0.000961422222222222,0.006360177777777779,0.0065450666666666685,0.0,0.0,0.0006008888888888889,0.0039751111111111116,0.004090666666666668,0.0,0.0,2.403555555555555e-05,0.00015900444444444443,0.00016362666666666666,0.0,0.0,0.0,0.0,0.0
"(0, 2)",0.0003272533333333333,0.0003180088888888888,4.80711111111111e-05,0.0,0.0,0.004090666666666665,0.00397511111111111,0.0006008888888888888,0.0,0.0,0.0110448,0.0107328,0.0016223999999999993,0.0,0.0,0.004090666666666667,0.0039751111111111116,0.0006008888888888889,0.0,0.0,0.00032725333333333343,0.00031800888888888887,4.807111111111111e-05,0.0,0.0
"(1, 2)",0.00031800888888888887,0.000961422222222222,0.0006008888888888888,2.403555555555555e-05,0.0,0.003975111111111111,0.012017777777777777,0.007511111111111108,0.0003004444444444443,0.0,0.0107328,0.03244799999999999,0.02027999999999999,0.0008111999999999997,0.0,0.0039751111111111116,0.01201777777777778,0.007511111111111111,0.0003004444444444443,0.0,0.00031800888888888887,0.000961422222222222,0.0006008888888888889,2.403555555555555e-05,0.0
