index,x,value
"(1.5, -1.5)","(1.5, -1.5)",(1.8836255252264291+5.2534467792615445j)
"(-1.5, -1.4491525423728813)","(-1.5, -1.4491525423728813)",(4.52514169892514+3.29084509152531j)
"(-1.4491525423728813, -1.4491525423728813)","(-1.4491525423728813, -1.4491525423728813)",(4.10427042561992-0.9912051969522219j)
"(-1.3983050847457628, -1.4491525423728813)","(-1.3983050847457628, -1.4491525423728813)",(1.4822149611232307-3.5377418220737837j)
"(-1.347457627118644, -1.4491525423728813)","(-1.347457627118644, -1.4491525423728813)",(-1.48656125908125-6.349143581793867j)
"(-1.2966101694915255, -1.4491525423728813)","(-1.2966101694915255, -1.4491525423728813)",(-2.9724765346682447-4.902333531837353j)
"(-1.2457627118644068, -1.4491525423728813)","(-1.2457627118644068, -1.4491525423728813)",(-2.367165502827155-2.623324004215073j)
"(-1.194915254237288, -1.4491525423728813)","(-1.194915254237288, -1.4491525423728813)",(-4.031930309664097+2.3971915299592217j)
"(-1.1440677966101696, -1.4491525423728813)","(-1.1440677966101696, -1.4491525423728813)",(-0.36241768879781355+2.649742476711376j)
"(-1.0932203389830508, -1.4491525423728813)","(-1.0932203389830508, -1.4491525423728813)",(0.6890832668531259+4.620481665713563j)
"(-1.042372881355932, -1.4491525423728813)","(-1.042372881355932, -1.4491525423728813)",(0.8449345118847996+4.412814363972522j)
"(-0.9915254237288136, -1.4491525423728813)","(-0.9915254237288136, -1.4491525423728813)",(0.5996169908138398+1.2141524462152609j)
"(-0.9406779661016949, -1.4491525423728813)","(-0.9406779661016949, -1.4491525423728813)",(3.573851287208444+2.2338703033797302j)
"(-0.8898305084745762, -1.4491525423728813)","(-0.8898305084745762, -1.4491525423728813)",(3.3643610288954076+1.7092851729840746j)
"(-0.8389830508474576, -1.4491525423728813)","(-0.8389830508474576, -1.4491525423728813)",(2.1771249782662556-1.499660763808873j)
"(-0.7881355932203389, -1.4491525423728813)","(-0.7881355932203389, -1.4491525423728813)",(0.8178738571952381-5.205998245613527j)
"(-0.7372881355932203, -1.4491525423728813)","(-0.7372881355932203, -1.4491525423728813)",(1.6523533737781892-1.6504220118076234j)
"(-0.6864406779661016, -1.4491525423728813)","(-0.6864406779661016, -1.4491525423728813)",(0.29749233462757146-3.49802151471544j)
"(-0.635593220338983, -1.4491525423728813)","(-0.635593220338983, -1.4491525423728813)",(1.015448384177817-5.439804145190635j)
"(-0.5847457627118644, -1.4491525423728813)","(-0.5847457627118644, -1.4491525423728813)",(-0.22742041292462017-4.659984331896457j)
"(-0.5338983050847457, -1.4491525423728813)","(-0.5338983050847457, -1.4491525423728813)",(-2.5948883984391458-4.496697511791224j)
"(-0.48305084745762716, -1.4491525423728813)","(-0.48305084745762716, -1.4491525423728813)",(-2.5677828255847945-5.337322725496875j)
"(-0.43220338983050843, -1.4491525423728813)","(-0.43220338983050843, -1.4491525423728813)",(-5.316114088924895-2.9956827885398045j)
"(-0.3813559322033897, -1.4491525423728813)","(-0.3813559322033897, -1.4491525423728813)",(-6.990934719142938-0.5922166623272203j)
"(-0.3305084745762712, -1.4491525423728813)","(-0.3305084745762712, -1.4491525423728813)",(-5.229050551846966-7.170694185820907j)
"(-0.27966101694915246, -1.4491525423728813)","(-0.27966101694915246, -1.4491525423728813)",(-1.8513214503738462-4.293188744327125j)
"(-0.22881355932203373, -1.4491525423728813)","(-0.22881355932203373, -1.4491525423728813)",(-0.3145260803321457-7.5976757109223145j)
"(-0.17796610169491522, -1.4491525423728813)","(-0.17796610169491522, -1.4491525423728813)",(0.12408664608769876-7.036558795630173j)
"(-0.1271186440677965, -1.4491525423728813)","(-0.1271186440677965, -1.4491525423728813)",(1.8084699149347283-6.880486228380085j)
"(-0.07627118644067776, -1.4491525423728813)","(-0.07627118644067776, -1.4491525423728813)",(1.6112486236634882-4.868152532523932j)
"(-0.025423728813559254, -1.4491525423728813)","(-0.025423728813559254, -1.4491525423728813)",(4.889792586404017-2.627623058219631j)
"(0.025423728813559476, -1.4491525423728813)","(0.025423728813559476, -1.4491525423728813)",(2.081038801572616-3.378189085933549j)
"(0.07627118644067798, -1.4491525423728813)","(0.07627118644067798, -1.4491525423728813)",(4.991312664250572+0.9237689324244384j)
"(0.12711864406779672, -1.4491525423728813)","(0.12711864406779672, -1.4491525423728813)",(2.507457948761459+0.5340939992201887j)
"(0.17796610169491545, -1.4491525423728813)","(0.17796610169491545, -1.4491525423728813)",(3.3061064372351265+2.620654519203977j)
"(0.22881355932203395, -1.4491525423728813)","(0.22881355932203395, -1.4491525423728813)",(1.7852483456421013+1.5234000193142845j)
"(0.2796610169491527, -1.4491525423728813)","(0.2796610169491527, -1.4491525423728813)",(2.711823571334355+3.5676925105019146j)
