index,value
"(0,)",(-68.96828622930357+195.17203224044448j)
"(1,)",(24.14232875813903-57.22040350742783j)
"(2,)",(-43.680349144214105-69.04408161744651j)
"(3,)",(-35.48069990158072-104.45104114419276j)
"(4,)",(97.26971273937349-38.14898448325776j)
"(5,)",(-2.5101548084819143-117.84135676067723j)
"(6,)",(-46.707124398335736+52.951602680104784j)
"(7,)",(64.18346904135922+199.04854184613743j)
"(8,)",(31.51240509691344-108.13922581093868j)
"(9,)",(-70.30464598930095+34.45718632827208j)
"(10,)",(160.48594180113486+42.8578683546683j)
"(11,)",(-95.5322373928638-51.25454326147686j)
"(12,)",(147.79958908086337+60.561676288731505j)
"(13,)",(79.4756565184572-5.838435508941217j)
"(14,)",(9.029929175822957+52.552115646440825j)
"(15,)",(103.18350540986238-39.602212777659666j)
"(16,)",(-117.06777121161528+88.7440777642189j)
"(17,)",(136.6707162587329-120.22866267948827j)
"(18,)",(-31.400431268137424-43.311574707860814j)
"(19,)",(55.15135361043999-124.71950990825715j)
