index,x,value
"(1.398305084745763, -1.5)","(1.398305084745763, -1.5)",(0.008738084338163738-0.013325121564246142j)
"(1.4491525423728815, -1.5)","(1.4491525423728815, -1.5)",(0.014937691213882597-0.0018141225276812579j)
"(1.5, -1.5)","(1.5, -1.5)",(0.010350061274504968+0.009773583529970372j)
"(-1.5, -1.4491525423728813)","(-1.5, -1.4491525423728813)",(0.0035592676510609335-0.008552443645368224j)
"(-1.4491525423728813, -1.4491525423728813)","(-1.4491525423728813, -1.4491525423728813)",(-0.003063449718911369-0.008830749261876155j)
"(-1.3983050847457628, -1.4491525423728813)","(-1.3983050847457628, -1.4491525423728813)",(-0.008191489182531065-0.0047315541810630255j)
"(-1.347457627118644, -1.4491525423728813)","(-1.347457627118644, -1.4491525423728813)",(-0.009464147953114278+0.0016518870557553087j)
"(-1.2966101694915255, -1.4491525423728813)","(-1.2966101694915255, -1.4491525423728813)",(-0.006453133919916447+0.00736738314582219j)
"(-1.2457627118644068, -1.4491525423728813)","(-1.2457627118644068, -1.4491525423728813)",(-0.0006041697140103486+0.010005059404973104j)
"(-1.194915254237288, -1.4491525423728813)","(-1.194915254237288, -1.4491525423728813)",(0.005618622279428816+0.008628251073545111j)
"(-1.1440677966101696, -1.4491525423728813)","(-1.1440677966101696, -1.4491525423728813)",(0.009855603383266609+0.003932451555854541j)
"(-1.0932203389830508, -1.4491525423728813)","(-1.0932203389830508, -1.4491525423728813)",(0.0107240395978379-0.002268129340009054j)
"(-1.042372881355932, -1.4491525423728813)","(-1.042372881355932, -1.4491525423728813)",(0.008151690186801258-0.007875887315678816j)
"(-0.9915254237288136, -1.4491525423728813)","(-0.9915254237288136, -1.4491525423728813)",(0.003167501425297924-0.011277526442996382j)
"(-0.9406779661016949, -1.4491525423728813)","(-0.9406779661016949, -1.4491525423728813)",(-0.0026475573288114074-0.01177946755939714j)
"(-0.8898305084745762, -1.4491525423728813)","(-0.8898305084745762, -1.4491525423728813)",(-0.007774013279058534-0.00963673388789291j)
"(-0.8389830508474576, -1.4491525423728813)","(-0.8389830508474576, -1.4491525423728813)",(-0.011205332452923699-0.005765861760830837j)
"(-0.7881355932203389, -1.4491525423728813)","(-0.7881355932203389, -1.4491525423728813)",(-0.012627585034441027-0.0013188386307404227j)
"(-0.7372881355932203, -1.4491525423728813)","(-0.7372881355932203, -1.4491525423728813)",(-0.012340402445730501+0.002704975767372303j)
"(-0.6864406779661016, -1.4491525423728813)","(-0.6864406779661016, -1.4491525423728813)",(-0.011015690917302985+0.0056934857523667694j)
"(-0.635593220338983, -1.4491525423728813)","(-0.635593220338983, -1.4491525423728813)",(-0.009416422027044754+0.007470958136502748j)
"(-0.5847457627118644, -1.4491525423728813)","(-0.5847457627118644, -1.4491525423728813)",(-0.008173842781474039+0.008198926371020656j)
"(-0.5338983050847457, -1.4491525423728813)","(-0.5338983050847457, -1.4491525423728813)",(-0.007671005767596607+0.00820183788022768j)
"(-0.48305084745762716, -1.4491525423728813)","(-0.48305084745762716, -1.4491525423728813)",(-0.00802936198830885+0.007790954527319141j)
"(-0.43220338983050843, -1.4491525423728813)","(-0.43220338983050843, -1.4491525423728813)",(-0.009161121899274833+0.007137821775908397j)
"(-0.3813559322033897, -1.4491525423728813)","(-0.3813559322033897, -1.4491525423728813)",(-0.010839357078237672+0.006220163521489518j)
"(-0.3305084745762712, -1.4491525423728813)","(-0.3305084745762712, -1.4491525423728813)",(-0.012747277431319072+0.004840980222892537j)
"(-0.27966101694915246, -1.4491525423728813)","(-0.27966101694915246, -1.4491525423728813)",(-0.014490415880833333+0.002710601744906881j)
"(-0.22881355932203373, -1.4491525423728813)","(-0.22881355932203373, -1.4491525423728813)",(-0.015582863941557262-0.00042176314788679127j)
"(-0.17796610169491522, -1.4491525423728813)","(-0.17796610169491522, -1.4491525423728813)",(-0.015443936694042112-0.00460404095626617j)
"(-0.1271186440677965, -1.4491525423728813)","(-0.1271186440677965, -1.4491525423728813)",(-0.013456239862760603-0.00951437451472334j)
