index,cp
"(0,)",(0.135073143039094-0.04715170404311613j)
"(1,)",(0.11163914126766016+0.08599125627941427j)
"(2,)",(-0.12964544528443456+0.1792751637783865j)
"(3,)",(-0.16029731317700296-0.16136876949112905j)
"(4,)",(0.19603383657840118-0.11795639256867263j)
"(5,)",(0.11908433984571055+0.24717410984719138j)
"(6,)",(-0.266669541444695+0.09465104846539679j)
"(7,)",(-0.3093882315213957-0.17580343733279602j)
"(8,)",(-0.06492716716672127-0.328835983506319j)
"(9,)",(0.21690916885553754-0.23037758124828633j)
"(10,)",(0.32076513623605996-0.007271148141588492j)
"(11,)",(0.20162829421692172+0.27274291089468283j)
"(12,)",(-0.040734759214224356+0.3051721859650095j)
"(13,)",(-0.266270990053141+0.13067567126593213j)
"(14,)",(-0.21129021480023974+0.019171270160841667j)
"(15,)",(0.14876023695823923+0.08845219803496913j)
"(16,)",(-0.06853872442238032-0.13798816150908455j)
"(17,)",(0.10381386670549575+0.14761109767344902j)
"(18,)",(-0.02406917379186626-0.18959943218812902j)
"(19,)",(-0.08410958237993084+0.13994814827063662j)
