index,value
"(0,)",(-12.024299736681735-6.0569175549595275j)
"(1,)",(8.393524708251597+8.872048384153095j)
"(2,)",(-0.26066175903510524-3.9015651397757027j)
"(3,)",(-3.774196341679442+5.92277313379796j)
"(4,)",(-0.35522431211893135+2.1330414693235884j)
"(5,)",(-5.380597664127729+2.4822294070074875j)
"(6,)",(-4.020514990525959+4.0273305700218485j)
"(7,)",(-4.974236780292543+2.4575088803156673j)
"(8,)",(-5.5100050670561425+3.4326753111754864j)
"(9,)",(-4.796466323518094+3.0076989607474545j)
"(10,)",(-4.83160892932195+2.857758908616568j)
"(11,)",(-3.9630139163757363+2.892993765390635j)
"(12,)",(-3.1071073771239264+2.468526834007286j)
"(13,)",(-2.1145587967897175+2.2297679237238524j)
"(14,)",(-0.9023543581172917+1.7498881945874696j)
"(15,)",(0.188523456674897+1.1929368739279769j)
"(16,)",(1.2408671618442169+0.6210649722241097j)
"(17,)",(2.078924892813707+0.020708305662184845j)
"(18,)",(2.6583978027167356-0.44513588986937735j)
"(19,)",(2.9997506567795216-0.7386973024257458j)
"(20,)",(3.122743236324591-0.8021992554672921j)
"(21,)",(3.131561320405568-0.6476893340817095j)
"(22,)",(3.0997018064169017-0.3775726913913723j)
"(23,)",(3.059768430152222-0.13339982335016187j)
"(24,)",(2.964034020135204-0.08070755496131832j)
"(25,)",(2.671160105769294-0.3228634234823011j)
"(26,)",(2.0007571539993627-0.8413281969085175j)
"(27,)",(0.8072528979736724-1.4677060149233467j)
"(28,)",(-0.9210078147801202-1.908611392944417j)
"(29,)",(-2.9937675977075267-1.8422737720036546j)
"(30,)",(-5.020096056899202-1.0485103429551694j)
"(31,)",(-6.49266630792689+0.46966141197738587j)
"(32,)",(-6.9429229843594795+2.4300658763565766j)
"(33,)",(-6.112055070161551+4.317958121470464j)
"(34,)",(-4.071963845093929+5.529982653694939j)
"(35,)",(-1.2423047134408423+5.5710936297354845j)
"(36,)",(1.712366473976625+4.231881769362909j)
"(37,)",(4.07263205570279+1.6787110736981194j)
"(38,)",(5.274880805968512-1.5778794978476505j)
"(39,)",(5.0688899380315595-4.824412684568177j)
"(40,)",(3.5719406939359164-7.342880250431618j)
"(41,)",(1.210304985619687-8.597633214844192j)
"(42,)",(-1.421086790460106-8.353391038647683j)
"(43,)",(-3.7267115400330324-6.697902175472547j)
"(44,)",(-5.252222480591264-3.978014733701709j)
"(45,)",(-5.7645839733925435-0.6831970003834256j)
"(46,)",(-5.2616279426576655+2.6810517434375356j)
"(47,)",(-3.924946851883539+5.694833186633224j)
"(48,)",(-2.042406651132281+8.08177635383517j)
"(49,)",(0.07256934972741202+9.72170603317613j)
"(50,)",(2.1451001391712863+10.628776424146933j)
"(51,)",(3.9769496498147086+10.910963778740083j)
"(52,)",(5.4586065877033985+10.725847652688712j)
"(53,)",(6.56126442922719+10.243074409040169j)
"(54,)",(7.316827150049232+9.618443752806805j)
"(55,)",(7.793455876802805+8.980031973145671j)
"(56,)",(8.0721012923575+8.423946029353338j)
"(57,)",(8.227121720406899+8.016150600471391j)
"(58,)",(8.312198009655733+7.796871611227857j)
"(59,)",(8.351607609002599+7.784794860843144j)
"(60,)",(8.336501770532127+7.979251470964648j)
"(61,)",(8.225897428037765+8.359591201758516j)
"(62,)",(7.952431959456027+8.881899074138463j)
"(63,)",(7.433214920943088+9.47423537352314j)
"(64,)",(6.586006190191467+10.032537822280442j)
"(65,)",(5.35040436657899+10.42024681930954j)
"(66,)",(3.712205050868893+10.475352140793069j)
"(67,)",(1.727072977436884+10.028040375168896j)
"(68,)",(-0.46255347259875634+8.930803315628571j)
"(69,)",(-2.6256286953396923+7.099138661022355j)
"(70,)",(-4.462954032675265+4.555911068038044j)
"(71,)",(-5.654756729344546+1.4680089185853755j)
"(72,)",(-5.932682870919848-1.8418835642725222j)
"(73,)",(-5.161751978358904-4.921777614413549j)
"(74,)",(-3.4126809501161257-7.263028597144519j)
"(75,)",(-0.9919653796607817-8.414755077925552j)
"(76,)",(1.5906560539862955-8.107917602531888j)
"(77,)",(3.7214254362885644-6.362366858485393j)
"(78,)",(4.846172464292579-3.523395108607887j)
"(79,)",(4.624880499057551-0.2003783185068031j)
"(80,)",(3.0577772105949066+2.8609356852066963j)
"(81,)",(0.5160697865655641+5.0054128310494255j)
"(82,)",(-2.386880844329373+5.826730546427633j)
"(83,)",(-4.905496452455084+5.2751179238592005j)
"(84,)",(-6.462474221198635+3.7169128605739425j)
"(85,)",(-6.77407724199127+1.6396958380457212j)
"(86,)",(-5.804373129715263-0.29189639288958835j)
"(87,)",(-4.07973423377952-1.62217367537114j)
"(88,)",(-1.8986324050139212-2.3255541180308974j)
"(89,)",(0.15282975998794707-2.072697844988391j)
"(90,)",(1.4767347622410194-1.715803839219223j)
"(91,)",(2.842233718365241-1.101401314018832j)
"(92,)",(2.78486129748927-0.21649346725122953j)
"(93,)",(3.1191039972856998-0.95912593634894j)
"(94,)",(3.7299148723350464+0.44672593641315306j)
"(95,)",(1.5734794325725567-0.7572560834396636j)
"(96,)",(5.257660050442562-1.437509116404268j)
"(97,)",(1.4654352240405455+3.003857366658986j)
"(98,)",(2.3290165821315707-5.5640258409512855j)
"(99,)",(10.526619527923753+6.5753381886211795j)
