index,cp
"(0,)",(-0.0514123125484057-0.032891576596055606j)
"(1,)",(-0.054686659751154415-0.0334049960353899j)
"(2,)",(-0.12316406136352759-0.06622782129269905j)
"(3,)",(-0.12047863264346646-0.05054762152154803j)
"(4,)",(-0.12136821092589864-0.03196926324207816j)
"(5,)",(-0.12409830705934259-0.0085763528843514j)
"(6,)",(-0.13725619715961526+0.017540894400941278j)
"(7,)",(-0.12018236934425049+0.04774442755841647j)
"(8,)",(-0.0943279451382851+0.07599639787679888j)
"(9,)",(-0.07410862836167344+0.1150176671022825j)
"(10,)",(-0.027753940102190785+0.1133316542449648j)
"(11,)",(0.017657798474671398+0.09732635267744046j)
"(12,)",(0.06804054912526235+0.10003939997136499j)
"(13,)",(0.08433614507525547+0.05603283712172592j)
"(14,)",(0.10724836185662222+0.006448277547010249j)
"(15,)",(0.09904555748353655-0.039084940855722325j)
"(16,)",(0.06804589292857495-0.09746311909988668j)
"(17,)",(0.007611079210674131-0.13431551274843861j)
"(18,)",(-0.0530750297176821-0.11593295977069745j)
"(19,)",(-0.0871737355792256-0.0572299753499283j)
"(20,)",(-0.12438882453731522+0.0065122940545683985j)
"(21,)",(-0.09374533610557337+0.08180119756724781j)
"(22,)",(-0.03330424367225238+0.11000195156703002j)
"(23,)",(0.04563709931624282+0.12569253354267382j)
"(24,)",(0.10879607022796105+0.07444526202018j)
"(25,)",(0.11322154354241186+0.002486687165914556j)
"(26,)",(0.0883338999855217-0.06042568147388092j)
"(27,)",(0.03698833705283638-0.11642327309315419j)
"(28,)",(-0.03513688970158341-0.10151528565163113j)
"(29,)",(-0.09318547082709784-0.0707741683219744j)
"(30,)",(-0.11972409048021268-0.010196119319543805j)
"(31,)",(-0.10342293609242914+0.06992112170503487j)
"(32,)",(-0.04843127811898869+0.0914895591022787j)
"(33,)",(0.013339566288268124+0.12863805946529178j)
"(34,)",(0.07274892321445728+0.0957025736360455j)
"(35,)",(0.0947270627083402+0.04246734446951026j)
"(36,)",(0.1274769217302563-0.011601170877785628j)
"(37,)",(0.11880007547050793-0.07470879338337579j)
"(38,)",(0.06374391923720422-0.09949973484740474j)
"(39,)",(0.015032051899321996-0.13103642123585443j)
"(40,)",(-0.029082806770512958-0.11755727021509427j)
"(41,)",(-0.0702419185509241-0.10661940381553435j)
"(42,)",(-0.09774086936975628-0.0751788607497261j)
"(43,)",(-0.11222250926082424-0.04443610978955643j)
"(44,)",(-0.1217790702746789-0.014808321999116173j)
"(45,)",(-0.10686119232223239+0.010406431021896225j)
"(46,)",(-0.1168294961522773+0.0305415854953926j)
"(47,)",(-0.11881341588675727+0.050599947055753595j)
"(48,)",(-0.1125414339810837+0.06034685981379099j)
"(49,)",(-0.11311324407461633+0.06938469518277496j)
"(50,)",(-0.1005926879791992+0.06424490948804995j)
"(51,)",(-0.10047866392327796+0.0614357621962208j)
"(52,)",(-0.1010115720290235+0.054534837156696325j)
"(53,)",(-0.12536251785944552+0.051184707879849765j)
"(54,)",(-0.1264320613746477+0.03271582807015536j)
"(55,)",(-0.12009696920993278+0.008064733037787937j)
"(56,)",(-0.11644182676367268-0.01624075749251368j)
"(57,)",(-0.11597152654069083-0.04779201915714473j)
"(58,)",(-0.09768221261403705-0.08192659132035132j)
"(59,)",(-0.06654512431031571-0.09681651258177866j)
"(60,)",(-0.027393807956632252-0.13443493985741173j)
"(61,)",(0.022843850065833202-0.11699297572918257j)
"(62,)",(0.06305748367865513-0.10362191205617526j)
"(63,)",(0.10684908569644228-0.06503163114598186j)
"(64,)",(0.10810974807641455-0.007395244968934349j)
"(65,)",(0.12347222672845369+0.05852579212400535j)
"(66,)",(0.06528777678234966+0.09002179121328897j)
"(67,)",(0.011586097633357469+0.11718356337906785j)
"(68,)",(-0.04837340628694588+0.10411924879663681j)
"(69,)",(-0.11102442957926836+0.06699541667173858j)
"(70,)",(-0.134263309993775-0.008830688289885327j)
"(71,)",(-0.09182320389489035-0.07745147928015111j)
"(72,)",(-0.03165148044856648-0.11540440292553457j)
"(73,)",(0.04361923396017903-0.11889015542070529j)
"(74,)",(0.09547741493662971-0.07232423574295303j)
"(75,)",(0.132616971208726+0.0021050543445497757j)
"(76,)",(0.09803799425478966+0.07774302305053397j)
"(77,)",(0.042735397152859206+0.11606298318615127j)
"(78,)",(-0.04158356703143309+0.11623517543794232j)
"(79,)",(-0.09228878701539943+0.07115810046346306j)
"(80,)",(-0.1061663190808403+0.00045058698972395627j)
"(81,)",(-0.1013981009207715-0.06026939701555763j)
"(82,)",(-0.0586438209210775-0.11771568006617239j)
"(83,)",(0.01727054437895031-0.13661352896704673j)
"(84,)",(0.07352902170975792-0.1064821954702521j)
"(85,)",(0.1080638918799535-0.038828826790962494j)
"(86,)",(0.10236129143847725+0.011260744120410206j)
"(87,)",(0.09539888237550459+0.059735131375711695j)
"(88,)",(0.07371072905104846+0.1152944669102078j)
"(89,)",(0.02219751283007944+0.12389463718041273j)
"(90,)",(-0.022653944124482923+0.11044665225373097j)
"(91,)",(-0.0582158179092867+0.09138713352309576j)
"(92,)",(-0.08632486433145369+0.06500730277575206j)
"(93,)",(-0.10700797950280302+0.042935320633380486j)
"(94,)",(-0.13516101853425438+0.01572040304847966j)
"(95,)",(-0.14163876750409055-0.01437848444603687j)
"(96,)",(-0.10400147583026989-0.026214801877189543j)
"(97,)",(-0.12481892380574716-0.05213750029553132j)
"(98,)",(-0.10156457601030985-0.05458249885740918j)
"(99,)",(-0.11417570056016105-0.07039415914699586j)
