index,x,value
"(1.0606060606060606, -2.0)","(1.0606060606060606, -2.0)",(-40.17280846342705-160.7244710845718j)
"(1.1616161616161618, -2.0)","(1.1616161616161618, -2.0)",(-12.609874096512815-309.9737746899872j)
"(1.262626262626262, -2.0)","(1.262626262626262, -2.0)",(135.15307078070182-276.5895179226714j)
"(1.3636363636363633, -2.0)","(1.3636363636363633, -2.0)",(202.90557457923063-187.64280157174332j)
"(1.4646464646464645, -2.0)","(1.4646464646464645, -2.0)",(257.398806598231-79.50081561037017j)
"(1.5656565656565657, -2.0)","(1.5656565656565657, -2.0)",(268.76723985062614+48.09176292944329j)
"(1.666666666666667, -2.0)","(1.666666666666667, -2.0)",(158.23561537141924+95.7486656978001j)
"(1.7676767676767673, -2.0)","(1.7676767676767673, -2.0)",(34.1631363190138+116.61996706781886j)
"(1.8686868686868685, -2.0)","(1.8686868686868685, -2.0)",(46.209703386271485+122.76888709680847j)
"(1.9696969696969697, -2.0)","(1.9696969696969697, -2.0)",(-7.059835939675171+148.71663711341685j)
"(2.070707070707071, -2.0)","(2.070707070707071, -2.0)",(-30.0980427399332+48.21667097357908j)
"(2.1717171717171713, -2.0)","(2.1717171717171713, -2.0)",(-30.9286706360259+92.00225661805675j)
"(2.2727272727272725, -2.0)","(2.2727272727272725, -2.0)",(-65.52613869808737+78.40825069362067j)
"(2.3737373737373737, -2.0)","(2.3737373737373737, -2.0)",(-125.57278488567243+51.78965447081724j)
"(2.474747474747475, -2.0)","(2.474747474747475, -2.0)",(-151.42430849220514-33.741866788833505j)
"(2.5757575757575752, -2.0)","(2.5757575757575752, -2.0)",(-102.43303633254106-102.1416194076305j)
"(2.6767676767676765, -2.0)","(2.6767676767676765, -2.0)",(-32.023899699261804-159.06848278683333j)
"(2.7777777777777777, -2.0)","(2.7777777777777777, -2.0)",(95.25619891985494-150.28491421175607j)
"(2.878787878787879, -2.0)","(2.878787878787879, -2.0)",(139.53944442997062-79.15056022323256j)
"(2.9797979797979792, -2.0)","(2.9797979797979792, -2.0)",(160.53561376251434+46.636665583521435j)
"(3.0808080808080813, -2.0)","(3.0808080808080813, -2.0)",(108.40162519439104+120.76478300716413j)
"(3.1818181818181817, -2.0)","(3.1818181818181817, -2.0)",(-19.50775611682721+166.28819566598395j)
"(3.282828282828282, -2.0)","(3.282828282828282, -2.0)",(-97.9756176740883+132.3885787467719j)
"(3.383838383838384, -2.0)","(3.383838383838384, -2.0)",(-145.30973344747372-22.181567721021523j)
"(3.4848484848484844, -2.0)","(3.4848484848484844, -2.0)",(-114.4235509305404-117.18662253751262j)
"(3.5858585858585865, -2.0)","(3.5858585858585865, -2.0)",(-64.92266143276035-206.51990571152797j)
"(3.686868686868687, -2.0)","(3.686868686868687, -2.0)",(131.5194997556116-151.63766859212282j)
"(3.787878787878787, -2.0)","(3.787878787878787, -2.0)",(173.32367659186806+11.132383314240878j)
"(3.8888888888888893, -2.0)","(3.8888888888888893, -2.0)",(75.4704121268087+124.67347534318735j)
"(3.9898989898989896, -2.0)","(3.9898989898989896, -2.0)",(-22.355949226087162+146.84410333509754j)
"(4.09090909090909, -2.0)","(4.09090909090909, -2.0)",(-118.76736461856606+138.26043980557978j)
"(4.191919191919192, -2.0)","(4.191919191919192, -2.0)",(-120.48563522241352-30.333592560058833j)
"(4.292929292929292, -2.0)","(4.292929292929292, -2.0)",(-101.8943180076585-117.39373580494104j)
"(4.3939393939393945, -2.0)","(4.3939393939393945, -2.0)",(30.71225906747288-122.5927563778452j)
