index,x,value
"(-3.0, -3.0)","(-3.0, -3.0)",(0.01014036893723011-0.018956270510818354j)
"(-2.872340425531915, -3.0)","(-2.872340425531915, -3.0)",(-0.00579856929634778-0.022747040845735752j)
"(-2.74468085106383, -3.0)","(-2.74468085106383, -3.0)",(-0.021098060647903333-0.01905382268013801j)
"(-2.617021276595745, -3.0)","(-2.617021276595745, -3.0)",(-0.02358419963950959-0.00675414515879787j)
"(-2.4893617021276597, -3.0)","(-2.4893617021276597, -3.0)",(-0.02559771347137335+0.011344569999351847j)
"(-2.3617021276595747, -3.0)","(-2.3617021276595747, -3.0)",(-0.010756478781951025+0.020865270780373032j)
"(-2.2340425531914896, -3.0)","(-2.2340425531914896, -3.0)",(-0.0018917061765054062+0.024355134340475593j)
"(-2.1063829787234045, -3.0)","(-2.1063829787234045, -3.0)",(0.011642759217835792+0.025723916467734562j)
"(-1.9787234042553192, -3.0)","(-1.9787234042553192, -3.0)",(0.020841213804348165+0.018818477950818414j)
"(-1.8510638297872342, -3.0)","(-1.8510638297872342, -3.0)",(0.027188535030601205+0.005481731957324949j)
"(-1.723404255319149, -3.0)","(-1.723404255319149, -3.0)",(0.027628789105253838-0.001860845373669135j)
"(-1.595744680851064, -3.0)","(-1.595744680851064, -3.0)",(0.02311921462904911-0.01210057134514588j)
"(-1.4680851063829787, -3.0)","(-1.4680851063829787, -3.0)",(0.020184644013257463-0.018312590049186096j)
"(-1.3404255319148937, -3.0)","(-1.3404255319148937, -3.0)",(0.013820173459244666-0.020491477213279666j)
"(-1.2127659574468086, -3.0)","(-1.2127659574468086, -3.0)",(0.008354589186096502-0.020655685384329197j)
"(-1.0851063829787235, -3.0)","(-1.0851063829787235, -3.0)",(0.0019310094686710998-0.020709634114037215j)
"(-0.9574468085106385, -3.0)","(-0.9574468085106385, -3.0)",(0.0004456847756332977-0.020789844207782585j)
"(-0.8297872340425534, -3.0)","(-0.8297872340425534, -3.0)",(-0.0016895672857707828-0.022473930888019574j)
"(-0.7021276595744683, -3.0)","(-0.7021276595744683, -3.0)",(-0.005357062462368506-0.021534948755320634j)
"(-0.5744680851063833, -3.0)","(-0.5744680851063833, -3.0)",(0.0004165211688843854-0.018945184167681543j)
"(-0.4468085106382982, -3.0)","(-0.4468085106382982, -3.0)",(-0.0023998868357036096-0.022087011669251606j)
"(-0.3191489361702131, -3.0)","(-0.3191489361702131, -3.0)",(-0.00214185854346621-0.022091177364503403j)
"(-0.19148936170212805, -3.0)","(-0.19148936170212805, -3.0)",(0.0028356224912906313-0.020792854700682217j)
"(-0.06382978723404298, -3.0)","(-0.06382978723404298, -3.0)",(0.005097709412986519-0.01907467297850572j)
"(0.06382978723404253, -3.0)","(0.06382978723404253, -3.0)",(0.015427105627827415-0.014803205217880911j)
"(0.1914893617021276, -3.0)","(0.1914893617021276, -3.0)",(0.013715761789411765-0.01608765861829838j)
"(0.31914893617021267, -3.0)","(0.31914893617021267, -3.0)",(0.02090046803968326-0.011320891819095407j)
"(0.44680851063829774, -3.0)","(0.44680851063829774, -3.0)",(0.01993181624848912-0.0022922491324328356j)
"(0.5744680851063828, -3.0)","(0.5744680851063828, -3.0)",(0.020429687628003082+0.0023702173329352354j)
"(0.7021276595744679, -3.0)","(0.7021276595744679, -3.0)",(0.01615587846315065+0.013099483918903023j)
"(0.829787234042553, -3.0)","(0.829787234042553, -3.0)",(0.007798745350963787+0.014891860940519664j)
"(0.957446808510638, -3.0)","(0.957446808510638, -3.0)",(0.0009120009379907249+0.015054417955880488j)
"(1.085106382978723, -3.0)","(1.085106382978723, -3.0)",(-0.009964528062645962+0.012908803301172953j)
"(1.2127659574468082, -3.0)","(1.2127659574468082, -3.0)",(-0.014876164409383942+0.011010822098052847j)
"(1.3404255319148932, -3.0)","(1.3404255319148932, -3.0)",(-0.013184718897814394+0.0006165390634762047j)
"(1.4680851063829783, -3.0)","(1.4680851063829783, -3.0)",(-0.009978256287157617-0.006868044306659342j)
"(1.5957446808510634, -3.0)","(1.5957446808510634, -3.0)",(-0.006401487172693153-0.013464628011260709j)
"(1.7234042553191484, -3.0)","(1.7234042553191484, -3.0)",(0.004154912565594703-0.01073693817963313j)
"(1.8510638297872335, -3.0)","(1.8510638297872335, -3.0)",(0.01196608199445603-0.00609799482314089j)
"(1.9787234042553186, -3.0)","(1.9787234042553186, -3.0)",(0.01388843444932173+0.005220588773843372j)
"(2.1063829787234036, -3.0)","(2.1063829787234036, -3.0)",(0.004073584361793945+0.010997062611492523j)
"(2.2340425531914887, -3.0)","(2.2340425531914887, -3.0)",(-0.003743429543148757+0.012275277545553217j)
"(2.3617021276595738, -3.0)","(2.3617021276595738, -3.0)",(-0.007924347301599143+0.005560975908099709j)
"(2.489361702127659, -3.0)","(2.489361702127659, -3.0)",(-0.010953491898222836-0.004268595021641987j)
"(2.617021276595744, -3.0)","(2.617021276595744, -3.0)",(-0.006856045216232156-0.010756194067624004j)
"(2.744680851063829, -3.0)","(2.744680851063829, -3.0)",(0.0024269607951103436-0.012291121943829265j)
"(2.872340425531914, -3.0)","(2.872340425531914, -3.0)",(0.010146944325090721-0.005189102914099238j)
"(3.0, -3.0)","(3.0, -3.0)",(0.012545435056582671+0.003561315314460673j)
"(-3.0, -2.872340425531915)","(-3.0, -2.872340425531915)",(-0.005444469512189171-0.022842318032829392j)
"(-2.872340425531915, -2.872340425531915)","(-2.872340425531915, -2.872340425531915)",(-0.020070747725646217-0.015616431780574296j)
"(-2.74468085106383, -2.872340425531915)","(-2.74468085106383, -2.872340425531915)",(-0.024405957524107277-0.0032651272506366374j)
"(-2.617021276595745, -2.872340425531915)","(-2.617021276595745, -2.872340425531915)",(-0.021604517997804815+0.0173593227973616j)
"(-2.4893617021276597, -2.872340425531915)","(-2.4893617021276597, -2.872340425531915)",(-0.015489504666731668+0.023266871664854902j)
"(-2.3617021276595747, -2.872340425531915)","(-2.3617021276595747, -2.872340425531915)",(0.006984894550004716+0.024017200968058993j)
"(-2.2340425531914896, -2.872340425531915)","(-2.2340425531914896, -2.872340425531915)",(0.017241963233041127+0.020282154586976048j)
"(-2.1063829787234045, -2.872340425531915)","(-2.1063829787234045, -2.872340425531915)",(0.02373135883307811+0.008858101040507391j)
"(-1.9787234042553192, -2.872340425531915)","(-1.9787234042553192, -2.872340425531915)",(0.026725404335913614-0.0041288997447977505j)
"(-1.8510638297872342, -2.872340425531915)","(-1.8510638297872342, -2.872340425531915)",(0.021222182607087758-0.010095063721821616j)
"(-1.723404255319149, -2.872340425531915)","(-1.723404255319149, -2.872340425531915)",(0.014693223983643897-0.022679704328313365j)
"(-1.595744680851064, -2.872340425531915)","(-1.595744680851064, -2.872340425531915)",(0.002992659488363347-0.02577000697319398j)
"(-1.4680851063829787, -2.872340425531915)","(-1.4680851063829787, -2.872340425531915)",(-0.004722845740375793-0.026054778286737842j)
"(-1.3404255319148937, -2.872340425531915)","(-1.3404255319148937, -2.872340425531915)",(-0.012015997664290033-0.020230514462239314j)
"(-1.2127659574468086, -2.872340425531915)","(-1.2127659574468086, -2.872340425531915)",(-0.012796654025213173-0.022151679276361552j)
"(-1.0851063829787235, -2.872340425531915)","(-1.0851063829787235, -2.872340425531915)",(-0.02264082285903398-0.015611531060265986j)
"(-0.9574468085106385, -2.872340425531915)","(-0.9574468085106385, -2.872340425531915)",(-0.0182281478209076-0.010599309706924367j)
"(-0.8297872340425534, -2.872340425531915)","(-0.8297872340425534, -2.872340425531915)",(-0.017687057699861473-0.008779543316099286j)
"(-0.7021276595744683, -2.872340425531915)","(-0.7021276595744683, -2.872340425531915)",(-0.019445843162214274-0.012536736856257598j)
