index,value
"(0,)",(0.8909615079083573+0.3704966815838358j)
"(1,)",(-1.345640197834649+1.564405511884785j)
"(2,)",(-3.7597871021366416+2.815435827246791j)
"(3,)",(-4.996705892351628+3.1543253230643655j)
"(4,)",(-4.801292802456652+3.0940139107843647j)
"(5,)",(-3.116924552423603+2.560354641180508j)
"(6,)",(-0.6000498847578055+1.2598349700230393j)
"(7,)",(1.3815094826535002-0.436689131373932j)
"(8,)",(1.987729909224156-1.1339801216286753j)
"(9,)",(2.2939613653138746-0.32298675184238146j)
"(10,)",(2.90361953509655-0.2773102610766569j)
"(11,)",(0.9624489665091014-2.2211591294992985j)
"(12,)",(-4.654680990478661-1.7218494116826668j)
"(13,)",(-6.987018573062733+4.073265924764568j)
"(14,)",(-0.5611290400938005+7.364773946334346j)
"(15,)",(6.517666241968502+0.6385545376651702j)
"(16,)",(3.879955802997358-8.800411361867933j)
"(17,)",(-4.630821924670495-9.036155542172715j)
"(18,)",(-8.105037086290356-0.3594520919301596j)
"(19,)",(-3.7151507789200693+8.271438975782429j)
"(20,)",(3.3510055459679724+11.58759944015504j)
"(21,)",(8.335618870240019+10.703133407924952j)
"(22,)",(10.401538302171797+8.688778760064883j)
"(23,)",(10.853704557503068+7.49218499497424j)
"(24,)",(10.76304961748687+7.754516096174047j)
"(25,)",(9.903868522151303+9.36224119333351j)
"(26,)",(6.952006906894705+11.305321347753711j)
"(27,)",(1.0125119109662908+11.133072508079065j)
"(28,)",(-5.818676768806073+5.91542669599433j)
"(29,)",(-7.89437331931847-3.688895756725746j)
"(30,)",(-1.8198004707391657-10.262978317753834j)
"(31,)",(5.993809339864828-6.248909229322232j)
"(32,)",(4.992475214738445+3.8392685101016326j)
"(33,)",(-3.4209773699433508+7.251704433921549j)
"(34,)",(-7.174463979510943+1.8437667953631287j)
"(35,)",(-2.7243735328192997-2.5076833884818805j)
"(36,)",(2.0288287262444933-1.4894786420532906j)
"(37,)",(2.745736620493901+0.009167012405414843j)
"(38,)",(2.1387716052283103-0.6287397664592974j)
"(39,)",(1.9415041919627505-1.289674040457911j)
