index,xy,inc,scat,tot
"(-3.0, -3.0)",[-3. -3.],(0.7773494792181547+0.6290689844200426j),(0.04187743528343167+0.28577029387593994j),(0.8192269145015864+0.9148392782959824j)
"(-2.8461538461538463, -3.0)",[-2.84615385 -3.        ],(-0.10860406938749748+0.994085084946191j),(0.26427236812767063+0.14796789917100148j),(0.15566829874017316+1.1420529841171925j)
"(-2.6923076923076925, -3.0)",[-2.69230769 -3.        ],(-0.8948427434723873+0.4463815234245378j),(0.3000852912655355-0.11505073653196794j),(-0.5947574522068518+0.33133078689256984j)
"(-2.5384615384615383, -3.0)",[-2.53846154 -3.        ],(-0.8594811553903232-0.5111674319916275j),(0.1249233476697322-0.3185611777289109j),(-0.734557807720591-0.8297286097205384j)
"(-2.3846153846153846, -3.0)",[-2.38461538 -3.        ],(-0.03498656293693535-0.9993877828019812j),(-0.1434472007840873-0.3326526414583712j),(-0.17843376372102265-1.3320404242603523j)
"(-2.230769230769231, -3.0)",[-2.23076923 -3.        ],(0.8216309578085959-0.5700197971742117j),(-0.342737380458707-0.15969984159885695j),(0.47889357734988885-0.7297196387730687j)
"(-2.0769230769230766, -3.0)",[-2.07692308 -3.        ],(0.9238676498953127+0.38271211827810203j),(-0.3754323349717212+0.08995915212857311j),(0.5484353149235914+0.4726712704066751j)
"(-1.923076923076923, -3.0)",[-1.92307692 -3.        ],(0.17785484909783048+0.9840567324358834j),(-0.2539551727844765+0.286278015943662j),(-0.07610032368664602+1.2703347483795455j)
"(-1.7692307692307692, -3.0)",[-1.76923077 -3.        ],(-0.731455460353972+0.681889220855088j),(-0.06739227113158744+0.35925383133612354j),(-0.7988477314855594+1.0411430521912115j)
"(-1.6153846153846154, -3.0)",[-1.61538462 -3.        ],(-0.9691796141665602-0.24635518156506767j),(0.08888712421510081+0.3220365799822484j),(-0.8802924899514594+0.07568139841718072j)
"(-1.4615384615384615, -3.0)",[-1.46153846 -3.        ],(-0.3170510749839535-0.9484084646667381j),(0.16702828959530783+0.2392649865100825j),(-0.1500227853886457-0.7091434781566557j)
"(-1.3076923076923075, -3.0)",[-1.30769231 -3.        ],(0.6261780494437382-0.7796800949074147j),(0.1768588172118443+0.1763130729880702j),(0.8030368666555825-0.6033670219193445j)
"(-1.1538461538461537, -3.0)",[-1.15384615 -3.        ],(0.9944815197952718+0.10491190011474566j),(0.16080347993804311+0.16518529751407454j),(1.1552849997333148+0.27009719762882023j)
"(-1.0, -3.0)",[-1. -3.],(0.44970134126633127+0.8931789874729827j),(0.15993365851704439+0.2004668097563117j),(0.6096349997833757+1.0936457972292946j)
"(-0.8461538461538458, -3.0)",[-0.84615385 -3.        ],(-0.5079723233823321+0.8613733909737143j),(0.19289106547339335+0.2563687294162363j),(-0.31508125790893876+1.1177421203899507j)
"(-0.6923076923076921, -3.0)",[-0.69230769 -3.        ],(-0.9992509738132139+0.03869743316220923j),(0.253711773021658+0.30747350243715865j),(-0.745539200791556+0.3461709355993679j)
"(-0.5384615384615383, -3.0)",[-0.53846154 -3.        ],(-0.5730668990397428-0.8195085900861401j),(0.3218766755540122+0.3407715872611543j),(-0.2511902234857306-0.47873700282498577j)
"(-0.3846153846153846, -3.0)",[-0.38461538 -3.        ],(0.37927880348881066-0.9252824375422329j),(0.37451490886602395+0.35633280026288006j),(0.7537937123548346-0.5689496372793529j)
"(-0.23076923076923084, -3.0)",[-0.23076923 -3.        ],(0.9833895042207711-0.181507804208045j),(0.39441664312889246+0.3608055361244454j),(1.3778061473496637+0.1792977319164004j)
"(-0.07692307692307665, -3.0)",[-0.07692308 -3.        ],(0.6846006950960638+0.7289183001365697j),(0.3729305538772987+0.3595709889461633j),(1.0575312489733624+1.088489289082733j)
"(0.0769230769230771, -3.0)",[ 0.07692308 -3.        ],(-0.24275454614606543+0.9700877436218941j),(0.3100439831325554+0.35164287149453616j),(0.06728943698648995+1.3217306151164303j)
"(0.23076923076923084, -3.0)",[ 0.23076923 -3.        ],(-0.9472245930780933+0.3205706946494653j),(0.21411569418586304+0.32899809533397867j),(-0.7331088988922302+0.6495687899834439j)
"(0.384615384615385, -3.0)",[ 0.38461538 -3.        ],(-0.7819999593738021-0.6232784799264066j),(0.10198120246895899+0.2803187624919125j),(-0.680018756904843-0.3429597174344941j)
"(0.5384615384615388, -3.0)",[ 0.53846154 -3.        ],(0.10121828418299657-0.9948642414656635j),(-0.0018879156823627882+0.19797155883908202j),(0.09933036850063379-0.7968926826265815j)
"(0.6923076923076925, -3.0)",[ 0.69230769 -3.        ],(0.8915029151833175-0.4530149580528735j),(-0.06945084250167725+0.08580502805281816j),(0.8220520726816403-0.36720993000005536j)
"(0.8461538461538463, -3.0)",[ 0.84615385 -3.        ],(0.8632537488429478+0.5047702102032139j),(-0.07769055776098494-0.0360150563201143j),(0.7855631910819629+0.4687551538830996j)
"(1.0, -3.0)",[ 1. -3.],(0.04240776977795813+0.999100385878446j),(-0.02005533006969467-0.1333490562619275j),(0.022352439708263463+0.8657513296165185j)
"(1.1538461538461542, -3.0)",[ 1.15384615 -3.        ],(-0.8173749219347579+0.5761060987284793j),(0.08464943557888546-0.16981405459901883j),(-0.7327254863558724+0.40629204412946046j)
"(1.3076923076923084, -3.0)",[ 1.30769231 -3.        ],(-0.9266844662156044-0.37584025871997856j),(0.19314814275592648-0.12511770151665635j),(-0.7335363234596779-0.500957960236635j)
"(1.4615384615384617, -3.0)",[ 1.46153846 -3.        ],(-0.18515825645731304-0.9827087157778178j),(0.2527397777820787-0.011167825987041281j),(0.06758152132476564-0.9938765417648591j)
"(1.6153846153846159, -3.0)",[ 1.61538462 -3.        ],(0.7263710886646181-0.6873027291901128j),(0.22686075306855896+0.12556627532524722j),(0.9532318417331771-0.5617364538648656j)
"(1.7692307692307692, -3.0)",[ 1.76923077 -3.        ],(0.9709824962710165+0.23915056331797652j),(0.11820957348123512+0.2220558226293497j),(1.0891920697522517+0.4612063859473262j)
"(1.9230769230769234, -3.0)",[ 1.92307692 -3.        ],(0.3240858938776612+0.946027659949495j),(-0.026848415500312542+0.23133169652027058j),(0.29723747837734865+1.1773593564697655j)
"(2.0769230769230775, -3.0)",[ 2.07692308 -3.        ],(-0.6203703158510077+0.7843090406280684j),(-0.14053941626296668+0.15119793390122546j),(-0.7609097321139744+0.9355069745292939j)
"(2.230769230769231, -3.0)",[ 2.23076923 -3.        ],(-0.9952332446799114-0.0975232725245396j),(-0.17282233039649197+0.02811583962935288j),(-1.1680555750764032-0.06940743289518672j)
"(2.384615384615385, -3.0)",[ 2.38461538 -3.        ],(-0.45632232809179374-0.8898145497152119j),(-0.1223802996694188-0.07077002477932763j),(-0.5787026277612125-0.9605845744945395j)
"(2.5384615384615383, -3.0)",[ 2.53846154 -3.        ],(0.5015611366090934-0.865122203069251j),(-0.03576897451760147-0.1011062001139764j),(0.46579216209149193-0.9662284031832274j)
"(2.6923076923076925, -3.0)",[ 2.69230769 -3.        ],(0.9989360210741761-0.04611752162132389j),(0.027476554901499625-0.06897397840110057j),(1.0264125759756757-0.11509150002242446j)
"(2.8461538461538467, -3.0)",[ 2.84615385 -3.        ],(0.5791373543320645+0.8152299827761837j),(0.03848249814510268-0.020276117797527415j),(0.6176198524771671+0.7949538649786563j)
"(3.0, -3.0)",[ 3. -3.],(-0.3723965313866303+0.9280737165824741j),(0.01624488244508361+0.0006529909481341467j),(-0.3561516489415467+0.9287267075306083j)
"(-3.0, -2.8461538461538463)",[-3.         -2.84615385],(0.3084073358240364+0.9512543903761601j),(0.21230782869590714+0.19494331087665925j),(0.5207151645199435+1.1461977012528193j)
"(-2.8461538461538463, -2.8461538461538463)",[-2.84615385 -2.84615385],(-0.6332472876405948+0.7739495285196767j),(0.2926657158324582-0.06111514142946091j),(-0.3405815718081366+0.7128343870902157j)
"(-2.6923076923076925, -2.8461538461538463)",[-2.69230769 -2.84615385],(-0.9934856328403785-0.11395743652676912j),(0.13698758622062607-0.28480925145675134j),(-0.8564980466197525-0.39876668798352044j)
"(-2.5384615384615383, -2.8461538461538463)",[-2.53846154 -2.84615385],(-0.4415547032094214-0.897234330637008j),(-0.13948137668874752-0.3077879617733589j),(-0.581036079898169-1.2050222924103668j)
"(-2.3846153846153846, -2.8461538461538463)",[-2.38461538 -2.84615385],(0.5157898731927637-0.8567151257633968j),(-0.34325317947671063-0.11437387605496965j),(0.17253669371605307-0.9710890018183664j)
"(-2.230769230769231, -2.8461538461538463)",[-2.23076923 -2.84615385],(0.9995617485482756-0.0296025478483502j),(-0.3461285040213962+0.16614801174343927j),(0.6534332445268793+0.13654546389508906j)
"(-2.0769230769230766, -2.8461538461538463)",[-2.07692308 -2.84615385],(0.5655855607384725+0.82468962251513j),(-0.16006510292313325+0.36657324950797243j),(0.4055204578153393+1.1912628720231024j)
"(-1.923076923076923, -2.8461538461538463)",[-1.92307692 -2.84615385],(-0.38768326074390597+0.9217926498616555j),(0.0958116765421063+0.3940861702946246j),(-0.29187158420179965+1.31587882015628j)
"(-1.7692307692307692, -2.8461538461538463)",[-1.76923077 -2.84615385],(-0.985000524269936+0.1725513465260451j),(0.2903560226666427+0.2704409292704995j),(-0.6946445016032934+0.4429922757965446j)
"(-1.6153846153846154, -2.8461538461538463)",[-1.61538462 -2.84615385],(-0.6779391191659766-0.7351180522232192j),(0.3600682144952756+0.09091117281866731j),(-0.317870904670701-0.6442068794045519j)
"(-1.4615384615384615, -2.8461538461538463)",[-1.46153846 -2.84615385],(0.25157238915791963-0.9678384849825803j),(0.32642832949733575-0.05011874518145325j),(0.5780007186552554-1.0179572301640336j)
"(-1.3076923076923075, -2.8461538461538463)",[-1.30769231 -2.84615385],(0.9501025966958736-0.3119375831023863j),(0.2582306098901264-0.11090270914063136j),(1.208333206586-0.42284029224301767j)
"(-1.1538461538461537, -2.8461538461538463)",[-1.15384615 -2.84615385],(0.7762956832982122+0.6303689491817961j),(0.21900069787071605-0.10717540000501634j),(0.9952963811689283+0.5231935491767797j)
"(-1.0, -2.8461538461538463)",[-1.         -2.84615385],(-0.11026745634085303+0.9939019509348586j),(0.23541579121348963-0.08299053614874519j),(0.1251483348726366+0.9109114147861134j)
"(-0.8461538461538458, -2.8461538461538463)",[-0.84615385 -2.84615385],(-0.8955884819895041+0.4448834352139172j),(0.29708085147889224-0.07634713053643885j),(-0.5985076305106118+0.36853630467747833j)
"(-0.6923076923076921, -2.8461538461538463)",[-0.69230769 -2.84615385],(-0.8586245453206537-0.5126050040459034j),(0.3755922539575367-0.1005401148965764j),(-0.483032291363117-0.6131451189424798j)
"(-0.5384615384615383, -2.8461538461538463)",[-0.53846154 -2.84615385],(-0.033314101196222405-0.999444931280102j),(0.44457962716168603-0.1449296724466846j),(0.4112655259654636-1.1443746037267866j)
"(-0.3846153846153846, -2.8461538461538463)",[-0.38461538 -2.84615385],(0.8225836997306594-0.5686440511756194j),(0.48954614579551564-0.18682884965616942j),(1.312129845526175-0.7554729008317889j)
"(-0.23076923076923084, -2.8461538461538463)",[-0.23076923 -2.84615385],(0.9232259115800339+0.3842576169540631j),(0.5067707349302574-0.20438870703740294j),(1.4299966465102911+0.17986890991666013j)
"(-0.07692307692307665, -2.8461538461538463)",[-0.07692308 -2.84615385],(0.17620784286427238+0.9843529834937871j),(0.49681220957909666-0.1849734486628466j),(0.673020052443369+0.7993795348309405j)
"(0.0769230769230771, -2.8461538461538463)",[ 0.07692308 -2.84615385],(-0.7325955350013151+0.6806642212546041j),(0.45884989063629594-0.12857140887674695j),(-0.2737456443650192+0.5520928123778572j)
"(0.23076923076923084, -2.8461538461538463)",[ 0.23076923 -2.84615385],(-0.9687659971841128-0.2479766978969426j),(0.38956473003020287-0.047901146154898676j),(-0.57920126715391-0.29587784405184125j)
"(0.384615384615385, -2.8461538461538463)",[ 0.38461538 -2.84615385],(-0.31546352898776714-0.9489377017900512j),(0.2870699741327516+0.03384709782138002j),(-0.028393554855015546-0.9150906039686711j)
"(0.5384615384615388, -2.8461538461538463)",[ 0.53846154 -2.84615385],(0.6274819183925043-0.7786311335224546j),(0.15768370621736538+0.08822599642296956j),(0.7851656246098697-0.690405137099485j)
"(0.6923076923076925, -2.8461538461538463)",[ 0.69230769 -2.84615385],(0.994304563842483+0.1065759556467108j),(0.021363006647400755+0.09053591357554507j),(1.0156675704898837+0.19711186922225588j)
"(0.8461538461538463, -2.8461538461538463)",[ 0.84615385 -2.84615385],(0.44820603259859493+0.8939302838265561j),(-0.08904930343091653+0.03142701270200752j),(0.3591567291676784+0.9253572965285637j)
"(1.0, -2.8461538461538463)",[ 1.         -2.84615385],(-0.509413066447917+0.860522125068339j),(-0.13783225703694732-0.07358778633499649j),(-0.6472453234848643+0.7869343387333425j)
"(1.1538461538461542, -2.8461538461538463)",[ 1.15384615 -2.84615385],(-0.9993143323913952+0.03702519516680667j),(-0.103839533206945-0.1837458249984171j),(-1.1031538655983402-0.14672062983161044j)
"(1.3076923076923084, -2.8461538461538463)",[ 1.30769231 -2.84615385],(-0.5716947004238299-0.8204664341137347j),(0.002821273341132507-0.24680588167814438j),(-0.5688734270826974-1.067272315791879j)
"(1.4615384615384617, -2.8461538461538463)",[ 1.46153846 -2.84615385],(0.3808266745304521-0.9246464426828652j),(0.13674749220943586-0.22442567167698968j),(0.517574166739888-1.1490721143598548j)
"(1.6153846153846159, -2.8461538461538463)",[ 1.61538462 -2.84615385],(0.9836918692041161-0.17986190942418037j),(0.23378222251924213-0.11672701210590565j),(1.2174740917233582-0.29658892153008604j)
"(1.7692307692307692, -2.8461538461538463)",[ 1.76923077 -2.84615385],(0.6833799374774259+0.7300629158184584j),(0.24382321970105733+0.03102465327398838j),(0.9272031571784832+0.7610875690924468j)
"(1.9230769230769234, -2.8461538461538463)",[ 1.92307692 -2.84615385],(-0.24437758721720343+0.9696801508053561j),(0.1615969283987228+0.14937184938151618j),(-0.08278065881848062+1.1190520001868722j)
"(2.0769230769230775, -2.8461538461538463)",[ 2.07692308 -2.84615385],(-0.9477597217217487+0.31898512485994307j),(0.03295142270703312+0.1848028334839972j),(-0.9148082990147156+0.5037879583439403j)
"(2.230769230769231, -2.8461538461538463)",[ 2.23076923 -2.84615385],(-0.7809558469882428-0.6245862350827757j),(-0.07253436052419163+0.13346774953571844j),(-0.8534902075124344-0.4911184855470572j)
"(2.384615384615385, -2.8461538461538463)",[ 2.38461538 -2.84615385],(0.10288298534745804-0.9946934660115119j),(-0.10705020101860353+0.042450593743953796j),(-0.004167215671145488-0.9522428722675581j)
"(2.5384615384615383, -2.8461538461538463)",[ 2.53846154 -2.84615385],(0.8922597590135154-0.45152244954724396j),(-0.07517315836777753-0.02565661495938483j),(0.8170866006457379-0.4771790645066288j)
"(2.6923076923076925, -2.8461538461538463)",[ 2.69230769 -2.84615385],(0.8624078388402023+0.506214104413312j),(-0.024397104029481975-0.0392232854560684j),(0.8380107348107204+0.46699081895724365j)
"(2.8461538461538467, -2.8461538461538463)",[ 2.84615385 -2.84615385],(0.040735778586812085+0.999169953683019j),(-0.0018926488408183006-0.017200550335303925j),(0.038843129745993785+0.9819694033477151j)
"(3.0, -2.8461538461538463)",[ 3.         -2.84615385],(-0.8183378548599027+0.5747374664168786j),(-0.01419438801935563-0.004437202081850319j),(-0.8325322428792583+0.5703002643350283j)
"(-3.0, -2.6923076923076925)",[-3.         -2.69230769],(-0.26036939857474106+0.9655090762317191j),(0.2894645532931238+0.027230855473211427j),(0.029095154718382754+0.9927399317049306j)
"(-2.8461538461538463, -2.6923076923076925)",[-2.84615385 -2.69230769],(-0.952901918973441+0.3032786389060952j),(0.1885223692010182-0.22917717024020454j),(-0.7643795497724228+0.07410146866589065j)
"(-2.6923076923076925, -2.6923076923076925)",[-2.69230769 -2.69230769],(-0.7705271194446743-0.6374072153657288j),(-0.08151883659085146-0.29938480850050464j),(-0.8520459560355258-0.9367920238662334j)
"(-2.5384615384615383, -2.6923076923076925)",[-2.53846154 -2.69230769],(0.11930749686253489-0.9928573518851519j),(-0.3065481244097203-0.12497195330383443j),(-0.1872406275471854-1.1178293051889863j)
"(-2.3846153846153846, -2.6923076923076925)",[-2.38461538 -2.69230769],(0.8995998819611948-0.43671507001179205j),(-0.31616544864076035+0.16570843534728397j),(0.5834344333204344-0.2710066346645081j)
"(-2.230769230769231, -2.6923076923076925)",[-2.23076923 -2.69230769],(0.8539242360775697+0.5203973472639335j),(-0.1037986236179587+0.3701057370159482j),(0.7501256124596111+0.8905030842798817j)
"(-2.0769230769230766, -2.6923076923076925)",[-2.07692308 -2.69230769],(0.024217673756508257+0.9997067091291442j),(0.18933120592273323+0.36204436740239065j),(0.2135488796792415+1.3617510765315348j)
"(-1.923076923076923, -2.6923076923076925)",[-1.92307692 -2.69230769],(-0.8277243564750517+0.56113491220736j),(0.3912794414271033+0.16370024906329458j),(-0.4364449150479484+0.7248351612706546j)
"(-1.7692307692307692, -2.6923076923076925)",[-1.76923077 -2.69230769],(-0.9196909013571446-0.3926431534623811j),(0.41471889697791503-0.09674974652428567j),(-0.5049720043792296-0.4893928999866668j)
"(-1.6153846153846154, -2.6923076923076925)",[-1.61538462 -2.69230769],(-0.16724283687955155-0.9859157334744586j),(0.29152940504511354-0.2874974587812664j),(0.124286568165562-1.273413192255725j)
