index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)"
"(0,)",(0.003482502473487237+0.017236722564408835j),(-0.0024625829644964073+0.003368500627350901j),(0.002295102679940403-0.0027453703478207904j),(0.00032899044169455694+0.003340842480274198j),(-0.003127303599545371-0.0014157538133906305j),(0.0022926742503252455-0.002864909718740179j),(0.0032637472020913333+0.002297594483907407j),(-0.0008870546216120541+0.00423637393261806j),(-0.0038717926266278236+0.002498283357572075j),(-0.004695780516718321+0.0008188719948615755j),(-0.004695780516718326+0.0008188719948615744j),(-0.0038717926266278197+0.002498283357572069j),(-0.0008870546216120583+0.004236373932618055j),(0.0032637472020913337+0.002297594483907413j),(0.0022926742503252525-0.002864909718740176j),(-0.003127303599545367-0.001415753813390634j),(0.00032899044169454653+0.003340842480274192j),(0.002295102679940409-0.0027453703478207817j),(-0.002910282582153761+0.0037721584552982464j)
"(1,)",(-0.0024625829644964073+0.003368500627350901j),(0.002506842920354842+0.016392796018917407j),(-0.003731865508061073+0.0033381059232958595j),(0.0018382182293466304-0.002271668142075655j),(0.0003112310453922834+0.0027354592096474942j),(-0.002610590680253061-0.0011388630394741047j),(0.0018887041416048025-0.002429681512532077j),(0.002790981414601007+0.0019028834560099938j),(-0.0006988782584135308+0.003621434322225363j),(-0.0032789785517419456+0.0021922418014761347j),(-0.004016409605081953+0.0007690610514495695j),(-0.0040164096050819414+0.0007690610514495711j),(-0.003278978551741941+0.002192241801476129j),(-0.0006988782584135343+0.0036214343222253646j),(0.002790981414601009+0.0019028834560099993j),(0.0018887041416048057-0.0024296815125320792j),(-0.002610590680253054-0.0011388630394741116j),(0.00031123104539227666+0.0027354592096474942j),(0.0018382182293466287-0.0022716681420756465j)
"(2,)",(0.002295102679940403-0.0027453703478207904j),(-0.003731865508061073+0.0033381059232958595j),(0.002506842920354842+0.016392796018917376j),(-0.003731865508061073+0.0033381059232958626j),(0.001838218229346628-0.0022716681420756565j),(0.00031123104539228653+0.0027354592096474934j),(-0.0026105906802530586-0.0011388630394741023j),(0.0018887041416047984-0.002429681512532079j),(0.0027909814146010055+0.0019028834560099951j),(-0.0006988782584135296+0.0036214343222253607j),(-0.003278978551741947+0.0021922418014761343j),(-0.004016409605081936+0.0007690610514495715j),(-0.004016409605081937+0.0007690610514495684j),(-0.003278978551741944+0.002192241801476131j),(-0.000698878258413535+0.0036214343222253603j),(0.0027909814146010042+0.0019028834560099993j),(0.0018887041416048066-0.0024296815125320675j),(-0.0026105906802530556-0.001138863039474114j),(0.0003112310453922749+0.0027354592096474895j)
"(3,)",(0.00032899044169455694+0.003340842480274198j),(0.0018382182293466304-0.002271668142075655j),(-0.003731865508061073+0.0033381059232958626j),(0.002506842920354847+0.01639279601891739j),(-0.003731865508061073+0.003338105923295864j),(0.0018382182293466263-0.002271668142075658j),(0.0003112310453922857+0.0027354592096474908j),(-0.002610590680253058-0.0011388630394741032j),(0.0018887041416048014-0.002429681512532079j),(0.002790981414601008+0.0019028834560099962j),(-0.0006988782584135345+0.0036214343222253655j),(-0.0032789785517419365+0.0021922418014761295j),(-0.004016409605081937+0.00076906105144957j),(-0.004016409605081945+0.0007690610514495702j),(-0.0032789785517419456+0.002192241801476129j),(-0.0006988782584135343+0.0036214343222253603j),(0.002790981414600996+0.00190288345601j),(0.0018887041416048105-0.0024296815125320727j),(-0.0026105906802530547-0.0011388630394741114j)
"(4,)",(-0.003127303599545371-0.0014157538133906305j),(0.0003112310453922834+0.0027354592096474942j),(0.001838218229346628-0.0022716681420756565j),(-0.003731865508061073+0.003338105923295864j),(0.0025068429203548436+0.016392796018917393j),(-0.0037318655080610715+0.0033381059232958656j),(0.0018382182293466237-0.0022716681420756548j),(0.00031123104539228794+0.0027354592096474895j),(-0.0026105906802530577-0.0011388630394741043j),(0.0018887041416048012-0.0024296815125320805j),(0.002790981414601011+0.0019028834560099977j),(-0.0006988782584135279+0.003621434322225354j),(-0.003278978551741936+0.0021922418014761295j),(-0.004016409605081945+0.0007690610514495722j),(-0.004016409605081945+0.0007690610514495694j),(-0.0032789785517419448+0.0021922418014761313j),(-0.0006988782584135368+0.0036214343222253525j),(0.0027909814146010042+0.0019028834560100001j),(0.001888704141604806-0.0024296815125320744j)
"(5,)",(0.0022926742503252455-0.002864909718740179j),(-0.002610590680253061-0.0011388630394741047j),(0.00031123104539228653+0.0027354592096474934j),(0.0018382182293466263-0.002271668142075658j),(-0.0037318655080610715+0.0033381059232958656j),(0.002506842920354845+0.016392796018917383j),(-0.003731865508061068+0.003338105923295866j),(0.0018382182293466233-0.0022716681420756535j),(0.00031123104539228317+0.002735459209647492j),(-0.00261059068025306-0.0011388630394741058j),(0.001888704141604807-0.0024296815125320823j),(0.0027909814146010042+0.00190288345600999j),(-0.0006988782584135282+0.0036214343222253534j),(-0.003278978551741941+0.002192241801476134j),(-0.004016409605081943+0.0007690610514495711j),(-0.004016409605081944+0.0007690610514495705j),(-0.003278978551741937+0.0021922418014761226j),(-0.0006988782584135371+0.003621434322225359j),(0.0027909814146010047+0.0019028834560099982j)
"(6,)",(0.0032637472020913333+0.002297594483907407j),(0.0018887041416048025-0.002429681512532077j),(-0.0026105906802530586-0.0011388630394741023j),(0.0003112310453922857+0.0027354592096474908j),(0.0018382182293466237-0.0022716681420756548j),(-0.003731865508061068+0.003338105923295866j),(0.0025068429203548392+0.016392796018917362j),(-0.0037318655080610637+0.003338105923295862j),(0.0018382182293466237-0.0022716681420756517j),(0.00031123104539228545+0.002735459209647489j),(-0.0026105906802530604-0.0011388630394741077j),(0.0018887041416047942-0.002429681512532071j),(0.002790981414601+0.0019028834560099856j),(-0.0006988782584135257+0.0036214343222253573j),(-0.0032789785517419387+0.0021922418014761313j),(-0.004016409605081941+0.000769061051449571j),(-0.004016409605081933+0.0007690610514495647j),(-0.003278978551741942+0.002192241801476128j),(-0.0006988782584135321+0.0036214343222253577j)
"(7,)",(-0.0008870546216120541+0.00423637393261806j),(0.002790981414601007+0.0019028834560099938j),(0.0018887041416047984-0.002429681512532079j),(-0.002610590680253058-0.0011388630394741032j),(0.00031123104539228794+0.0027354592096474895j),(0.0018382182293466233-0.0022716681420756535j),(-0.0037318655080610637+0.003338105923295862j),(0.0025068429203548353+0.016392796018917362j),(-0.0037318655080610615+0.0033381059232958556j),(0.0018382182293466237-0.002271668142075654j),(0.00031123104539228257+0.002735459209647495j),(-0.0026105906802530504-0.0011388630394740995j),(0.0018887041416047927-0.0024296815125320727j),(0.0027909814146010073+0.0019028834560099895j),(-0.0006988782584135274+0.0036214343222253573j),(-0.0032789785517419396+0.0021922418014761317j),(-0.004016409605081933+0.0007690610514495683j),(-0.004016409605081942+0.0007690610514495689j),(-0.0032789785517419404+0.0021922418014761317j)
"(8,)",(-0.0038717926266278236+0.002498283357572075j),(-0.0006988782584135308+0.003621434322225363j),(0.0027909814146010055+0.0019028834560099951j),(0.0018887041416048014-0.002429681512532079j),(-0.0026105906802530577-0.0011388630394741043j),(0.00031123104539228317+0.002735459209647492j),(0.0018382182293466237-0.0022716681420756517j),(-0.0037318655080610615+0.0033381059232958556j),(0.0025068429203548306+0.016392796018917362j),(-0.0037318655080610676+0.003338105923295866j),(0.0018382182293466315-0.002271668142075661j),(0.00031123104539228664+0.002735459209647484j),(-0.002610590680253054-0.0011388630394740984j),(0.0018887041416047953-0.0024296815125320814j),(0.002790981414601008+0.0019028834560099912j),(-0.0006988782584135284+0.003621434322225361j),(-0.003278978551741932+0.0021922418014761282j),(-0.004016409605081942+0.0007690610514495722j),(-0.004016409605081945+0.0007690610514495731j)
"(9,)",(-0.004695780516718321+0.0008188719948615755j),(-0.0032789785517419456+0.0021922418014761347j),(-0.0006988782584135296+0.0036214343222253607j),(0.002790981414601008+0.0019028834560099962j),(0.0018887041416048012-0.0024296815125320805j),(-0.00261059068025306-0.0011388630394741058j),(0.00031123104539228545+0.002735459209647489j),(0.0018382182293466237-0.002271668142075654j),(-0.0037318655080610676+0.003338105923295866j),(0.0025068429203548505+0.0163927960189174j),(-0.003731865508061085+0.0033381059232958604j),(0.0018382182293466222-0.0022716681420756513j),(0.00031123104539228523+0.0027354592096474873j),(-0.002610590680253063-0.0011388630394741017j),(0.0018887041416048014-0.0024296815125320805j),(0.00279098141460101+0.0019028834560099943j),(-0.0006988782584135289+0.0036214343222253534j),(-0.0032789785517419443+0.0021922418014761334j),(-0.004016409605081946+0.0007690610514495733j)
