index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)"
"(-3.0, -3.0)",(0.010345597516472817+0.005046900271516372j),(-0.004351832000368679+0.012563398863581475j),(-0.004351832000368704+0.012563398863581461j),(0.00862995353391721+0.0036937955894652866j),(-0.004140040707794974-0.0036352036071892503j),(0.004299397984094145+0.00020771572619865457j),(-0.006820682049219685+0.0032870331431233855j),(0.012539702720090789+0.008846241502160016j),(0.012539702720090834+0.008846241502160002j),(-0.006820682049219655+0.0032870331431234076j),(0.004299397984094162+0.0002077157261986305j),(-0.0041400407077949895-0.003635203607189201j)
"(-2.8461538461538463, -3.0)",(0.010268192286661995-0.005041372511138894j),(0.006507057147119992+0.011614943738170107j),(0.0057020292312608715+0.012304698121111247j),(0.009358366146390672-0.0027430091288415856j),(-0.005720619849597109-0.000579703446928106j),(0.003732276693923531-0.0021941745506720814j),(-0.0033995587411398452+0.0064930617660543385j),(0.015078338618223847-0.001987862272818028j),(0.01545548680045251-0.003784983182664135j),(-0.0014223644076008484+0.007828198892069442j),(0.0026042628156503437-0.003538883105216591j),(-0.005307418514397369+0.0012992460595117113j)
"(-2.6923076923076925, -3.0)",(0.0024579741376860313-0.011086249006438578j),(0.012954394248342363+0.003071131048068504j),(0.012786550391690217+0.005249508198549214j),(0.005888431323863471-0.00824679770781257j),(-0.005302351275775591+0.002833620801658493j),(0.0020696329981744763-0.003848183609998268j),(0.0008487098602567874+0.007028802621966223j),(0.009970580082380427-0.011224402203062171j),(0.007925709305431235-0.01446037905440784j),(0.005676710948750118+0.006168353741809037j),(-0.0014881306269963993-0.004242019598120649j),(-0.0020199022749198066+0.005025306835697908j)
"(-2.5384615384615383, -3.0)",(-0.006929433932946254-0.008874959787920524j),(0.011143835344088358-0.007248208337908097j),(0.013285835689920797-0.00464543280970746j),(-0.00021256793945112452-0.01052782322196888j),(-0.0031155033933715796+0.005472487701229494j),(-7.488748186858125e-05-0.0044258426476329335j),(0.004307454615343526+0.005295777630631474j),(0.000707031212956937-0.014737887854441791j),(-0.005043135130634761-0.016309465776909286j),(0.008830459113246415-0.0006753902355959942j),(-0.0044371685283209296-0.0012562310035775725j),(0.0028192520806597124+0.004565285640679916j)
"(-2.3846153846153846, -3.0)",(-0.011141074298961797-0.00047999277664594574j),(0.0026822221605481414-0.012977731260686553j),(0.007251238227045238-0.012343228764913793j),(-0.006478360243677953-0.008816613775896829j),(9.255781848495812e-05+0.006606009285969245j),(-0.002119731547165777-0.003972704754398529j),(0.006131976339501075+0.0023649818854940127j),(-0.00805447940483308-0.011972759396489525j),(-0.01548079526032133-0.008468239484162872j),(0.00540568132764089-0.007667925619939368j),(-0.0037319219895001936+0.002930277573968936j),(0.0052886392234800335+0.000511700859663289j)
"(-2.230769230769231, -3.0)",(-0.007651068826926731+0.007945057291534783j),(-0.007072084824974968-0.011129533032213436j),(-0.0021458257059373286-0.014382453670791802j),(-0.010667900995646844-0.003916127918620989j),(0.0034070828638900173+0.006047804235114902j),(-0.003673348900836763-0.0027701303845943234j),(0.0062860930975314104-0.0006679056826323888j),(-0.013034554822638555-0.005208611679709489j),(-0.017695363811245493+0.004249331454196561j),(-0.002377243603108944-0.009677656696330186j),(9.074139694457173e-05+0.004897772395830384j),(0.0036299460619325626-0.0038065036922215936j)
"(-2.0769230769230766, -3.0)",(0.0006737829903017698+0.010874718708624286j),(-0.01266574624218175-0.003324341247245089j),(-0.01059988540172392-0.010255274947754816j),(-0.011552939540789698+0.002386761025074498j),(0.006056135507458439+0.004080176537734332j),(-0.004573463145237556-0.00117666472776662j),(0.005242057668229853-0.0030774548023022315j),(-0.013373303650620779+0.002336246415539252j),(-0.011122652029623164+0.015047676896239159j),(-0.009295756692231262-0.0051199935245931725j),(0.004045637063336617+0.0030668176489422674j),(-0.000659439443766702-0.005164132717935219j)
"(-1.923076923076923, -3.0)",(0.008214778086275307+0.00693063646421524j),(-0.01157948858656636+0.005854031835884463j),(-0.014782623119146793-0.0021130376859784124j),(-0.009134347925182428+0.008142030254656384j),(0.007586736811154776+0.001253709251794693j),(-0.0048450093828194775+0.0004902204180409463j),(0.0036174113493631947-0.004595790652951407j),(-0.010173082398877759+0.008174638563152783j),(0.0003959920010790774+0.019161330345134158j),(-0.010851254135917497+0.003253071935764679j),(0.005141453018971789-0.001217297201753083j),(-0.00432850776526957-0.0027963080156317792j)
"(-1.7692307692307692, -3.0)",(0.01054855024424655-0.0009030827136099978j),(-0.005027750165346294+0.011799307869586594j),(-0.01354428718178307+0.00665113950710699j),(-0.0043624257096180384+0.011904270272955039j),(0.007893380290272626-0.0018311571776190036j),(-0.004625539843796091+0.0020129759025875765j),(0.0019241241342886964-0.005298176254231588j),(-0.005344502057065149+0.01126348280788962j),(0.011546408488044656+0.015755501145632525j),(-0.006023130420895043+0.010513729825371014j),(0.0025636019862391064-0.004893944270961244j),(-0.004908930448860054+0.001392944301214893j)
"(-1.6153846153846154, -3.0)",(0.006888159211973482-0.007810443616087062j),(0.00338055881232522+0.01218512875946551j),(-0.007898197184242409+0.013002379549937585j),(0.0013871469638592167+0.013044743170847988j),(0.007141207116986573-0.004686294585899613j),(-0.00409485580129173+0.0032828456608199295j),(0.00047276070067448433-0.005427551411884639j),(-0.00058312640993578+0.011820841835928736j),(0.018405165743659777+0.007271122890507053j),(0.002574046619582278+0.012721490701613785j),(-0.0019622715010597755-0.005464684998047769j),(-0.0022733024910455753+0.0045168436085253946j)
