index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)"
"(-3.0, -3.0)",(0.010558294778130233+0.005131559691053174j),(-0.004890617220609286+0.013677906021814656j),(-0.0016525070215453205+0.013513634376835537j),(0.007768006300850359-0.0018955279202570075j),(-0.0034120962894283366+0.0020401923576052724j),(-0.001035649641568728-0.004300431966824955j),(0.0028471040151925274+0.011580196732153379j),(0.016615107727158587+0.007601335822466755j),(-0.0031924182835784357+0.008799417928374827j),(0.0027839133130082155-0.002499318984617242j),(-0.004173685620940582-0.0020397529651302207j)
"(-2.8461538461538463, -3.0)",(0.010445755922509833-0.005118093141223844j),(0.0068869805331762375+0.012814063991251932j),(0.008260130714469184+0.01126546073132155j),(0.005129776883836957-0.006634049128628321j),(-0.0017526198094987972+0.0037651564559549764j),(-0.0031687306559880658-0.002900219896695361j),(0.009348908833045705+0.006790843917938963j),(0.017298411427130036-0.007032307049369623j),(0.005332345660541115+0.008341805481983244j),(-0.0005687059163474825-0.0038256196004594137j),(-0.0040029268801951125+0.0022372832585706784j)
"(-2.6923076923076925, -3.0)",(0.002527574211008672-0.01123091869925451j),(0.014064533206197547+0.003715197391403412j),(0.014024373920581926+0.00291041884821789j),(8.721859100246637e-05-0.008800587711714445j),(0.0005729953602310069+0.004315067547918599j),(-0.0041043517641181-0.0007728910752677459j),(0.011137626697227213-0.0004370413887663618j),(0.007362025521195605-0.0175566307894983j),(0.010436194840728516+0.0011074214585633207j),(-0.0036125724319485105-0.0017463624749547j),(-0.0004900867870769601+0.004496942265977562j)
"(-2.5384615384615383, -3.0)",(-0.006951068729276732-0.00900733438667662j),(0.012434414298615682-0.007500795158404317j),(0.012828881942690861-0.007121094915551128j),(-0.005309196140104712-0.007563890206923646j),(0.0028408944127954867+0.003588746352172697j),(-0.003852056201413492+0.0013117999687449016j),(0.00839049957474273-0.006641033498389402j),(-0.006821225515385282-0.018108263326441852j),(0.008020574948928766-0.007743440415244914j),(-0.0036532620995797555+0.0020294810694013866j),(0.0032950379504849553+0.003004945204602733j)
"(-2.3846153846153846, -3.0)",(-0.011214355618327922-0.0005757503996334477j),(0.0035311278873658147-0.014031274807083686j),(0.005515654864383207-0.013964349766196885j),(-0.009067820201785896-0.003462445133246164j),(0.004455302951758811+0.0018588428990131262j),(-0.0027725146590897604+0.002852098398468861j),(0.003131188631913727-0.009730187269342947j),(-0.017321093210395343-0.009161385617840275j),(-0.0005366515914572735-0.011854385536669627j),(-0.0005400675347832621+0.004337803629937727j),(0.004317605243552238-0.0008165476689917583j)
"(-2.230769230769231, -3.0)",(-0.007762614349340339+0.00788690200889047j),(-0.007073238224768663-0.012526838723344246j),(-0.004341010245483591-0.014716059115305095j),(-0.009992789007227798+0.0020241845444097088j),(0.005090949736218034-0.00039470498798173495j),(-0.001321106026252739+0.003675038147883124j),(-0.002259137024567166-0.009447354305954917j),(-0.01935446503173542+0.003943900836294075j),(-0.0096322612583908-0.008204043977214099j),(0.003283267032733956+0.003212661054689492j),(0.0019696037073119663-0.0038543813550072485j)
"(-2.0769230769230766, -3.0)",(0.0005249660583142033+0.010876196756234302j),(-0.01355235562826758-0.004468965186624558j),(-0.012488122759109143-0.009439225337230465j),(-0.00795420722349695+0.007168469597701267j),(0.0047125543807311375-0.002667380671469737j),(0.00013141694739564718+0.003854125451531475j),(-0.0061460611419625-0.006823197448581431j),(-0.013091230229812852+0.014859620921544971j),(-0.013462084783558283+0.0011237561704234384j),(0.0048144736665151735-0.0005969976821107942j),(-0.0017500648551780496-0.0038879474500008874j)
"(-1.923076923076923, -3.0)",(0.008061501407697527+0.007031541602373051j),(-0.013027087631305374+0.005445324566228173j),(-0.015930420856903552-0.0006110590894343178j),(-0.0037086269476551206+0.010610654216536201j),(0.0035048450118726556-0.0045656410649760745j),(0.0013684316951033284+0.0035823713184268235j),(-0.007987424635405081-0.0032871685286834902j),(-0.0023290740596603274+0.019592372499851275j),(-0.009663597897201608+0.010723518405556508j),(0.0027993988747027866-0.004323676161273633j),(-0.00404914986506066-0.0011205614604002268j)
"(-1.7692307692307692, -3.0)",(0.010468834166416384-0.0006932358212941017j),(-0.006504470670127479+0.012319584596529142j),(-0.013885555972025164+0.008346329987073707j),(0.0015361989413273539+0.011688868202285967j),(0.001764550117831253-0.0058702494507102115j),(0.0023153879034638982+0.0030689695687268126j),(-0.008085152985905404+1.1685149817034959e-05j),(0.008276775861358282+0.017672710250995614j),(-0.00027537796120373357+0.01542518069226079j),(-0.0014669208452287275-0.005299907843304631j),(-0.0034458481486737045+0.002301087894602258j)
"(-1.6153846153846154, -3.0)",(0.006963803523611413-0.007552870238804191j),(0.0024036239336281784+0.013491722278879936j),(-0.007598108061333826+0.014560919432026859j),(0.006580629369107449+0.010452122678677057j),(-0.00020089442195341605-0.006534738400341307j),(0.0029917427771833306+0.0024836682978104274j),(-0.007119380092026135+0.0024713506855746836j),(0.015490215053072225+0.011249763240253771j),(0.010040274969175336+0.01306346499831422j),(-0.005215646494182293-0.0027680417474920675j),(-0.0005878847111365545+0.004050414675125187j)
