index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)"
"(0,)",(-0.0002463766502693223+0.024974216444537563j),(-0.0016943204780854035+0.0022831163138994377j),(0.0008220554736186548+0.0027370123110163017j),(-0.001726336932399097-0.003738974580042631j),(0.005751115872678092+0.0018591972174282676j),(-0.0026471160495590003+0.007804369128473501j),(-0.00886450991378352+0.004146677561128895j),(-0.00886450991378351+0.004146677561128897j),(-0.0026471160495589877+0.007804369128473494j),(0.005751115872678091+0.0018591972174282594j),(-0.0017263369323991021-0.0037389745800426233j),(0.0008220554736186657+0.002737012311016295j),(-0.001263228460596207+0.002420877091884762j)
"(1,)",(-0.0016943204780854035+0.0022831163138994377j),(-0.001793795681682226+0.023389742964924805j),(-0.001277868132855065+0.0024671876314000933j),(0.0006201553740446579+0.00202523946749433j),(-0.0014255780142756976-0.0029427430404128942j),(0.004812916594357003+0.0014069500759798126j),(-0.002027640381668179+0.006706793838620759j),(-0.00748956360527265+0.0038275856784109508j),(-0.007489563605272642+0.003827585678410952j),(-0.0020276403816681643+0.006706793838620751j),(0.004812916594356999+0.0014069500759797905j),(-0.0014255780142757074-0.002942743040412887j),(0.0006201553740446657+0.002025239467494326j)
"(2,)",(0.0008220554736186548+0.0027370123110163017j),(-0.001277868132855065+0.0024671876314000933j),(-0.001793795681682222+0.02338974296492478j),(-0.0012778681328550665+0.0024671876314000937j),(0.0006201553740446608+0.0020252394674943317j),(-0.0014255780142756953-0.002942743040412895j),(0.004812916594357002+0.001406950075979807j),(-0.002027640381668174+0.006706793838620747j),(-0.007489563605272642+0.0038275856784109456j),(-0.007489563605272645+0.003827585678410954j),(-0.002027640381668161+0.0067067938386207535j),(0.004812916594357+0.001406950075979791j),(-0.0014255780142757-0.0029427430404128877j)
"(3,)",(-0.001726336932399097-0.003738974580042631j),(0.0006201553740446579+0.00202523946749433j),(-0.0012778681328550665+0.0024671876314000937j),(-0.0017937956816822195+0.02338974296492478j),(-0.0012778681328550674+0.0024671876314000915j),(0.0006201553740446592+0.002025239467494332j),(-0.0014255780142756985-0.0029427430404128973j),(0.004812916594356995+0.001406950075979804j),(-0.0020276403816681665+0.006706793838620743j),(-0.007489563605272644+0.0038275856784109595j),(-0.007489563605272646+0.0038275856784109673j),(-0.0020276403816681583+0.006706793838620752j),(0.004812916594356996+0.0014069500759797953j)
"(4,)",(0.005751115872678092+0.0018591972174282676j),(-0.0014255780142756976-0.0029427430404128942j),(0.0006201553740446608+0.0020252394674943317j),(-0.0012778681328550674+0.0024671876314000915j),(-0.0017937956816822195+0.02338974296492478j),(-0.0012778681328550659+0.0024671876314000915j),(0.0006201553740446587+0.002025239467494333j),(-0.0014255780142756903-0.002942743040412894j),(0.004812916594356994+0.0014069500759798016j),(-0.0020276403816681656+0.006706793838620748j),(-0.007489563605272649+0.003827585678410956j),(-0.007489563605272644+0.003827585678410953j),(-0.002027640381668169+0.00670679383862074j)
"(5,)",(-0.0026471160495590003+0.007804369128473501j),(0.004812916594357003+0.0014069500759798126j),(-0.0014255780142756953-0.002942743040412895j),(0.0006201553740446592+0.002025239467494332j),(-0.0012778681328550659+0.0024671876314000915j),(-0.0017937956816822204+0.02338974296492478j),(-0.0012778681328550648+0.0024671876314000933j),(0.0006201553740446587+0.002025239467494325j),(-0.0014255780142756963-0.0029427430404128908j),(0.004812916594356998+0.0014069500759797942j),(-0.0020276403816681665+0.0067067938386207535j),(-0.007489563605272648+0.003827585678410947j),(-0.007489563605272644+0.003827585678410942j)
"(6,)",(-0.00886450991378352+0.004146677561128895j),(-0.002027640381668179+0.006706793838620759j),(0.004812916594357002+0.001406950075979807j),(-0.0014255780142756985-0.0029427430404128973j),(0.0006201553740446587+0.002025239467494333j),(-0.0012778681328550648+0.0024671876314000933j),(-0.0017937956816822267+0.02338974296492479j),(-0.0012778681328550637+0.002467187631400099j),(0.0006201553740446623+0.0020252394674943252j),(-0.001425578014275703-0.002942743040412887j),(0.004812916594357002+0.0014069500759797942j),(-0.002027640381668167+0.006706793838620753j),(-0.007489563605272645+0.003827585678410951j)
"(7,)",(-0.00886450991378351+0.004146677561128897j),(-0.00748956360527265+0.0038275856784109508j),(-0.002027640381668174+0.006706793838620747j),(0.004812916594356995+0.001406950075979804j),(-0.0014255780142756903-0.002942743040412894j),(0.0006201553740446587+0.002025239467494325j),(-0.0012778681328550637+0.002467187631400099j),(-0.00179379568168222+0.023389742964924774j),(-0.0012778681328550721+0.0024671876314000846j),(0.0006201553740446661+0.002025239467494319j),(-0.0014255780142756966-0.002942743040412884j),(0.004812916594356992+0.001406950075979801j),(-0.002027640381668164+0.00670679383862074j)
"(8,)",(-0.0026471160495589877+0.007804369128473494j),(-0.007489563605272642+0.003827585678410952j),(-0.007489563605272642+0.0038275856784109456j),(-0.0020276403816681665+0.006706793838620743j),(0.004812916594356994+0.0014069500759798016j),(-0.0014255780142756963-0.0029427430404128908j),(0.0006201553740446623+0.0020252394674943252j),(-0.0012778681328550721+0.0024671876314000846j),(-0.0017937956816822067+0.02338974296492476j),(-0.0012778681328550721+0.002467187631400085j),(0.0006201553740446583+0.00202523946749432j),(-0.0014255780142756944-0.0029427430404128855j),(0.004812916594356993+0.0014069500759797983j)
"(9,)",(0.005751115872678091+0.0018591972174282594j),(-0.0020276403816681643+0.006706793838620751j),(-0.007489563605272645+0.003827585678410954j),(-0.007489563605272644+0.0038275856784109595j),(-0.0020276403816681656+0.006706793838620748j),(0.004812916594356998+0.0014069500759797942j),(-0.001425578014275703-0.002942743040412887j),(0.0006201553740446661+0.002025239467494319j),(-0.0012778681328550721+0.002467187631400085j),(-0.0017937956816822228+0.023389742964924777j),(-0.0012778681328550593+0.0024671876314001j),(0.0006201553740446519+0.0020252394674943226j),(-0.0014255780142756924-0.0029427430404128903j)
"(10,)",(-0.0017263369323991021-0.0037389745800426233j),(0.004812916594356999+0.0014069500759797905j),(-0.002027640381668161+0.0067067938386207535j),(-0.007489563605272646+0.0038275856784109673j),(-0.007489563605272649+0.003827585678410956j),(-0.0020276403816681665+0.0067067938386207535j),(0.004812916594357002+0.0014069500759797942j),(-0.0014255780142756966-0.002942743040412884j),(0.0006201553740446583+0.00202523946749432j),(-0.0012778681328550593+0.0024671876314001j),(-0.0017937956816822375+0.023389742964924794j),(-0.0012778681328550591+0.0024671876314000993j),(0.0006201553740446591+0.002025239467494321j)
"(11,)",(0.0008220554736186657+0.002737012311016295j),(-0.0014255780142757074-0.002942743040412887j),(0.004812916594357+0.001406950075979791j),(-0.0020276403816681583+0.006706793838620752j),(-0.007489563605272644+0.003827585678410953j),(-0.007489563605272648+0.003827585678410947j),(-0.002027640381668167+0.006706793838620753j),(0.004812916594356992+0.001406950075979801j),(-0.0014255780142756944-0.0029427430404128855j),(0.0006201553740446519+0.0020252394674943226j),(-0.0012778681328550591+0.0024671876314000993j),(-0.0017937956816822204+0.023389742964924777j),(-0.0012778681328550726+0.0024671876314000846j)
"(12,)",(-0.001263228460596207+0.002420877091884762j),(0.0006201553740446657+0.002025239467494326j),(-0.0014255780142757-0.0029427430404128877j),(0.004812916594356996+0.0014069500759797953j),(-0.002027640381668169+0.00670679383862074j),(-0.007489563605272644+0.003827585678410942j),(-0.007489563605272645+0.003827585678410951j),(-0.002027640381668164+0.00670679383862074j),(0.004812916594356993+0.0014069500759797983j),(-0.0014255780142756924-0.0029427430404128903j),(0.0006201553740446591+0.002025239467494321j),(-0.0012778681328550726+0.0024671876314000846j),(-0.0017937956816822074+0.023389742964924767j)
