index,value
"(0,)",(2.4625050644162014+0.9048866177028654j)
"(1,)",(0.1055937177402766-0.18231753639986703j)
"(2,)",(-0.9860031535133504+2.104540874727935j)
"(3,)",(-2.1311937924765+2.496027796166631j)
"(4,)",(-3.643394967247981+3.404814065219737j)
"(5,)",(-4.3870138323327605+3.8553672734360918j)
"(6,)",(-5.007207820143586+4.05066815274648j)
"(7,)",(-5.076120895596679+4.137374781221519j)
"(8,)",(-4.732537832580948+3.9522047549462487j)
"(9,)",(-3.976237927526334+3.604199958140722j)
"(10,)",(-2.8407037974874703+3.0122658727802607j)
"(11,)",(-1.4712758780816864+2.189920335462973j)
"(12,)",(-0.026509135636765713+1.1698211741826725j)
"(13,)",(1.2713159164338592+0.05230051667868829j)
"(14,)",(2.2401354237687343-0.9760734200377682j)
"(15,)",(2.7976250345527887-1.7000551705734455j)
"(16,)",(3.0081001581489333-1.951668352468476j)
"(17,)",(3.0538101745445596-1.7229700576658955j)
"(18,)",(3.1119023532543335-1.2213964927297936j)
"(19,)",(3.1968615990986358-0.8109409857074551j)
"(20,)",(3.0650885024749277-0.821306210976035j)
"(21,)",(2.2911861797680007-1.3027334337834497j)
"(22,)",(0.53370838015055-1.8865393224270535j)
"(23,)",(-2.1309834257325826-1.8964559933061405j)
"(24,)",(-5.030585909030268-0.724218930671769j)
"(25,)",(-7.0622244167151615+1.7115948497388733j)
"(26,)",(-7.194686579921763+4.720081422405844j)
"(27,)",(-5.059683013927953+7.02557736454368j)
"(28,)",(-1.272368243955711+7.353589041847846j)
"(29,)",(2.7529636487195033+5.110128783326812j)
"(30,)",(5.427096357074486+0.76075923406193j)
"(31,)",(5.714528786432064-4.31695787818076j)
"(32,)",(3.574918389619544-8.422865505832757j)
"(33,)",(-0.08808801527252896-10.238173035313217j)
"(34,)",(-3.8888847896556067-9.290784883922433j)
"(35,)",(-6.552998216578667-6.004928748737694j)
"(36,)",(-7.3523541941449455-1.3951814499426094j)
"(37,)",(-6.235717839201427+3.384292327699565j)
"(38,)",(-3.683097034744886+7.418330118519551j)
"(39,)",(-0.4213930009806859+10.21772080043785j)
"(40,)",(2.851128115326138+11.71278819716115j)
"(41,)",(5.640438690639467+12.126659207187297j)
"(42,)",(7.712440311748246+11.816378381675424j)
"(43,)",(9.057634849490196+11.144284373945842j)
"(44,)",(9.810234493684938+10.404357838119072j)
"(45,)",(10.160261950647158+9.798942982178552j)
"(46,)",(10.281160214000199+9.44708790930505j)
"(47,)",(10.281035974732248+9.404047442141017j)
"(48,)",(10.177498472062354+9.67647255410955j)
"(49,)",(9.894022062672079+10.224904786276543j)
"(50,)",(9.277430074493415+10.952384641650966j)
"(51,)",(8.138307575167358+11.68512340919489j)
"(52,)",(6.3156736322582+12.158420622398651j)
"(53,)",(3.7612877953742485+12.02708475170764j)
"(54,)",(0.6264075775587292+10.920783680519936j)
"(55,)",(-2.682564132408139+8.555325204382353j)
"(56,)",(-5.524606052204366+4.886469171661968j)
"(57,)",(-7.158609653821585+0.2563735634333715j)
"(58,)",(-6.991731998941022-4.549958734752698j)
"(59,)",(-4.874958751267707-8.422554888184827j)
"(60,)",(-1.312237707249834-10.248414651102772j)
"(61,)",(2.5676084176523246-9.358991432883446j)
"(62,)",(5.35193766528271-5.911383835840635j)
"(63,)",(5.912082454064183-0.974068965077695j)
"(64,)",(3.9442906171745946+3.806985781394239j)
"(65,)",(0.18074631365098281+6.866755321730853j)
"(66,)",(-3.8982674091915634+7.391968334950298j)
"(67,)",(-6.733825025725819+5.638946900493157j)
"(68,)",(-7.394478967524618+2.7248116982597326j)
"(69,)",(-5.933507101545379-0.0017190770317601078j)
"(70,)",(-3.2097709435893114-1.608702038279708j)
"(71,)",(-0.38138594449569707-1.926688733574279j)
"(72,)",(1.7211112323668423-1.4558899817179505j)
"(73,)",(2.8156927161179257-0.8542912250595898j)
"(74,)",(3.1120104031164866-0.7138441352970624j)
"(75,)",(3.1681238610533007-1.0056367192375686j)
"(76,)",(2.9880116028642947-1.5315431174924026j)
"(77,)",(3.1718114212689015-2.1215262500683427j)
"(78,)",(2.8927061282959103-1.6670850018998722j)
"(79,)",(2.08620906893895-2.070143375930378j)
