index,xy,inc,scat,tot
"(-3.0, -3.0)",[-3. -3.],(0.7773494792181547+0.6290689844200426j),(0.042471946036562305+0.25161408231418625j),(0.819821425254717+0.8806830667342288j)
"(-2.8461538461538463, -3.0)",[-2.84615385 -3.        ],(-0.10860406938749748+0.994085084946191j),(0.20980300849753453+0.15546551541112827j),(0.10119893911003705+1.1495506003573193j)
"(-2.6923076923076925, -3.0)",[-2.69230769 -3.        ],(-0.8948427434723873+0.4463815234245378j),(0.2662182798174141-0.02678653170500999j),(-0.6286244636549733+0.4195949917195278j)
"(-2.5384615384615383, -3.0)",[-2.53846154 -3.        ],(-0.8594811553903232-0.5111674319916275j),(0.18962115360652435-0.19851128638990784j),(-0.6698600017837989-0.7096787183815354j)
"(-2.3846153846153846, -3.0)",[-2.38461538 -3.        ],(-0.03498656293693535-0.9993877828019812j),(0.02442101805801694-0.28097627707332046j),(-0.010565544878918406-1.2803640598753017j)
"(-2.230769230769231, -3.0)",[-2.23076923 -3.        ],(0.8216309578085959-0.5700197971742117j),(-0.152758130583392-0.2466284297325717j),(0.6688728272252038-0.8166482269067834j)
"(-2.0769230769230766, -3.0)",[-2.07692308 -3.        ],(0.9238676498953127+0.38271211827810203j),(-0.2737045786396517-0.11960675944432825j),(0.650163071255661+0.2631053588337738j)
"(-1.923076923076923, -3.0)",[-1.92307692 -3.        ],(0.17785484909783048+0.9840567324358834j),(-0.3041437035139856+0.04681864996120207j),(-0.12628885441615514+1.0308753823970855j)
"(-1.7692307692307692, -3.0)",[-1.76923077 -3.        ],(-0.731455460353972+0.681889220855088j),(-0.2474613225276178+0.1981709583595751j),(-0.9789167828815898+0.8800601792146631j)
"(-1.6153846153846154, -3.0)",[-1.61538462 -3.        ],(-0.9691796141665602-0.24635518156506767j),(-0.1325143877777213+0.29824841784405914j),(-1.1016940019442814+0.05189323627899148j)
"(-1.4615384615384615, -3.0)",[-1.46153846 -3.        ],(-0.3170510749839535-0.9484084646667381j),(0.0037791534792006587+0.33534505902789535j),(-0.31327192150475286-0.6130634056388428j)
"(-1.3076923076923075, -3.0)",[-1.30769231 -3.        ],(0.6261780494437382-0.7796800949074147j),(0.1304284556651589+0.31787319320234997j),(0.7566065051088972-0.4618069017050648j)
"(-1.1538461538461537, -3.0)",[-1.15384615 -3.        ],(0.9944815197952718+0.10491190011474566j),(0.22920133727579003+0.26517673395405206j),(1.2236828570710618+0.3700886340687977j)
"(-1.0, -3.0)",[-1. -3.],(0.44970134126633127+0.8931789874729827j),(0.2948297338016272+0.1986868157252213j),(0.7445310750679585+1.091865803198204j)
"(-0.8461538461538458, -3.0)",[-0.84615385 -3.        ],(-0.5079723233823321+0.8613733909737143j),(0.3312301921584011+0.13619848090541475j),(-0.176742131223931+0.9975718718791291j)
"(-0.6923076923076921, -3.0)",[-0.69230769 -3.        ],(-0.9992509738132139+0.03869743316220923j),(0.3465151315107602+0.08970786634492231j),(-0.6527358423024537+0.12840529950713153j)
"(-0.5384615384615383, -3.0)",[-0.53846154 -3.        ],(-0.5730668990397428-0.8195085900861401j),(0.34864231814452606+0.06579847929329373j),(-0.22442458089521677-0.7537101107928463j)
"(-0.3846153846153846, -3.0)",[-0.38461538 -3.        ],(0.37927880348881066-0.9252824375422329j),(0.3424526026262813+0.067073111605358j),(0.7217314061150919-0.8582093259368749j)
"(-0.23076923076923084, -3.0)",[-0.23076923 -3.        ],(0.9833895042207711-0.181507804208045j),(0.32812876191442736+0.0932868642810273j),(1.3115182661351985-0.0882209399270177j)
"(-0.07692307692307665, -3.0)",[-0.07692308 -3.        ],(0.6846006950960638+0.7289183001365697j),(0.30094995589477447+0.14132146902972412j),(0.9855506509908383+0.8702397691662938j)
"(0.0769230769230771, -3.0)",[ 0.07692308 -3.        ],(-0.24275454614606543+0.9700877436218941j),(0.2524990302013629+0.20380471237612624j),(0.009744484055297459+1.1738924559980204j)
"(0.23076923076923084, -3.0)",[ 0.23076923 -3.        ],(-0.9472245930780933+0.3205706946494653j),(0.17384313446607058+0.26704954665107733j),(-0.7733814586120227+0.5876202413005427j)
"(0.384615384615385, -3.0)",[ 0.38461538 -3.        ],(-0.7819999593738021-0.6232784799264066j),(0.061091450106451006+0.31005646395576564j),(-0.7209085092673511-0.313222015970641j)
"(0.5384615384615388, -3.0)",[ 0.53846154 -3.        ],(0.10121828418299657-0.9948642414656635j),(-0.07744109580898406+0.3071899941355319j),(0.023777188374012506-0.6876742473301316j)
"(0.6923076923076925, -3.0)",[ 0.69230769 -3.        ],(0.8915029151833175-0.4530149580528735j),(-0.21555987227201304+0.23679221911557746j),(0.6759430429113045-0.21622273893729604j)
"(0.8461538461538463, -3.0)",[ 0.84615385 -3.        ],(0.8632537488429478+0.5047702102032139j),(-0.310446797595336+0.095205856943978j),(0.5528069512476118+0.5999760671471919j)
"(1.0, -3.0)",[ 1. -3.],(0.04240776977795813+0.999100385878446j),(-0.316048317964439-0.08964194764992961j),(-0.27364054818648087+0.9094584382285164j)
"(1.1538461538461542, -3.0)",[ 1.15384615 -3.        ],(-0.8173749219347579+0.5761060987284793j),(-0.20824499005494965-0.2560660494886284j),(-1.0256199119897076+0.3200400492398509j)
"(1.3076923076923084, -3.0)",[ 1.30769231 -3.        ],(-0.9266844662156044-0.37584025871997856j),(-0.010957833632927261-0.32818499917456584j),(-0.9376422998485316-0.7040252578945444j)
"(1.4615384615384617, -3.0)",[ 1.46153846 -3.        ],(-0.18515825645731304-0.9827087157778178j),(0.1967204180326383-0.2564380459503356j),(0.011562161575325247-1.2391467617281533j)
"(1.6153846153846159, -3.0)",[ 1.61538462 -3.        ],(0.7263710886646181-0.6873027291901128j),(0.30930384539800854-0.05941190838466681j),(1.0356749340626266-0.7467146375747796j)
"(1.7692307692307692, -3.0)",[ 1.76923077 -3.        ],(0.9709824962710165+0.23915056331797652j),(0.25542215911984945+0.16580480557601654j),(1.226404655390866+0.4049553688939931j)
"(1.9230769230769234, -3.0)",[ 1.92307692 -3.        ],(0.3240858938776612+0.946027659949495j),(0.05577364867268046+0.2876517823950026j),(0.37985954255034166+1.2336794423444977j)
"(2.0769230769230775, -3.0)",[ 2.07692308 -3.        ],(-0.6203703158510077+0.7843090406280684j),(-0.1699231671548785+0.2244985632394989j),(-0.7902934830058862+1.0088076038675673j)
"(2.230769230769231, -3.0)",[ 2.23076923 -3.        ],(-0.9952332446799114-0.0975232725245396j),(-0.27073475300995753+0.013764330180750121j),(-1.2659679976898688-0.08375894234378947j)
"(2.384615384615385, -3.0)",[ 2.38461538 -3.        ],(-0.45632232809179374-0.8898145497152119j),(-0.17308286227287234-0.1969438843804594j),(-0.629405190364666-1.0867584340956713j)
"(2.5384615384615383, -3.0)",[ 2.53846154 -3.        ],(0.5015611366090934-0.865122203069251j),(0.051543690918333905-0.24984603714182715j),(0.5531048275274273-1.114968240211078j)
"(2.6923076923076925, -3.0)",[ 2.69230769 -3.        ],(0.9989360210741761-0.04611752162132389j),(0.2276811076781258-0.1026348423671262j),(1.226617128752302-0.1487523639884501j)
"(2.8461538461538467, -3.0)",[ 2.84615385 -3.        ],(0.5791373543320645+0.8152299827761837j),(0.21134388746643068+0.12552455423766024j),(0.7904812417984952+0.9407545370138439j)
"(3.0, -3.0)",[ 3. -3.],(-0.3723965313866303+0.9280737165824741j),(0.015205786468634443+0.24244310402011648j),(-0.35719074491799585+1.1705168206025904j)
"(-3.0, -2.8461538461538463)",[-3.         -2.84615385],(0.3084073358240364+0.9512543903761601j),(0.217560523448195+0.13705331821546482j),(0.5259678592722314+1.0883077085916248j)
"(-2.8461538461538463, -2.8461538461538463)",[-2.84615385 -2.84615385],(-0.6332472876405948+0.7739495285196767j),(0.25629443275463637-0.05948671101338466j),(-0.3769528548859584+0.714462817506292j)
"(-2.6923076923076925, -2.8461538461538463)",[-2.69230769 -2.84615385],(-0.9934856328403785-0.11395743652676912j),(0.14775604008962712-0.22548446923883395j),(-0.8457295927507513-0.33944190576560307j)
"(-2.5384615384615383, -2.8461538461538463)",[-2.53846154 -2.84615385],(-0.4415547032094214-0.897234330637008j),(-0.04207953112252547-0.27339397124750814j),(-0.4836342343319469-1.170628301884516j)
"(-2.3846153846153846, -2.8461538461538463)",[-2.38461538 -2.84615385],(0.5157898731927637-0.8567151257633968j),(-0.21415768376512295-0.1869032802463984j),(0.30163218942764075-1.0436184060097953j)
"(-2.230769230769231, -2.8461538461538463)",[-2.23076923 -2.84615385],(0.9995617485482756-0.0296025478483502j),(-0.2921241056611942-0.015146590143375042j),(0.7074376428870814-0.04474913799172524j)
"(-2.0769230769230766, -2.8461538461538463)",[-2.07692308 -2.84615385],(0.5655855607384725+0.82468962251513j),(-0.25270370014209315+0.1643061990196812j),(0.3128818605963794+0.9889958215348111j)
"(-1.923076923076923, -2.8461538461538463)",[-1.92307692 -2.84615385],(-0.38768326074390597+0.9217926498616555j),(-0.12283731227345976+0.28562062012345374j),(-0.5105205730173658+1.2074132699851092j)
"(-1.7692307692307692, -2.8461538461538463)",[-1.76923077 -2.84615385],(-0.985000524269936+0.1725513465260451j),(0.044421513198919856+0.3177771088453054j),(-0.9405790110710162+0.4903284553713505j)
"(-1.6153846153846154, -2.8461538461538463)",[-1.61538462 -2.84615385],(-0.6779391191659766-0.7351180522232192j),(0.19711822348270172+0.26596832423018035j),(-0.4808208956832749-0.4691497279930389j)
"(-1.4615384615384615, -2.8461538461538463)",[-1.46153846 -2.84615385],(0.25157238915791963-0.9678384849825803j),(0.30202264050568484+0.1585653899869331j),(0.5535950296636045-0.8092730949956473j)
"(-1.3076923076923075, -2.8461538461538463)",[-1.30769231 -2.84615385],(0.9501025966958736-0.3119375831023863j),(0.34926135432490174+0.030381420699642104j),(1.2993639510207753-0.28155616240274417j)
