index,xy,inc,scat,tot
"(-3.0, -3.0)",[-3. -3.],(0.7773494792181547+0.6290689844200426j),(0.03704091247113359+0.26643152213109916j),(0.8143903916892883+0.8955005065511417j)
"(-2.8461538461538463, -3.0)",[-2.84615385 -3.        ],(-0.10860406938749748+0.994085084946191j),(0.21688827083442333+0.16985988296739166j),(0.10828420144692585+1.1639449679135827j)
"(-2.6923076923076925, -3.0)",[-2.69230769 -3.        ],(-0.8948427434723873+0.4463815234245378j),(0.2816462436802646-0.021529148480900616j),(-0.6131964997921228+0.4248523749436372j)
"(-2.5384615384615383, -3.0)",[-2.53846154 -3.        ],(-0.8594811553903232-0.5111674319916275j),(0.204649786746298-0.2054111034356478j),(-0.6548313686440252-0.7165785354272753j)
"(-2.3846153846153846, -3.0)",[-2.38461538 -3.        ],(-0.03498656293693535-0.9993877828019812j),(0.03109868595478037-0.2963284476856566j),(-0.0038878769821549773-1.2957162304876377j)
"(-2.230769230769231, -3.0)",[-2.23076923 -3.        ],(0.8216309578085959-0.5700197971742117j),(-0.15756048211912924-0.2628247299471096j),(0.6640704756894666-0.8328445271213213j)
"(-2.0769230769230766, -3.0)",[-2.07692308 -3.        ],(0.9238676498953127+0.38271211827810203j),(-0.28752580797443633-0.12944717474937087j),(0.6363418419208764+0.2532649435287312j)
"(-1.923076923076923, -3.0)",[-1.92307692 -3.        ],(0.17785484909783048+0.9840567324358834j),(-0.3210733040668072+0.046936529083759934j),(-0.1432184549689767+1.0309932615196433j)
"(-1.7692307692307692, -3.0)",[-1.76923077 -3.        ],(-0.731455460353972+0.681889220855088j),(-0.26137124580020643+0.20749871813425882j),(-0.9928267061541785+0.8893879389893468j)
"(-1.6153846153846154, -3.0)",[-1.61538462 -3.        ],(-0.9691796141665602-0.24635518156506767j),(-0.13952908048747123+0.3130513368960137j),(-1.1087086946540314+0.06669615533094606j)
"(-1.4615384615384615, -3.0)",[-1.46153846 -3.        ],(-0.3170510749839535-0.9484084646667381j),(0.004472926127628552+0.3511192771125427j),(-0.31257814885632496-0.5972891875541955j)
"(-1.3076923076923075, -3.0)",[-1.30769231 -3.        ],(0.6261780494437382-0.7796800949074147j),(0.13724076493319018+0.3311696383319872j),(0.7634188143769284-0.44851045657542754j)
"(-1.1538461538461537, -3.0)",[-1.15384615 -3.        ],(0.9944815197952718+0.10491190011474566j),(0.23947274255798778+0.2744118849370695j),(1.2339542623532596+0.37932378505181513j)
"(-1.0, -3.0)",[-1. -3.],(0.44970134126633127+0.8931789874729827j),(0.30604944599469713+0.20400167923115317j),(0.7557507872610284+1.097180666704136j)
"(-0.8461538461538458, -3.0)",[-0.84615385 -3.        ],(-0.5079723233823321+0.8613733909737143j),(0.3417131299769751+0.13880402134988704j),(-0.166259193405357+1.0001774123236014j)
"(-0.6923076923076921, -3.0)",[-0.69230769 -3.        ],(-0.9992509738132139+0.03869743316220923j),(0.35550873513786874+0.09117516455576587j),(-0.6437422386753452+0.1298725977179751j)
"(-0.5384615384615383, -3.0)",[-0.53846154 -3.        ],(-0.5730668990397428-0.8195085900861401j),(0.3560645450451836+0.0675633061356092j),(-0.21700235399455925-0.7519452839505308j)
"(-0.3846153846153846, -3.0)",[-0.38461538 -3.        ],(0.37927880348881066-0.9252824375422329j),(0.34850289738169365+0.07020777244179283j),(0.7277817008705043-0.8550746651004402j)
"(-0.23076923076923084, -3.0)",[-0.23076923 -3.        ],(0.9833895042207711-0.181507804208045j),(0.3329435375248493+0.09845433714798885j),(1.3163330417456205-0.08305346706005615j)
"(-0.07692307692307665, -3.0)",[-0.07692308 -3.        ],(0.6846006950960638+0.7289183001365697j),(0.30438585453588957+0.14878836685444338j),(0.9889865496319534+0.8777066669910131j)
"(0.0769230769230771, -3.0)",[ 0.07692308 -3.        ],(-0.24275454614606543+0.9700877436218941j),(0.2540730949789693+0.2134227538771723j),(0.011318548832903869+1.1835104974990664j)
"(0.23076923076923084, -3.0)",[ 0.23076923 -3.        ],(-0.9472245930780933+0.3205706946494653j),(0.17284163481616954+0.2781850720572965j),(-0.7743829582619237+0.5987557667067618j)
"(0.384615384615385, -3.0)",[ 0.38461538 -3.        ],(-0.7819999593738021-0.6232784799264066j),(0.056848024702000136+0.3215272169748301j),(-0.725151934671802-0.3017512629515765j)
"(0.5384615384615388, -3.0)",[ 0.53846154 -3.        ],(0.10121828418299657-0.9948642414656635j),(-0.0851397381842346+0.3173304092629365j),(0.01607854599876196-0.6775338322027271j)
"(0.6923076923076925, -3.0)",[ 0.69230769 -3.        ],(0.8915029151833175-0.4530149580528735j),(-0.22607092338764584+0.24377233187439373j),(0.6654319917956717-0.20924262617847977j)
"(0.8461538461538463, -3.0)",[ 0.84615385 -3.        ],(0.8632537488429478+0.5047702102032139j),(-0.32209888409243087+0.09763114417806484j),(0.5411548647505169+0.6024013543812787j)
"(1.0, -3.0)",[ 1. -3.],(0.04240776977795813+0.999100385878446j),(-0.3264408991299014-0.09202437750697909j),(-0.28403312935194325+0.9070760083714668j)
"(1.1538461538461542, -3.0)",[ 1.15384615 -3.        ],(-0.8173749219347579+0.5761060987284793j),(-0.21509009402913157-0.26194264862607064j),(-1.0324650159638895+0.31416345010240865j)
"(1.3076923076923084, -3.0)",[ 1.30769231 -3.        ],(-0.9266844662156044-0.37584025871997856j),(-0.01317953362696173-0.3349580550537871j),(-0.9398639998425662-0.7107983137737657j)
"(1.4615384615384617, -3.0)",[ 1.46153846 -3.        ],(-0.18515825645731304-0.9827087157778178j),(0.19826234093055972-0.2613399068545094j),(0.01310408447324668-1.2440486226323273j)
"(1.6153846153846159, -3.0)",[ 1.61538462 -3.        ],(0.7263710886646181-0.6873027291901128j),(0.3121136130929193-0.060991491457879646j),(1.0384847017575374-0.7482942206479924j)
