index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)"
"(0,)",(-0.002177716933731884+0.028137177940086033j),(-0.0003656027083272829+0.003899887425514932j),(-0.002181963873128024+0.0012913004299469006j),(0.004305177660044632-0.0030546919811289207j),(0.0010366857717885591+0.009396457021800902j),(-0.010608476631548156+0.007649196002132607j),(-0.010608476631548158+0.007649196002132606j),(0.001036685771788549+0.009396457021800907j),(0.004305177660044637-0.0030546919811289216j),(-0.0021819638731280216+0.0012913004299469045j),(0.0016916968688416782+0.003750080011342267j)
"(1,)",(-0.0003656027083272829+0.003899887425514932j),(-0.004056841364674408+0.026122633069835723j),(8.42543936254037e-05+0.004138114884126192j),(-0.0016105099879529035+0.0008283341108672606j),(0.0033840500983633066-0.0025043129803589176j),(0.001214618368739516+0.007866428887125802j),(-0.008804555752116241+0.007018802641806606j),(-0.008804555752116245+0.007018802641806608j),(0.0012146183687395248+0.007866428887125802j),(0.0033840500983632997-0.0025043129803589193j),(-0.0016105099879528976+0.0008283341108672624j)
"(2,)",(-0.002181963873128024+0.0012913004299469006j),(8.42543936254037e-05+0.004138114884126192j),(-0.004056841364674399+0.026122633069835696j),(8.425439362540164e-05+0.00413811488412619j),(-0.0016105099879528983+0.0008283341108672565j),(0.0033840500983633066-0.0025043129803589185j),(0.001214618368739524+0.007866428887125791j),(-0.008804555752116233+0.007018802641806611j),(-0.008804555752116234+0.0070188026418066115j),(0.0012146183687395237+0.007866428887125791j),(0.0033840500983633023-0.0025043129803589206j)
"(3,)",(0.004305177660044632-0.0030546919811289207j),(-0.0016105099879529035+0.0008283341108672606j),(8.425439362540164e-05+0.00413811488412619j),(-0.0040568413646744+0.02612263306983569j),(8.42543936254037e-05+0.004138114884126191j),(-0.0016105099879529065+0.000828334110867259j),(0.0033840500983633036-0.0025043129803589193j),(0.001214618368739527+0.007866428887125795j),(-0.008804555752116234+0.007018802641806614j),(-0.008804555752116236+0.007018802641806608j),(0.0012146183687395263+0.007866428887125791j)
"(4,)",(0.0010366857717885591+0.009396457021800902j),(0.0033840500983633066-0.0025043129803589176j),(-0.0016105099879528983+0.0008283341108672565j),(8.42543936254037e-05+0.004138114884126191j),(-0.004056841364674403+0.026122633069835696j),(8.425439362539982e-05+0.0041381148841261916j),(-0.0016105099879529013+0.0008283341108672576j),(0.003384050098363301-0.0025043129803589267j),(0.001214618368739531+0.007866428887125798j),(-0.008804555752116236+0.007018802641806606j),(-0.008804555752116229+0.007018802641806604j)
"(5,)",(-0.010608476631548156+0.007649196002132607j),(0.001214618368739516+0.007866428887125802j),(0.0033840500983633066-0.0025043129803589185j),(-0.0016105099879529065+0.000828334110867259j),(8.425439362539982e-05+0.0041381148841261916j),(-0.004056841364674397+0.026122633069835692j),(8.425439362540125e-05+0.0041381148841261855j),(-0.001610509987952897+0.0008283341108672613j),(0.0033840500983633036-0.0025043129803589176j),(0.0012146183687395114+0.007866428887125796j),(-0.00880455575211623+0.0070188026418065924j)
"(6,)",(-0.010608476631548158+0.007649196002132606j),(-0.008804555752116241+0.007018802641806606j),(0.001214618368739524+0.007866428887125791j),(0.0033840500983633036-0.0025043129803589193j),(-0.0016105099879529013+0.0008283341108672576j),(8.425439362540125e-05+0.0041381148841261855j),(-0.004056841364674399+0.026122633069835692j),(8.425439362540188e-05+0.004138114884126193j),(-0.0016105099879528987+0.0008283341108672577j),(0.0033840500983633127-0.0025043129803589102j),(0.001214618368739511+0.007866428887125791j)
"(7,)",(0.001036685771788549+0.009396457021800907j),(-0.008804555752116245+0.007018802641806608j),(-0.008804555752116233+0.007018802641806611j),(0.001214618368739527+0.007866428887125795j),(0.003384050098363301-0.0025043129803589267j),(-0.001610509987952897+0.0008283341108672613j),(8.425439362540188e-05+0.004138114884126193j),(-0.004056841364674404+0.026122633069835702j),(8.425439362540527e-05+0.004138114884126195j),(-0.0016105099879529104+0.000828334110867252j),(0.0033840500983633184-0.0025043129803589137j)
"(8,)",(0.004305177660044637-0.0030546919811289216j),(0.0012146183687395248+0.007866428887125802j),(-0.008804555752116234+0.0070188026418066115j),(-0.008804555752116234+0.007018802641806614j),(0.001214618368739531+0.007866428887125798j),(0.0033840500983633036-0.0025043129803589176j),(-0.0016105099879528987+0.0008283341108672577j),(8.425439362540527e-05+0.004138114884126195j),(-0.004056841364674409+0.026122633069835706j),(8.425439362540602e-05+0.004138114884126202j),(-0.001610509987952908+0.0008283341108672527j)
"(9,)",(-0.0021819638731280216+0.0012913004299469045j),(0.0033840500983632997-0.0025043129803589193j),(0.0012146183687395237+0.007866428887125791j),(-0.008804555752116236+0.007018802641806608j),(-0.008804555752116236+0.007018802641806606j),(0.0012146183687395114+0.007866428887125796j),(0.0033840500983633127-0.0025043129803589102j),(-0.0016105099879529104+0.000828334110867252j),(8.425439362540602e-05+0.004138114884126202j),(-0.004056841364674404+0.026122633069835702j),(8.425439362540215e-05+0.004138114884126189j)
"(10,)",(0.0016916968688416782+0.003750080011342267j),(-0.0016105099879528976+0.0008283341108672624j),(0.0033840500983633023-0.0025043129803589206j),(0.0012146183687395263+0.007866428887125791j),(-0.008804555752116229+0.007018802641806604j),(-0.00880455575211623+0.0070188026418065924j),(0.001214618368739511+0.007866428887125791j),(0.0033840500983633184-0.0025043129803589137j),(-0.001610509987952908+0.0008283341108672527j),(8.425439362540215e-05+0.004138114884126189j),(-0.004056841364674393+0.026122633069835692j)
