index,x,value
"(-3.0, -3.0)","(-3.0, -3.0)",(0.03704091247113359+0.26643152213109916j)
"(-2.8461538461538463, -3.0)","(-2.8461538461538463, -3.0)",(0.21688827083442333+0.16985988296739166j)
"(-2.6923076923076925, -3.0)","(-2.6923076923076925, -3.0)",(0.2816462436802646-0.021529148480900616j)
"(-2.5384615384615383, -3.0)","(-2.5384615384615383, -3.0)",(0.204649786746298-0.2054111034356478j)
"(-2.3846153846153846, -3.0)","(-2.3846153846153846, -3.0)",(0.03109868595478037-0.2963284476856566j)
"(-2.230769230769231, -3.0)","(-2.230769230769231, -3.0)",(-0.15756048211912924-0.2628247299471096j)
"(-2.0769230769230766, -3.0)","(-2.0769230769230766, -3.0)",(-0.28752580797443633-0.12944717474937087j)
"(-1.923076923076923, -3.0)","(-1.923076923076923, -3.0)",(-0.3210733040668072+0.046936529083759934j)
"(-1.7692307692307692, -3.0)","(-1.7692307692307692, -3.0)",(-0.26137124580020643+0.20749871813425882j)
"(-1.6153846153846154, -3.0)","(-1.6153846153846154, -3.0)",(-0.13952908048747123+0.3130513368960137j)
"(-1.4615384615384615, -3.0)","(-1.4615384615384615, -3.0)",(0.004472926127628552+0.3511192771125427j)
"(-1.3076923076923075, -3.0)","(-1.3076923076923075, -3.0)",(0.13724076493319018+0.3311696383319872j)
"(-1.1538461538461537, -3.0)","(-1.1538461538461537, -3.0)",(0.23947274255798778+0.2744118849370695j)
"(-1.0, -3.0)","(-1.0, -3.0)",(0.30604944599469713+0.20400167923115317j)
"(-0.8461538461538458, -3.0)","(-0.8461538461538458, -3.0)",(0.3417131299769751+0.13880402134988704j)
"(-0.6923076923076921, -3.0)","(-0.6923076923076921, -3.0)",(0.35550873513786874+0.09117516455576587j)
"(-0.5384615384615383, -3.0)","(-0.5384615384615383, -3.0)",(0.3560645450451836+0.0675633061356092j)
"(-0.3846153846153846, -3.0)","(-0.3846153846153846, -3.0)",(0.34850289738169365+0.07020777244179283j)
"(-0.23076923076923084, -3.0)","(-0.23076923076923084, -3.0)",(0.3329435375248493+0.09845433714798885j)
"(-0.07692307692307665, -3.0)","(-0.07692307692307665, -3.0)",(0.30438585453588957+0.14878836685444338j)
"(0.0769230769230771, -3.0)","(0.0769230769230771, -3.0)",(0.2540730949789693+0.2134227538771723j)
"(0.23076923076923084, -3.0)","(0.23076923076923084, -3.0)",(0.17284163481616954+0.2781850720572965j)
"(0.384615384615385, -3.0)","(0.384615384615385, -3.0)",(0.056848024702000136+0.3215272169748301j)
"(0.5384615384615388, -3.0)","(0.5384615384615388, -3.0)",(-0.0851397381842346+0.3173304092629365j)
"(0.6923076923076925, -3.0)","(0.6923076923076925, -3.0)",(-0.22607092338764584+0.24377233187439373j)
"(0.8461538461538463, -3.0)","(0.8461538461538463, -3.0)",(-0.32209888409243087+0.09763114417806484j)
"(1.0, -3.0)","(1.0, -3.0)",(-0.3264408991299014-0.09202437750697909j)
"(1.1538461538461542, -3.0)","(1.1538461538461542, -3.0)",(-0.21509009402913157-0.26194264862607064j)
"(1.3076923076923084, -3.0)","(1.3076923076923084, -3.0)",(-0.01317953362696173-0.3349580550537871j)
"(1.4615384615384617, -3.0)","(1.4615384615384617, -3.0)",(0.19826234093055972-0.2613399068545094j)
"(1.6153846153846159, -3.0)","(1.6153846153846159, -3.0)",(0.3121136130929193-0.060991491457879646j)
"(1.7692307692307692, -3.0)","(1.7692307692307692, -3.0)",(0.2568034252123501+0.1667745251124004j)
"(1.9230769230769234, -3.0)","(1.9230769230769234, -3.0)",(0.05463496215434621+0.28868486992144904j)
"(2.0769230769230775, -3.0)","(2.0769230769230775, -3.0)",(-0.17221846552333023+0.22326666974805176j)
"(2.230769230769231, -3.0)","(2.230769230769231, -3.0)",(-0.2713770432642935+0.010094514876832186j)
"(2.384615384615385, -3.0)","(2.384615384615385, -3.0)",(-0.17020635895334912-0.200614048031679j)
"(2.5384615384615383, -3.0)","(2.5384615384615383, -3.0)",(0.05691254662099645-0.25025773779062377j)
"(2.6923076923076925, -3.0)","(2.6923076923076925, -3.0)",(0.23194918560039945-0.09856534501192889j)
"(2.8461538461538467, -3.0)","(2.8461538461538467, -3.0)",(0.21107386636321174+0.13173922406738703j)
"(3.0, -3.0)","(3.0, -3.0)",(0.01015974949455391+0.2463447881599646j)
"(-3.0, -2.8461538461538463)","(-3.0, -2.8461538461538463)",(0.22447264568513062+0.15140050438696806j)
"(-2.8461538461538463, -2.8461538461538463)","(-2.8461538461538463, -2.8461538461538463)",(0.2718269316969293-0.05483405792569859j)
"(-2.6923076923076925, -2.8461538461538463)","(-2.6923076923076925, -2.8461538461538463)",(0.16210558198837263-0.2336400148295667j)
"(-2.5384615384615383, -2.8461538461538463)","(-2.5384615384615383, -2.8461538461538463)",(-0.03757792846105978-0.28956773410365066j)
"(-2.3846153846153846, -2.8461538461538463)","(-2.3846153846153846, -2.8461538461538463)",(-0.22207722880304162-0.20200295226667955j)
"(-2.230769230769231, -2.8461538461538463)","(-2.230769230769231, -2.8461538461538463)",(-0.3082627826233442-0.021299456990379217j)
"(-2.0769230769230766, -2.8461538461538463)","(-2.0769230769230766, -2.8461538461538463)",(-0.2692180317527665+0.16987092955150682j)
"(-1.923076923076923, -2.8461538461538463)","(-1.923076923076923, -2.8461538461538463)",(-0.13262768005632866+0.30010442933482206j)
"(-1.7692307692307692, -2.8461538461538463)","(-1.7692307692307692, -2.8461538461538463)",(0.044684318978671464+0.3351739207885226j)
"(-1.6153846153846154, -2.8461538461538463)","(-1.6153846153846154, -2.8461538461538463)",(0.20648141984332094+0.28031321370846973j)
"(-1.4615384615384615, -2.8461538461538463)","(-1.4615384615384615, -2.8461538461538463)",(0.31676580320916714+0.16625492428529526j)
"(-1.3076923076923075, -2.8461538461538463)","(-1.3076923076923075, -2.8461538461538463)",(0.3651018741465463+0.03080047238613352j)
"(-1.1538461538461537, -2.8461538461538463)","(-1.1538461538461537, -2.8461538461538463)",(0.36117162096881655-0.09517115744514522j)
"(-1.0, -2.8461538461538463)","(-1.0, -2.8461538461538463)",(0.3249592818259276-0.19386542909201485j)
"(-0.8461538461538458, -2.8461538461538463)","(-0.8461538461538458, -2.8461538461538463)",(0.2778337787667994-0.25995190221710796j)
"(-0.6923076923076921, -2.8461538461538463)","(-0.6923076923076921, -2.8461538461538463)",(0.23705151430252713-0.2961727721094599j)
"(-0.5384615384615383, -2.8461538461538463)","(-0.5384615384615383, -2.8461538461538463)",(0.21372192781395394-0.30809660968890085j)
"(-0.3846153846153846, -2.8461538461538463)","(-0.3846153846153846, -2.8461538461538463)",(0.21288844918349673-0.2998855757648631j)
"(-0.23076923076923084, -2.8461538461538463)","(-0.23076923076923084, -2.8461538461538463)",(0.23408895847370684-0.2719167597104751j)
"(-0.07692307692307665, -2.8461538461538463)","(-0.07692307692307665, -2.8461538461538463)",(0.2712591830649731-0.22057996835593857j)
"(0.0769230769230771, -2.8461538461538463)","(0.0769230769230771, -2.8461538461538463)",(0.31184505630476583-0.1405210107274786j)
"(0.23076923076923084, -2.8461538461538463)","(0.23076923076923084, -2.8461538461538463)",(0.3362884930320592-0.029517731096627402j)
"(0.384615384615385, -2.8461538461538463)","(0.384615384615385, -2.8461538461538463)",(0.3202532040627897+0.10465662566457752j)
"(0.5384615384615388, -2.8461538461538463)","(0.5384615384615388, -2.8461538461538463)",(0.2421420747623392+0.23804721657144703j)
"(0.6923076923076925, -2.8461538461538463)","(0.6923076923076925, -2.8461538461538463)",(0.09629215799018079+0.3301856163611721j)
"(0.8461538461538463, -2.8461538461538463)","(0.8461538461538463, -2.8461538461538463)",(-0.09286447976169229+0.33537628761598703j)
"(1.0, -2.8461538461538463)","(1.0, -2.8461538461538463)",(-0.26628750539329094+0.22679860512699612j)
"(1.1538461538461542, -2.8461538461538463)","(1.1538461538461542, -2.8461538461538463)",(-0.34713514315947636+0.02412771011703454j)
"(1.3076923076923084, -2.8461538461538463)","(1.3076923076923084, -2.8461538461538463)",(-0.28076059629898864-0.19547066824479006j)
"(1.4615384615384617, -2.8461538461538463)","(1.4615384615384617, -2.8461538461538463)",(-0.07996583901273976-0.32279718612064295j)
"(1.6153846153846159, -2.8461538461538463)","(1.6153846153846159, -2.8461538461538463)",(0.15899706842847747-0.2781197147005627j)
"(1.7692307692307692, -2.8461538461538463)","(1.7692307692307692, -2.8461538461538463)",(0.297556748917341-0.07524208062280255j)
"(1.9230769230769234, -2.8461538461538463)","(1.9230769230769234, -2.8461538461538463)",(0.2431309568777611+0.1647336069642317j)
"(2.0769230769230775, -2.8461538461538463)","(2.0769230769230775, -2.8461538461538463)",(0.027158393107650548+0.280521837767526j)
"(2.230769230769231, -2.8461538461538463)","(2.230769230769231, -2.8461538461538463)",(-0.19760771989492137+0.1870779016922077j)
