index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)"
"(-3.0, -3.0)",(0.009728112517591463+0.004920975153779414j),(-0.003136293994621406+0.010952346646101957j),(-0.006458841359322764+0.01009180837676344j),(0.003004122053788939+0.0098948610414099j),(0.006102336687662357-0.00471253113002627j),(-0.005436412406371935+0.0018174441411022279j),(0.00486873365423525-0.0025618792702802435j),(-0.007319334790095529+0.0031871203162632373j),(0.009692758738777086+0.008641456258413492j),(0.014131220794765594+0.00438369123632561j),(0.0001579507032857616+0.010362972815234755j),(-0.0032284549403967344-0.00546130562017817j),(0.001971090235690767+0.0049646278239761105j),(-0.002543701223771765-0.006046245708661884j)
"(-2.8461538461538463, -3.0)",(0.009825348030028425-0.004679772568559698j),(0.00622834499736175+0.009568008630566028j),(0.002652628075981756+0.01184696059978993j),(0.009008404790435444+0.005601171996557358j),(0.0020421940006779726-0.007708323183359436j),(-0.0035471898478638382+0.004711822119498627j),(0.0026401025799708227-0.004842449671242043j),(-0.003932857983829564+0.006765360727579359j),(0.01287543913741929+5.322488644081465e-05j),(0.01310011986036814-0.007599164908552234j),(0.008655360877327082+0.006466617535734894j),(-0.006542384278113195-0.000453307091316026j),(0.005279262610881539+0.001146149805764309j),(-0.006389833117137615-0.0014080963963616691j)
"(-2.6923076923076925, -3.0)",(0.0024473594894713208-0.010576092276023182j),(0.011293881352457989+0.001753004621933921j),(0.01028235897938421+0.006735214342300595j),(0.010770768680877459-0.0015316936617120478j),(-0.0029800400708725775-0.007695563033431024j),(-0.00043780365210827857+0.006062960295650395j),(-0.000297867744755243-0.0055311212679185606j),(0.0005386287260064755+0.00764221203941951j),(0.009845509859736248-0.008062919212058706j),(0.0037753546590669354-0.015012695863691127j),(0.010924543702098407-0.002806269069864143j),(-0.004311652923687275+0.0052507661232824325j),(0.003990806606270467-0.0037392694210296525j),(-0.004877561112406577+0.00433267397318519j)
"(-2.5384615384615383, -3.0)",(-0.006603406085677411-0.008570477159172094j),(0.008968922337299573-0.007083377795486105j),(0.01225409961956311-0.002110475070312571j),(0.007647612075561559-0.008118808679575236j),(-0.007051574793205013-0.004825318847353023j),(0.0028418677142170645+0.0055957795532598515j),(-0.003010620348424053-0.004691692579086877j),(0.004401941449580355+0.0060630290434683255j),(0.002869735093089035-0.012200735326628891j),(-0.007872945515750289-0.013691196480553149j),(0.005122525890305048-0.010619787514091265j),(0.0017316074436974304+0.006839893115541492j),(-0.0007462801343537733-0.0054922005279379625j),(0.0005531359874118779+0.006478668449760228j)
"(-2.3846153846153846, -3.0)",(-0.010762003467860227-0.0005018474458546398j),(0.001120968505764962-0.011358868491840729j),(0.0078154030933884-0.009840085002939182j),(0.0012135081083553458-0.011364531999222459j),(-0.008846746716974819-0.0002438015092941939j),(0.005387106195036949+0.0036204139022391092j),(-0.004875297492772266-0.0028025962935875007j),(0.006663703022127356+0.0030343119278894177j),(-0.004591263918595939-0.01140863107241842j),(-0.015286243428196167-0.004971176487731476j),(-0.0047443542768477905-0.01139109731514376j),(0.006747852143661563+0.002903891478083806j),(-0.004942166000929741-0.0026862275498463523j),(0.005451435845193834+0.0034995449384512575j)
"(-2.230769230769231, -3.0)",(-0.007438989266279567+0.007716268088303255j),(-0.0072092072252895305-0.008809948092372155j),(-0.0004444530013740849-0.01267667412992156j),(-0.005779814853657917-0.010177125816164057j),(-0.007980094038810217+0.00451437581125691j),(0.006677214638266385+0.0007850203598963794j),(-0.005667847895102397-0.0004726573027454131j),(0.007146110184504189-0.0003097980800128996j),(-0.009795001001099953-0.0069633115124793565j),(-0.01512934675912616+0.006094400780228604j),(-0.012093161433494386-0.004564199619891021j),(0.006771509239453881-0.0036015250659386325j),(-0.005212953123475553+0.0023486743705528937j),(0.006107372539657784-0.0020796019778237546j)
"(-2.0769230769230766, -3.0)",(0.0006854792225922408+0.010630314509176328j),(-0.011251952342722839-0.0013793493109103847j),(-0.008404259992218645-0.009637257239653129j),(-0.0107349970194351-0.00530700413313132j),(-0.004926701214565044+0.008120978187341688j),(0.006616798650761699-0.002204264301939322j),(-0.005487420142816657+0.0017788501172593119j),(0.006242329020080098-0.003141688706507967j),(-0.011642587289118196-0.0011077905868751127j),(-0.008355802996189238+0.014215458231313911j),(-0.012357549670465802+0.005551728739677548j),(0.0016787277439859816-0.007853423180040588j),(-0.001411380822870049+0.005648861945812963j),(0.0022701625330607124-0.006009256681066989j)
"(-1.923076923076923, -3.0)",(0.008121849660517561+0.0067741260152863435j),(-0.009182899557324407+0.0065339679867257895j),(-0.012622004104262457-0.002520828645776961j),(-0.012170366092233986+0.0013054541387797496j),(-0.000667141220754124+0.009816041237723483j),(0.005434357103675191-0.0047901275327392415j),(-0.004611956310954303+0.003628304887569395j),(0.004565931691370727-0.0050825823914446j),(-0.010534706101307701+0.004177536022450099j),(0.0013293668478947692+0.016542599883680405j),(-0.0055456859723095045+0.013072215978922816j),(-0.004997221675510376-0.006794798108498722j),(0.003535427458977572+0.0047759635097864165j),(-0.0030721064905602285-0.005608561349452045j)
"(-1.7692307692307692, -3.0)",(0.01044256967407213-0.0009867410368086522j),(-0.0026163767620024964+0.010874268613786833j),(-0.011744725467359312+0.005418692151490899j),(-0.010006582536012639+0.00748397942348628j),(0.0037296463864596374+0.009479469987615202j),(0.00352288754936478-0.006658008279643285j),(-0.003362452292163511+0.0049543627047910375j),(0.0026789420706387003-0.006128680671556521j),(-0.0076548120797389155+0.007809965238113837j),(0.009958817656333+0.013300999094950127j),(0.004485877185648209+0.014183417768120033j),(-0.008820159690623214-0.0010803710178044644j),(0.006062621117946793+0.0004517723867060593j),(-0.006200753956031738-0.0014400556406516762j)
"(-1.6153846153846154, -3.0)",(0.0067795610620357384-0.007875348157369936j),(0.004862093289791351+0.00995415571524448j),(-0.0066460019048784165+0.011142466978529861j),(-0.00525830738862381+0.011602046907288995j),(0.007422567378560676+0.007483441958520798j),(0.0012934507465190244-0.007731572374801677j),(-0.002014710747703657+0.005787590428508371j),(0.000962862871829636-0.006490086350673427j),(-0.004244129294546826+0.009616373388319851j),(0.015105691660536193+0.0067291200393668526j),(0.012835870664349141+0.008801476216937441j),(-0.007422228504763007+0.005753039406666694j),(0.004524427619330019-0.004294171067560844j),(-0.005264447312580675+0.0035288736117806757j)
