index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)"
"(0,)",(0.0006237600993960158+0.02352409330319961j),(-0.002434451349552479+0.0020448692901403106j),(0.0021796203722587496+0.0021472677616717318j),(-0.0033282185934860467-0.0019856384522440743j),(0.004999639162208231-0.001381255044879389j),(0.0008145985725817832+0.006722788353743288j),(-0.00654368488714787+0.004838989291699069j),(-0.00834638518638199+0.0024111284992447734j),(-0.006543684887147873+0.004838989291699066j),(0.0008145985725817772+0.0067227883537432885j),(0.004999639162208223-0.001381255044879388j),(-0.003328218593486045-0.0019856384522440648j),(0.0021796203722587535+0.0021472677616717326j),(-0.002305399379029087+0.00230574660641772j)
"(1,)",(-0.002434451349552479+0.0020448692901403106j),(-0.0007959741464038566+0.02211094316370813j),(-0.0020320842255938604+0.00219388486222549j),(0.001683646816887323+0.0016063052166410852j),(-0.002683625396743842-0.001532510732657846j),(0.004105558203483777-0.0012408332655561374j),(0.0008486337422452664+0.00566607532490138j),(-0.00547843655770571+0.004310243658975672j),(-0.0071102144199752075+0.0022894377049258413j),(-0.005478436557705713+0.004310243658975668j),(0.0008486337422452504+0.005666075324901375j),(0.0041055582034837754-0.0012408332655561276j),(-0.002683625396743845-0.0015325107326578536j),(0.0016836468168873193+0.0016063052166410921j)
"(2,)",(0.0021796203722587496+0.0021472677616717318j),(-0.0020320842255938604+0.00219388486222549j),(-0.0007959741464038548+0.022110943163708114j),(-0.00203208422559386+0.00219388486222549j),(0.0016836468168873232+0.001606305216641078j),(-0.002683625396743847-0.0015325107326578389j),(0.004105558203483772-0.0012408332655561402j),(0.0008486337422452623+0.005666075324901377j),(-0.005478436557705707+0.0043102436589756744j),(-0.007110214419975199+0.002289437704925838j),(-0.005478436557705707+0.004310243658975666j),(0.0008486337422452555+0.005666075324901382j),(0.004105558203483783-0.001240833265556126j),(-0.002683625396743838-0.0015325107326578575j)
"(3,)",(-0.0033282185934860467-0.0019856384522440743j),(0.001683646816887323+0.0016063052166410852j),(-0.00203208422559386+0.00219388486222549j),(-0.0007959741464038567+0.022110943163708114j),(-0.0020320842255938626+0.002193884862225492j),(0.00168364681688733+0.0016063052166410809j),(-0.002683625396743846-0.001532510732657841j),(0.004105558203483779-0.0012408332655561322j),(0.0008486337422452585+0.005666075324901383j),(-0.005478436557705705+0.004310243658975668j),(-0.0071102144199752+0.002289437704925837j),(-0.005478436557705712+0.004310243658975669j),(0.0008486337422452473+0.005666075324901378j),(0.00410555820348378-0.0012408332655561162j)
"(4,)",(0.004999639162208231-0.001381255044879389j),(-0.002683625396743842-0.001532510732657846j),(0.0016836468168873232+0.001606305216641078j),(-0.0020320842255938626+0.002193884862225492j),(-0.0007959741464038465+0.022110943163708107j),(-0.002032084225593865+0.0021938848622254843j),(0.0016836468168873262+0.001606305216641077j),(-0.0026836253967438425-0.001532510732657846j),(0.004105558203483779-0.0012408332655561348j),(0.0008486337422452603+0.0056660753249013745j),(-0.005478436557705699+0.004310243658975672j),(-0.007110214419975198+0.0022894377049258456j),(-0.005478436557705703+0.004310243658975661j),(0.0008486337422452494+0.005666075324901375j)
"(5,)",(0.0008145985725817832+0.006722788353743288j),(0.004105558203483777-0.0012408332655561374j),(-0.002683625396743847-0.0015325107326578389j),(0.00168364681688733+0.0016063052166410809j),(-0.002032084225593865+0.0021938848622254843j),(-0.0007959741464038525+0.02211094316370811j),(-0.002032084225593858+0.0021938848622254942j),(0.001683646816887321+0.0016063052166410882j),(-0.0026836253967438477-0.0015325107326578517j),(0.004105558203483779-0.0012408332655561357j),(0.0008486337422452649+0.005666075324901374j),(-0.005478436557705705+0.004310243658975675j),(-0.007110214419975194+0.0022894377049258387j),(-0.0054784365577057095+0.004310243658975667j)
"(6,)",(-0.00654368488714787+0.004838989291699069j),(0.0008486337422452664+0.00566607532490138j),(0.004105558203483772-0.0012408332655561402j),(-0.002683625396743846-0.001532510732657841j),(0.0016836468168873262+0.001606305216641077j),(-0.002032084225593858+0.0021938848622254942j),(-0.0007959741464038614+0.02211094316370812j),(-0.0020320842255938582+0.0021938848622254903j),(0.0016836468168873306+0.0016063052166410854j),(-0.00268362539674385-0.0015325107326578417j),(0.004105558203483772-0.0012408332655561413j),(0.0008486337422452705+0.005666075324901378j),(-0.005478436557705697+0.004310243658975677j),(-0.007110214419975202+0.0022894377049258456j)
"(7,)",(-0.00834638518638199+0.0024111284992447734j),(-0.00547843655770571+0.004310243658975672j),(0.0008486337422452623+0.005666075324901377j),(0.004105558203483779-0.0012408332655561322j),(-0.0026836253967438425-0.001532510732657846j),(0.001683646816887321+0.0016063052166410882j),(-0.0020320842255938582+0.0021938848622254903j),(-0.0007959741464038545+0.022110943163708124j),(-0.0020320842255938595+0.002193884862225488j),(0.0016836468168873358+0.0016063052166410822j),(-0.002683625396743848-0.0015325107326578356j),(0.004105558203483771-0.0012408332655561424j),(0.0008486337422452697+0.005666075324901373j),(-0.005478436557705704+0.004310243658975675j)
"(8,)",(-0.006543684887147873+0.004838989291699066j),(-0.0071102144199752075+0.0022894377049258413j),(-0.005478436557705707+0.0043102436589756744j),(0.0008486337422452585+0.005666075324901383j),(0.004105558203483779-0.0012408332655561348j),(-0.0026836253967438477-0.0015325107326578517j),(0.0016836468168873306+0.0016063052166410854j),(-0.0020320842255938595+0.002193884862225488j),(-0.0007959741464038566+0.022110943163708107j),(-0.002032084225593862+0.002193884862225497j),(0.0016836468168873312+0.001606305216641078j),(-0.0026836253967438464-0.0015325107326578406j),(0.004105558203483779-0.001240833265556144j),(0.0008486337422452693+0.005666075324901382j)
"(9,)",(0.0008145985725817772+0.0067227883537432885j),(-0.005478436557705713+0.004310243658975668j),(-0.007110214419975199+0.002289437704925838j),(-0.005478436557705705+0.004310243658975668j),(0.0008486337422452603+0.0056660753249013745j),(0.004105558203483779-0.0012408332655561357j),(-0.00268362539674385-0.0015325107326578417j),(0.0016836468168873358+0.0016063052166410822j),(-0.002032084225593862+0.002193884862225497j),(-0.0007959741464038457+0.022110943163708093j),(-0.0020320842255938673+0.002193884862225487j),(0.001683646816887324+0.0016063052166410837j),(-0.0026836253967438546-0.0015325107326578467j),(0.004105558203483782-0.001240833265556139j)
