index,x,value
"(-3.0, -3.0)","(-3.0, -3.0)",(0.19414549662199238+0.19045161587119067j)
"(-2.8461538461538463, -3.0)","(-2.8461538461538463, -3.0)",(0.268258966639074+0.01695670028572094j)
"(-2.6923076923076925, -3.0)","(-2.6923076923076925, -3.0)",(0.21929008903381542-0.14796567092007096j)
"(-2.5384615384615383, -3.0)","(-2.5384615384615383, -3.0)",(0.0974006714013548-0.242931974963661j)
"(-2.3846153846153846, -3.0)","(-2.3846153846153846, -3.0)",(-0.04073480961564839-0.2607918607615872j)
"(-2.230769230769231, -3.0)","(-2.230769230769231, -3.0)",(-0.16483345421731121-0.22000158720644394j)
"(-2.0769230769230766, -3.0)","(-2.0769230769230766, -3.0)",(-0.2646792458783954-0.13385015515157694j)
"(-1.923076923076923, -3.0)","(-1.923076923076923, -3.0)",(-0.32799478885830907-0.006336241030919031j)
"(-1.7692307692307692, -3.0)","(-1.7692307692307692, -3.0)",(-0.33272243968148624+0.15114709218711922j)
"(-1.6153846153846154, -3.0)","(-1.6153846153846154, -3.0)",(-0.2611156466796872+0.30741656848128235j)
"(-1.4615384615384615, -3.0)","(-1.4615384615384615, -3.0)",(-0.11913012438931288+0.4194040680970675j)
"(-1.3076923076923075, -3.0)","(-1.3076923076923075, -3.0)",(0.05879240162470026+0.45440774582791277j)
"(-1.1538461538461537, -3.0)","(-1.1538461538461537, -3.0)",(0.224409360334071+0.4083191162440358j)
"(-1.0, -3.0)","(-1.0, -3.0)",(0.33840949197849796+0.3068084412136633j)
"(-0.8461538461538458, -3.0)","(-0.8461538461538458, -3.0)",(0.38571668931615744+0.19082540850745694j)
"(-0.6923076923076921, -3.0)","(-0.6923076923076921, -3.0)",(0.3759203287083159+0.09775588211052899j)
"(-0.5384615384615383, -3.0)","(-0.5384615384615383, -3.0)",(0.33219793234870826+0.049196701434052664j)
"(-0.3846153846153846, -3.0)","(-0.3846153846153846, -3.0)",(0.27745552107805593+0.049099523872295235j)
"(-0.23076923076923084, -3.0)","(-0.23076923076923084, -3.0)",(0.224862721611342+0.08902398737115962j)
"(-0.07692307692307665, -3.0)","(-0.07692307692307665, -3.0)",(0.1752523854458273+0.1546886372821522j)
"(0.0769230769230771, -3.0)","(0.0769230769230771, -3.0)",(0.12018765300954938+0.2297288617189099j)
"(0.23076923076923084, -3.0)","(0.23076923076923084, -3.0)",(0.04841382546328459+0.2960628212935731j)
"(0.384615384615385, -3.0)","(0.384615384615385, -3.0)",(-0.0461774170351897+0.3332494796767224j)
"(0.5384615384615388, -3.0)","(0.5384615384615388, -3.0)",(-0.15692461381924344+0.320491350812448j)
"(0.6923076923076925, -3.0)","(0.6923076923076925, -3.0)",(-0.26018341754107877+0.24388667096733177j)
"(0.8461538461538463, -3.0)","(0.8461538461538463, -3.0)",(-0.3189245831794075+0.10791870653087449j)
"(1.0, -3.0)","(1.0, -3.0)",(-0.2973343674098482-0.05508405052596624j)
"(1.1538461538461542, -3.0)","(1.1538461538461542, -3.0)",(-0.18373765432919129-0.1874393238870617j)
"(1.3076923076923084, -3.0)","(1.3076923076923084, -3.0)",(-0.010129906876549244-0.22770360836992345j)
"(1.4615384615384617, -3.0)","(1.4615384615384617, -3.0)",(0.14890253885503785-0.14679224344102998j)
"(1.6153846153846159, -3.0)","(1.6153846153846159, -3.0)",(0.20847380005843263+0.021709466696605277j)
"(1.7692307692307692, -3.0)","(1.7692307692307692, -3.0)",(0.12664608154532855+0.18418955997013756j)
"(1.9230769230769234, -3.0)","(1.9230769230769234, -3.0)",(-0.055040429358318675+0.2350843579793842j)
"(2.0769230769230775, -3.0)","(2.0769230769230775, -3.0)",(-0.22163850903913213+0.12893773423097665j)
"(2.230769230769231, -3.0)","(2.230769230769231, -3.0)",(-0.25428028682753057-0.07461733192645965j)
"(2.384615384615385, -3.0)","(2.384615384615385, -3.0)",(-0.11876485757441417-0.23825249725408998j)
"(2.5384615384615383, -3.0)","(2.5384615384615383, -3.0)",(0.09641733005120999-0.24200727584572276j)
"(2.6923076923076925, -3.0)","(2.6923076923076925, -3.0)",(0.23600953802427965-0.07978578103083395j)
"(2.8461538461538467, -3.0)","(2.8461538461538467, -3.0)",(0.19703025747756356+0.12569951759292983j)
"(3.0, -3.0)","(3.0, -3.0)",(0.01670625719726688+0.21536439755759137j)
