index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)"
"(0,)",(0.002067307748562333+0.02081195520818758j),(-0.0035368692136699955+0.0023002568484769186j),(0.0033764160893810916-4.992610538457655e-05j),(-0.003192614742620968+0.0016807712838426247j),(0.0009077588591118616-0.004088374805132397j),(0.004407281544009427+0.0023216839472557454j),(-0.001525322257272943+0.005612672749743918j),(-0.005737212943717983+0.002975872096373992j),(-0.006574474056813619+0.0013333730754945764j),(-0.0057372129437179824+0.0029758720963739913j),(-0.0015253222572729438+0.005612672749743914j),(0.004407281544009427+0.002321683947255743j),(0.0009077588591118604-0.004088374805132401j),(-0.0031926147426209577+0.0016807712838426323j),(0.0033764160893811-4.992610538458197e-05j),(-0.0032493228470215274+0.0027200438326704913j)
"(1,)",(-0.0035368692136699955+0.0023002568484769186j),(0.000856407121706948+0.019675070779561588j),(-0.0031697331575113027+0.0023803320595594483j),(0.002667453828567847-9.305996801206144e-05j),(-0.002551121631643172+0.001403532554439983j),(0.0006870282082854527-0.0033901289786967765j),(0.0037449985182094743+0.0018753924795377828j),(-0.001191738756028856+0.0048044063754841895j),(-0.0048565105026041975+0.0026628215701835836j),(-0.005618431173179464+0.001276304466932606j),(-0.004856510502604196+0.0026628215701835745j),(-0.0011917387560288603+0.0048044063754841835j),(0.0037449985182094786+0.0018753924795377882j),(0.0006870282082854526-0.0033901289786967726j),(-0.0025511216316431787+0.0014035325544399823j),(0.002667453828567843-9.305996801205618e-05j)
"(2,)",(0.0033764160893810916-4.992610538457655e-05j),(-0.0031697331575113027+0.0023803320595594483j),(0.0008564071217069544+0.019675070779561585j),(-0.0031697331575113036+0.0023803320595594483j),(0.002667453828567847-9.305996801206726e-05j),(-0.00255112163164317+0.001403532554439987j),(0.0006870282082854511-0.0033901289786967765j),(0.0037449985182094725+0.001875392479537782j),(-0.0011917387560288568+0.004804406375484186j),(-0.004856510502604193+0.00266282157018358j),(-0.005618431173179459+0.0012763044669326055j),(-0.004856510502604194+0.0026628215701835767j),(-0.001191738756028861+0.004804406375484196j),(0.003744998518209473+0.0018753924795377823j),(0.0006870282082854593-0.0033901289786967812j),(-0.0025511216316431756+0.0014035325544399723j)
"(3,)",(-0.003192614742620968+0.0016807712838426247j),(0.002667453828567847-9.305996801206144e-05j),(-0.0031697331575113036+0.0023803320595594483j),(0.0008564071217069522+0.019675070779561585j),(-0.0031697331575113027+0.002380332059559451j),(0.002667453828567845-9.305996801206672e-05j),(-0.002551121631643169+0.0014035325544399842j),(0.0006870282082854519-0.0033901289786967756j),(0.003744998518209474+0.001875392479537784j),(-0.001191738756028858+0.0048044063754841835j),(-0.004856510502604191+0.002662821570183577j),(-0.00561843117317946+0.0012763044669326068j),(-0.004856510502604203+0.0026628215701835845j),(-0.001191738756028856+0.0048044063754841835j),(0.0037449985182094743+0.0018753924795377908j),(0.0006870282082854617-0.003390128978696771j)
"(4,)",(0.0009077588591118616-0.004088374805132397j),(-0.002551121631643172+0.001403532554439983j),(0.002667453828567847-9.305996801206726e-05j),(-0.0031697331575113027+0.002380332059559451j),(0.0008564071217069532+0.019675070779561585j),(-0.0031697331575113036+0.0023803320595594474j),(0.002667453828567844-9.30599680120655e-05j),(-0.0025511216316431683+0.0014035325544399847j),(0.0006870282082854526-0.0033901289786967765j),(0.0037449985182094712+0.001875392479537783j),(-0.0011917387560288549+0.004804406375484183j),(-0.004856510502604191+0.0026628215701835823j),(-0.005618431173179467+0.0012763044669326148j),(-0.004856510502604191+0.002662821570183581j),(-0.0011917387560288612+0.004804406375484189j),(0.0037449985182094712+0.0018753924795377871j)
"(5,)",(0.004407281544009427+0.0023216839472557454j),(0.0006870282082854527-0.0033901289786967765j),(-0.00255112163164317+0.001403532554439987j),(0.002667453828567845-9.305996801206672e-05j),(-0.0031697331575113036+0.0023803320595594474j),(0.0008564071217069552+0.019675070779561588j),(-0.0031697331575113044+0.0023803320595594465j),(0.002667453828567843-9.30599680120644e-05j),(-0.002551121631643168+0.0014035325544399834j),(0.0006870282082854538-0.0033901289786967704j),(0.00374499851820947+0.0018753924795377789j),(-0.0011917387560288525+0.004804406375484185j),(-0.004856510502604198+0.0026628215701835893j),(-0.005618431173179457+0.0012763044669326115j),(-0.004856510502604196+0.002662821570183577j),(-0.0011917387560288605+0.004804406375484182j)
"(6,)",(-0.001525322257272943+0.005612672749743918j),(0.0037449985182094743+0.0018753924795377828j),(0.0006870282082854511-0.0033901289786967765j),(-0.002551121631643169+0.0014035325544399842j),(0.002667453828567844-9.30599680120655e-05j),(-0.0031697331575113044+0.0023803320595594465j),(0.0008564071217069561+0.019675070779561585j),(-0.0031697331575113044+0.0023803320595594483j),(0.0026674538285678443-9.305996801206331e-05j),(-0.0025511216316431683+0.0014035325544399786j),(0.0006870282082854524-0.0033901289786967717j),(0.0037449985182094704+0.0018753924795377815j),(-0.0011917387560288588+0.004804406375484193j),(-0.004856510502604191+0.002662821570183578j),(-0.0056184311731794605+0.0012763044669326059j),(-0.004856510502604191+0.002662821570183577j)
"(7,)",(-0.005737212943717983+0.002975872096373992j),(-0.001191738756028856+0.0048044063754841895j),(0.0037449985182094725+0.001875392479537782j),(0.0006870282082854519-0.0033901289786967756j),(-0.0025511216316431683+0.0014035325544399847j),(0.002667453828567843-9.30599680120644e-05j),(-0.0031697331575113044+0.0023803320595594483j),(0.0008564071217069538+0.019675070779561588j),(-0.003169733157511306+0.0023803320595594483j),(0.00266745382856784-9.305996801206228e-05j),(-0.002551121631643167+0.0014035325544399825j),(0.0006870282082854504-0.003390128978696773j),(0.0037449985182094773+0.0018753924795377865j),(-0.0011917387560288581+0.0048044063754841835j),(-0.004856510502604194+0.002662821570183578j),(-0.005618431173179458+0.0012763044669326083j)
"(8,)",(-0.006574474056813619+0.0013333730754945764j),(-0.0048565105026041975+0.0026628215701835836j),(-0.0011917387560288568+0.004804406375484186j),(0.003744998518209474+0.001875392479537784j),(0.0006870282082854526-0.0033901289786967765j),(-0.002551121631643168+0.0014035325544399834j),(0.0026674538285678443-9.305996801206331e-05j),(-0.003169733157511306+0.0023803320595594483j),(0.0008564071217069597+0.01967507077956159j),(-0.0031697331575113053+0.0023803320595594444j),(0.00266745382856784-9.305996801206548e-05j),(-0.002551121631643169+0.001403532554439985j),(0.0006870282082854545-0.0033901289786967804j),(0.003744998518209472+0.0018753924795377839j),(-0.0011917387560288616+0.004804406375484188j),(-0.004856510502604193+0.0026628215701835815j)
"(9,)",(-0.0057372129437179824+0.0029758720963739913j),(-0.005618431173179464+0.001276304466932606j),(-0.004856510502604193+0.00266282157018358j),(-0.001191738756028858+0.0048044063754841835j),(0.0037449985182094712+0.001875392479537783j),(0.0006870282082854538-0.0033901289786967704j),(-0.0025511216316431683+0.0014035325544399786j),(0.00266745382856784-9.305996801206228e-05j),(-0.0031697331575113053+0.0023803320595594444j),(0.0008564071217069507+0.01967507077956158j),(-0.0031697331575113014+0.0023803320595594513j),(0.00266745382856784-9.305996801206838e-05j),(-0.0025511216316431717+0.0014035325544399853j),(0.0006870282082854545-0.003390128978696767j),(0.0037449985182094734+0.001875392479537786j),(-0.0011917387560288538+0.004804406375484183j)
