index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)"
"(0,)",(0.0013977234815995701+0.022137048772422944j),(-0.003064070991212775+0.002082022319977892j),(0.003037517707230814+0.0011172477491721677j),(-0.003719886650224994+3.617633584615575e-06j),(0.0031161775047066366-0.003389038932527292j),(0.0032355291520446364+0.004731049763277714j),(-0.004023532668630229+0.005512436581147705j),(-0.007141199082964821+0.0023292799027417065j),(-0.007141199082964815+0.002329279902741707j),(-0.00402353266863023+0.005512436581147709j),(0.0032355291520446243+0.004731049763277716j),(0.003116177504706645-0.0033890389325272846j),(-0.003719886650225001+3.6176335846123224e-06j),(0.003037517707230818+0.0011172477491721649j),(-0.003038643013856557+0.0024360381348757123j)
"(1,)",(-0.003064070991212775+0.002082022319977892j),(8.89828291398027e-05+0.020871948247264516j),(-0.0026780585619732163+0.0021955738970500147j),(0.0023769674171026382+0.0008215412733517928j),(-0.002982986448848602+5.95432874772079e-05j),(0.002514452327088866-0.0028518667319239258j),(0.002821744810288019+0.0039216175455113024j),(-0.0033125162755585115+0.004792127359936624j),(-0.006076959489227071+0.002161001299212446j),(-0.006076959489227077+0.0021610012992124535j),(-0.003312516275558508+0.004792127359936619j),(0.0028217448102880174+0.003921617545511305j),(0.0025144523270888676-0.0028518667319239284j),(-0.0029829864488486067+5.954328747721454e-05j),(0.002376967417102641+0.0008215412733517884j)
"(2,)",(0.003037517707230814+0.0011172477491721677j),(-0.0026780585619732163+0.0021955738970500147j),(8.898282913980587e-05+0.02087194824726451j),(-0.002678058561973217+0.0021955738970500173j),(0.0023769674171026404+0.0008215412733517932j),(-0.002982986448848604+5.954328747721379e-05j),(0.0025144523270888637-0.0028518667319239236j),(0.0028217448102880213+0.003921617545511302j),(-0.0033125162755585063+0.004792127359936622j),(-0.006076959489227074+0.002161001299212454j),(-0.006076959489227068+0.0021610012992124413j),(-0.003312516275558512+0.004792127359936622j),(0.0028217448102880248+0.0039216175455113085j),(0.0025144523270888637-0.0028518667319239292j),(-0.002982986448848599+5.954328747721065e-05j)
"(3,)",(-0.003719886650224994+3.617633584615575e-06j),(0.0023769674171026382+0.0008215412733517928j),(-0.002678058561973217+0.0021955738970500173j),(8.898282913980541e-05+0.020871948247264505j),(-0.002678058561973218+0.0021955738970500164j),(0.0023769674171026395+0.0008215412733517924j),(-0.002982986448848599+5.954328747720988e-05j),(0.0025144523270888676-0.0028518667319239214j),(0.0028217448102880196+0.0039216175455112955j),(-0.0033125162755585063+0.004792127359936626j),(-0.006076959489227064+0.002161001299212447j),(-0.006076959489227074+0.0021610012992124474j),(-0.003312516275558511+0.004792127359936632j),(0.002821744810288026+0.003921617545511301j),(0.0025144523270888594-0.0028518667319239206j)
"(4,)",(0.0031161775047066366-0.003389038932527292j),(-0.002982986448848602+5.95432874772079e-05j),(0.0023769674171026404+0.0008215412733517932j),(-0.002678058561973218+0.0021955738970500164j),(8.898282913980637e-05+0.020871948247264505j),(-0.002678058561973218+0.002195573897050018j),(0.0023769674171026395+0.0008215412733517944j),(-0.0029829864488486045+5.95432874772052e-05j),(0.002514452327088866-0.0028518667319239193j),(0.0028217448102880217+0.003921617545511301j),(-0.0033125162755585033+0.004792127359936617j),(-0.006076959489227073+0.002161001299212446j),(-0.006076959489227084+0.00216100129921245j),(-0.0033125162755585132+0.004792127359936627j),(0.0028217448102880157+0.003921617545511297j)
"(5,)",(0.0032355291520446364+0.004731049763277714j),(0.002514452327088866-0.0028518667319239258j),(-0.002982986448848604+5.954328747721379e-05j),(0.0023769674171026395+0.0008215412733517924j),(-0.002678058561973218+0.002195573897050018j),(8.898282913980596e-05+0.02087194824726451j),(-0.002678058561973215+0.002195573897050017j),(0.002376967417102641+0.0008215412733517963j),(-0.002982986448848598+5.954328747720604e-05j),(0.002514452327088867-0.002851866731923927j),(0.002821744810288021+0.003921617545511293j),(-0.0033125162755585046+0.004792127359936626j),(-0.006076959489227085+0.0021610012992124574j),(-0.00607695948922708+0.0021610012992124518j),(-0.003312516275558504+0.0047921273599366215j)
"(6,)",(-0.004023532668630229+0.005512436581147705j),(0.002821744810288019+0.0039216175455113024j),(0.0025144523270888637-0.0028518667319239236j),(-0.002982986448848599+5.954328747720988e-05j),(0.0023769674171026395+0.0008215412733517944j),(-0.002678058561973215+0.002195573897050017j),(8.898282913980065e-05+0.020871948247264512j),(-0.0026780585619732154+0.002195573897050019j),(0.002376967417102634+0.0008215412733517936j),(-0.002982986448848604+5.954328747721156e-05j),(0.0025144523270888594-0.002851866731923923j),(0.002821744810288024+0.003921617545511295j),(-0.003312516275558514+0.004792127359936634j),(-0.006076959489227082+0.002161001299212447j),(-0.00607695948922707+0.0021610012992124435j)
"(7,)",(-0.007141199082964821+0.0023292799027417065j),(-0.0033125162755585115+0.004792127359936624j),(0.0028217448102880213+0.003921617545511302j),(0.0025144523270888676-0.0028518667319239214j),(-0.0029829864488486045+5.95432874772052e-05j),(0.002376967417102641+0.0008215412733517963j),(-0.0026780585619732154+0.002195573897050019j),(8.898282913980512e-05+0.020871948247264505j),(-0.0026780585619732193+0.0021955738970500125j),(0.0023769674171026443+0.0008215412733517914j),(-0.002982986448848602+5.954328747721635e-05j),(0.0025144523270888585-0.0028518667319239266j),(0.0028217448102880265+0.003921617545511306j),(-0.003312516275558515+0.004792127359936627j),(-0.00607695948922707+0.002161001299212439j)
"(8,)",(-0.007141199082964815+0.002329279902741707j),(-0.006076959489227071+0.002161001299212446j),(-0.0033125162755585063+0.004792127359936622j),(0.0028217448102880196+0.0039216175455112955j),(0.002514452327088866-0.0028518667319239193j),(-0.002982986448848598+5.954328747720604e-05j),(0.002376967417102634+0.0008215412733517936j),(-0.0026780585619732193+0.0021955738970500125j),(8.898282913980707e-05+0.020871948247264512j),(-0.0026780585619732193+0.002195573897050021j),(0.002376967417102638+0.0008215412733517849j),(-0.0029829864488485932+5.954328747721512e-05j),(0.002514452327088864-0.0028518667319239253j),(0.0028217448102880157+0.0039216175455113024j),(-0.003312516275558508+0.004792127359936613j)
"(9,)",(-0.00402353266863023+0.005512436581147709j),(-0.006076959489227077+0.0021610012992124535j),(-0.006076959489227074+0.002161001299212454j),(-0.0033125162755585063+0.004792127359936626j),(0.0028217448102880217+0.003921617545511301j),(0.002514452327088867-0.002851866731923927j),(-0.002982986448848604+5.954328747721156e-05j),(0.0023769674171026443+0.0008215412733517914j),(-0.0026780585619732193+0.002195573897050021j),(8.898282913981094e-05+0.020871948247264512j),(-0.0026780585619732246+0.002195573897050012j),(0.002376967417102641+0.0008215412733517883j),(-0.002982986448848608+5.954328747720824e-05j),(0.002514452327088874-0.0028518667319239206j),(0.0028217448102880157+0.003921617545511303j)
